1.121764463, Sport: ,Soccer, Time: ,Wed Nov 18 16:30:00 CET 2015, Time: ,Wed Nov 18 16:30:00 CET 2015, Event: ,Scotland U19 v Rep of Ireland U19, Favorite: ,Scotland U19, 820888   size:4.52,Price: ,2.6,Rep of Ireland U19, 820883   size:4.8,Price: ,3.05,The Draw, 58805   size:19.56,Price: ,3.4,ok
1.121860087, Sport: ,Tennis, Time: ,Wed Nov 18 11:00:00 CET 2015, Time: ,Wed Nov 18 11:00:00 CET 2015, Event: ,Vankova v Malikova, Favorite: ,Katerina Vankova, 7795596   size:8.65,Price: ,1.43,Tereza Malikova, 9489772   size:2.55,Price: ,2.84,x
1.121860088, Sport: ,Tennis, Time: ,Wed Nov 18 12:30:00 CET 2015, Time: ,Wed Nov 18 12:30:00 CET 2015, Event: ,Grajdek v Strakhova, Favorite: ,Valeriya Strakhova, 8490642   size:4.22,Price: ,1.08,Kim Alice Grajdek, 8949336   size:6.66,Price: ,7.0,ok
1.121841397, Sport: ,Tennis, Time: ,Wed Nov 18 08:00:00 CET 2015, Time: ,Wed Nov 18 08:00:00 CET 2015, Event: ,Lee/Yang v null/Wu, Favorite: ,Lee/Yang, 9182417   size:2.24,Price: ,1.05,Tsen Cho/Wu, 10530494   size:3.0,Price: ,1.06,ok
1.121841412, Sport: ,Tennis, Time: ,Wed Nov 18 11:00:00 CET 2015, Time: ,Wed Nov 18 11:00:00 CET 2015, Event: ,Hisami/Takahata v null/null, Favorite: ,Hisami/Takahata, 10530506   size:532.57,Price: ,1.02,Hsin Lee/Yun Pai, 10530507   size:28.57,Price: ,11.0,ok
1.121860085, Sport: ,Tennis, Time: ,Wed Nov 18 14:00:00 CET 2015, Time: ,Wed Nov 18 14:00:00 CET 2015, Event: ,Vinogradova v Leykina, Favorite: ,Polina Leykina, 9062872   size:6.1,Price: ,1.59,Polina Vinogradova, 8532039   size:6.1,Price: ,2.3,x
1.121866364, Sport: ,Tennis, Time: ,Wed Nov 18 13:00:00 CET 2015, Time: ,Wed Nov 18 13:00:00 CET 2015, Event: ,Minnen v Grammatikopou, Favorite: ,Greet Minnen, 10108736   size:2.55,Price: ,1.53,Valentini Grammatikopou, 9630231   size:61.1,Price: ,1.61,ok
1.121764408, Sport: ,Soccer, Time: ,Wed Nov 18 16:30:00 CET 2015, Time: ,Wed Nov 18 16:30:00 CET 2015, Event: ,Latvia U19 v Slovenia U19, Favorite: ,Slovenia U19, 1485109   size:36.57,Price: ,1.6,Latvia U19, 2098194   size:63.82,Price: ,6.4,The Draw, 58805   size:60.53,Price: ,4.0,x
1.121841798, Sport: ,Tennis, Time: ,Wed Nov 18 12:00:00 CET 2015, Time: ,Wed Nov 18 12:00:00 CET 2015, Event: ,Neuchrist/Weissborn v Fyrstenberg/Kowalczyk, Favorite: ,Neuchrist/Weissborn, 10507637   size:8.45,Price: ,1.04,Fyrstenberg/Kowalczyk, 10530695   size:8.45,Price: ,1.04,x
1.121860082, Sport: ,Tennis, Time: ,Wed Nov 18 15:30:00 CET 2015, Time: ,Wed Nov 18 15:30:00 CET 2015, Event: ,Gatto Monticone v Schmiedlova, Favorite: ,Kristina Schmiedlova, 9435236   size:50.3,Price: ,1.71,Giulia Gatto Monticone, 4030149   size:8.65,Price: ,2.12,ok
1.121858301, Sport: ,Soccer, Time: ,Wed Nov 18 13:30:00 CET 2015, Time: ,Wed Nov 18 13:30:00 CET 2015, Event: ,Ittihad Al Ramtha v Al Arabi (Jor), Favorite: ,Ittihad Al Ramtha, 8149517   size:2.55,Price: ,1.72,Al Arabi (Jor), 5330583   size:5.0,Price: ,3.15,The Draw, 58805   size:5.21,Price: ,3.4,x
1.121858686, Sport: ,Soccer, Time: ,Wed Nov 18 14:30:00 CET 2015, Time: ,Wed Nov 18 14:30:00 CET 2015, Event: ,FC Bari 1908 U19 v US Citta di Palermo U19, Favorite: ,US Citta di Palermo U19, 6995070   size:3.08,Price: ,2.08,FC Bari 1908 U19, 8946411   size:2.55,Price: ,2.28,The Draw, 58805   size:7.0,Price: ,3.6,ok
1.121858466, Sport: ,Soccer, Time: ,Wed Nov 18 17:00:00 CET 2015, Time: ,Wed Nov 18 17:00:00 CET 2015, Event: ,FUS Rabat v OCK Khouribga, Favorite: ,FUS Rabat, 6681575   size:4.09,Price: ,1.82,OCK Khouribga, 6359083   size:3.47,Price: ,4.2,The Draw, 58805   size:3.0,Price: ,3.1,x
