1.121850053, Sport: ,Basketball, Time: ,Wed Nov 18 19:00:00 CET 2015, Time: ,Wed Nov 18 19:00:00 CET 2015, Event: ,Kapfenberg v Le Havre, Favorite: ,Le Havre, 1292696   size:2.55,Price: ,1.55,Kapfenberg, 7036688   size:42.55,Price: ,2.6,x
1.121850097, Sport: ,Basketball, Time: ,Wed Nov 18 19:00:00 CET 2015, Time: ,Wed Nov 18 19:00:00 CET 2015, Event: ,Zlatorog Lasko v Den Bosch, Favorite: ,Den Bosch, 2586043   size:2.93,Price: ,1.7,Zlatorog Lasko, 6092371   size:2.55,Price: ,2.26,x
1.121836705, Sport: ,Basketball, Time: ,Wed Nov 18 18:00:00 CET 2015, Time: ,Wed Nov 18 18:00:00 CET 2015, Event: ,Banvit v Buducnost, Favorite: ,Banvit, 2125588   size:2.86,Price: ,1.02,Buducnost, 266288   size:2.86,Price: ,1.03,ok
1.121850073, Sport: ,Basketball, Time: ,Wed Nov 18 18:30:00 CET 2015, Time: ,Wed Nov 18 18:30:00 CET 2015, Event: ,Nymburk v Tajfun, Favorite: ,Nymburk, 2586030   size:2.86,Price: ,1.03,Tajfun, 8193254   size:2.86,Price: ,1.03,ok
1.121804106, Sport: ,Handball, Time: ,Wed Nov 18 19:00:00 CET 2015, Time: ,Wed Nov 18 19:00:00 CET 2015, Event: ,Skjern v Arhus, Favorite: ,Skjern, 928215   size:6.11,Price: ,1.4,Arhus, 3919678   size:6.11,Price: ,3.8,Draw, 330157   size:47.6,Price: ,9.8,x
1.121836701, Sport: ,Basketball, Time: ,Wed Nov 18 18:00:00 CET 2015, Time: ,Wed Nov 18 18:00:00 CET 2015, Event: ,Aris v Trabzonspor, Favorite: ,Aris, 281552   size:333.0,Price: ,1.3,Trabzonspor, 5048068   size:57.0,Price: ,2.74,ok
1.121836747, Sport: ,Basketball, Time: ,Wed Nov 18 18:00:00 CET 2015, Time: ,Wed Nov 18 18:00:00 CET 2015, Event: ,Szolnoki Olaj v PAOK, Favorite: ,PAOK, 281533   size:40.0,Price: ,1.14,Szolnoki Olaj, 5957089   size:20.0,Price: ,6.0,x
1.121870182, Sport: ,Tennis, Time: ,Wed Nov 18 19:00:00 CET 2015, Time: ,Wed Nov 18 19:00:00 CET 2015, Event: ,F Arguello v And Martin, Favorite: ,Facundo Arguello, 6129383   size:79.21,Price: ,1.64,Andrej Martin, 5071877   size:3.32,Price: ,2.48,x
1.121836764, Sport: ,Basketball, Time: ,Wed Nov 18 18:00:00 CET 2015, Time: ,Wed Nov 18 18:00:00 CET 2015, Event: ,Zenit St Petersburg v Avtodor, Favorite: ,Avtodor, 8801689   size:227.0,Price: ,1.44,Zenit St Petersburg, 8889521   size:66.0,Price: ,2.5,ok
1.121850039, Sport: ,Basketball, Time: ,Wed Nov 18 19:00:00 CET 2015, Time: ,Wed Nov 18 19:00:00 CET 2015, Event: ,Helios Domzale v Ventspils, Favorite: ,Ventspils, 1081645   size:230.25,Price: ,1.36,Helios Domzale, 1275930   size:32.5,Price: ,3.2,ok
1.121857787, Sport: ,Soccer, Time: ,Wed Nov 18 18:45:00 CET 2015, Time: ,Wed Nov 18 18:45:00 CET 2015, Event: ,Goncalense FC v Resende, Favorite: ,Goncalense FC, 9499054   size:4.86,Price: ,2.64,Resende, 2763329   size:12.66,Price: ,2.88,The Draw, 58805   size:38.88,Price: ,3.55,x
1.121788245, Sport: ,Volleyball, Time: ,Wed Nov 18 19:00:00 CET 2015, Time: ,Wed Nov 18 19:00:00 CET 2015, Event: ,Asul Lyon VB v Powervolleys Dueren, Favorite: ,Asul Lyon, 10321794   size:230.64,Price: ,1.31,Powervolleys Dueren, 10410537   size:7.54,Price: ,3.45,x
