1.121879820, Sport: ,Soccer, Time: ,Fri Nov 20 10:30:00 CET 2015, Time: ,Fri Nov 20 10:30:00 CET 2015, Event: ,Air India v Income Tax, Favorite: ,Air India, 4391263   size:2.55,Price: ,1.17,Income Tax, 10540193   size:5.9,Price: ,7.2,The Draw, 58805   size:5.21,Price: ,5.1,ok
1.121881501, Sport: ,Soccer, Time: ,Fri Nov 20 15:00:00 CET 2015, Time: ,Fri Nov 20 15:00:00 CET 2015, Event: ,Amkar Perm (Y) v Rubin Kazan (Y), Favorite: ,Rubin Kazan (Y), 5400702   size:4.06,Price: ,1.84,Amkar Perm (Y), 9425933   size:12.26,Price: ,3.15,The Draw, 58805   size:17.76,Price: ,3.55,ok
1.121879422, Sport: ,Soccer, Time: ,Fri Nov 20 02:00:00 CET 2015, Time: ,Fri Nov 20 02:00:00 CET 2015, Event: ,Aguila v FAS, Favorite: ,Fas, 4867481   size:105.98,Price: ,1.33,Aguila, 6538507   size:19.0,Price: ,4.1,The Draw, 58805   size:48.0,Price: ,2.42,x
1.121883800, Sport: ,Tennis, Time: ,Fri Nov 20 06:00:00 CET 2015, Time: ,Fri Nov 20 06:00:00 CET 2015, Event: ,Ratiwatana/Ratiwatana v Chen/Skugor, Favorite: ,Ratiwatana/Ratiwatana, 2091363   size:2.55,Price: ,1.84,Chen/Skugor, 10082607   size:5.86,Price: ,1.97,ok
1.121879146, Sport: ,Soccer, Time: ,Fri Nov 20 16:00:00 CET 2015, Time: ,Fri Nov 20 16:00:00 CET 2015, Event: ,BATE Borisov v Granit, Favorite: ,BATE Borisov, 46949   size:3.62,Price: ,1.38,Granit, 9383251   size:5.94,Price: ,6.4,The Draw, 58805   size:3.92,Price: ,4.2,ok
1.121880931, Sport: ,Soccer, Time: ,Fri Nov 20 14:00:00 CET 2015, Time: ,Fri Nov 20 14:00:00 CET 2015, Event: ,Umm Salal v Al Ahli (QAT), Favorite: ,Al Ahli (QAT), 5671996   size:15.19,Price: ,2.18,Umm Salal, 5174707   size:6.19,Price: ,2.22,The Draw, 58805   size:14.07,Price: ,3.1,x
1.121772464, Sport: ,Soccer, Time: ,Fri Nov 20 11:00:00 CET 2015, Time: ,Fri Nov 20 11:00:00 CET 2015, Event: ,ASM Oran U21 v USM Alger U21, Favorite: ,USM Alger U21, 8166411   size:13.16,Price: ,1.76,ASM Oran U21, 9034704   size:10.64,Price: ,1.94,The Draw, 58805   size:5.21,Price: ,2.94,ok
1.121883804, Sport: ,Tennis, Time: ,Fri Nov 20 08:30:00 CET 2015, Time: ,Fri Nov 20 08:30:00 CET 2015, Event: ,Flipkens v Shvedova, Favorite: ,Yaroslava Shvedova, 2263713   size:10.15,Price: ,1.9,Kirsten Flipkens, 2264530   size:12.97,Price: ,2.08,x
1.121920236, Sport: ,Tennis, Time: ,Fri Nov 20 12:00:00 CET 2015, Time: ,Fri Nov 20 12:00:00 CET 2015, Event: ,Dodin v Kerkhove, Favorite: ,Oceane Dodin, 7289631   size:2.55,Price: ,1.6,Lesley Kerkhove, 7283298   size:25.09,Price: ,2.24,ok
1.121880097, Sport: ,Soccer, Time: ,Fri Nov 20 09:30:00 CET 2015, Time: ,Fri Nov 20 09:30:00 CET 2015, Event: ,Singapore U21 v Thailand U21, Favorite: ,Thailand U21, 8928101   size:2.55,Price: ,1.43,Singapore U21, 7788533   size:5.0,Price: ,2.02,The Draw, 58805   size:5.21,Price: ,3.6,x
1.121861334, Sport: ,Basketball, Time: ,Fri Nov 20 03:30:00 CET 2015, Time: ,Fri Nov 20 03:30:00 CET 2015, Event: ,Virginia v Bradley, Favorite: ,Virginia, 332651   size:2278.54,Price: ,1.02,Bradley, 716826   size:6.15,Price: ,8.2,ok
1.121920237, Sport: ,Tennis, Time: ,Fri Nov 20 13:30:00 CET 2015, Time: ,Fri Nov 20 13:30:00 CET 2015, Event: ,Minnen v Christie, Favorite: ,Greet Minnen, 10108736   size:2.55,Price: ,1.69,Freya Christie, 8624170   size:2.34,Price: ,2.14,x
1.121904309, Sport: ,Tennis, Time: ,Fri Nov 20 11:30:00 CET 2015, Time: ,Fri Nov 20 11:30:00 CET 2015, Event: ,Rodina v Chang Liu, Favorite: ,Evgeniya Rodina, 2415530   size:621.41,Price: ,1.31,Chang Liu, 7656823   size:74.18,Price: ,4.0,ok
1.121880376, Sport: ,Soccer, Time: ,Fri Nov 20 16:30:00 CET 2015, Time: ,Fri Nov 20 16:30:00 CET 2015, Event: ,Al Buqaa v Al Ahli (JOR), Favorite: ,Al Ahli (Jor), 10284500   size:3.94,Price: ,1.99,Al Buqaa, 10428791   size:5.36,Price: ,2.76,The Draw, 58805   size:3.72,Price: ,2.92,ok
1.121881104, Sport: ,Soccer, Time: ,Fri Nov 20 13:00:00 CET 2015, Time: ,Fri Nov 20 13:00:00 CET 2015, Event: ,AS Magura Cisnadie v CS Becicherecu Mic, Favorite: ,AS Magura Cisnadie, 10366643   size:10.0,Price: ,1.12,CS Becicherecu Mic, 7650210   size:10.0,Price: ,1.12,The Draw, 58805   size:9.97,Price: ,2.88,x
1.121882392, Sport: ,Basketball, Time: ,Fri Nov 20 11:00:00 CET 2015, Time: ,Fri Nov 20 11:00:00 CET 2015, Event: ,Hiroshima v Shimane, Favorite: ,Shimane, 6737022   size:8.39,Price: ,1.04,Hiroshima, 10368766   size:6.06,Price: ,1.16,ok
1.121882393, Sport: ,Basketball, Time: ,Fri Nov 20 09:15:00 CET 2015, Time: ,Fri Nov 20 09:15:00 CET 2015, Event: ,Globalport Batang Pier v Alaska Aces, Favorite: ,Alaska Aces, 3803222   size:2.55,Price: ,1.8,Globalport Batang Pier, 6756877   size:2.55,Price: ,2.04,ok
1.121883778, Sport: ,Tennis, Time: ,Fri Nov 20 03:30:00 CET 2015, Time: ,Fri Nov 20 03:30:00 CET 2015, Event: ,Hibino v Akita, Favorite: ,Nao Hibino, 7683152   size:830.42,Price: ,1.13,Shiho Akita, 9165932   size:8.45,Price: ,7.6,ok
1.121879312, Sport: ,Soccer, Time: ,Fri Nov 20 13:30:00 CET 2015, Time: ,Fri Nov 20 13:30:00 CET 2015, Event: ,Hrvatski Dragovoljac v Radnik Sesvete, Favorite: ,Hrvatski Dragovoljac, 3439336   size:3.84,Price: ,2.42,Radnik Sesvete, 5819701   size:3.84,Price: ,2.42,The Draw, 58805   size:3.2,Price: ,2.9,ok
1.121879036, Sport: ,Soccer, Time: ,Fri Nov 20 11:00:00 CET 2015, Time: ,Fri Nov 20 11:00:00 CET 2015, Event: ,CRB Ain Fakroun U21 v MC El Eulma U21, Favorite: ,CRB Ain Fakroun U21, 9031375   size:2.55,Price: ,1.55,MC El Eulma U21, 7708858   size:13.89,Price: ,1.72,The Draw, 58805   size:2.76,Price: ,2.96,ok
1.121877772, Sport: ,Ice Hockey, Time: ,Fri Nov 20 02:00:00 CET 2015, Time: ,Fri Nov 20 02:00:00 CET 2015, Event: ,Buffalo @ St Louis, Favorite: ,Tie, 60104   size:2.85,Price: ,1.03,Buffalo, 4427593   size:320.0,Price: ,3.0,St Louis, 2110000   size:77.84,Price: ,1.13,ok
1.121875870, Sport: ,Basketball, Time: ,Fri Nov 20 04:35:00 CET 2015, Time: ,Fri Nov 20 04:35:00 CET 2015, Event: ,Golden State @ LA Clippers, Favorite: ,Golden State, 13126   size:1167.41,Price: ,1.4,LA Clippers, 237489   size:93.84,Price: ,3.4,ok
1.121883779, Sport: ,Tennis, Time: ,Fri Nov 20 05:00:00 CET 2015, Time: ,Fri Nov 20 05:00:00 CET 2015, Event: ,S Zhang v Q Wang, Favorite: ,Qiang Wang, 6145777   size:5.43,Price: ,1.77,Shuai Zhang, 2386498   size:3.17,Price: ,2.06,x
