1.121881501, Sport: ,Soccer, Time: ,Fri Nov 20 15:00:00 CET 2015, Time: ,Fri Nov 20 15:00:00 CET 2015, Event: ,Amkar Perm (Y) v Rubin Kazan (Y), Favorite: ,Rubin Kazan (Y), 5400702   size:41.62,Price: ,1.87,Amkar Perm (Y), 9425933   size:2.55,Price: ,4.0,The Draw, 58805   size:8.01,Price: ,3.9,ok
1.121910153, Sport: ,Handball, Time: ,Fri Nov 20 21:00:00 CET 2015, Time: ,Fri Nov 20 21:00:00 CET 2015, Event: ,Huesca v Ciudad Encantada, Favorite: ,Huesca, 5798698   size:2.85,Price: ,1.03,Ciudad Encantada, 5798700   size:18.0,Price: ,1.04,Draw, 330157   size:18.0,Price: ,1.04,ok
1.121772629, Sport: ,Soccer, Time: ,Fri Nov 20 19:30:00 CET 2015, Time: ,Fri Nov 20 19:30:00 CET 2015, Event: ,OH Leuven (W) v Gent (W), Favorite: ,OH Leuven (W), 6743192   size:39.83,Price: ,1.1,Gent (W), 10397983   size:40.42,Price: ,1.1,The Draw, 58805   size:10.44,Price: ,2.88,x
1.121880652, Sport: ,Soccer, Time: ,Fri Nov 20 20:15:00 CET 2015, Time: ,Fri Nov 20 20:15:00 CET 2015, Event: ,Valletta v St. Andrews FC, Favorite: ,Valletta, 166888   size:2.55,Price: ,1.17,St. Andrews FC, 8222576   size:19.98,Price: ,5.7,The Draw, 58805   size:3.72,Price: ,7.0,ok
1.121882390, Sport: ,Basketball, Time: ,Fri Nov 20 20:00:00 CET 2015, Time: ,Fri Nov 20 20:00:00 CET 2015, Event: ,Provence v Poitiers, Favorite: ,Provence, 8874536   size:2.55,Price: ,1.33,Poitiers, 2989482   size:2.51,Price: ,2.6,x
1.121882391, Sport: ,Basketball, Time: ,Fri Nov 20 20:00:00 CET 2015, Time: ,Fri Nov 20 20:00:00 CET 2015, Event: ,Saint-Chamond v Souffelweyersheim, Favorite: ,Saint-Chamond, 10441721   size:2.55,Price: ,1.52,Souffelweyersheim, 7615256   size:17.03,Price: ,2.82,x
1.121820477, Sport: ,Soccer, Time: ,Sat Nov 21 00:30:00 CET 2015, Time: ,Sat Nov 21 00:30:00 CET 2015, Event: ,ABC v Botafogo RJ, Favorite: ,Botafogo RJ, 786906   size:492.02,Price: ,1.39,abc, 3794139   size:2.57,Price: ,10.0,The Draw, 58805   size:130.65,Price: ,5.3,ok
1.121872113, Sport: ,Ice Hockey, Time: ,Fri Nov 20 19:00:00 CET 2015, Time: ,Fri Nov 20 19:00:00 CET 2015, Event: ,Mora v Bjorkloven, Favorite: ,Mora, 247115   size:2.87,Price: ,2.28,Bjorkloven, 247108   size:145.6,Price: ,2.46,Tie, 60104   size:129.32,Price: ,3.8,ok
1.121872116, Sport: ,Ice Hockey, Time: ,Fri Nov 20 19:00:00 CET 2015, Time: ,Fri Nov 20 19:00:00 CET 2015, Event: ,Tingsryd v Pantern, Favorite: ,Tingsryd, 5877522   size:3.4,Price: ,1.47,Pantern, 9322154   size:100.31,Price: ,4.6,Tie, 60104   size:95.04,Price: ,4.8,ok
1.121856414, Sport: ,Soccer, Time: ,Fri Nov 20 20:00:00 CET 2015, Time: ,Fri Nov 20 20:00:00 CET 2015, Event: ,Arsenal U21 v Stoke U21, Favorite: ,Arsenal U21, 6667763   size:39.82,Price: ,1.1,Stoke U21, 6630666   size:39.82,Price: ,1.1,The Draw, 58805   size:3.95,Price: ,2.9,x
1.121881996, Sport: ,Basketball, Time: ,Fri Nov 20 17:00:00 CET 2015, Time: ,Fri Nov 20 17:00:00 CET 2015, Event: ,Partizan v Tajfun, Favorite: ,Partizan, 266286   size:2.73,Price: ,1.22,Tajfun, 8193254   size:4.43,Price: ,5.1,ok
