1.121914876, Sport: ,Soccer, Time: ,Sat Nov 21 13:00:00 CET 2015, Time: ,Sat Nov 21 13:00:00 CET 2015, Event: ,SK Sered v SK Slovan Bratislava II, Favorite: ,SK Sered, 6676698   size:12.55,Price: ,1.65,SK Slovan Bratislava II, 8746424   size:8.91,Price: ,3.55,The Draw, 58805   size:20.77,Price: ,3.2,x
1.121806169, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,AFC Wimbledon v Wycombe, Favorite: ,AFC Wimbledon, 2662218   size:2.79,Price: ,2.24,Wycombe, 49584   size:56.37,Price: ,3.6,The Draw, 58805   size:72.32,Price: ,3.55,x
1.121910158, Sport: ,Handball, Time: ,Sat Nov 21 17:30:00 CET 2015, Time: ,Sat Nov 21 17:30:00 CET 2015, Event: ,Vardar v Niederosterreich, Favorite: ,Vardar, 8006170   size:0.0,Price: ,0.0,Niederosterreich, 5860975   size:2.85,Price: ,1.03,Draw, 330157   size:2.85,Price: ,1.03,ok
1.121798575, Sport: ,Soccer, Time: ,Sat Nov 21 17:00:00 CET 2015, Time: ,Sat Nov 21 17:00:00 CET 2015, Event: ,Bohemians 1905 v Banik Ostrava, Favorite: ,Bohemians 1905, 2467701   size:469.0,Price: ,1.77,Banik Ostrava, 367581   size:73.17,Price: ,5.3,The Draw, 58805   size:26.12,Price: ,3.6,ok
1.121910156, Sport: ,Handball, Time: ,Sat Nov 21 20:30:00 CET 2015, Time: ,Sat Nov 21 20:30:00 CET 2015, Event: ,Guadalajara v Go Fit, Favorite: ,Go Fit, 10194536   size:3.64,Price: ,1.03,Guadalajara, 4995923   size:2.42,Price: ,1.37,Draw, 330157   size:3.2,Price: ,1.03,x
1.121912331, Sport: ,Soccer, Time: ,Sat Nov 21 10:30:00 CET 2015, Time: ,Sat Nov 21 10:30:00 CET 2015, Event: ,Mumbai v Central Bank of India, Favorite: ,Mumbai, 5969072   size:5.0,Price: ,1.03,Central Bank of India, 8940768   size:5.0,Price: ,1.03,The Draw, 58805   size:2.85,Price: ,1.25,ok
1.121913542, Sport: ,Soccer, Time: ,Sat Nov 21 15:30:00 CET 2015, Time: ,Sat Nov 21 15:30:00 CET 2015, Event: ,Al-Quadisiya (KSA) v Al-Shabab (KSA), Favorite: ,Al-Shabab (KSA), 5344868   size:12.16,Price: ,1.61,Al-Quadisiya (KSA), 10201607   size:9.82,Price: ,3.6,The Draw, 58805   size:19.19,Price: ,3.2,ok
1.121765770, Sport: ,Soccer, Time: ,Sat Nov 21 18:30:00 CET 2015, Time: ,Sat Nov 21 18:30:00 CET 2015, Event: ,Sport Huancayo v Alianza Atletico, Favorite: ,Sport Huancayo, 4972227   size:3.56,Price: ,1.29,Alianza Atletico, 898396   size:3.08,Price: ,12.0,The Draw, 58805   size:2.55,Price: ,5.7,ok
1.121866343, Sport: ,Soccer, Time: ,Sat Nov 21 16:00:00 CET 2015, Time: ,Sat Nov 21 16:00:00 CET 2015, Event: ,Granada B v Algeciras, Favorite: ,Granada B, 7602492   size:23.12,Price: ,1.58,Algeciras, 516260   size:2.83,Price: ,6.6,The Draw, 58805   size:14.69,Price: ,3.85,ok
1.121740234, Sport: ,Soccer, Time: ,Sat Nov 21 20:00:00 CET 2015, Time: ,Sat Nov 21 20:00:00 CET 2015, Event: ,Montpellier v Reims, Favorite: ,Montpellier, 44797   size:367.76,Price: ,2.12,Reims, 298233   size:106.01,Price: ,4.2,The Draw, 58805   size:552.19,Price: ,3.3,ok
1.121856660, Sport: ,Darts, Time: ,Sat Nov 21 16:15:00 CET 2015, Time: ,Sat Nov 21 16:15:00 CET 2015, Event: ,Kyle Anderson v Dave Chisnall, Favorite: ,Dave Chisnall, 3535216   size:11.08,Price: ,1.43,Kyle Anderson, 6872421   size:13.23,Price: ,3.1,ok
