1.121956031, Sport: ,Tennis, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,Bauvy v Ad Virgili, Favorite: ,Adelchi Virgili, 8288060   size:2.55,Price: ,1.28,Romain Bauvy, 9376580   size:18.11,Price: ,3.55,ok
1.121809319, Sport: ,Soccer, Time: ,Sun Nov 22 14:00:00 CET 2015, Time: ,Sun Nov 22 14:00:00 CET 2015, Event: ,1860 Munich II v Bayern Munich II, Favorite: ,Bayern Munich II, 5949557   size:4.18,Price: ,2.02,1860 Munich II, 5482967   size:8.49,Price: ,3.95,The Draw, 58805   size:10.26,Price: ,3.55,x
1.121808226, Sport: ,Soccer, Time: ,Sun Nov 22 13:00:00 CET 2015, Time: ,Sun Nov 22 13:00:00 CET 2015, Event: ,Torku Konyaspor v Eskisehirspor, Favorite: ,Torku Konyaspor, 6553233   size:4.76,Price: ,2.1,Eskisehirspor, 2080746   size:55.2,Price: ,4.1,The Draw, 58805   size:208.7,Price: ,3.4,ok
1.121877365, Sport: ,Soccer, Time: ,Sun Nov 22 12:00:00 CET 2015, Time: ,Sun Nov 22 12:00:00 CET 2015, Event: ,Obolon-Brovar v Hirnyk, Favorite: ,Obolon-Brovar, 8792401   size:7.16,Price: ,1.86,Hirnyk, 7709692   size:6.36,Price: ,2.94,The Draw, 58805   size:6.37,Price: ,2.9,x
1.121940807, Sport: ,Soccer, Time: ,Sun Nov 22 20:00:00 CET 2015, Time: ,Sun Nov 22 20:00:00 CET 2015, Event: ,Deportes Melipilla v Municipal La Pintana, Favorite: ,Deportes Melipilla, 7084729   size:8.45,Price: ,1.04,Municipal La Pintana, 5663030   size:8.45,Price: ,1.04,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121946108, Sport: ,Soccer, Time: ,Sun Nov 22 11:00:00 CET 2015, Time: ,Sun Nov 22 11:00:00 CET 2015, Event: ,Oiartzun KE (W) v UDG Tenerife Sur (W), Favorite: ,UDG Tenerife Sur (W), 9488105   size:104.91,Price: ,2.02,Oiartzun KE (W), 9492955   size:6.27,Price: ,3.25,The Draw, 58805   size:3.57,Price: ,3.9,x
1.121866349, Sport: ,Soccer, Time: ,Sun Nov 22 12:00:00 CET 2015, Time: ,Sun Nov 22 12:00:00 CET 2015, Event: ,FC Jumilla v Melilla, Favorite: ,FC Jumilla, 8216058   size:37.7,Price: ,2.5,Melilla, 2250364   size:7.56,Price: ,3.15,The Draw, 58805   size:41.8,Price: ,3.15,ok
1.121866347, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Merida AD v San Roque, Favorite: ,Merida AD, 9534731   size:7.37,Price: ,2.12,San Roque, 4136688   size:2.55,Price: ,3.8,The Draw, 58805   size:3.72,Price: ,3.45,ok
1.121958694, Sport: ,Darts, Time: ,Sun Nov 22 14:30:00 CET 2015, Time: ,Sun Nov 22 14:30:00 CET 2015, Event: ,Taylor v Bunting, Favorite: ,Phil Taylor, 2271001   size:6.1,Price: ,1.21,Stephen Bunting, 3538481   size:7.07,Price: ,4.8,ok
1.121947430, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,UD Alzira v CD Acero, Favorite: ,UD Alzira, 5688358   size:5.63,Price: ,1.06,CD Acero, 6797364   size:5.63,Price: ,1.06,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121948642, Sport: ,Soccer, Time: ,Sun Nov 22 17:30:00 CET 2015, Time: ,Sun Nov 22 17:30:00 CET 2015, Event: ,Club Atletico Saguntino v Ontinyent CF, Favorite: ,Club Atletico Saguntino, 7906133   size:5.63,Price: ,1.06,Ontinyent CF, 9320419   size:5.63,Price: ,1.06,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121949852, Sport: ,Soccer, Time: ,Sun Nov 22 12:00:00 CET 2015, Time: ,Sun Nov 22 12:00:00 CET 2015, Event: ,CD Castellon v CF Torre Levante, Favorite: ,CD Castellon, 8916596   size:5.0,Price: ,1.03,CF Torre Levante, 9355536   size:40.41,Price: ,1.81,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121945379, Sport: ,Soccer, Time: ,Sun Nov 22 14:00:00 CET 2015, Time: ,Sun Nov 22 14:00:00 CET 2015, Event: ,Hoffenheim (W) v Wolfsburg (W), Favorite: ,Wolfsburg (W), 6293348   size:6.1,Price: ,1.18,Hoffenheim (W), 7636672   size:25.64,Price: ,7.4,The Draw, 58805   size:2.55,Price: ,5.3,ok
1.121743747, Sport: ,American Football, Time: ,Sun Nov 22 22:25:00 CET 2015, Time: ,Sun Nov 22 22:25:00 CET 2015, Event: ,San Francisco @ Seattle, Favorite: ,Seattle Seahawks, 50213   size:27470.85,Price: ,1.11,San Francisco 49ers, 50197   size:46.98,Price: ,9.2,ok
1.121945378, Sport: ,Soccer, Time: ,Sun Nov 22 14:00:00 CET 2015, Time: ,Sun Nov 22 14:00:00 CET 2015, Event: ,Lekhwiya v Al Khor, Favorite: ,Lekhwiya, 5168555   size:4.85,Price: ,1.41,Al Khor, 5174706   size:5.61,Price: ,6.4,The Draw, 58805   size:16.65,Price: ,4.0,ok
1.121943079, Sport: ,Soccer, Time: ,Sun Nov 22 18:30:00 CET 2015, Time: ,Sun Nov 22 18:30:00 CET 2015, Event: ,Deportivo Tachira FC II v Casa de Italia, Favorite: ,Deportivo Tachira FC II, 10424533   size:8.45,Price: ,1.04,Casa de Italia, 10424512   size:8.45,Price: ,1.04,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121743504, Sport: ,American Football, Time: ,Sun Nov 22 19:00:00 CET 2015, Time: ,Sun Nov 22 19:00:00 CET 2015, Event: ,Oakland @ Detroit, Favorite: ,Detroit Lions, 50193   size:331.31,Price: ,1.94,Oakland Raiders, 50212   size:309.3,Price: ,2.0,ok
1.121856420, Sport: ,Soccer, Time: ,Sun Nov 22 15:00:00 CET 2015, Time: ,Sun Nov 22 15:00:00 CET 2015, Event: ,Sunderland U21 v Middlesbrough U21, Favorite: ,Sunderland U21, 6669730   size:4.82,Price: ,1.07,Middlesbrough U21, 6601837   size:4.82,Price: ,1.07,The Draw, 58805   size:10.98,Price: ,2.88,x
1.121807128, Sport: ,Soccer, Time: ,Sun Nov 22 15:00:00 CET 2015, Time: ,Sun Nov 22 15:00:00 CET 2015, Event: ,Kuban Krasnodar v Terek Grozni, Favorite: ,Kuban Krasnodar, 5246807   size:22.08,Price: ,2.62,Terek Grozni, 939625   size:11.09,Price: ,3.15,The Draw, 58805   size:321.11,Price: ,3.2,x
1.121808459, Sport: ,Soccer, Time: ,Sun Nov 22 13:00:00 CET 2015, Time: ,Sun Nov 22 13:00:00 CET 2015, Event: ,Osmanlispor v Rizespor, Favorite: ,Osmanlispor, 8854605   size:100.34,Price: ,1.88,Rizespor, 113643   size:66.61,Price: ,4.8,The Draw, 58805   size:223.06,Price: ,3.65,x
1.121809429, Sport: ,Soccer, Time: ,Sun Nov 22 14:00:00 CET 2015, Time: ,Sun Nov 22 14:00:00 CET 2015, Event: ,SV Saar v Waldhof Mannheim, Favorite: ,Waldhof Mannheim, 346909   size:11.26,Price: ,1.2,SV Saar, 10079938   size:7.18,Price: ,11.0,The Draw, 58805   size:18.63,Price: ,7.2,x
1.121937641, Sport: ,Basketball, Time: ,Sun Nov 22 14:00:00 CET 2015, Time: ,Sun Nov 22 14:00:00 CET 2015, Event: ,Kouvot Kouvola v Kataja, Favorite: ,Kouvot Kouvola, 7749353   size:3.52,Price: ,1.34,Kataja, 1364981   size:13.3,Price: ,3.7,x
1.121854239, Sport: ,Soccer, Time: ,Sun Nov 22 23:00:00 CET 2015, Time: ,Sun Nov 22 23:00:00 CET 2015, Event: ,Patriotas v Alianza Petrolera, Favorite: ,Patriotas, 5360525   size:58.73,Price: ,2.02,Alianza Petrolera, 5615116   size:19.78,Price: ,4.6,The Draw, 58805   size:83.7,Price: ,3.45,ok
1.121789972, Sport: ,Volleyball, Time: ,Sun Nov 22 14:00:00 CET 2015, Time: ,Sun Nov 22 14:00:00 CET 2015, Event: ,Neftyanik Orenburg v Gubernija Nizhny Novgor, Favorite: ,Gubernija Nizhny Novgor, 10444924   size:2.55,Price: ,1.06,Neftyanik Orenburg, 8910450   size:2.55,Price: ,1.73,x
1.121866339, Sport: ,Soccer, Time: ,Sun Nov 22 12:00:00 CET 2015, Time: ,Sun Nov 22 12:00:00 CET 2015, Event: ,Valencia B v Lleida, Favorite: ,Lleida, 911524   size:61.86,Price: ,2.48,Valencia B, 2250358   size:6.7,Price: ,3.15,The Draw, 58805   size:10.27,Price: ,3.2,x
1.121866337, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Eldense v Alcoyano, Favorite: ,Eldense, 2250350   size:9.13,Price: ,2.6,Alcoyano, 1321438   size:2.83,Price: ,3.1,The Draw, 58805   size:5.22,Price: ,3.15,ok
1.121869996, Sport: ,Ice Hockey, Time: ,Sun Nov 22 15:30:00 CET 2015, Time: ,Sun Nov 22 15:30:00 CET 2015, Event: ,Kometa Brno v Trinec, Favorite: ,Kometa Brno, 3304802   size:7.9,Price: ,2.18,Trinec, 563259   size:29.92,Price: ,2.6,Tie, 60104   size:11.08,Price: ,4.5,ok
1.121866335, Sport: ,Soccer, Time: ,Sun Nov 22 12:00:00 CET 2015, Time: ,Sun Nov 22 12:00:00 CET 2015, Event: ,Pobla de Mafumet CF v Olot, Favorite: ,Pobla de Mafumet CF, 9359728   size:2.55,Price: ,2.58,Olot, 7602489   size:16.84,Price: ,3.05,The Draw, 58805   size:6.27,Price: ,3.15,x
1.121869757, Sport: ,Ice Hockey, Time: ,Sun Nov 22 14:30:00 CET 2015, Time: ,Sun Nov 22 14:30:00 CET 2015, Event: ,Adler Mannheim v ERC Ingolstadt, Favorite: ,Adler Mannheim, 233924   size:2.34,Price: ,1.73,ERC Ingolstadt, 233927   size:20.0,Price: ,3.85,Tie, 60104   size:57.0,Price: ,5.1,ok
1.121866333, Sport: ,Soccer, Time: ,Sun Nov 22 12:00:00 CET 2015, Time: ,Sun Nov 22 12:00:00 CET 2015, Event: ,Atletico Baleares v Reus Deportiu, Favorite: ,Atletico Baleares, 3303611   size:42.77,Price: ,2.72,Reus Deportiu, 4136691   size:12.55,Price: ,2.76,The Draw, 58805   size:5.16,Price: ,3.3,x
