1.121789184, Sport: ,Soccer, Time: ,Sun Nov 22 22:30:00 CET 2015, Time: ,Sun Nov 22 22:30:00 CET 2015, Event: ,Coritiba v Santos, Favorite: ,Santos, 198127   size:120.96,Price: ,2.64,Coritiba, 198141   size:119.6,Price: ,2.92,The Draw, 58805   size:236.75,Price: ,3.45,x
1.121960650, Sport: ,Tennis, Time: ,Mon Nov 23 03:30:00 CET 2015, Time: ,Mon Nov 23 03:30:00 CET 2015, Event: ,Kapas v Imina, Favorite: ,Andriej Kapas, 7412768   size:817.52,Price: ,1.19,Itsuki Imina, 10548025   size:23.72,Price: ,4.6,x
1.121938169, Sport: ,Basketball, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,Siden Torun v Polpharma Starogard, Favorite: ,Siden Torun, 8832718   size:17.27,Price: ,1.16,Polpharma Starogard, 2125690   size:84.09,Price: ,6.4,ok
1.121940807, Sport: ,Soccer, Time: ,Sun Nov 22 20:00:00 CET 2015, Time: ,Sun Nov 22 20:00:00 CET 2015, Event: ,Deportes Melipilla v Municipal La Pintana, Favorite: ,Municipal La Pintana, 5663030   size:2.55,Price: ,1.93,Deportes Melipilla, 7084729   size:6.92,Price: ,2.06,The Draw, 58805   size:6.38,Price: ,2.9,x
1.121938161, Sport: ,Basketball, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,Ostrow Wielkopolski v Asseco Gdynia, Favorite: ,Asseco Gdynia, 7817588   size:2.55,Price: ,1.84,Ostrow Wielkopolski, 10387986   size:4.93,Price: ,2.04,ok
1.121737860, Sport: ,Soccer, Time: ,Sun Nov 22 20:45:00 CET 2015, Time: ,Sun Nov 22 20:45:00 CET 2015, Event: ,Inter v Frosinone, Favorite: ,Inter, 63347   size:17576.26,Price: ,1.23,Frosinone, 924268   size:56.37,Price: ,19.0,The Draw, 58805   size:204.11,Price: ,7.0,ok
1.121736773, Sport: ,Soccer, Time: ,Sun Nov 22 18:15:00 CET 2015, Time: ,Sun Nov 22 18:15:00 CET 2015, Event: ,Granada v Ath Bilbao, Favorite: ,Ath Bilbao, 215903   size:230.46,Price: ,1.98,Granada, 2255452   size:522.58,Price: ,4.4,The Draw, 58805   size:542.47,Price: ,3.65,x
1.121938165, Sport: ,Basketball, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Rosa Radom v Koszalin, Favorite: ,Rosa Radom, 6703618   size:45.0,Price: ,1.55,Koszalin, 2139127   size:20.0,Price: ,2.22,x
1.121866347, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Merida AD v San Roque, Favorite: ,Merida AD, 9534731   size:11.47,Price: ,2.1,San Roque, 4136688   size:2.55,Price: ,3.8,The Draw, 58805   size:10.51,Price: ,3.4,ok
1.121947430, Sport: ,Soccer, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,UD Alzira v CD Acero, Favorite: ,UD Alzira, 5688358   size:6.49,Price: ,1.03,CD Acero, 6797364   size:6.49,Price: ,1.03,The Draw, 58805   size:6.49,Price: ,1.03,ok
1.121736656, Sport: ,Soccer, Time: ,Sun Nov 22 20:30:00 CET 2015, Time: ,Sun Nov 22 20:30:00 CET 2015, Event: ,Betis v Atletico Madrid, Favorite: ,Atletico Madrid, 41433   size:5525.63,Price: ,1.64,Betis, 44507   size:960.42,Price: ,6.4,The Draw, 58805   size:2159.51,Price: ,4.1,ok
1.121866345, Sport: ,Soccer, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,Linense v Betis B, Favorite: ,Linense, 3303612   size:18.26,Price: ,1.7,Betis B, 2522844   size:24.16,Price: ,5.6,The Draw, 58805   size:8.13,Price: ,3.8,ok
1.121896329, Sport: ,Basketball, Time: ,Sun Nov 22 18:00:00 CET 2015, Time: ,Sun Nov 22 18:00:00 CET 2015, Event: ,Chalon Saone v Strasbourg, Favorite: ,Strasbourg, 1193143   size:114.99,Price: ,1.65,Chalon Saone, 1471819   size:57.27,Price: ,2.32,x
1.121948642, Sport: ,Soccer, Time: ,Sun Nov 22 17:30:00 CET 2015, Time: ,Sun Nov 22 17:30:00 CET 2015, Event: ,Club Atletico Saguntino v Ontinyent CF, Favorite: ,Club Atletico Saguntino, 7906133   size:2.67,Price: ,1.82,Ontinyent CF, 9320419   size:7.92,Price: ,3.45,The Draw, 58805   size:8.95,Price: ,3.05,ok
1.121883241, Sport: ,Ice Hockey, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Manglerud v Lillehammer, Favorite: ,Manglerud, 61084   size:2.85,Price: ,1.03,Lillehammer, 61429   size:2.85,Price: ,1.03,Tie, 60104   size:2.85,Price: ,1.03,x
1.121743747, Sport: ,American Football, Time: ,Sun Nov 22 22:25:00 CET 2015, Time: ,Sun Nov 22 22:25:00 CET 2015, Event: ,San Francisco @ Seattle, Favorite: ,Seattle Seahawks, 50213   size:22230.95,Price: ,1.11,San Francisco 49ers, 50197   size:222.02,Price: ,9.6,ok
1.121943079, Sport: ,Soccer, Time: ,Sun Nov 22 18:30:00 CET 2015, Time: ,Sun Nov 22 18:30:00 CET 2015, Event: ,Deportivo Tachira FC II v Casa de Italia, Favorite: ,Deportivo Tachira FC II, 10424533   size:5.0,Price: ,1.03,Casa de Italia, 10424512   size:5.0,Price: ,1.03,The Draw, 58805   size:10.98,Price: ,2.88,ok
1.121743504, Sport: ,American Football, Time: ,Sun Nov 22 19:00:00 CET 2015, Time: ,Sun Nov 22 19:00:00 CET 2015, Event: ,Oakland @ Detroit, Favorite: ,Detroit Lions, 50193   size:133.55,Price: ,1.97,Oakland Raiders, 50212   size:331.0,Price: ,1.99,ok
1.121786913, Sport: ,Volleyball, Time: ,Sun Nov 22 17:00:00 CET 2015, Time: ,Sun Nov 22 17:00:00 CET 2015, Event: ,Jastrzebski Wegiel v Lotos Trefl Gdansk, Favorite: ,Lotos Trefl Gdansk, 6008912   size:598.08,Price: ,1.18,Jastrzebski Wegiel, 4263016   size:88.24,Price: ,2.22,ok
