1.121856424, Sport: ,Soccer, Time: ,Mon Nov 23 14:00:00 CET 2015, Time: ,Mon Nov 23 14:00:00 CET 2015, Event: ,Newcastle U21 v West Brom U21, Favorite: ,Newcastle U21, 6630668   size:3.29,Price: ,2.0,West Brom U21, 6601846   size:3.29,Price: ,2.0,The Draw, 58805   size:2.21,Price: ,2.98,x
1.121967728, Sport: ,Tennis, Time: ,Mon Nov 23 19:00:00 CET 2015, Time: ,Mon Nov 23 19:00:00 CET 2015, Event: ,V King v Abanda, Favorite: ,Vania King, 2249846   size:3.6,Price: ,1.39,Francoise Abanda, 6564406   size:46.23,Price: ,3.15,x
1.121856426, Sport: ,Soccer, Time: ,Mon Nov 23 14:00:00 CET 2015, Time: ,Mon Nov 23 14:00:00 CET 2015, Event: ,Nottm Forest U21 v Leeds U21, Favorite: ,Nottm Forest U21, 6815552   size:10.0,Price: ,1.12,Leeds U21, 6867657   size:10.0,Price: ,1.12,The Draw, 58805   size:5.0,Price: ,2.9,ok
1.121816090, Sport: ,Soccer, Time: ,Mon Nov 23 20:30:00 CET 2015, Time: ,Mon Nov 23 20:30:00 CET 2015, Event: ,Le Havre v Brest, Favorite: ,Le Havre, 70446   size:36.76,Price: ,2.36,Brest, 669348   size:2.83,Price: ,3.7,The Draw, 58805   size:2145.09,Price: ,3.1,x
1.121856428, Sport: ,Soccer, Time: ,Mon Nov 23 14:30:00 CET 2015, Time: ,Mon Nov 23 14:30:00 CET 2015, Event: ,Leicester U21 v Reading U21, Favorite: ,Reading U21, 6586874   size:2.92,Price: ,1.71,Leicester U21, 6843888   size:2.07,Price: ,2.42,The Draw, 58805   size:6.87,Price: ,2.98,x
1.121967602, Sport: ,Tennis, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,Sadikovic v R Peterson, Favorite: ,Rebecca Peterson, 7430598   size:46.31,Price: ,1.55,Amra Sadikovic, 4183959   size:2.55,Price: ,2.52,x
1.121958211, Sport: ,Soccer, Time: ,Mon Nov 23 18:00:00 CET 2015, Time: ,Mon Nov 23 18:00:00 CET 2015, Event: ,San Gwann FC v Rabat Ajax FC, Favorite: ,Rabat Ajax FC, 6618704   size:2.55,Price: ,1.84,San Gwann FC, 10445440   size:2.55,Price: ,3.25,The Draw, 58805   size:2.58,Price: ,3.7,ok
1.121819111, Sport: ,Soccer, Time: ,Mon Nov 23 18:30:00 CET 2015, Time: ,Mon Nov 23 18:30:00 CET 2015, Event: ,SBV Excelsior (Res) v NEC Nijmegen (Res), Favorite: ,SBV Excelsior (Res), 10138930   size:2.55,Price: ,1.17,NEC Nijmegen (Res), 10138915   size:5.48,Price: ,5.7,The Draw, 58805   size:2.04,Price: ,4.6,ok
1.121872356, Sport: ,Ice Hockey, Time: ,Mon Nov 23 14:00:00 CET 2015, Time: ,Mon Nov 23 14:00:00 CET 2015, Event: ,Sibir v Avangard, Favorite: ,Sibir, 2285014   size:60.0,Price: ,2.38,Avangard, 2558172   size:58.99,Price: ,2.68,Tie, 60104   size:54.0,Price: ,4.0,x
1.121856422, Sport: ,Soccer, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,West Ham U21 v Derby U21, Favorite: ,West Ham U21, 6586873   size:10.0,Price: ,1.12,Derby U21, 6692744   size:10.0,Price: ,1.12,The Draw, 58805   size:11.47,Price: ,2.88,ok
1.121855213, Sport: ,Soccer, Time: ,Mon Nov 23 21:00:00 CET 2015, Time: ,Mon Nov 23 21:00:00 CET 2015, Event: ,Univ de Concepcion v Union La Calera, Favorite: ,Univ de Concepcion, 5129867   size:307.63,Price: ,1.67,Union La Calera, 5271439   size:39.24,Price: ,5.4,The Draw, 58805   size:161.02,Price: ,4.1,x
