1.121968738, Sport: ,Soccer, Time: ,Tue Nov 24 02:00:00 CET 2015, Time: ,Tue Nov 24 02:00:00 CET 2015, Event: ,Barnechea v Coquimbo Unido, Favorite: ,Barnechea, 8692144   size:3.15,Price: ,1.79,Coquimbo Unido, 5800422   size:2.13,Price: ,3.65,The Draw, 58805   size:2.17,Price: ,3.6,x
1.121967602, Sport: ,Tennis, Time: ,Mon Nov 23 19:56:00 CET 2015, Time: ,Mon Nov 23 19:56:00 CET 2015, Event: ,Sadikovic v R Peterson, Favorite: ,Rebecca Peterson, 7430598   size:268.05,Price: ,1.43,Amra Sadikovic, 4183959   size:60.42,Price: ,3.2,x
1.121967646, Sport: ,Tennis, Time: ,Mon Nov 23 23:00:00 CET 2015, Time: ,Mon Nov 23 23:00:00 CET 2015, Event: ,Gibbs v Kudryavtseva, Favorite: ,Nicole Gibbs, 4946628   size:133.76,Price: ,1.33,Alla Kudryavtseva, 2263696   size:50.49,Price: ,3.7,ok
1.121936987, Sport: ,Basketball, Time: ,Mon Nov 23 21:00:00 CET 2015, Time: ,Mon Nov 23 21:00:00 CET 2015, Event: ,KK Sutjeska v Crvena Zvezda, Favorite: ,Crvena Zvezda, 1275898   size:145.77,Price: ,1.18,KK Sutjeska, 9029075   size:69.86,Price: ,6.4,ok
1.121952230, Sport: ,Tennis, Time: ,Tue Nov 24 08:00:00 CET 2015, Time: ,Tue Nov 24 08:00:00 CET 2015, Event: ,Soeda v Uchiyama, Favorite: ,Go Soeda, 2249835   size:3.24,Price: ,1.28,Yasutaka Uchiyama, 5858048   size:2.64,Price: ,3.75,ok
1.121861455, Sport: ,Basketball, Time: ,Tue Nov 24 01:00:00 CET 2015, Time: ,Tue Nov 24 01:00:00 CET 2015, Event: ,Eastern Michigan @ Michigan State, Favorite: ,Michigan State, 29834   size:2.85,Price: ,1.03,Eastern Michigan, 719004   size:6.49,Price: ,8.2,ok
1.121817937, Sport: ,Soccer, Time: ,Mon Nov 23 19:30:00 CET 2015, Time: ,Mon Nov 23 19:30:00 CET 2015, Event: ,Pandurii v Petrolul Ploiesti, Favorite: ,Pandurii, 1556995   size:2.85,Price: ,1.39,Petrolul Ploiesti, 3417863   size:29.73,Price: ,12.5,The Draw, 58805   size:2.85,Price: ,4.8,ok
1.121951381, Sport: ,Basketball, Time: ,Tue Nov 24 01:05:00 CET 2015, Time: ,Tue Nov 24 01:05:00 CET 2015, Event: ,Sacramento @ Charlotte, Favorite: ,Charlotte, 13110   size:9.43,Price: ,1.59,Sacramento, 13127   size:10.78,Price: ,2.6,ok
1.121957441, Sport: ,Soccer, Time: ,Mon Nov 23 20:45:00 CET 2015, Time: ,Mon Nov 23 20:45:00 CET 2015, Event: ,Barkingside FC v Thurrock, Favorite: ,Thurrock, 597560   size:5.49,Price: ,1.2,Barkingside FC, 8205298   size:3.77,Price: ,5.0,The Draw, 58805   size:2.13,Price: ,3.1,ok
1.121861492, Sport: ,Basketball, Time: ,Tue Nov 24 05:00:00 CET 2015, Time: ,Tue Nov 24 02:59:00 CET 2015, Event: ,Sam Houston State @ California, Favorite: ,California, 352410   size:2.85,Price: ,1.03,Sam Houston State, 739716   size:22.05,Price: ,2.94,ok
1.121928318, Sport: ,Ice Hockey, Time: ,Tue Nov 24 01:05:00 CET 2015, Time: ,Tue Nov 24 01:05:00 CET 2015, Event: ,Edmonton @ Washington, Favorite: ,Washington, 2109756   size:97.7,Price: ,1.84,Edmonton, 2109967   size:106.19,Price: ,3.95,Tie, 60104   size:267.55,Price: ,4.4,ok
1.121952234, Sport: ,Tennis, Time: ,Tue Nov 24 03:30:00 CET 2015, Time: ,Tue Nov 24 03:30:00 CET 2015, Event: ,R Ghedin v Ti Chen, Favorite: ,Ti Chen, 2559490   size:7.26,Price: ,1.42,Riccardo Ghedin, 3506053   size:6.43,Price: ,3.0,ok
1.121951421, Sport: ,Basketball, Time: ,Tue Nov 24 02:05:00 CET 2015, Time: ,Tue Nov 24 02:05:00 CET 2015, Event: ,Philadelphia @ Minnesota, Favorite: ,Minnesota, 13118   size:20.84,Price: ,1.3,Philadelphia, 13103   size:7.22,Price: ,4.1,ok
1.121951465, Sport: ,Basketball, Time: ,Tue Nov 24 01:00:00 CET 2015, Time: ,Tue Nov 24 01:00:00 CET 2015, Event: ,Weber Bahia Estudiantes v Obras, Favorite: ,Weber Bahia Estudiantes, 6719105   size:2.87,Price: ,1.74,Obras, 6269780   size:2.55,Price: ,2.18,x
1.121953006, Sport: ,Tennis, Time: ,Mon Nov 23 20:06:00 CET 2015, Time: ,Mon Nov 23 20:06:00 CET 2015, Event: ,Du Brown v Gerasimov, Favorite: ,Dustin Brown, 4486603   size:34.3,Price: ,1.65,Egor Gerasimov, 7797772   size:158.52,Price: ,2.18,x
1.121952038, Sport: ,Basketball, Time: ,Mon Nov 23 20:35:00 CET 2015, Time: ,Mon Nov 23 20:35:00 CET 2015, Event: ,Kutno v Energa Czarni Slupsk, Favorite: ,Kutno, 8832805   size:5.76,Price: ,1.55,Energa Czarni Slupsk, 2125689   size:100.53,Price: ,2.68,x
1.121951466, Sport: ,Basketball, Time: ,Tue Nov 24 01:30:00 CET 2015, Time: ,Tue Nov 24 01:30:00 CET 2015, Event: ,San Martin v Atenas, Favorite: ,San Martin, 8861781   size:6.13,Price: ,1.12,Atenas, 6719082   size:12.59,Price: ,4.7,ok
1.121951467, Sport: ,Basketball, Time: ,Tue Nov 24 02:00:00 CET 2015, Time: ,Tue Nov 24 02:00:00 CET 2015, Event: ,Olimpico v Libertad, Favorite: ,Olimpico, 6719115   size:2.59,Price: ,1.54,Libertad, 6719116   size:15.0,Price: ,2.66,ok
1.121856422, Sport: ,Soccer, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,West Ham U21 v Derby U21, Favorite: ,Derby U21, 6692744   size:2.55,Price: ,1.99,West Ham U21, 6586873   size:7.1,Price: ,2.54,The Draw, 58805   size:3.12,Price: ,4.8,x
1.121818463, Sport: ,Soccer, Time: ,Mon Nov 23 20:00:00 CET 2015, Time: ,Mon Nov 23 20:00:00 CET 2015, Event: ,Spal v Pisa, Favorite: ,Spal, 3307906   size:11.08,Price: ,2.3,Pisa, 501200   size:9.89,Price: ,3.45,The Draw, 58805   size:4.28,Price: ,3.2,x
1.121855213, Sport: ,Soccer, Time: ,Mon Nov 23 21:00:00 CET 2015, Time: ,Mon Nov 23 21:00:00 CET 2015, Event: ,Univ de Concepcion v Union La Calera, Favorite: ,Univ de Concepcion, 5129867   size:44.78,Price: ,1.63,Union La Calera, 5271439   size:20.95,Price: ,5.8,The Draw, 58805   size:84.87,Price: ,4.4,x
1.121937642, Sport: ,Basketball, Time: ,Mon Nov 23 20:30:00 CET 2015, Time: ,Mon Nov 23 20:30:00 CET 2015, Event: ,Cholet v Gravelines, Favorite: ,Gravelines, 1293964   size:210.3,Price: ,1.34,Cholet, 678099   size:58.24,Price: ,3.45,ok
1.121861449, Sport: ,Basketball, Time: ,Tue Nov 24 01:00:00 CET 2015, Time: ,Tue Nov 24 01:00:00 CET 2015, Event: ,LSU v Marquette, Favorite: ,LSU, 352409   size:2.55,Price: ,1.37,Marquette, 292295   size:150.91,Price: ,3.5,x
1.121960643, Sport: ,Tennis, Time: ,Tue Nov 24 05:15:00 CET 2015, Time: ,Tue Nov 24 05:15:00 CET 2015, Event: ,B Mitchell v M Reid, Favorite: ,Benjamin Mitchell, 4822932   size:2.55,Price: ,1.31,Matt Reid, 4423896   size:2.55,Price: ,3.75,ok
1.121967799, Sport: ,Tennis, Time: ,Mon Nov 23 19:09:00 CET 2015, Time: ,Mon Nov 23 19:09:00 CET 2015, Event: ,Kinard v Fichman, Favorite: ,Sharon Fichman, 3218660   size:121.54,Price: ,1.65,Tori Kinard, 6564416   size:57.07,Price: ,2.46,ok
