1.121960850, Sport: ,Tennis, Time: ,Tue Nov 24 15:00:00 CET 2015, Time: ,Tue Nov 24 15:00:00 CET 2015, Event: ,Mektic/Pavic v Crepaldi/Volante, Favorite: ,Mektic/Pavic, 7024649   size:9.49,Price: ,1.04,Crepaldi/Volante, 10553274   size:24.52,Price: ,1.65,ok
1.121872153, Sport: ,Ice Hockey, Time: ,Tue Nov 24 19:00:00 CET 2015, Time: ,Tue Nov 24 19:00:00 CET 2015, Event: ,Timra v Mora, Favorite: ,Timra, 237393   size:2.67,Price: ,2.46,Mora, 247115   size:6.1,Price: ,2.82,Tie, 60104   size:55.72,Price: ,3.55,ok
1.121962831, Sport: ,Basketball, Time: ,Tue Nov 24 17:30:00 CET 2015, Time: ,Tue Nov 24 17:30:00 CET 2015, Event: ,Salon Vilpas v BC Nokia, Favorite: ,Salon Vilpas, 7749341   size:2.55,Price: ,1.56,BC Nokia, 10291895   size:18.73,Price: ,2.5,ok
1.121960856, Sport: ,Tennis, Time: ,Tue Nov 24 16:45:00 CET 2015, Time: ,Tue Nov 24 16:45:00 CET 2015, Event: ,Petrovic/Vucic v Ball/Brown, Favorite: ,Petrovic/Vucic, 10553264   size:9.49,Price: ,1.04,Ball/Brown, 10409550   size:9.49,Price: ,1.04,x
1.121952230, Sport: ,Tennis, Time: ,Tue Nov 24 09:15:00 CET 2015, Time: ,Tue Nov 24 09:15:00 CET 2015, Event: ,Soeda v Uchiyama, Favorite: ,Go Soeda, 2249835   size:17.26,Price: ,1.29,Yasutaka Uchiyama, 5858048   size:131.41,Price: ,4.4,ok
1.121865974, Sport: ,Soccer, Time: ,Tue Nov 24 13:00:00 CET 2015, Time: ,Tue Nov 24 13:00:00 CET 2015, Event: ,Maccabi Tel Aviv U19 v Chelsea U19, Favorite: ,Chelsea U19, 2502337   size:5.72,Price: ,1.37,Maccabi Tel Aviv U19, 6706700   size:2.84,Price: ,8.0,The Draw, 58805   size:5.32,Price: ,5.9,ok
1.121866029, Sport: ,Soccer, Time: ,Tue Nov 24 14:00:00 CET 2015, Time: ,Tue Nov 24 14:00:00 CET 2015, Event: ,Porto U19 v Dinamo Kiev U19, Favorite: ,Porto U19, 2502334   size:4.23,Price: ,1.72,Dinamo Kiev U19, 10262035   size:7.04,Price: ,3.95,The Draw, 58805   size:2.55,Price: ,3.95,x
1.121657380, Sport: ,Soccer, Time: ,Tue Nov 24 20:45:00 CET 2015, Time: ,Tue Nov 24 20:45:00 CET 2015, Event: ,Porto v Dynamo Kiev, Favorite: ,Porto, 48785   size:1881.99,Price: ,1.84,Dynamo Kiev, 238549   size:413.15,Price: ,5.2,The Draw, 58805   size:973.91,Price: ,3.65,x
1.121868810, Sport: ,Ice Hockey, Time: ,Tue Nov 24 19:00:00 CET 2015, Time: ,Tue Nov 24 19:00:00 CET 2015, Event: ,Herlev v Sonderjyske, Favorite: ,Herlev, 227439   size:3.75,Price: ,1.1,SonderjyskE, 2719119   size:3.75,Price: ,1.1,Tie, 60104   size:6.1,Price: ,1.12,x
1.121870138, Sport: ,Ice Hockey, Time: ,Tue Nov 24 18:00:00 CET 2015, Time: ,Tue Nov 24 18:00:00 CET 2015, Event: ,Pardubice v Litvinov, Favorite: ,Litvinov, 563270   size:3.75,Price: ,1.1,Pardubice, 563269   size:2.32,Price: ,1.86,Tie, 60104   size:122.99,Price: ,4.2,x
1.121968570, Sport: ,Soccer, Time: ,Tue Nov 24 19:00:00 CET 2015, Time: ,Tue Nov 24 19:00:00 CET 2015, Event: ,Hamilton U20 v Hearts U20, Favorite: ,Hamilton U20, 6645665   size:10.0,Price: ,1.12,Hearts U20, 8981683   size:10.0,Price: ,1.12,The Draw, 58805   size:10.93,Price: ,2.88,ok
1.121868813, Sport: ,Ice Hockey, Time: ,Tue Nov 24 19:00:00 CET 2015, Time: ,Tue Nov 24 19:00:00 CET 2015, Event: ,Gentofte v Frederikshavn, Favorite: ,Frederikshavn, 70626   size:3.89,Price: ,1.69,Gentofte, 8834861   size:6.1,Price: ,3.75,Tie, 60104   size:124.28,Price: ,5.0,ok
1.121866142, Sport: ,Soccer, Time: ,Tue Nov 24 18:00:00 CET 2015, Time: ,Tue Nov 24 18:00:00 CET 2015, Event: ,Red Bull Salzburg U19 v Besiktas U19, Favorite: ,Red Bull Salzburg U19, 10317820   size:3.93,Price: ,1.67,Besiktas U19, 9481003   size:4.26,Price: ,4.0,ok
1.121920553, Sport: ,Volleyball, Time: ,Tue Nov 24 11:00:00 CET 2015, Time: ,Tue Nov 24 11:00:00 CET 2015, Event: ,Seoul Woori Card Hansae v KB Star Insurance, Favorite: ,KB Star Insurance, 10411665   size:4.5,Price: ,1.46,Seoul Woori Card Hansae, 10391680   size:4.94,Price: ,2.74,x
