1.122003050, Sport: ,Soccer, Time: ,Fri Nov 27 14:00:00 CET 2015, Time: ,Fri Nov 27 14:00:00 CET 2015, Event: ,Al Kharitiyath v Al Gharafa, Favorite: ,Al Gharafa, 2909657   size:2.55,Price: ,2.16,Al Kharitiyath, 6658915   size:2.55,Price: ,3.1,The Draw, 58805   size:3.86,Price: ,3.65,x
1.121888931, Sport: ,Soccer, Time: ,Fri Nov 27 20:00:00 CET 2015, Time: ,Fri Nov 27 20:00:00 CET 2015, Event: ,VVV v MVV Maastricht, Favorite: ,VVV, 503419   size:26.84,Price: ,1.74,MVV Maastricht, 8704630   size:244.58,Price: ,4.9,The Draw, 58805   size:303.54,Price: ,4.1,ok
1.121887044, Sport: ,Soccer, Time: ,Fri Nov 27 20:00:00 CET 2015, Time: ,Fri Nov 27 20:00:00 CET 2015, Event: ,Emmen v Jong Ajax, Favorite: ,Emmen, 419126   size:307.13,Price: ,1.48,Jong Ajax, 4184832   size:56.84,Price: ,7.2,The Draw, 58805   size:456.01,Price: ,4.8,ok
1.122005914, Sport: ,Tennis, Time: ,Fri Nov 27 19:00:00 CET 2015, Time: ,Fri Nov 27 19:00:00 CET 2015, Event: ,Gibbs v Maria, Favorite: ,Nicole Gibbs, 4946628   size:8.53,Price: ,1.76,Tatjana Maria, 7299657   size:7.23,Price: ,2.3,ok
1.121976203, Sport: ,Ice Hockey, Time: ,Fri Nov 27 17:30:00 CET 2015, Time: ,Fri Nov 27 17:30:00 CET 2015, Event: ,RoKi v Jukurit, Favorite: ,Jukurit, 272756   size:27.86,Price: ,1.56,Roki, 4196540   size:20.1,Price: ,4.8,Tie, 60104   size:16.16,Price: ,5.4,ok
1.121889225, Sport: ,Soccer, Time: ,Fri Nov 27 19:00:00 CET 2015, Time: ,Fri Nov 27 19:00:00 CET 2015, Event: ,Elversberg v Eintracht Trier, Favorite: ,Elversberg, 500893   size:13.97,Price: ,2.14,Eintracht Trier, 3235010   size:28.65,Price: ,3.5,The Draw, 58805   size:2.55,Price: ,3.75,x
1.122003735, Sport: ,Soccer, Time: ,Fri Nov 27 11:00:00 CET 2015, Time: ,Fri Nov 27 11:00:00 CET 2015, Event: ,FK Bakili Baku v FK Mil-Mughan, Favorite: ,FK Bakili Baku, 7748022   size:50.0,Price: ,1.2,FK Mil-Mughan, 9025747   size:50.0,Price: ,1.2,The Draw, 58805   size:5.2,Price: ,3.2,x
1.121976204, Sport: ,Ice Hockey, Time: ,Fri Nov 27 17:30:00 CET 2015, Time: ,Fri Nov 27 17:30:00 CET 2015, Event: ,KeuPa v Hokki, Favorite: ,Hokki, 275251   size:76.48,Price: ,1.93,KeuPa, 7138769   size:13.38,Price: ,3.25,Tie, 60104   size:23.65,Price: ,4.2,x
1.122004824, Sport: ,Soccer, Time: ,Fri Nov 27 12:00:00 CET 2015, Time: ,Fri Nov 27 12:00:00 CET 2015, Event: ,South Korea U19 v Singapore U21, Favorite: ,South Korea U19, 6834947   size:9.42,Price: ,1.04,Singapore U21, 7788533   size:6.12,Price: ,1.11,The Draw, 58805   size:5.2,Price: ,3.3,ok
1.121990061, Sport: ,Ice Hockey, Time: ,Fri Nov 27 17:00:00 CET 2015, Time: ,Fri Nov 27 17:00:00 CET 2015, Event: ,Neftekhimik v Metallurg Mg, Favorite: ,Metallurg Mg, 3343614   size:5.26,Price: ,2.24,Neftekhimik, 1365122   size:5.0,Price: ,3.15,Tie, 60104   size:25.7,Price: ,4.0,x
1.121887164, Sport: ,Soccer, Time: ,Fri Nov 27 18:00:00 CET 2015, Time: ,Fri Nov 27 18:00:00 CET 2015, Event: ,Viborg v AGF, Favorite: ,Viborg, 10780   size:24.75,Price: ,2.42,AGF, 28214   size:183.82,Price: ,3.2,The Draw, 58805   size:114.3,Price: ,3.45,ok
1.121969349, Sport: ,Basketball, Time: ,Fri Nov 27 19:00:00 CET 2015, Time: ,Fri Nov 27 19:00:00 CET 2015, Event: ,Arkansas State @ Baylor, Favorite: ,Baylor, 705559   size:2.84,Price: ,1.03,Arkansas State, 715478   size:6.12,Price: ,1.14,ok
1.121988784, Sport: ,Darts, Time: ,Fri Nov 27 21:00:00 CET 2015, Time: ,Fri Nov 27 21:00:00 CET 2015, Event: ,Adrian Lewis v John Henderson, Favorite: ,Adrian Lewis, 2271003   size:307.32,Price: ,1.24,John Henderson, 4396169   size:7.73,Price: ,4.2,ok
1.122002761, Sport: ,Soccer, Time: ,Fri Nov 27 16:30:00 CET 2015, Time: ,Fri Nov 27 16:30:00 CET 2015, Event: ,Al Fujairah (UAE) v Dibba Al Fujairah, Favorite: ,Al Fujairah (UAE), 8855413   size:2.55,Price: ,1.9,Dibba Al Fujairah, 6685874   size:2.55,Price: ,3.45,The Draw, 58805   size:15.26,Price: ,3.4,x
1.121886070, Sport: ,Soccer, Time: ,Fri Nov 27 20:00:00 CET 2015, Time: ,Fri Nov 27 20:00:00 CET 2015, Event: ,Achilles 29 v Volendam, Favorite: ,Volendam, 419133   size:416.13,Price: ,1.86,Achilles 29, 4189472   size:12.09,Price: ,4.3,The Draw, 58805   size:98.71,Price: ,4.0,x
1.121989996, Sport: ,Ice Hockey, Time: ,Fri Nov 27 15:00:00 CET 2015, Time: ,Fri Nov 27 15:00:00 CET 2015, Event: ,Traktor v Vityaz, Favorite: ,Traktor, 2595834   size:21.53,Price: ,2.18,Vityaz, 2551763   size:5.32,Price: ,3.05,Tie, 60104   size:67.92,Price: ,4.0,ok
1.122004268, Sport: ,Soccer, Time: ,Fri Nov 27 11:00:00 CET 2015, Time: ,Fri Nov 27 11:00:00 CET 2015, Event: ,Olympique de Medea U21 v AC Paradou U21, Favorite: ,AC Paradou U21, 10201404   size:72.59,Price: ,1.3,Olympique de Medea U21, 9274396   size:7.25,Price: ,4.0,The Draw, 58805   size:5.2,Price: ,3.55,x
1.121988665, Sport: ,Darts, Time: ,Fri Nov 27 16:30:00 CET 2015, Time: ,Fri Nov 27 16:30:00 CET 2015, Event: ,Brendan Dolan v Simon Whitlock, Favorite: ,Simon Whitlock, 2658195   size:5.0,Price: ,1.81,Brendan Dolan, 2441773   size:5.07,Price: ,2.02,ok
1.121989768, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:00:00 CET 2015, Time: ,Fri Nov 27 19:00:00 CET 2015, Event: ,Farjestad v HV71, Favorite: ,Farjestad, 237392   size:105.99,Price: ,1.89,HV71, 1357305   size:64.1,Price: ,3.5,Tie, 60104   size:92.11,Price: ,4.4,x
1.122003160, Sport: ,Soccer, Time: ,Fri Nov 27 13:30:00 CET 2015, Time: ,Fri Nov 27 13:30:00 CET 2015, Event: ,Al Yarmouk Amman v Al Jalil, Favorite: ,Al Yarmouk Amman, 5650238   size:91.64,Price: ,1.11,Al Jalil, 5650175   size:91.64,Price: ,1.11,The Draw, 58805   size:14.22,Price: ,3.1,ok
1.121888707, Sport: ,Soccer, Time: ,Fri Nov 27 18:00:00 CET 2015, Time: ,Fri Nov 27 18:00:00 CET 2015, Event: ,Podbrezova v Dunajska Streda, Favorite: ,Dunajska Streda, 3176495   size:2.55,Price: ,2.68,Podbrezova, 8672708   size:5.68,Price: ,2.78,The Draw, 58805   size:2.76,Price: ,3.45,x
1.122004010, Sport: ,Soccer, Time: ,Fri Nov 27 20:30:00 CET 2015, Time: ,Fri Nov 27 20:30:00 CET 2015, Event: ,Lincoln Red Imps v FC Britannia XI, Favorite: ,Lincoln Red Imps, 8649329   size:7.54,Price: ,1.05,FC Britannia XI, 8925453   size:10.75,Price: ,16.5,The Draw, 58805   size:21.54,Price: ,8.2,ok
1.121885437, Sport: ,Soccer, Time: ,Fri Nov 27 20:00:00 CET 2015, Time: ,Fri Nov 27 20:00:00 CET 2015, Event: ,Clermont v Valenciennes, Favorite: ,Clermont, 309686   size:7.91,Price: ,1.97,Valenciennes, 669343   size:84.61,Price: ,4.7,The Draw, 58805   size:269.57,Price: ,3.4,ok
1.121886525, Sport: ,Soccer, Time: ,Fri Nov 27 18:30:00 CET 2015, Time: ,Fri Nov 27 18:30:00 CET 2015, Event: ,Austria Klagenfurt v FC Liefering, Favorite: ,FC Liefering, 7321769   size:3.68,Price: ,1.93,Austria Klagenfurt, 4902204   size:114.46,Price: ,3.9,The Draw, 58805   size:96.28,Price: ,4.0,x
1.121999434, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:45:00 CET 2015, Time: ,Fri Nov 27 19:45:00 CET 2015, Event: ,Bern v SCL Tigers, Favorite: ,Bern, 243256   size:6.12,Price: ,1.52,SCL Tigers, 243257   size:94.94,Price: ,4.8,Tie, 60104   size:94.94,Price: ,4.8,x
1.121889115, Sport: ,Soccer, Time: ,Fri Nov 27 20:00:00 CET 2015, Time: ,Fri Nov 27 20:00:00 CET 2015, Event: ,Chile U20 (W) v Paraguay U20 (W), Favorite: ,Paraguay U20 (W), 6138347   size:6.12,Price: ,1.57,Chile U20 (W), 10539473   size:42.42,Price: ,4.0,The Draw, 58805   size:48.08,Price: ,3.5,x
1.121999438, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:45:00 CET 2015, Time: ,Fri Nov 27 19:45:00 CET 2015, Event: ,Lugano v Zug, Favorite: ,Lugano, 243259   size:19.48,Price: ,2.24,Zug, 257975   size:187.31,Price: ,2.58,Tie, 60104   size:119.58,Price: ,4.0,x
1.121999439, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:45:00 CET 2015, Time: ,Fri Nov 27 19:45:00 CET 2015, Event: ,ZSC Lions v Lausanne HC, Favorite: ,ZSC Lions, 243260   size:28.08,Price: ,1.55,Lausanne HC, 7555451   size:19.24,Price: ,4.9,Tie, 60104   size:17.48,Price: ,5.3,ok
1.121989762, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:00:00 CET 2015, Time: ,Fri Nov 27 19:00:00 CET 2015, Event: ,Brynas v Skelleftea, Favorite: ,Skelleftea, 247106   size:102.0,Price: ,2.36,Brynas, 60812   size:6.12,Price: ,2.62,Tie, 60104   size:101.0,Price: ,4.4,ok
1.121988797, Sport: ,Darts, Time: ,Fri Nov 27 21:30:00 CET 2015, Time: ,Fri Nov 27 21:30:00 CET 2015, Event: ,Robert Thornton v Jamie Lewis, Favorite: ,Robert Thornton, 2658190   size:23.76,Price: ,1.39,Jamie Lewis, 6432513   size:142.29,Price: ,3.0,x
1.121986377, Sport: ,Tennis, Time: ,Fri Nov 27 21:45:00 CET 2015, Time: ,Fri Nov 27 21:45:00 CET 2015, Event: ,Albot v Clezar, Favorite: ,Guilherme Clezar, 5304142   size:3.08,Price: ,1.62,Radu Albot, 6603898   size:2.19,Price: ,2.28,ok
1.121985732, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:15:00 CET 2015, Time: ,Fri Nov 27 19:15:00 CET 2015, Event: ,Dornbirn v SAPA Fehervar AV19, Favorite: ,Dornbirn, 6602890   size:3.79,Price: ,1.74,SAPA Fehervar AV19, 4182888   size:13.0,Price: ,3.85,Tie, 60104   size:116.3,Price: ,4.1,ok
1.121960999, Sport: ,Rugby Union, Time: ,Fri Nov 27 20:45:00 CET 2015, Time: ,Fri Nov 27 20:45:00 CET 2015, Event: ,Northampton v Gloucester, Favorite: ,Northampton, 50103   size:55.0,Price: ,1.24,Gloucester, 168   size:2.77,Price: ,5.3,Draw, 246289   size:3.98,Price: ,28.0,ok
1.121985737, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:15:00 CET 2015, Time: ,Fri Nov 27 19:15:00 CET 2015, Event: ,Innsbruck v Liwest Linz, Favorite: ,Liwest Linz, 1266781   size:2.58,Price: ,1.94,Innsbruck, 563236   size:6.56,Price: ,3.15,Tie, 60104   size:120.95,Price: ,4.1,ok
1.121886610, Sport: ,Soccer, Time: ,Fri Nov 27 21:00:00 CET 2015, Time: ,Fri Nov 27 21:00:00 CET 2015, Event: ,Salernitana v Pro Vercelli, Favorite: ,Salernitana, 60303   size:9.94,Price: ,2.12,Pro Vercelli, 5369664   size:34.65,Price: ,4.4,The Draw, 58805   size:184.66,Price: ,3.2,x
1.121888232, Sport: ,Soccer, Time: ,Fri Nov 27 20:30:00 CET 2015, Time: ,Fri Nov 27 20:30:00 CET 2015, Event: ,Lierse v Excelsior Virton, Favorite: ,Lierse, 65800   size:12.09,Price: ,1.96,Excelsior Virton, 505672   size:83.54,Price: ,4.1,The Draw, 58805   size:24.09,Price: ,3.65,x
1.121886297, Sport: ,Soccer, Time: ,Fri Nov 27 20:00:00 CET 2015, Time: ,Fri Nov 27 20:00:00 CET 2015, Event: ,Paris FC v Dijon, Favorite: ,Dijon, 305995   size:188.56,Price: ,2.08,Paris FC, 5168454   size:68.04,Price: ,4.5,The Draw, 58805   size:26.36,Price: ,3.25,ok
1.121888473, Sport: ,Soccer, Time: ,Fri Nov 27 16:30:00 CET 2015, Time: ,Fri Nov 27 16:30:00 CET 2015, Event: ,Pandurii v Concordia Chiajna, Favorite: ,Pandurii, 1556995   size:129.38,Price: ,2.08,Concordia Chiajna, 5367199   size:16.24,Price: ,4.2,The Draw, 58805   size:120.75,Price: ,3.35,ok
1.122005136, Sport: ,Soccer, Time: ,Fri Nov 27 22:00:00 CET 2015, Time: ,Fri Nov 27 22:00:00 CET 2015, Event: ,UD Ibarra v UD Cruz Santa, Favorite: ,UD Ibarra, 8135222   size:3.82,Price: ,1.31,UD Cruz Santa, 10185304   size:23.57,Price: ,8.2,The Draw, 58805   size:39.59,Price: ,5.0,ok
1.122003512, Sport: ,Soccer, Time: ,Fri Nov 27 13:00:00 CET 2015, Time: ,Fri Nov 27 13:00:00 CET 2015, Event: ,CS Uni Craiova II v CS Millenium Giarmata, Favorite: ,CS Uni Craiova II, 10140647   size:9.42,Price: ,1.04,CS Millenium Giarmata, 7174867   size:9.42,Price: ,1.04,The Draw, 58805   size:5.0,Price: ,3.15,ok
1.121885533, Sport: ,Soccer, Time: ,Fri Nov 27 20:00:00 CET 2015, Time: ,Fri Nov 27 20:00:00 CET 2015, Event: ,Evian TG v Laval, Favorite: ,Evian TG, 4864973   size:31.09,Price: ,2.26,Laval, 77585   size:55.06,Price: ,4.1,The Draw, 58805   size:73.66,Price: ,3.1,x
1.121889336, Sport: ,Soccer, Time: ,Fri Nov 27 16:00:00 CET 2015, Time: ,Fri Nov 27 16:00:00 CET 2015, Event: ,ES Setif v RC Arbaa, Favorite: ,ES Setif, 5201569   size:6.49,Price: ,1.43,RC Arbaa, 9233662   size:3.35,Price: ,8.8,The Draw, 58805   size:3.87,Price: ,3.75,ok
1.121977327, Sport: ,Basketball, Time: ,Fri Nov 27 10:00:00 CET 2015, Time: ,Fri Nov 27 10:00:00 CET 2015, Event: ,Powervit Pilipinas Agui v Mono Vampire Basketball, Favorite: ,Powervit Pilipinas Agui, 10463970   size:63.69,Price: ,1.67,Mono Vampire Basketball, 10464262   size:2.62,Price: ,1.91,x
1.122003623, Sport: ,Soccer, Time: ,Fri Nov 27 17:00:00 CET 2015, Time: ,Fri Nov 27 17:00:00 CET 2015, Event: ,FC Lokomotivi Tbilisi v Dinamo Batumi, Favorite: ,FC Lokomotivi Tbilisi, 6845261   size:18.85,Price: ,1.02,Dinamo Batumi, 9686650   size:18.85,Price: ,1.02,The Draw, 58805   size:2.91,Price: ,3.4,x
1.121988690, Sport: ,Hockey, Time: ,Fri Nov 27 14:00:00 CET 2015, Time: ,Fri Nov 27 14:00:00 CET 2015, Event: ,Argentina v India, Favorite: ,Argentina, 261989   size:0.0,Price: ,0.0,India, 206963   size:0.0,Price: ,0.0,Draw, 318509   size:0.0,Price: ,0.0,ok
1.121981822, Sport: ,Ice Hockey, Time: ,Fri Nov 27 19:30:00 CET 2015, Time: ,Fri Nov 27 19:30:00 CET 2015, Event: ,Frederikshavn v Aalborg, Favorite: ,Frederikshavn, 70626   size:142.28,Price: ,1.28,Aalborg, 70634   size:75.2,Price: ,5.8,Tie, 60104   size:5.34,Price: ,5.9,ok
1.121883907, Sport: ,Soccer, Time: ,Fri Nov 27 20:45:00 CET 2015, Time: ,Fri Nov 27 20:45:00 CET 2015, Event: ,Hull v Derby, Favorite: ,Hull, 70385   size:131.74,Price: ,2.38,Derby, 48325   size:413.32,Price: ,3.45,The Draw, 58805   size:5086.85,Price: ,3.35,x
1.122005246, Sport: ,Soccer, Time: ,Fri Nov 27 15:00:00 CET 2015, Time: ,Fri Nov 27 15:00:00 CET 2015, Event: ,USMM Hadjout v USM El Eulma, Favorite: ,USMM Hadjout, 8119372   size:9.42,Price: ,1.04,USM El Eulma, 9221276   size:9.42,Price: ,1.04,The Draw, 58805   size:14.22,Price: ,3.15,x
1.122004399, Sport: ,Soccer, Time: ,Fri Nov 27 11:00:00 CET 2015, Time: ,Fri Nov 27 11:00:00 CET 2015, Event: ,OM Arzew U21 v Amal Bou Saada U21, Favorite: ,Amal Bou Saada U21, 9251297   size:2.34,Price: ,2.14,OM Arzew U21, 10149900   size:14.89,Price: ,2.92,The Draw, 58805   size:12.47,Price: ,3.3,x
1.122004158, Sport: ,Soccer, Time: ,Fri Nov 27 10:00:00 CET 2015, Time: ,Fri Nov 27 10:00:00 CET 2015, Event: ,Nam Dinh FC II v Cong Anh Nhan Dan II, Favorite: ,Cong Anh Nhan Dan II, 8967073   size:2.55,Price: ,1.52,Nam Dinh FC II, 10550482   size:3.68,Price: ,4.3,The Draw, 58805   size:6.96,Price: ,3.9,ok
1.121988697, Sport: ,Hockey, Time: ,Fri Nov 27 16:00:00 CET 2015, Time: ,Fri Nov 27 16:00:00 CET 2015, Event: ,Germany v Netherlands, Favorite: ,Germany, 206943   size:0.0,Price: ,0.0,Netherlands, 261994   size:0.0,Price: ,0.0,Draw, 318509   size:0.0,Price: ,0.0,x
1.121885629, Sport: ,Soccer, Time: ,Fri Nov 27 18:30:00 CET 2015, Time: ,Fri Nov 27 18:30:00 CET 2015, Event: ,FC Heidenheim v Freiburg, Favorite: ,Freiburg, 44520   size:151.0,Price: ,2.32,FC Heidenheim, 3237590   size:118.24,Price: ,3.4,The Draw, 58805   size:275.01,Price: ,3.45,ok
1.121962632, Sport: ,Rugby Union, Time: ,Fri Nov 27 20:35:00 CET 2015, Time: ,Fri Nov 27 20:35:00 CET 2015, Event: ,Edinburgh v Dragons, Favorite: ,Edinburgh, 8873   size:2.94,Price: ,1.3,Dragons, 789918   size:2.8,Price: ,4.1,Draw, 246289   size:3.55,Price: ,29.0,ok
1.121886837, Sport: ,Soccer, Time: ,Fri Nov 27 18:00:00 CET 2015, Time: ,Fri Nov 27 18:00:00 CET 2015, Event: ,Dukla Prague v Teplice, Favorite: ,Dukla Prague, 4142634   size:14.22,Price: ,2.0,Teplice, 174264   size:91.54,Price: ,4.1,The Draw, 58805   size:290.39,Price: ,3.6,ok
1.121962635, Sport: ,Rugby Union, Time: ,Fri Nov 27 20:35:00 CET 2015, Time: ,Fri Nov 27 20:35:00 CET 2015, Event: ,Glasgow v Treviso, Favorite: ,Glasgow, 50108   size:2089.05,Price: ,1.08,Treviso, 52263   size:2.84,Price: ,10.0,Draw, 246289   size:2.76,Price: ,80.0,ok
1.121988629, Sport: ,Darts, Time: ,Fri Nov 27 15:30:00 CET 2015, Time: ,Fri Nov 27 15:30:00 CET 2015, Event: ,Benito van de Pas v Stephen Bunting, Favorite: ,Stephen Bunting, 3538481   size:117.92,Price: ,1.63,Benito van de Pas, 6062761   size:3.98,Price: ,2.34,x
