1.121986127, Sport: ,Basketball, Time: ,Sat Nov 28 01:35:00 CET 2015, Time: ,Sat Nov 28 01:35:00 CET 2015, Event: ,Washington @ Boston, Favorite: ,Boston, 13108   size:4.17,Price: ,1.2,Washington, 13105   size:9.13,Price: ,2.34,ok
1.121888931, Sport: ,Soccer, Time: ,Fri Nov 27 20:00:00 CET 2015, Time: ,Fri Nov 27 20:00:00 CET 2015, Event: ,VVV v MVV Maastricht, Favorite: ,VVV, 503419   size:26.84,Price: ,1.74,MVV Maastricht, 8704630   size:171.93,Price: ,4.9,The Draw, 58805   size:303.54,Price: ,4.1,ok
1.121976205, Sport: ,Ice Hockey, Time: ,Fri Nov 27 17:30:00 CET 2015, Time: ,Fri Nov 27 17:30:00 CET 2015, Event: ,Leki v Sapko, Favorite: ,Leki, 4196564   size:17.74,Price: ,2.1,Sapko, 4196539   size:38.65,Price: ,2.84,Tie, 60104   size:21.98,Price: ,4.4,x
1.121887044, Sport: ,Soccer, Time: ,Fri Nov 27 20:00:00 CET 2015, Time: ,Fri Nov 27 20:00:00 CET 2015, Event: ,Emmen v Jong Ajax, Favorite: ,Emmen, 419126   size:60.44,Price: ,1.48,Jong Ajax, 4184832   size:56.84,Price: ,7.2,The Draw, 58805   size:381.48,Price: ,4.8,ok
1.121976203, Sport: ,Ice Hockey, Time: ,Fri Nov 27 17:30:00 CET 2015, Time: ,Fri Nov 27 17:30:00 CET 2015, Event: ,RoKi v Jukurit, Favorite: ,Jukurit, 272756   size:27.86,Price: ,1.56,Roki, 4196540   size:20.1,Price: ,4.8,Tie, 60104   size:16.16,Price: ,5.4,ok
1.122003735, Sport: ,Soccer, Time: ,Fri Nov 27 11:00:00 CET 2015, Time: ,Fri Nov 27 11:00:00 CET 2015, Event: ,FK Bakili Baku v FK Mil-Mughan, Favorite: ,FK Bakili Baku, 7748022   size:6.12,Price: ,1.21,FK Mil-Mughan, 9025747   size:6.12,Price: ,1.21,The Draw, 58805   size:5.2,Price: ,3.2,x
1.121976204, Sport: ,Ice Hockey, Time: ,Fri Nov 27 17:30:00 CET 2015, Time: ,Fri Nov 27 17:30:00 CET 2015, Event: ,KeuPa v Hokki, Favorite: ,Hokki, 275251   size:76.48,Price: ,1.93,KeuPa, 7138769   size:13.38,Price: ,3.25,Tie, 60104   size:23.65,Price: ,4.2,x
1.121990061, Sport: ,Ice Hockey, Time: ,Fri Nov 27 17:00:00 CET 2015, Time: ,Fri Nov 27 17:00:00 CET 2015, Event: ,Neftekhimik v Metallurg Mg, Favorite: ,Metallurg Mg, 3343614   size:5.26,Price: ,2.24,Neftekhimik, 1365122   size:5.0,Price: ,3.15,Tie, 60104   size:25.7,Price: ,4.0,x
1.121976207, Sport: ,Ice Hockey, Time: ,Fri Nov 27 17:30:00 CET 2015, Time: ,Fri Nov 27 17:30:00 CET 2015, Event: ,JYP Akatemia v Heinolan Peliitat, Favorite: ,JYP Akatemia, 5847122   size:2.38,Price: ,2.1,Heinolan Peliitat, 6022874   size:8.03,Price: ,2.58,Tie, 60104   size:115.95,Price: ,4.1,x
1.121988784, Sport: ,Darts, Time: ,Fri Nov 27 21:00:00 CET 2015, Time: ,Fri Nov 27 21:00:00 CET 2015, Event: ,Adrian Lewis v John Henderson, Favorite: ,Adrian Lewis, 2271003   size:603.73,Price: ,1.24,John Henderson, 4396169   size:7.73,Price: ,4.2,ok
1.122002761, Sport: ,Soccer, Time: ,Fri Nov 27 16:30:00 CET 2015, Time: ,Fri Nov 27 16:30:00 CET 2015, Event: ,Al Fujairah (UAE) v Dibba Al Fujairah, Favorite: ,Al Fujairah (UAE), 8855413   size:2.55,Price: ,1.9,Dibba Al Fujairah, 6685874   size:2.55,Price: ,3.45,The Draw, 58805   size:15.26,Price: ,3.4,x
1.122004268, Sport: ,Soccer, Time: ,Fri Nov 27 11:00:00 CET 2015, Time: ,Fri Nov 27 11:00:00 CET 2015, Event: ,Olympique de Medea U21 v AC Paradou U21, Favorite: ,AC Paradou U21, 10201404   size:72.59,Price: ,1.3,Olympique de Medea U21, 9274396   size:7.25,Price: ,4.0,The Draw, 58805   size:5.2,Price: ,3.55,x
