1.122025481, Sport: ,Basketball, Time: ,Sun Nov 29 06:00:00 CET 2015, Time: ,Sun Nov 29 06:00:00 CET 2015, Event: ,KEB Hanabank v KDB Life Winnus, Favorite: ,KEB Hanabank, 8118828   size:2.83,Price: ,1.03,KDB Life Winnus, 5166575   size:2.83,Price: ,1.03,ok
1.121895908, Sport: ,Soccer, Time: ,Sat Nov 28 15:30:00 CET 2015, Time: ,Sat Nov 28 15:30:00 CET 2015, Event: ,Werder Bremen v Hamburg, Favorite: ,Werder Bremen, 6555433   size:100.63,Price: ,2.36,Hamburg, 204703   size:214.21,Price: ,3.3,The Draw, 58805   size:644.85,Price: ,3.55,x
1.122030554, Sport: ,Soccer, Time: ,Sat Nov 28 13:00:00 CET 2015, Time: ,Sat Nov 28 13:00:00 CET 2015, Event: ,CR Belouizdad U21 v JS Saoura U21, Favorite: ,CR Belouizdad U21, 7899378   size:14.62,Price: ,1.74,JS Saoura U21, 7671273   size:6.35,Price: ,4.0,The Draw, 58805   size:7.71,Price: ,3.3,ok
1.122030397, Sport: ,Soccer, Time: ,Sat Nov 28 23:00:00 CET 2015, Time: ,Sat Nov 28 23:00:00 CET 2015, Event: ,General Diaz v Olimpia, Favorite: ,Olimpia, 328699   size:30.07,Price: ,1.48,General Diaz, 7036999   size:2.0,Price: ,7.2,The Draw, 58805   size:7.55,Price: ,4.5,x
1.121985717, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Grantham Town v Salford City, Favorite: ,Salford City, 4236580   size:8.12,Price: ,1.41,Grantham Town, 6770558   size:3.44,Price: ,5.9,The Draw, 58805   size:3.37,Price: ,4.4,x
1.121985719, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Hyde v Frickley Athletic, Favorite: ,Hyde, 1053216   size:4.1,Price: ,2.34,Frickley Athletic, 7396836   size:2.56,Price: ,2.54,The Draw, 58805   size:3.83,Price: ,3.6,x
1.122017170, Sport: ,Volleyball, Time: ,Sat Nov 28 18:30:00 CET 2015, Time: ,Sat Nov 28 18:30:00 CET 2015, Event: ,Netzhoppers KK-Bestense v CV Mitteldeutschland, Favorite: ,CV Mitteldeutschland, 7832176   size:2.83,Price: ,1.03,Netzhoppers Kk-Bestense, 10565516   size:5.52,Price: ,1.67,x
1.122017171, Sport: ,Volleyball, Time: ,Sat Nov 28 19:30:00 CET 2015, Time: ,Sat Nov 28 19:30:00 CET 2015, Event: ,United Volleys Rhein-Ma v Powervolleys Dueren, Favorite: ,United Volleys Rhein-Ma, 10322047   size:2.55,Price: ,1.31,Powervolleys Dueren, 10410537   size:70.86,Price: ,1.37,ok
1.122030829, Sport: ,Soccer, Time: ,Sat Nov 28 13:00:00 CET 2015, Time: ,Sat Nov 28 13:00:00 CET 2015, Event: ,MC Oran U21 v NA Hussein Dey U21, Favorite: ,NA Hussein Dey U21, 8212965   size:19.83,Price: ,2.0,MC Oran U21, 8316599   size:2.46,Price: ,2.14,The Draw, 58805   size:14.11,Price: ,3.3,x
1.121976209, Sport: ,Ice Hockey, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Hermes v K Vantaa, Favorite: ,Hermes, 272755   size:6.54,Price: ,2.16,K Vantaa, 2597484   size:141.88,Price: ,2.7,Tie, 60104   size:52.99,Price: ,4.1,ok
1.121888131, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Dulwich Hamlet v Margate, Favorite: ,Dulwich Hamlet, 7744599   size:4.15,Price: ,2.1,Margate, 42002   size:2.55,Price: ,2.94,The Draw, 58805   size:2.55,Price: ,3.75,ok
1.121895599, Sport: ,Soccer, Time: ,Sat Nov 28 15:30:00 CET 2015, Time: ,Sat Nov 28 15:30:00 CET 2015, Event: ,Hannover v Ingolstadt, Favorite: ,Hannover, 197307   size:574.49,Price: ,2.82,Ingolstadt, 1229688   size:206.25,Price: ,2.86,The Draw, 58805   size:2509.47,Price: ,3.3,ok
1.121985721, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Ramsbottom Utd v Colwyn Bay, Favorite: ,Ramsbottom Utd, 7885854 ,x
1.121985723, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Rushall Olympic v Halesowen, Favorite: ,Rushall Olympic, 2608907   size:4.07,Price: ,2.08,Halesowen, 981240   size:2.55,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.75,x
1.122017169, Sport: ,Volleyball, Time: ,Sat Nov 28 18:30:00 CET 2015, Time: ,Sat Nov 28 18:30:00 CET 2015, Event: ,Berlin RV v TV Rottenburg, Favorite: ,Berlin RV, 6047186   size:9.61,Price: ,1.01,TV Rottenburg, 4488523   size:2.83,Price: ,1.03,ok
1.122017326, Sport: ,Volleyball, Time: ,Sun Nov 29 06:00:00 CET 2015, Time: ,Sun Nov 29 06:00:00 CET 2015, Event: ,Deajeon Bluefangs v Ansan Rush&cash, Favorite: ,Deajeon Bluefangs, 10389009   size:2.83,Price: ,1.03,Ansan Rush&cash, 10443744   size:2.83,Price: ,1.03,ok
1.121887974, Sport: ,Soccer, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Sutton Coldfield v Stalybridge, Favorite: ,Stalybridge, 597720   size:2.55,Price: ,2.08,Sutton Coldfield, 1034125   size:2.55,Price: ,3.3,The Draw, 58805   size:2.82,Price: ,3.65,x
1.122017328, Sport: ,Volleyball, Time: ,Sun Nov 29 08:00:00 CET 2015, Time: ,Sun Nov 29 08:00:00 CET 2015, Event: ,KGC Pro VC v Korea Expressway, Favorite: ,KGC Pro VC, 10391695   size:291.66,Price: ,1.04,Korea Expressway, 10451170   size:291.66,Price: ,1.04,x
1.121976210, Sport: ,Ice Hockey, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,TuTo v SaPKo, Favorite: ,TuTo, 4196542   size:2.85,Price: ,1.7,Sapko, 4196539   size:131.36,Price: ,3.7,Tie, 60104   size:107.47,Price: ,4.3,x
1.121976211, Sport: ,Ice Hockey, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Hokki v Jukurit, Favorite: ,Hokki, 275251   size:141.88,Price: ,2.36,Jukurit, 272756   size:10.3,Price: ,2.38,Tie, 60104   size:114.41,Price: ,4.1,x
1.121998599, Sport: ,Basketball, Time: ,Sun Nov 29 10:15:00 CET 2015, Time: ,Sun Nov 29 10:15:00 CET 2015, Event: ,Barangay Ginebra v Rain or Shine, Favorite: ,Barangay Ginebra, 7217820   size:2.83,Price: ,1.03,Rain Or Shine, 3880438   size:2.83,Price: ,1.03,x
1.121971724, Sport: ,Soccer, Time: ,Sat Nov 28 18:30:00 CET 2015, Time: ,Sat Nov 28 18:30:00 CET 2015, Event: ,El Entag El Harby v Petrojet, Favorite: ,El Entag El Harby, 5170840   size:5.93,Price: ,2.44,Petrojet, 5168594   size:3.83,Price: ,3.15,The Draw, 58805   size:2.55,Price: ,3.25,x
1.121914508, Sport: ,Handball, Time: ,Sat Nov 28 15:00:00 CET 2015, Time: ,Sat Nov 28 15:00:00 CET 2015, Event: ,Veszprem v Paris Saint German, Favorite: ,Veszprem, 3379949   size:2.83,Price: ,1.03,Paris Saint German, 8835235   size:2.83,Price: ,1.03,Draw, 330157   size:2.83,Price: ,1.03,ok
1.121933329, Sport: ,Cricket, Time: ,Sat Nov 28 13:00:00 CET 2015, Time: ,Sat Nov 28 13:00:00 CET 2015, Event: ,Dolphins v Knights, Favorite: ,Dolphins, 4294273   size:146.76,Price: ,1.74,Knights, 5045297   size:17.69,Price: ,2.3,x
1.121914625, Sport: ,Handball, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Vive Tauron Kielce v Vardar, Favorite: ,Vardar, 8006170   size:2.83,Price: ,1.03,Vive Tauron Kielce, 8838618   size:5.17,Price: ,1.63,Draw, 330157   size:2.83,Price: ,1.03,x
