1.122025481, Sport: ,Basketball, Time: ,Sun Nov 29 06:00:00 CET 2015, Time: ,Sun Nov 29 06:00:00 CET 2015, Event: ,KEB Hanabank v KDB Life Winnus, Favorite: ,KEB Hanabank, 8118828   size:2.83,Price: ,1.03,KDB Life Winnus, 5166575   size:2.83,Price: ,1.03,ok
1.122030397, Sport: ,Soccer, Time: ,Sat Nov 28 23:00:00 CET 2015, Time: ,Sat Nov 28 23:00:00 CET 2015, Event: ,General Diaz v Olimpia, Favorite: ,Olimpia, 328699   size:4.72,Price: ,1.57,General Diaz, 7036999   size:5.0,Price: ,6.4,The Draw, 58805   size:2.0,Price: ,4.4,x
1.122017171, Sport: ,Volleyball, Time: ,Sat Nov 28 19:30:00 CET 2015, Time: ,Sat Nov 28 19:30:00 CET 2015, Event: ,United Volleys Rhein-Ma v Powervolleys Dueren, Favorite: ,United Volleys Rhein-Ma, 10322047   size:2.55,Price: ,1.31,Powervolleys Dueren, 10410537   size:64.1,Price: ,1.41,ok
1.122017172, Sport: ,Volleyball, Time: ,Sat Nov 28 19:30:00 CET 2015, Time: ,Sat Nov 28 19:30:00 CET 2015, Event: ,VfB Friedrichshafen v SVG Luneburge, Favorite: ,VfB Friedrichshafen, 2281578   size:2.83,Price: ,1.03,SVG Luneburge, 10410535   size:27.09,Price: ,1.97,ok
1.121976208, Sport: ,Ice Hockey, Time: ,Sat Nov 28 16:00:00 CET 2015, Time: ,Sat Nov 28 16:00:00 CET 2015, Event: ,Jokipojat v Roki, Favorite: ,Jokipojat, 758155   size:67.98,Price: ,1.6,Roki, 4196540   size:18.44,Price: ,5.0,Tie, 60104   size:19.39,Price: ,4.8,ok
1.121985790, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Lealtad v Coruxo, Favorite: ,Lealtad, 6232887   size:78.21,Price: ,2.26,Coruxo, 4943232   size:5.25,Price: ,3.55,The Draw, 58805   size:31.53,Price: ,3.25,ok
1.122060997, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Paterna CF v Orihuela CF, Favorite: ,Paterna CF, 7906132   size:5.08,Price: ,1.05,Orihuela CF, 9320423   size:5.08,Price: ,1.05,The Draw, 58805   size:2.83,Price: ,1.25,x
1.121985792, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Cacereno v Atletico Astorga, Favorite: ,Cacereno, 4144561   size:11.34,Price: ,1.8,Atletico Astorga, 8792395   size:2.55,Price: ,5.1,The Draw, 58805   size:5.37,Price: ,3.55,x
1.121989116, Sport: ,Basketball, Time: ,Sun Nov 29 04:35:00 CET 2015, Time: ,Sun Nov 29 04:35:00 CET 2015, Event: ,Sacramento @ Golden State, Favorite: ,Golden State, 13126   size:88.36,Price: ,1.06,Sacramento, 13127   size:4.64,Price: ,14.5,ok
1.121985794, Sport: ,Ice Hockey, Time: ,Sun Nov 29 14:35:00 CET 2015, Time: ,Sun Nov 29 14:35:00 CET 2015, Event: ,Vienna Capitals v Liwest Linz, Favorite: ,Vienna Capitals, 563229   size:54.57,Price: ,2.3,Liwest Linz, 1266781   size:47.29,Price: ,2.5,Tie, 60104   size:28.24,Price: ,4.1,x
1.122017169, Sport: ,Volleyball, Time: ,Sat Nov 28 18:30:00 CET 2015, Time: ,Sat Nov 28 18:30:00 CET 2015, Event: ,Berlin RV v TV Rottenburg, Favorite: ,Berlin RV, 6047186   size:9.61,Price: ,1.01,TV Rottenburg, 4488523   size:2.83,Price: ,1.03,ok
1.122017326, Sport: ,Volleyball, Time: ,Sun Nov 29 06:00:00 CET 2015, Time: ,Sun Nov 29 06:00:00 CET 2015, Event: ,Deajeon Bluefangs v Ansan Rush&cash, Favorite: ,Deajeon Bluefangs, 10389009   size:291.67,Price: ,1.09,Ansan Rush&cash, 10443744   size:291.67,Price: ,1.09,ok
