1.121985950, Sport: ,Basketball, Time: ,Sat Nov 28 20:00:00 CET 2015, Time: ,Sat Nov 28 20:00:00 CET 2015, Event: ,Nanterre v Pau Lacq Orthez, Favorite: ,Nanterre, 2989492   size:2.83,Price: ,1.03,Pau Lacq Orthez, 4999746   size:2.83,Price: ,1.03,ok
1.121985832, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,San Roque v FC Jumilla, Favorite: ,San Roque, 4136688   size:2.55,Price: ,1.83,FC Jumilla, 8216058   size:2.55,Price: ,4.7,The Draw, 58805   size:2.55,Price: ,3.6,ok
1.121985954, Sport: ,Basketball, Time: ,Sat Nov 28 20:00:00 CET 2015, Time: ,Sat Nov 28 20:00:00 CET 2015, Event: ,Orleans v Chalon Saone, Favorite: ,Orleans, 2285941   size:2.83,Price: ,1.03,Chalon Saone, 1471819   size:2.83,Price: ,1.03,x
1.122068006, Sport: ,Darts, Time: ,Sat Nov 28 22:00:00 CET 2015, Time: ,Sat Nov 28 22:00:00 CET 2015, Event: ,Daryl Gurney v Gary Anderson, Favorite: ,Gary Anderson, 2409760   size:5976.65,Price: ,1.15,Daryl Gurney, 3535217   size:37.56,Price: ,6.8,x
1.121985836, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Betis B v Algeciras, Favorite: ,Betis B, 2522844   size:52.73,Price: ,2.48,Algeciras, 516260   size:29.67,Price: ,3.1,The Draw, 58805   size:17.67,Price: ,3.15,x
1.121985958, Sport: ,Basketball, Time: ,Sat Nov 28 20:00:00 CET 2015, Time: ,Sat Nov 28 20:00:00 CET 2015, Event: ,Rouen v Strasbourg, Favorite: ,Rouen, 1292701   size:2.83,Price: ,1.03,Strasbourg, 1193143   size:2.83,Price: ,1.03,ok
1.121985838, Sport: ,Basketball, Time: ,Sun Nov 29 12:35:00 CET 2015, Time: ,Sun Nov 29 12:35:00 CET 2015, Event: ,Beijing BG / Beikong Fl v Guangdong, Favorite: ,Guangdong, 6260619   size:2.83,Price: ,1.03,Beijing BG / Beikong Fl, 10513291   size:2.55,Price: ,1.29,ok
1.122066187, Sport: ,Soccer, Time: ,Sun Nov 29 13:30:00 CET 2015, Time: ,Sun Nov 29 13:30:00 CET 2015, Event: ,NK Primorac Stobrec v NK Neretvanac Opuzen, Favorite: ,NK Primorac Stobrec, 7101182   size:9.43,Price: ,1.04,NK Neretvanac Opuzen, 8643811   size:9.43,Price: ,1.04,The Draw, 58805   size:2.83,Price: ,1.25,x
1.122059536, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,CD Montuiri v CE Campos, Favorite: ,CD Montuiri, 6412890   size:5.38,Price: ,1.07,CE Campos, 6883541   size:5.38,Price: ,1.07,The Draw, 58805   size:2.83,Price: ,1.25,ok
1.121990184, Sport: ,Ice Hockey, Time: ,Sun Nov 29 12:30:00 CET 2015, Time: ,Sun Nov 29 12:30:00 CET 2015, Event: ,Avtomobilist v Medvescak Zagreb, Favorite: ,Avtomobilist, 4138395   size:64.0,Price: ,2.1,Medvescak Zagreb, 4182882   size:21.0,Price: ,3.1,Tie, 60104   size:27.03,Price: ,4.3,x
1.121985839, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Melilla v UCAM Murcia, Favorite: ,UCAM Murcia, 5778410   size:5.1,Price: ,2.3,Melilla, 2250364   size:8.87,Price: ,3.55,The Draw, 58805   size:2.55,Price: ,3.15,ok
1.122066067, Sport: ,Soccer, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,Neftchi Baku v Karabakh, Favorite: ,Qarabag FK, 4043562   size:5.0,Price: ,1.63,Neftchi Baku, 865343   size:6.45,Price: ,3.75,The Draw, 58805   size:29.25,Price: ,3.05,x
1.121970210, Sport: ,American Football, Time: ,Sun Nov 29 02:00:00 CET 2015, Time: ,Sun Nov 29 02:00:00 CET 2015, Event: ,Oklahoma @ Oklahoma State, Favorite: ,Oklahoma, 484724   size:5.0,Price: ,1.32,Oklahoma State, 673442   size:19.51,Price: ,3.7,ok
1.121844563, Sport: ,Soccer, Time: ,Sun Nov 29 17:15:00 CET 2015, Time: ,Sun Nov 29 17:15:00 CET 2015, Event: ,Liverpool v Swansea, Favorite: ,Liverpool, 56323   size:2431.69,Price: ,1.51,Swansea, 62683   size:601.29,Price: ,8.2,The Draw, 58805   size:2539.09,Price: ,4.5,ok
1.122073960, Sport: ,Boxing, Time: ,Sat Nov 28 21:00:00 CET 2015, Time: ,Sat Nov 28 21:00:00 CET 2015, Event: ,Carroll v Gonzalez, Favorite: ,Jono Carroll, 9054920   size:53.92,Price: ,1.02,Miguel Gonzalez, 10575620   size:19.0,Price: ,36.0,Draw, 31162   size:31.21,Price: ,36.0,x
1.122060997, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Paterna CF v Orihuela CF, Favorite: ,Paterna CF, 7906132   size:5.08,Price: ,1.05,Orihuela CF, 9320423   size:5.08,Price: ,1.05,The Draw, 58805   size:14.19,Price: ,3.1,x
