1.122039920, Sport: ,Snooker, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Dominic Dale v Peter Ebdon, Favorite: ,Peter Ebdon, 2278791   size:32.63,Price: ,1.74,Dominic Dale, 2278875   size:246.11,Price: ,2.22,ok
1.121985832, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,San Roque v FC Jumilla, Favorite: ,San Roque, 4136688   size:2.55,Price: ,1.85,FC Jumilla, 8216058   size:2.55,Price: ,4.7,The Draw, 58805   size:2.55,Price: ,3.6,ok
1.121985834, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Marbella v Granada B, Favorite: ,Marbella, 2250362   size:2.0,Price: ,2.46,Granada B, 7602492   size:46.91,Price: ,3.25,The Draw, 58805   size:2.55,Price: ,3.15,x
1.121985836, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Betis B v Algeciras, Favorite: ,Betis B, 2522844   size:4.68,Price: ,2.52,Algeciras, 516260   size:22.78,Price: ,3.1,The Draw, 58805   size:39.08,Price: ,3.15,x
1.121985838, Sport: ,Basketball, Time: ,Sun Nov 29 12:35:00 CET 2015, Time: ,Sun Nov 29 12:35:00 CET 2015, Event: ,Beijing BG / Beikong Fl v Guangdong, Favorite: ,Guangdong, 6260619   size:2.83,Price: ,1.03,Beijing BG / Beikong Fl, 10513291   size:2.55,Price: ,1.29,ok
1.122066187, Sport: ,Soccer, Time: ,Sun Nov 29 13:00:00 CET 2015, Time: ,Sun Nov 29 13:00:00 CET 2015, Event: ,NK Primorac Stobrec v NK Neretvanac Opuzen, Favorite: ,NK Neretvanac Opuzen, 8643811   size:2.12,Price: ,1.64,NK Primorac Stobrec, 7101182   size:47.16,Price: ,3.7,The Draw, 58805   size:50.05,Price: ,3.45,x
1.121990184, Sport: ,Ice Hockey, Time: ,Sun Nov 29 12:30:00 CET 2015, Time: ,Sun Nov 29 12:30:00 CET 2015, Event: ,Avtomobilist v Medvescak Zagreb, Favorite: ,Avtomobilist, 4138395   size:22.0,Price: ,2.14,Medvescak Zagreb, 4182882   size:21.0,Price: ,3.1,Tie, 60104   size:27.03,Price: ,4.3,x
1.121985839, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Melilla v UCAM Murcia, Favorite: ,UCAM Murcia, 5778410   size:95.47,Price: ,2.36,Melilla, 2250364   size:9.92,Price: ,3.55,The Draw, 58805   size:26.61,Price: ,3.1,ok
1.122066067, Sport: ,Soccer, Time: ,Sun Nov 29 14:00:00 CET 2015, Time: ,Sun Nov 29 14:00:00 CET 2015, Event: ,Neftchi Baku v Karabakh, Favorite: ,Qarabag FK, 4043562   size:2.06,Price: ,1.69,Neftchi Baku, 865343   size:13.62,Price: ,3.8,The Draw, 58805   size:16.97,Price: ,3.05,x
1.122039925, Sport: ,Snooker, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Robert Milkins v David Grace, Favorite: ,Robert Milkins, 2278803   size:2.55,Price: ,1.33,David Grace, 3439626   size:2.55,Price: ,3.6,x
1.121844563, Sport: ,Soccer, Time: ,Sun Nov 29 17:15:00 CET 2015, Time: ,Sun Nov 29 17:15:00 CET 2015, Event: ,Liverpool v Swansea, Favorite: ,Liverpool, 56323   size:9887.97,Price: ,1.51,Swansea, 62683   size:192.59,Price: ,8.4,The Draw, 58805   size:949.26,Price: ,4.5,ok
1.121935221, Sport: ,Soccer, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Gremio v Atletico MG, Favorite: ,Gremio, 198134   size:268.26,Price: ,2.2,Atletico MG, 361329   size:51.55,Price: ,3.75,The Draw, 58805   size:46.8,Price: ,3.45,ok
1.121985841, Sport: ,Soccer, Time: ,Sun Nov 29 12:00:00 CET 2015, Time: ,Sun Nov 29 12:00:00 CET 2015, Event: ,Murcia v Real Jaen, Favorite: ,Murcia, 68244   size:31.67,Price: ,1.77,Real Jaen, 3303613   size:5.19,Price: ,5.9,The Draw, 58805   size:5.0,Price: ,3.55,ok
1.122039930, Sport: ,Snooker, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Neil Robertson v Aditya Mehta, Favorite: ,Neil Robertson, 2278787   size:1560.9,Price: ,1.15,Aditya Mehta, 3710100   size:2.0,Price: ,6.2,ok
1.121985843, Sport: ,Basketball, Time: ,Sun Nov 29 12:35:00 CET 2015, Time: ,Sun Nov 29 12:35:00 CET 2015, Event: ,Foshan v Fujian, Favorite: ,Fujian, 8926905   size:294.0,Price: ,1.34,Foshan, 8926911   size:5.0,Price: ,3.55,x
1.121985844, Sport: ,Basketball, Time: ,Sun Nov 29 12:35:00 CET 2015, Time: ,Sun Nov 29 12:35:00 CET 2015, Event: ,Jiangsu Dragons v Bayi Rockets, Favorite: ,Jiangsu Dragons, 8926904   size:3.26,Price: ,1.12,Bayi Rockets, 8926902   size:14.48,Price: ,4.1,ok
1.121985847, Sport: ,Basketball, Time: ,Sun Nov 29 12:35:00 CET 2015, Time: ,Sun Nov 29 12:35:00 CET 2015, Event: ,Liaoning v Tianjin, Favorite: ,Liaoning, 8926912   size:1191.54,Price: ,1.03,Tianjin, 8926906   size:7.54,Price: ,7.0,ok
1.121990195, Sport: ,Ice Hockey, Time: ,Sun Nov 29 12:30:00 CET 2015, Time: ,Sun Nov 29 12:30:00 CET 2015, Event: ,Traktor v Salavat, Favorite: ,Salavat, 2304930   size:51.0,Price: ,1.95,Traktor, 2595834   size:58.99,Price: ,3.3,Tie, 60104   size:58.79,Price: ,4.4,ok
1.122067022, Sport: ,Soccer, Time: ,Sun Nov 29 22:30:00 CET 2015, Time: ,Sun Nov 29 22:30:00 CET 2015, Event: ,Santos de Guapiles v Herediano, Favorite: ,Herediano, 4067826   size:4.48,Price: ,2.36,Santos de Guapiles, 10135629   size:3.57,Price: ,2.72,The Draw, 58805   size:3.01,Price: ,3.2,ok
1.121922242, Sport: ,Soccer, Time: ,Sun Nov 29 15:00:00 CET 2015, Time: ,Sun Nov 29 15:00:00 CET 2015, Event: ,Wohlen v Aarau, Favorite: ,Wohlen, 457844   size:36.62,Price: ,2.66,Aarau, 65777   size:5.0,Price: ,2.82,The Draw, 58805   size:72.62,Price: ,3.4,x
1.121967393, Sport: ,Handball, Time: ,Sun Nov 29 17:15:00 CET 2015, Time: ,Sun Nov 29 17:15:00 CET 2015, Event: ,Frisch Auf Goppingen v Flensburg Handewitt, Favorite: ,Flensburg Handewitt, 4506561   size:2.83,Price: ,1.03,Frisch auf Goppingen, 4229980   size:18.0,Price: ,1.6,Draw, 330157   size:18.0,Price: ,1.43,ok
1.122069112, Sport: ,Basketball, Time: ,Sun Nov 29 11:00:00 CET 2015, Time: ,Sun Nov 29 11:00:00 CET 2015, Event: ,Astana v Krasny Oktyabr, Favorite: ,Astana, 5877769   size:11.13,Price: ,1.14,Krasny Oktyabr, 7774804   size:27.28,Price: ,6.2,ok
1.121971447, Sport: ,Soccer, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Univ Catolica (Chile) v San Luis (Chile), Favorite: ,Univ Catolica (Chile), 7029037   size:283.71,Price: ,1.42,San Luis (Chile), 5129872   size:18.67,Price: ,8.6,The Draw, 58805   size:12.11,Price: ,5.2,ok
1.122060867, Sport: ,Soccer, Time: ,Sun Nov 29 16:15:00 CET 2015, Time: ,Sun Nov 29 16:15:00 CET 2015, Event: ,Los Barrios v Sanluqueno, Favorite: ,Sanluqueno, 6603998   size:30.96,Price: ,1.1,Los Barrios, 9320415   size:2.39,Price: ,2.36,The Draw, 58805   size:15.33,Price: ,3.0,ok
1.121921270, Sport: ,Soccer, Time: ,Sun Nov 29 17:30:00 CET 2015, Time: ,Sun Nov 29 17:30:00 CET 2015, Event: ,Olimpija v Gorica, Favorite: ,Olimpija, 489147   size:2.22,Price: ,1.36,Gorica, 52799   size:2.27,Price: ,7.6,The Draw, 58805   size:2.55,Price: ,4.8,x
1.121935793, Sport: ,Soccer, Time: ,Sun Nov 29 17:30:00 CET 2015, Time: ,Sun Nov 29 17:30:00 CET 2015, Event: ,LDU Loja v Deportivo Quito, Favorite: ,LDU Loja, 6001716   size:2.55,Price: ,1.39,Deportivo Quito, 3209575   size:8.55,Price: ,2.74,The Draw, 58805   size:2.55,Price: ,3.1,ok
1.121985851, Sport: ,Basketball, Time: ,Sun Nov 29 12:35:00 CET 2015, Time: ,Sun Nov 29 12:35:00 CET 2015, Event: ,Qingdao v Jilin, Favorite: ,Qingdao, 8926915   size:2.83,Price: ,1.03,Jilin, 8926909   size:19.63,Price: ,3.25,ok
1.121985852, Sport: ,Ice Hockey, Time: ,Sun Nov 29 17:30:00 CET 2015, Time: ,Sun Nov 29 17:30:00 CET 2015, Event: ,KAC Klagenfurt v Red Bull Salzburg, Favorite: ,KAC Klagenfurt, 1348429   size:2.0,Price: ,2.3,Red Bull Salzburg, 2584427   size:6.13,Price: ,2.44,Tie, 60104   size:172.36,Price: ,4.0,x
1.121932286, Sport: ,Soccer, Time: ,Sun Nov 29 16:00:00 CET 2015, Time: ,Sun Nov 29 16:00:00 CET 2015, Event: ,Sitra v Al Hadd, Favorite: ,Sitra, 10458115   size:5.08,Price: ,1.05,Al Hadd, 6758121   size:5.08,Price: ,1.05,The Draw, 58805   size:15.11,Price: ,3.0,x
1.121932167, Sport: ,Soccer, Time: ,Sun Nov 29 19:30:00 CET 2015, Time: ,Sun Nov 29 19:30:00 CET 2015, Event: ,Steaua Bucharest v Astra Giurgiu, Favorite: ,Steaua Bucharest, 489080   size:100.96,Price: ,2.3,Astra Giurgiu, 4991412   size:31.09,Price: ,3.55,The Draw, 58805   size:51.15,Price: ,3.4,x
1.122059873, Sport: ,Soccer, Time: ,Sun Nov 29 16:30:00 CET 2015, Time: ,Sun Nov 29 16:30:00 CET 2015, Event: ,CDA Navalcarnero v Club Atletico de Pinto, Favorite: ,CDA Navalcarnero, 9376533   size:5.38,Price: ,1.07,Club Atletico de Pinto, 7636389   size:5.38,Price: ,1.07,The Draw, 58805   size:14.19,Price: ,3.0,x
