1.122039920, Sport: ,Snooker, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Dominic Dale v Peter Ebdon, Favorite: ,Peter Ebdon, 2278791   size:17.2,Price: ,1.76,Dominic Dale, 2278875   size:10.23,Price: ,2.28,ok
1.121967967, Sport: ,Cricket, Time: ,Mon Nov 30 07:00:00 CET 2015, Time: ,Mon Nov 30 07:00:00 CET 2015, Event: ,Afghanistan v Oman (2nd T20), Favorite: ,Afghanistan, 3786094   size:14208.6,Price: ,1.01,Oman, 3786092   size:2.76,Price: ,2.02,ok
1.122060082, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,CE Sabadell II v FC Vilafranca, Favorite: ,CE Sabadell II, 8826854   size:14.03,Price: ,1.05,FC Vilafranca, 9339209   size:14.03,Price: ,1.05,The Draw, 58805   size:14.03,Price: ,1.05,ok
1.122074806, Sport: ,Snooker, Time: ,Mon Nov 30 14:00:00 CET 2015, Time: ,Mon Nov 30 14:00:00 CET 2015, Event: ,David Gilbert v Marco Fu, Favorite: ,Marco Fu, 2278808   size:2.55,Price: ,1.55,David Gilbert, 2293307   size:2.55,Price: ,2.54,ok
1.122059536, Sport: ,Soccer, Time: ,Sun Nov 29 17:00:00 CET 2015, Time: ,Sun Nov 29 17:00:00 CET 2015, Event: ,CD Montuiri v CE Campos, Favorite: ,CE Campos, 6883541   size:14.03,Price: ,1.05,CD Montuiri, 6412890   size:15.52,Price: ,1.09,The Draw, 58805   size:14.03,Price: ,1.05,x
1.122074801, Sport: ,Snooker, Time: ,Mon Nov 30 14:00:00 CET 2015, Time: ,Mon Nov 30 14:00:00 CET 2015, Event: ,Tom Ford v Kyren Wilson, Favorite: ,Kyren Wilson, 5119461   size:8.68,Price: ,1.49,Tom Ford, 2278811   size:2.55,Price: ,2.74,x
1.122017336, Sport: ,Volleyball, Time: ,Sun Nov 29 18:00:00 CET 2015, Time: ,Sun Nov 29 18:00:00 CET 2015, Event: ,Ptps Pila v Developres Rzeszow, Favorite: ,PTPS Pila, 9175934   size:2.76,Price: ,1.26,Developres Rzeszow, 8885752   size:3.47,Price: ,3.75,ok
1.121844563, Sport: ,Soccer, Time: ,Sun Nov 29 17:15:00 CET 2015, Time: ,Sun Nov 29 17:15:00 CET 2015, Event: ,Liverpool v Swansea, Favorite: ,Liverpool, 56323   size:1423.79,Price: ,1.48,Swansea, 62683   size:220.88,Price: ,9.6,The Draw, 58805   size:125.74,Price: ,4.3,ok
1.122074371, Sport: ,Tennis, Time: ,Sun Nov 29 19:50:00 CET 2015, Time: ,Sun Nov 29 19:50:00 CET 2015, Event: ,Cervantes v Munoz-De La Nava, Favorite: ,Inigo Cervantes, 6297238   size:93.0,Price: ,1.63,Daniel Munoz-de la Nava, 8259000   size:13.78,Price: ,2.44,ok
1.121857076, Sport: ,American Football, Time: ,Sun Nov 29 22:25:00 CET 2015, Time: ,Sun Nov 29 22:25:00 CET 2015, Event: ,Pittsburgh @ Seattle, Favorite: ,Seattle Seahawks, 50213   size:162.66,Price: ,1.62,Pittsburgh Steelers, 50208   size:305.0,Price: ,2.54,ok
1.121989874, Sport: ,Basketball, Time: ,Mon Nov 30 01:30:00 CET 2015, Time: ,Mon Nov 30 01:30:00 CET 2015, Event: ,Houston @ New York, Favorite: ,Houston, 13123   size:31.28,Price: ,1.88,New York, 13106   size:28.29,Price: ,2.08,ok
1.122073162, Sport: ,Soccer, Time: ,Mon Nov 30 13:00:00 CET 2015, Time: ,Mon Nov 30 13:00:00 CET 2015, Event: ,Karmiel Safed v Hapoel Beit Shean, Favorite: ,Karmiel Safed, 9125071   size:2.55,Price: ,2.18,Hapoel Beit Shean, 8126403   size:65.1,Price: ,2.62,The Draw, 58805   size:14.19,Price: ,3.1,x
1.121935221, Sport: ,Soccer, Time: ,Sun Nov 29 20:00:00 CET 2015, Time: ,Sun Nov 29 20:00:00 CET 2015, Event: ,Gremio v Atletico MG, Favorite: ,Gremio, 198134   size:63.46,Price: ,2.16,Atletico MG, 361329   size:57.83,Price: ,3.8,The Draw, 58805   size:92.85,Price: ,3.55,ok
