1.122081462, Sport: ,Snooker, Time: ,Tue Dec 01 14:00:00 CET 2015, Time: ,Tue Dec 01 14:00:00 CET 2015, Event: ,Martin Gould v Mark Allen, Favorite: ,Mark Allen, 2279947   size:78.33,Price: ,1.5,Martin Gould, 2613031   size:2.55,Price: ,2.64,x
1.122068369, Sport: ,Basketball, Time: ,Tue Dec 01 01:30:00 CET 2015, Time: ,Tue Dec 01 01:30:00 CET 2015, Event: ,Boston @ Miami, Favorite: ,Miami, 13109   size:9.96,Price: ,1.65,Boston, 13108   size:108.53,Price: ,2.5,x
1.122074801, Sport: ,Snooker, Time: ,Tue Dec 01 14:00:00 CET 2015, Time: ,Tue Dec 01 14:00:00 CET 2015, Event: ,Tom Ford v Kyren Wilson, Favorite: ,Kyren Wilson, 5119461   size:48.6,Price: ,1.47,Tom Ford, 2278811   size:40.71,Price: ,3.0,x
1.121925929, Sport: ,Soccer, Time: ,Mon Nov 30 20:00:00 CET 2015, Time: ,Mon Nov 30 20:00:00 CET 2015, Event: ,MVV Maastricht v Fortuna Sittard, Favorite: ,MVV Maastricht, 8704630   size:48.81,Price: ,1.48,Fortuna Sittard, 49058   size:155.0,Price: ,7.4,The Draw, 58805   size:16.28,Price: ,5.0,x
1.121971151, Sport: ,Soccer, Time: ,Mon Nov 30 22:30:00 CET 2015, Time: ,Mon Nov 30 22:30:00 CET 2015, Event: ,Huachipato v Palestino, Favorite: ,Palestino, 5129869   size:43.61,Price: ,2.24,Huachipato, 2019917   size:18.45,Price: ,3.4,The Draw, 58805   size:2.77,Price: ,3.8,x
1.122073717, Sport: ,Soccer, Time: ,Mon Nov 30 20:00:00 CET 2015, Time: ,Mon Nov 30 20:00:00 CET 2015, Event: ,Raith U20 v E Stirling U20, Favorite: ,Raith U20, 9023216   size:4.45,Price: ,1.58,E Stirling U20, 9180811   size:2.55,Price: ,4.6,The Draw, 58805   size:3.53,Price: ,5.0,ok
1.122068120, Sport: ,Cricket, Time: ,Tue Dec 01 07:45:00 CET 2015, Time: ,Tue Dec 01 07:45:00 CET 2015, Event: ,Ireland (W) v Zimbabwe (W), Favorite: ,Ireland (W), 7414348   size:2.55,Price: ,1.26,Zimbabwe (W), 10534098   size:2.55,Price: ,1.26,ok
1.122074811, Sport: ,Snooker, Time: ,Tue Dec 01 14:00:00 CET 2015, Time: ,Tue Dec 01 14:00:00 CET 2015, Event: ,Ben Woollaston v Shaun Murphy, Favorite: ,Shaun Murphy, 2278789   size:1000.08,Price: ,1.25,Ben Woollaston, 2293306   size:2.6,Price: ,4.7,ok
1.122079789, Sport: ,Soccer, Time: ,Tue Dec 01 01:45:00 CET 2015, Time: ,Tue Dec 01 01:45:00 CET 2015, Event: ,Fortaleza (Col) v Leones FC, Favorite: ,Fortaleza (Col), 8220184   size:27.48,Price: ,1.33,Leones FC, 9948447   size:2.83,Price: ,13.0,The Draw, 58805   size:31.14,Price: ,4.7,ok
1.122072996, Sport: ,Soccer, Time: ,Mon Nov 30 18:30:00 CET 2015, Time: ,Mon Nov 30 18:30:00 CET 2015, Event: ,Heracles Almelo (Res) v Feyenoord (Res), Favorite: ,Feyenoord (Res), 10143914   size:146.73,Price: ,1.2,Heracles Almelo (Res), 10138993   size:5.69,Price: ,9.2,The Draw, 58805   size:78.0,Price: ,5.8,ok
1.121988780, Sport: ,Hockey, Time: ,Tue Dec 01 16:00:00 CET 2015, Time: ,Tue Dec 01 16:00:00 CET 2015, Event: ,Great Britain v Belgium, Favorite: ,Great Britain, 746422   size:0.0,Price: ,0.0,Belgium, 518305   size:2.84,Price: ,2.0,Draw, 318509   size:2.84,Price: ,2.0,x
1.122005355, Sport: ,Ice Hockey, Time: ,Tue Dec 01 17:30:00 CET 2015, Time: ,Tue Dec 01 17:30:00 CET 2015, Event: ,Orange 20 v Piestany, Favorite: ,Piestany, 6651342   size:3.15,Price: ,1.35,Orange 20, 3344308   size:82.78,Price: ,5.3,Tie, 60104   size:93.68,Price: ,4.8,ok
1.121982048, Sport: ,Soccer, Time: ,Tue Dec 01 16:15:00 CET 2015, Time: ,Tue Dec 01 16:15:00 CET 2015, Event: ,Lamia v Atromitos, Favorite: ,Atromitos, 1234639   size:10.45,Price: ,1.41,Lamia, 3464961   size:12.0,Price: ,6.6,The Draw, 58805   size:22.83,Price: ,4.1,ok
1.122025408, Sport: ,Basketball, Time: ,Mon Nov 30 20:30:00 CET 2015, Time: ,Mon Nov 30 20:30:00 CET 2015, Event: ,Gravelines v Paris Levallois, Favorite: ,Gravelines, 1293964   size:2.55,Price: ,1.21,Paris Levallois, 2638786   size:25.24,Price: ,5.0,ok
1.121982173, Sport: ,Soccer, Time: ,Tue Dec 01 13:30:00 CET 2015, Time: ,Tue Dec 01 13:30:00 CET 2015, Event: ,Al Sarhan v Blama, Favorite: ,Al Sarhan, 7663429   size:3.78,Price: ,1.11,Blama, 6750873   size:3.78,Price: ,1.11,The Draw, 58805   size:14.24,Price: ,3.1,x
1.122068117, Sport: ,Cricket, Time: ,Tue Dec 01 04:00:00 CET 2015, Time: ,Tue Dec 01 04:00:00 CET 2015, Event: ,Thailand (W) v Scotland (W), Favorite: ,Scotland (W), 10553015   size:2.75,Price: ,1.16,Thailand (W), 8847630   size:5.29,Price: ,1.35,ok
1.122068359, Sport: ,Basketball, Time: ,Tue Dec 01 04:00:00 CET 2015, Time: ,Tue Dec 01 04:00:00 CET 2015, Event: ,Dallas @ Sacramento, Favorite: ,Dallas, 13122   size:4.98,Price: ,1.87,Sacramento, 13127   size:40.34,Price: ,2.08,x
1.122073328, Sport: ,Soccer, Time: ,Mon Nov 30 20:30:00 CET 2015, Time: ,Mon Nov 30 20:30:00 CET 2015, Event: ,Lynx FC v St. Josephs FC, Favorite: ,Lynx FC, 8916861   size:2.38,Price: ,2.1,St. Josephs FC, 8891285   size:4.42,Price: ,2.6,The Draw, 58805   size:13.0,Price: ,3.65,ok
1.122064151, Sport: ,Basketball, Time: ,Mon Nov 30 20:05:00 CET 2015, Time: ,Mon Nov 30 20:05:00 CET 2015, Event: ,Ironi Nahariya v Maccabi Tel Aviv, Favorite: ,Maccabi Tel Aviv, 266273   size:377.55,Price: ,1.2,Ironi Nahariya, 8894680   size:2.55,Price: ,5.1,x
1.121925519, Sport: ,Soccer, Time: ,Mon Nov 30 18:30:00 CET 2015, Time: ,Mon Nov 30 18:30:00 CET 2015, Event: ,SC Cambuur (Res) v SC Heerenveen (Res), Favorite: ,SC Heerenveen (Res), 10143913   size:9.67,Price: ,1.76,SC Cambuur (Res), 10138946   size:50.53,Price: ,3.2,The Draw, 58805   size:4.99,Price: ,3.15,x
1.122025412, Sport: ,Basketball, Time: ,Mon Nov 30 20:00:00 CET 2015, Time: ,Mon Nov 30 20:00:00 CET 2015, Event: ,Strasbourg v Cholet, Favorite: ,Strasbourg, 1193143   size:102.59,Price: ,1.11,Cholet, 678099   size:40.68,Price: ,8.0,ok
1.121926600, Sport: ,Soccer, Time: ,Mon Nov 30 19:30:00 CET 2015, Time: ,Mon Nov 30 19:30:00 CET 2015, Event: ,FC Voluntari v Dinamo Bucharest, Favorite: ,Dinamo Bucharest, 46937   size:1538.32,Price: ,2.0,FC Voluntari, 8838645   size:65.91,Price: ,4.3,The Draw, 58805   size:259.59,Price: ,3.65,ok
1.121980717, Sport: ,Soccer, Time: ,Tue Dec 01 18:00:00 CET 2015, Time: ,Tue Dec 01 18:00:00 CET 2015, Event: ,Ruch Chorzow v Korona Kielce, Favorite: ,Ruch Chorzow, 2160683   size:325.83,Price: ,2.48,Korona Kielce, 1209555   size:131.94,Price: ,3.2,The Draw, 58805   size:327.43,Price: ,3.25,ok
1.121980837, Sport: ,Soccer, Time: ,Tue Dec 01 18:00:00 CET 2015, Time: ,Tue Dec 01 18:00:00 CET 2015, Event: ,Nieciecza v Slask Wroclaw, Favorite: ,Nieciecza, 4871645   size:82.13,Price: ,2.66,Slask Wroclaw, 3143307   size:2.83,Price: ,2.88,The Draw, 58805   size:144.38,Price: ,3.3,x
1.122079955, Sport: ,Soccer, Time: ,Tue Dec 01 18:00:00 CET 2015, Time: ,Tue Dec 01 18:00:00 CET 2015, Event: ,Ironi Ramat HaSharon v Hapoel Ashkelon, Favorite: ,Ironi Ramat HaSharon, 6242601   size:3.78,Price: ,1.11,Hapoel Ashkelon, 5221516   size:3.78,Price: ,1.11,The Draw, 58805   size:14.24,Price: ,3.1,x
1.121988034, Sport: ,Ice Hockey, Time: ,Tue Dec 01 16:30:00 CET 2015, Time: ,Tue Dec 01 16:30:00 CET 2015, Event: ,Blues v Karpat, Favorite: ,Karpat, 66430   size:6.15,Price: ,1.89,Blues, 66804   size:142.42,Price: ,3.0,Tie, 60104   size:53.0,Price: ,4.0,x
1.121982178, Sport: ,Soccer, Time: ,Tue Dec 01 16:15:00 CET 2015, Time: ,Tue Dec 01 16:15:00 CET 2015, Event: ,Panionios v Zakinthos, Favorite: ,Panionios, 285324   size:2.55,Price: ,1.24,Zakinthos, 3435381   size:3.16,Price: ,10.0,The Draw, 58805   size:3.38,Price: ,5.2,ok
1.121988037, Sport: ,Ice Hockey, Time: ,Tue Dec 01 16:30:00 CET 2015, Time: ,Tue Dec 01 16:30:00 CET 2015, Event: ,TPS v Lukko, Favorite: ,TPS, 66803   size:6.15,Price: ,2.18,Lukko, 66603   size:84.48,Price: ,2.64,Tie, 60104   size:78.33,Price: ,4.1,x
1.121985974, Sport: ,Ice Hockey, Time: ,Tue Dec 01 17:30:00 CET 2015, Time: ,Tue Dec 01 17:30:00 CET 2015, Event: ,Zlin v Pardubice, Favorite: ,Zlin, 563266   size:39.16,Price: ,2.12,Pardubice, 563269   size:181.58,Price: ,2.66,Tie,x
1.122080396, Sport: ,Soccer, Time: ,Tue Dec 01 15:15:00 CET 2015, Time: ,Tue Dec 01 15:15:00 CET 2015, Event: ,Kilmarnock U20 v Aberdeen U20, Favorite: ,Kilmarnock U20, 6581076   size:3.78,Price: ,1.11,Aberdeen U20, 6868317   size:3.78,Price: ,1.11,The Draw, 58805   size:14.24,Price: ,3.1,x
1.122068349, Sport: ,Basketball, Time: ,Tue Dec 01 02:00:00 CET 2015, Time: ,Tue Dec 01 02:00:00 CET 2015, Event: ,Denver @ Milwaukee, Favorite: ,Milwaukee, 13115   size:4.99,Price: ,1.58,Denver, 13124   size:4.99,Price: ,2.62,ok
