1.122083121, Sport: ,Soccer, Time: ,Tue Dec 01 20:45:00 CET 2015, Time: ,Tue Dec 01 20:45:00 CET 2015, Event: ,Romulus FC v Birmingham City B, Favorite: ,Birmingham City B, 8943206   size:5.0,Price: ,1.64,Romulus FC, 7693014   size:5.0,Price: ,3.4,The Draw, 58805   size:5.0,Price: ,4.2,ok
1.122081462, Sport: ,Snooker, Time: ,Tue Dec 01 14:00:00 CET 2015, Time: ,Tue Dec 01 14:00:00 CET 2015, Event: ,Martin Gould v Mark Allen, Favorite: ,Mark Allen, 2279947   size:30.13,Price: ,1.52,Martin Gould, 2613031   size:91.58,Price: ,2.88,x
1.122079182, Sport: ,Basketball, Time: ,Tue Dec 01 17:30:00 CET 2015, Time: ,Tue Dec 01 17:30:00 CET 2015, Event: ,KTP Basket v Turk Telekom, Favorite: ,Turk Telekom, 631280   ,ok
1.122080011, Sport: ,Soccer, Time: ,Tue Dec 01 19:30:00 CET 2015, Time: ,Tue Dec 01 19:30:00 CET 2015, Event: ,Maccabi Haifa v Maccabi Petach Tikva, Favorite: ,Maccabi Haifa, 189818   size:26.37,Price: ,2.04,Maccabi Petach Tikva, 939576   size:57.02,Price: ,4.0,The Draw, 58805   size:3.43,Price: ,3.55,x
1.121979194, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Leganes v Granada, Favorite: ,Leganes, 309109   size:272.24,Price: ,2.3,Granada, 2255452   size:109.32,Price: ,3.6,The Draw, 58805   size:418.91,Price: ,3.25,ok
1.122092599, Sport: ,Tennis, Time: ,Tue Dec 01 11:55:00 CET 2015, Time: ,Tue Dec 01 11:55:00 CET 2015, Event: ,Clayton, Scott v Numajiri, Keisuke, Favorite: ,Scott Clayton, 8596404   size:427.65,Price: ,1.1,Keisuke Numajiri, 8997147   size:16.13,Price: ,3.65,ok
1.121978782, Sport: ,Soccer, Time: ,Tue Dec 01 20:45:00 CET 2015, Time: ,Tue Dec 01 20:45:00 CET 2015, Event: ,Morecambe v Dag and Red, Favorite: ,Morecambe, 51311   size:45.77,Price: ,2.14,Dag and Red, 66244   size:165.25,Price: ,3.7,The Draw, 58805   size:122.54,Price: ,3.8,ok
1.121979359, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Bourg-Peronnas v Niort, Favorite: ,Bourg-Peronnas, 676431   size:38.63,Price: ,2.36,Niort, 309687   size:15.68,Price: ,3.4,The Draw, 58805   size:298.25,Price: ,3.3,ok
1.121999761, Sport: ,Ice Hockey, Time: ,Tue Dec 01 19:45:00 CET 2015, Time: ,Tue Dec 01 19:45:00 CET 2015, Event: ,Lugano v Kloten Flyers, Favorite: ,Lugano, 243259   size:164.01,Price: ,1.87,Kloten Flyers, 243255   size:4.06,Price: ,3.25,Tie, 60104   size:109.38,Price: ,4.3,ok
1.121999686, Sport: ,Ice Hockey, Time: ,Tue Dec 01 19:45:00 CET 2015, Time: ,Tue Dec 01 19:45:00 CET 2015, Event: ,SCL Tigers v ZSC Lions, Favorite: ,ZSC Lions, 243260   size:23.19,Price: ,1.88,SCL Tigers, 243257   size:9.13,Price: ,3.3,Tie, 60104   size:2.06,Price: ,4.8,ok
1.121978988, Sport: ,Soccer, Time: ,Tue Dec 01 19:00:00 CET 2015, Time: ,Tue Dec 01 19:00:00 CET 2015, Event: ,Lorient v Nice, Favorite: ,Lorient, 44794   size:152.58,Price: ,2.3,Nice, 189829   size:98.32,Price: ,3.55,The Draw, 58805   size:2166.89,Price: ,3.5,x
