1.122080272, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Queen of South U20 v Clyde U20, Favorite: ,Queen of South U20, 9220053   size:5.0,Price: ,1.12,Clyde U20, 9220046   size:10.38,Price: ,3.1,The Draw, 58805   size:10.61,Price: ,4.5,x
1.122084473, Sport: ,Basketball, Time: ,Wed Dec 02 17:45:00 CET 2015, Time: ,Wed Dec 02 17:45:00 CET 2015, Event: ,Good Angels Kosice (W) v ESB Lille (W), Favorite: ,Good Angels Kosice (W), 5291016   size:1577.13,Price: ,1.04,ESB Lille (W), 8978730   size:195.08,Price: ,1.04,x
1.122080011, Sport: ,Soccer, Time: ,Tue Dec 01 19:30:00 CET 2015, Time: ,Tue Dec 01 19:30:00 CET 2015, Event: ,Maccabi Haifa v Maccabi Petach Tikva, Favorite: ,Maccabi Petach Tikva, 939576   size:326.93,Price: ,1.62,Maccabi Haifa, 189818   size:8.51,Price: ,6.8,The Draw, 58805   size:41.13,Price: ,3.95,ok
1.121996669, Sport: ,Soccer, Time: ,Wed Dec 02 12:00:00 CET 2015, Time: ,Wed Dec 02 12:00:00 CET 2015, Event: ,Fatih Karagumrukspor v Mersin Idman Yurdu, Favorite: ,Mersin Idman Yurdu, 508779   size:2.55,Price: ,1.69,Fatih Karagumrukspor, 8752898   size:9.46,Price: ,4.0,The Draw, 58805   size:11.35,Price: ,3.5,x
1.121979551, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Red Star v Metz, Favorite: ,Red Star, 496950   size:7.52,Price: ,2.66,Metz, 44795   size:12.27,Price: ,3.2,The Draw, 58805   size:341.33,Price: ,3.1,ok
1.121996689, Sport: ,Soccer, Time: ,Wed Dec 02 12:00:00 CET 2015, Time: ,Wed Dec 02 12:00:00 CET 2015, Event: ,Kastamonuspor v Kasimpasa, Favorite: ,Kasimpasa, 2080735   size:2.55,Price: ,1.31,Kastamonuspor, 4202579   size:6.72,Price: ,7.0,The Draw, 58805   size:2.55,Price: ,4.7,x
1.121979359, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Bourg-Peronnas v Niort, Favorite: ,Bourg-Peronnas, 676431   size:25.24,Price: ,2.42,Niort, 309687   size:186.34,Price: ,3.3,The Draw, 58805   size:82.12,Price: ,3.45,ok
1.121999685, Sport: ,Ice Hockey, Time: ,Tue Dec 01 19:45:00 CET 2015, Time: ,Tue Dec 01 19:45:00 CET 2015, Event: ,Biel v Ambri Piotta, Favorite: ,Biel, 3315685   size:2.31,Price: ,2.16,Ambri Piotta, 2584459   size:9.78,Price: ,2.88,Tie, 60104   size:115.03,Price: ,4.1,x
1.121996369, Sport: ,Soccer, Time: ,Wed Dec 02 14:00:00 CET 2015, Time: ,Wed Dec 02 14:00:00 CET 2015, Event: ,Larissa v Xanthi, Favorite: ,Larissa, 1043626   size:2.55,Price: ,2.3,Xanthi, 728086   size:11.33,Price: ,2.74,The Draw, 58805   size:2.55,Price: ,3.3,ok
1.121999686, Sport: ,Ice Hockey, Time: ,Tue Dec 01 19:45:00 CET 2015, Time: ,Tue Dec 01 19:45:00 CET 2015, Event: ,SCL Tigers v ZSC Lions, Favorite: ,ZSC Lions, 243260   size:17.12,Price: ,1.85,SCL Tigers, 243257   size:37.66,Price: ,3.55,Tie, 60104   size:2.06,Price: ,4.8,ok
1.121999687, Sport: ,Ice Hockey, Time: ,Tue Dec 01 19:45:00 CET 2015, Time: ,Tue Dec 01 19:45:00 CET 2015, Event: ,Lausanne HC v Fribourg Gotteron, Favorite: ,Lausanne HC, 7555451   size:32.8,Price: ,2.3,Fribourg Gotteron, 243252   size:28.36,Price: ,2.6,Tie, 60104   size:16.41,Price: ,4.2,ok
1.121979455, Sport: ,Soccer, Time: ,Tue Dec 01 21:00:00 CET 2015, Time: ,Tue Dec 01 21:00:00 CET 2015, Event: ,Dijon v Auxerre, Favorite: ,Dijon, 305995   size:113.73,Price: ,1.65,Auxerre, 44800   size:251.13,Price: ,6.8,The Draw, 58805   size:145.21,Price: ,3.95,x
1.121996683, Sport: ,Soccer, Time: ,Wed Dec 02 10:30:00 CET 2015, Time: ,Wed Dec 02 10:30:00 CET 2015, Event: ,Igdir Aras Spor v Bandirmaspor, Favorite: ,Igdir Aras Spor, 10293957   size:9.41,Price: ,1.04,Bandirmaspor, 4985299   size:9.41,Price: ,1.04,The Draw, 58805   size:14.18,Price: ,3.1,x
1.122069682, Sport: ,Basketball, Time: ,Wed Dec 02 12:00:00 CET 2015, Time: ,Wed Dec 02 12:00:00 CET 2015, Event: ,Mahindra Enforcers v San Miguel Beermen, Favorite: ,San Miguel Beermen, 3803247   size:2.55,Price: ,1.14,Mahindra Enforcers, 10425277   size:2.55,Price: ,5.0,ok
1.121996321, Sport: ,Soccer, Time: ,Wed Dec 02 13:30:00 CET 2015, Time: ,Wed Dec 02 13:30:00 CET 2015, Event: ,Levadiakos v AOK Kerkyra, Favorite: ,Levadiakos, 531200   size:2.55,Price: ,1.66,AOK Kerkyra, 8785880   size:10.0,Price: ,5.1,The Draw, 58805   size:4.15,Price: ,3.45,ok
1.122099777, Sport: ,Basketball, Time: ,Wed Dec 02 15:00:00 CET 2015, Time: ,Wed Dec 02 15:00:00 CET 2015, Event: ,Astana v CS Energia Rovinari Tar, Favorite: ,CS Energia Rovinari Tar, 10322191   size:2.83,Price: ,1.03,Astana, 5877769   size:17.89,Price: ,1.32,ok
