1.122102925, Sport: ,Volleyball, Time: ,Wed Dec 02 17:00:00 CET 2015, Time: ,Wed Dec 02 17:00:00 CET 2015, Event: ,SCM Craiova v Olympiakos, Favorite: ,Olympiakos, 1107070   size:15.98,Price: ,1.78,Scm Craiova, 10410544   size:13.4,Price: ,1.93,ok
1.122102927, Sport: ,Volleyball, Time: ,Wed Dec 02 19:00:00 CET 2015, Time: ,Wed Dec 02 19:00:00 CET 2015, Event: ,SK Posojilnica Aich/Dob v AS Cannes, Favorite: ,SK Posojilnica Aich/Dob, 7894527   size:78.05,Price: ,1.04,AS Cannes, 1302062   size:1411.86,Price: ,1.04,x
1.122044718, Sport: ,Soccer, Time: ,Wed Dec 02 21:00:00 CET 2015, Time: ,Wed Dec 02 21:00:00 CET 2015, Event: ,Uniao Madeira v Porto, Favorite: ,Porto, 48785   size:950.0,Price: ,1.23,Uniao Madeira, 505985   size:8.94,Price: ,19.0,The Draw, 58805   size:38.86,Price: ,7.0,ok
1.121996723, Sport: ,Basketball, Time: ,Thu Dec 03 07:00:00 CET 2015, Time: ,Thu Dec 03 07:00:00 CET 2015, Event: ,SMU @ TCU, Favorite: ,SMU, 723285   size:3.0,Price: ,1.04,TCU, 711186   size:3.0,Price: ,1.04,ok
1.121994541, Sport: ,Soccer, Time: ,Wed Dec 02 20:30:00 CET 2015, Time: ,Wed Dec 02 20:30:00 CET 2015, Event: ,Lech Poznan v Wisla Krakow, Favorite: ,Lech Poznan, 502303   size:285.02,Price: ,1.87,Wisla Krakow, 10782   size:10.17,Price: ,4.9,The Draw, 58805   size:288.0,Price: ,3.6,ok
1.121995752, Sport: ,Soccer, Time: ,Wed Dec 02 13:30:00 CET 2015, Time: ,Wed Dec 02 13:30:00 CET 2015, Event: ,Al Jalil v Al Salt, Favorite: ,Al Jalil, 5650175   size:7.65,Price: ,1.85,Al Salt, 6809966   size:4.6,Price: ,3.75,The Draw, 58805   size:4.82,Price: ,3.2,x
1.122084296, Sport: ,Basketball, Time: ,Thu Dec 03 02:00:00 CET 2015, Time: ,Thu Dec 03 02:00:00 CET 2015, Event: ,Toronto @ Atlanta, Favorite: ,Atlanta, 13114   size:3.7,Price: ,1.35,Toronto, 13113   size:2.38,Price: ,2.1,x
1.121995632, Sport: ,Soccer, Time: ,Wed Dec 02 16:00:00 CET 2015, Time: ,Wed Dec 02 16:00:00 CET 2015, Event: ,Algeria U23 v Mali U23, Favorite: ,Algeria U23, 9987489   size:6.9,Price: ,1.06,Mali U23, 10563288   size:6.9,Price: ,1.06,The Draw, 58805   size:5.88,Price: ,3.2,ok
1.122090738, Sport: ,Soccer, Time: ,Wed Dec 02 12:30:00 CET 2015, Time: ,Wed Dec 02 12:30:00 CET 2015, Event: ,MKS Korona Kielce U19 v FKS Stal Mielec U19, Favorite: ,MKS Korona Kielce U19, 7202812   size:2.54,Price: ,1.97,FKS Stal Mielec U19, 7619052   size:4.02,Price: ,2.64,The Draw, 58805   size:2.54,Price: ,3.95,ok
1.122091398, Sport: ,Soccer, Time: ,Wed Dec 02 20:45:00 CET 2015, Time: ,Wed Dec 02 20:45:00 CET 2015, Event: ,Carlton Town v Barwell, Favorite: ,Barwell, 4597907   size:2.94,Price: ,1.7,Carlton Town, 7550622   size:50.42,Price: ,3.45,The Draw, 58805   size:50.42,Price: ,3.45,x
1.122092483, Sport: ,Snooker, Time: ,Wed Dec 02 20:00:00 CET 2015, Time: ,Wed Dec 02 20:00:00 CET 2015, Event: ,Luca Brecel v Matthew Selt, Favorite: ,Luca Brecel, 5073722   size:26.06,Price: ,1.92,Matthew Selt, 2725267   size:5.0,Price: ,1.99,x
1.122093451, Sport: ,Cricket, Time: ,Thu Dec 03 04:00:00 CET 2015, Time: ,Thu Dec 03 04:00:00 CET 2015, Event: ,Bangladesh (W) v Zimbabwe (W), Favorite: ,Bangladesh (W), 7659197   size:1277.28,Price: ,1.04,Zimbabwe (W), 10534098   size:1277.28,Price: ,1.04,ok
1.122102919, Sport: ,Volleyball, Time: ,Wed Dec 02 18:30:00 CET 2015, Time: ,Wed Dec 02 18:30:00 CET 2015, Event: ,Powervolleys Dueren v VK Ceske Budejovice, Favorite: ,Powervolleys Dueren, 10410537   size:1411.86,Price: ,1.04,VK Ceske Budejovice, 10311943   size:78.05,Price: ,1.04,ok
1.122102938, Sport: ,Volleyball, Time: ,Wed Dec 02 17:30:00 CET 2015, Time: ,Wed Dec 02 17:30:00 CET 2015, Event: ,Tiikerit v Gazprom-Ugra Surgut, Favorite: ,Tiikerit, 7828384   size:78.05,Price: ,1.04,Gazprom-Ugra Surgut, 10410542   size:1411.86,Price: ,1.04,x
1.122084500, Sport: ,Basketball, Time: ,Wed Dec 02 22:30:00 CET 2015, Time: ,Wed Dec 02 22:30:00 CET 2015, Event: ,Minas v Mogi, Favorite: ,Minas, 8948839   size:2.83,Price: ,1.03,Mogi, 8948840   size:2.83,Price: ,1.03,ok
1.121994316, Sport: ,Soccer, Time: ,Wed Dec 02 18:00:00 CET 2015, Time: ,Wed Dec 02 18:00:00 CET 2015, Event: ,Legia Warsaw v Gornik Leczna, Favorite: ,Legia Warsaw, 46943   size:9.91,Price: ,1.4,Gornik Leczna, 502299   size:59.02,Price: ,11.0,The Draw, 58805   size:99.23,Price: ,5.0,ok
1.121976212, Sport: ,Ice Hockey, Time: ,Wed Dec 02 17:30:00 CET 2015, Time: ,Wed Dec 02 17:30:00 CET 2015, Event: ,SaPKo v Jokipojat, Favorite: ,Sapko, 4196539   size:3.02,Price: ,2.18,Jokipojat, 758155   size:8.51,Price: ,2.76,Tie, 60104   size:41.73,Price: ,4.4,x
1.121976213, Sport: ,Ice Hockey, Time: ,Wed Dec 02 17:30:00 CET 2015, Time: ,Wed Dec 02 17:30:00 CET 2015, Event: ,JYP Akatemia v TuTo, Favorite: ,TuTo, 4196542   size:3.46,Price: ,1.9,JYP Akatemia, 5847122   size:2.19,Price: ,3.0,Tie, 60104   size:172.87,Price: ,4.0,ok
1.121995522, Sport: ,Soccer, Time: ,Wed Dec 02 11:00:00 CET 2015, Time: ,Wed Dec 02 11:00:00 CET 2015, Event: ,FC Vysocina Jihlava U19 v AC Sparta Praha U19, Favorite: ,AC Sparta Praha U19, 6533101   size:381.35,Price: ,1.08,FC Vysocina Jihlava U19, 6582670   size:6.56,Price: ,16.5,The Draw, 58805   size:7.09,Price: ,9.2,x
1.122090848, Sport: ,Soccer, Time: ,Wed Dec 02 10:00:00 CET 2015, Time: ,Wed Dec 02 10:00:00 CET 2015, Event: ,Zenit St Petersburg (Y) v FC Ufa (Y), Favorite: ,Zenit St Petersburg (Y), 6289889   size:16.32,Price: ,1.38,FC Ufa (Y), 10178767   size:2.77,Price: ,7.8,The Draw, 58805   size:11.06,Price: ,5.8,ok
