1.122117187, Sport: ,Soccer, Time: ,Thu Dec 03 16:30:00 CET 2015, Time: ,Thu Dec 03 16:30:00 CET 2015, Event: ,Al Fujairah (UAE) v Emirates Club, Favorite: ,Emirates Club, 5305983   size:4.88,Price: ,1.83,Al Fujairah (UAE), 8855413   size:36.72,Price: ,4.2,The Draw, 58805   size:4.9,Price: ,3.85,x
1.122059531, Sport: ,Ice Hockey, Time: ,Fri Dec 04 04:05:00 CET 2015, Time: ,Fri Dec 04 04:05:00 CET 2015, Event: ,Dallas @ Vancouver, Favorite: ,Dallas, 2108116   size:2.71,Price: ,2.26,Vancouver, 2109691   size:5.35,Price: ,2.5,Tie, 60104   size:8.04,Price: ,3.8,ok
1.121990467, Sport: ,Ice Hockey, Time: ,Thu Dec 03 17:00:00 CET 2015, Time: ,Thu Dec 03 17:00:00 CET 2015, Event: ,Ak Bars v Jokerit, Favorite: ,AK Bars, 2582640   size:29.95,Price: ,2.08,Jokerit, 66263   size:24.41,Price: ,3.25,Tie, 60104   size:52.0,Price: ,4.2,ok
1.121990627, Sport: ,Ice Hockey, Time: ,Thu Dec 03 17:00:00 CET 2015, Time: ,Thu Dec 03 17:00:00 CET 2015, Event: ,Lokomotiv v Severstal, Favorite: ,Lokomotiv, 2240051   size:96.0,Price: ,1.58,Severstal, 2560282   size:28.37,Price: ,5.3,Tie, 60104   size:67.0,Price: ,4.8,ok
1.122101558, Sport: ,Soccer, Time: ,Thu Dec 03 20:00:00 CET 2015, Time: ,Thu Dec 03 20:00:00 CET 2015, Event: ,Venezuela (W) U20 v Colombia U20 (W), Favorite: ,Colombia U20 (W), 4835198   size:2.55,Price: ,2.22,Venezuela (W) U20, 8060059   size:2.55,Price: ,3.55,The Draw, 58805   size:123.98,Price: ,3.3,x
1.122096835, Sport: ,Basketball, Time: ,Fri Dec 04 04:00:00 CET 2015, Time: ,Fri Dec 04 04:00:00 CET 2015, Event: ,Indiana @ Portland, Favorite: ,Indiana, 13116   size:2.0,Price: ,1.75,Portland, 13129   size:2.75,Price: ,2.18,x
1.122110828, Sport: ,Ice Hockey, Time: ,Fri Dec 04 10:30:00 CET 2015, Time: ,Fri Dec 04 10:30:00 CET 2015, Event: ,Amur v Avtomobilist, Favorite: ,Avtomobilist, 4138395   size:15.61,Price: ,2.28,Amur, 2240061   size:15.61,Price: ,2.48,Tie, 60104   size:6.14,Price: ,3.55,x
1.122100188, Sport: ,Basketball, Time: ,Thu Dec 03 16:00:00 CET 2015, Time: ,Thu Dec 03 16:00:00 CET 2015, Event: ,Spartak MR (W) v Besiktas (W), Favorite: ,Spartak MR (W), 8978715   size:2.82,Price: ,1.03,Besiktas (W), 10466210   size:2.82,Price: ,1.03,ok
1.121990461, Sport: ,Soccer, Time: ,Thu Dec 03 14:30:00 CET 2015, Time: ,Thu Dec 03 14:30:00 CET 2015, Event: ,Goztepe v Nazilli Belediyespor, Favorite: ,Goztepe, 113239   size:6.13,Price: ,1.26,Nazilli Belediyespor, 965424   size:3.85,Price: ,8.8,The Draw, 58805   size:4.43,Price: ,6.0,x
1.121999682, Sport: ,Ice Hockey, Time: ,Thu Dec 03 18:30:00 CET 2015, Time: ,Thu Dec 03 18:30:00 CET 2015, Event: ,Storhamar v Stjernen, Favorite: ,Storhamar, 71258   size:4.66,Price: ,1.42,Stjernen, 61434   size:115.22,Price: ,5.9,Tie, 60104   size:70.58,Price: ,6.0,x
1.121990580, Sport: ,Soccer, Time: ,Thu Dec 03 14:00:00 CET 2015, Time: ,Thu Dec 03 14:00:00 CET 2015, Event: ,Ergotelis v Panaitolikos, Favorite: ,Panaitolikos, 2126382   size:5.64,Price: ,1.81,Ergotelis, 531199   size:68.51,Price: ,5.1,The Draw, 58805   size:34.21,Price: ,3.75,x
