1.122092639, Sport: ,Ice Hockey, Time: ,Fri Dec 04 17:30:00 CET 2015, Time: ,Fri Dec 04 17:30:00 CET 2015, Event: ,Lukko v Sport, Favorite: ,Lukko, 66603   size:103.71,Price: ,1.7,Sport, 275249   size:96.99,Price: ,4.3,Tie, 60104   size:96.99,Price: ,4.6,ok
1.122007130, Sport: ,Soccer, Time: ,Fri Dec 04 13:00:00 CET 2015, Time: ,Fri Dec 04 13:00:00 CET 2015, Event: ,Maccabi Yavne v Hapoel Ramat Gan, Favorite: ,Maccabi Yavne, 5415484   size:11.43,Price: ,2.28,Hapoel Ramat Gan, 542944   size:2.76,Price: ,3.05,The Draw, 58805   size:22.55,Price: ,3.2,x
1.122059531, Sport: ,Ice Hockey, Time: ,Fri Dec 04 04:05:00 CET 2015, Time: ,Fri Dec 04 04:05:00 CET 2015, Event: ,Dallas @ Vancouver, Favorite: ,Dallas, 2108116   size:329.99,Price: ,2.34,Vancouver, 2109691   size:7.3,Price: ,2.84,Tie, 60104   size:95.06,Price: ,4.1,ok
1.122092757, Sport: ,Ice Hockey, Time: ,Fri Dec 04 19:15:00 CET 2015, Time: ,Fri Dec 04 19:15:00 CET 2015, Event: ,Red Bull Salzburg v Graz 99ers, Favorite: ,Red Bull Salzburg, 2584427   size:15.25,Price: ,1.43,Graz 99ers, 748396   size:69.19,Price: ,5.0,Tie, 60104   size:57.66,Price: ,5.8,ok
1.122008861, Sport: ,Soccer, Time: ,Fri Dec 04 17:00:00 CET 2015, Time: ,Fri Dec 04 17:00:00 CET 2015, Event: ,Dinamo Moscow v Anzhi Makhachkala, Favorite: ,Dinamo Moscow, 50343   size:34.71,Price: ,2.2,Anzhi Makhachkala, 50353   size:16.74,Price: ,3.85,The Draw, 58805   size:308.65,Price: ,3.35,x
1.122101558, Sport: ,Soccer, Time: ,Thu Dec 03 20:00:00 CET 2015, Time: ,Thu Dec 03 20:00:00 CET 2015, Event: ,Venezuela (W) U20 v Colombia U20 (W), Favorite: ,Colombia U20 (W), 4835198   size:10.11,Price: ,1.35,Venezuela (W) U20, 8060059   size:18.73,Price: ,15.5,The Draw, 58805   size:2.86,Price: ,5.1,x
1.122102889, Sport: ,Ice Hockey, Time: ,Fri Dec 04 18:00:00 CET 2015, Time: ,Fri Dec 04 18:00:00 CET 2015, Event: ,Pardubice v Kometa Brno, Favorite: ,Pardubice, 563269   size:15.25,Price: ,2.34,Kometa Brno, 3304802   size:15.25,Price: ,2.34,Tie, 60104   size:76.1,Price: ,4.4,ok
1.122110828, Sport: ,Ice Hockey, Time: ,Fri Dec 04 10:30:00 CET 2015, Time: ,Fri Dec 04 10:30:00 CET 2015, Event: ,Amur v Avtomobilist, Favorite: ,Amur, 2240061   size:65.0,Price: ,2.44,Avtomobilist, 4138395   size:52.99,Price: ,2.62,Tie, 60104   size:70.0,Price: ,3.9,ok
1.122102880, Sport: ,Ice Hockey, Time: ,Fri Dec 04 18:00:00 CET 2015, Time: ,Fri Dec 04 18:00:00 CET 2015, Event: ,Karlovy Vary v Mountfield HK, Favorite: ,Mountfield HK, 7577373   size:15.25,Price: ,2.28,Karlovy Vary, 1366079   size:15.25,Price: ,2.48,Tie, 60104   size:76.1,Price: ,4.3,ok
1.122006606, Sport: ,Soccer, Time: ,Fri Dec 04 11:30:00 CET 2015, Time: ,Fri Dec 04 11:30:00 CET 2015, Event: ,Churchill Brothers v Laxmi Prasad SC, Favorite: ,Laxmi Prasad SC, 7598596   size:3.66,Price: ,1.11,Churchill Brothers, 4484783   size:40.0,Price: ,1.3,The Draw, 58805   size:40.0,Price: ,3.6,x
1.122044161, Sport: ,Soccer, Time: ,Fri Dec 04 18:00:00 CET 2015, Time: ,Fri Dec 04 18:00:00 CET 2015, Event: ,Metalurg Z v Dynamo Kiev, Favorite: ,Dynamo Kiev, 238549   size:259.8,Price: ,1.05,Metalurg Z, 489141   size:4.0,Price: ,50.0,The Draw, 58805   size:2.8,Price: ,17.5,ok
1.122114916, Sport: ,Soccer, Time: ,Fri Dec 04 19:00:00 CET 2015, Time: ,Fri Dec 04 19:00:00 CET 2015, Event: ,FC Copenhagen U19 v Brondby IF U19, Favorite: ,FC Copenhagen U19, 7653274   size:3.66,Price: ,1.11,Brondby IF U19, 8039223   size:3.66,Price: ,1.11,The Draw, 58805   size:13.83,Price: ,3.1,ok
