1.122008861, Sport: ,Soccer, Time: ,Fri Dec 04 17:00:00 CET 2015, Time: ,Fri Dec 04 17:00:00 CET 2015, Event: ,Dinamo Moscow v Anzhi Makhachkala, Favorite: ,Dinamo Moscow, 50343   size:112.91,Price: ,2.22,Anzhi Makhachkala, 50353   size:10.37,Price: ,3.75,The Draw, 58805   size:6.8,Price: ,3.45,x
1.122008060, Sport: ,Soccer, Time: ,Fri Dec 04 20:00:00 CET 2015, Time: ,Fri Dec 04 20:00:00 CET 2015, Event: ,Emmen v MVV Maastricht, Favorite: ,Emmen, 419126   size:66.56,Price: ,2.0,MVV Maastricht, 8704630   size:2.75,Price: ,3.85,The Draw, 58805   size:214.9,Price: ,3.85,x
1.122044161, Sport: ,Soccer, Time: ,Fri Dec 04 18:00:00 CET 2015, Time: ,Fri Dec 04 18:00:00 CET 2015, Event: ,Metalurg Z v Dynamo Kiev, Favorite: ,Dynamo Kiev, 238549   size:109.99,Price: ,1.03,Metalurg Z, 489141   size:2.76,Price: ,70.0,The Draw, 58805   size:2.9,Price: ,32.0,ok
1.122114916, Sport: ,Soccer, Time: ,Fri Dec 04 19:00:00 CET 2015, Time: ,Fri Dec 04 19:00:00 CET 2015, Event: ,FC Copenhagen U19 v Brondby IF U19, Favorite: ,FC Copenhagen U19, 7653274   size:2.55,Price: ,1.5,Brondby IF U19, 8039223   size:2.55,Price: ,4.5,The Draw, 58805   size:44.79,Price: ,3.7,ok
1.122097136, Sport: ,Ice Hockey, Time: ,Fri Dec 04 19:30:00 CET 2015, Time: ,Fri Dec 04 19:30:00 CET 2015, Event: ,Herning v Odense, Favorite: ,Herning, 70631   size:15.23,Price: ,1.85,Odense, 70624   size:7.76,Price: ,2.76,Tie, 60104   size:36.46,Price: ,4.9,x
1.122112618, Sport: ,Ice Hockey, Time: ,Fri Dec 04 19:45:00 CET 2015, Time: ,Fri Dec 04 19:45:00 CET 2015, Event: ,Kloten Flyers v SCL Tigers, Favorite: ,Kloten Flyers, 243255   size:87.72,Price: ,1.29,SCL Tigers, 243257   size:9.16,Price: ,2.36,Tie, 60104   size:32.35,Price: ,5.4,ok
1.122112617, Sport: ,Ice Hockey, Time: ,Fri Dec 04 19:45:00 CET 2015, Time: ,Fri Dec 04 19:45:00 CET 2015, Event: ,Fribourg Gotteron v Lugano, Favorite: ,Fribourg Gotteron, 243252   size:16.94,Price: ,1.5,Lugano, 243259   size:16.61,Price: ,1.51,Tie, 60104   size:18.09,Price: ,1.54,x
1.122009958, Sport: ,Soccer, Time: ,Fri Dec 04 21:30:00 CET 2015, Time: ,Fri Dec 04 21:30:00 CET 2015, Event: ,Benfica v Academica, Favorite: ,Benfica, 48783   size:8423.88,Price: ,1.14,Academica, 203143   size:3.98,Price: ,38.0,The Draw, 58805   size:114.12,Price: ,9.6,ok
1.122115686, Sport: ,Soccer, Time: ,Fri Dec 04 16:30:00 CET 2015, Time: ,Fri Dec 04 16:30:00 CET 2015, Event: ,Shabab Al Ordon v Al Buqaa, Favorite: ,Shabab Al Ordon, 4692621   size:4.04,Price: ,1.81,Al Buqaa, 10428791   size:7.0,Price: ,3.85,The Draw, 58805   size:2.38,Price: ,3.25,ok
1.122099665, Sport: ,Ice Hockey, Time: ,Fri Dec 04 19:30:00 CET 2015, Time: ,Fri Dec 04 19:30:00 CET 2015, Event: ,Augsburger Panther v Dusseldorfer, Favorite: ,Augsburger Panther, 233922   size:25.5,Price: ,2.28,Dusseldorfer, 6671675   size:5.82,Price: ,2.74,Tie, 60104   size:20.0,Price: ,4.7,x
1.122007764, Sport: ,Soccer, Time: ,Fri Dec 04 19:30:00 CET 2015, Time: ,Fri Dec 04 19:30:00 CET 2015, Event: ,CFR Cluj v Concordia Chiajna, Favorite: ,CFR Cluj, 1193695   size:93.61,Price: ,1.84,Concordia Chiajna, 5367199   size:10.08,Price: ,4.8,The Draw, 58805   size:13.16,Price: ,3.75,x
