1.122171145, Sport: ,Soccer, Time: ,Sun Dec 06 11:00:00 CET 2015, Time: ,Sun Dec 06 11:00:00 CET 2015, Event: ,Dortmund U19 v Fortuna Dusseldorf U19, Favorite: ,Dortmund U19, 6267902   size:2.6,Price: ,1.59,Fortuna Dusseldorf U19, 6384612   size:8.71,Price: ,3.5,The Draw, 58805   size:3.56,Price: ,4.0,ok
1.122170297, Sport: ,Soccer, Time: ,Sun Dec 06 23:00:00 CET 2015, Time: ,Sun Dec 06 23:00:00 CET 2015, Event: ,Santa Tecla v FAS, Favorite: ,Santa Tecla, 10152861   size:7.52,Price: ,1.64,Fas, 4867481   size:9.11,Price: ,2.62,The Draw, 58805   size:3.8,Price: ,3.25,x
1.122164974, Sport: ,Basketball, Time: ,Sun Dec 06 20:00:00 CET 2015, Time: ,Sun Dec 06 20:00:00 CET 2015, Event: ,Energa Czarni Slupsk v Anwil, Favorite: ,Anwil, 1312084   size:2.77,Price: ,1.03,Energa Czarni Slupsk, 2125689   size:12.65,Price: ,1.45,x
1.122164730, Sport: ,Soccer, Time: ,Sun Dec 06 13:00:00 CET 2015, Time: ,Sun Dec 06 13:00:00 CET 2015, Event: ,UDG Tenerife Sur (W) v Atletico Madrid (W), Favorite: ,Atletico Madrid (W), 10243490   size:2.55,Price: ,1.24,UDG Tenerife Sur (W), 9488105   size:3.47,Price: ,6.2,The Draw, 58805   size:2.94,Price: ,5.1,ok
1.122162310, Sport: ,Soccer, Time: ,Sun Dec 06 12:00:00 CET 2015, Time: ,Sun Dec 06 12:00:00 CET 2015, Event: ,CD Varea v CCD Alberite, Favorite: ,CD Varea, 7237061   size:11.02,Price: ,1.12,CCD Alberite, 10550276   size:5.76,Price: ,17.0,The Draw, 58805   size:12.78,Price: ,10.0,ok
1.122049731, Sport: ,Soccer, Time: ,Sun Dec 06 15:00:00 CET 2015, Time: ,Sun Dec 06 15:00:00 CET 2015, Event: ,Casertana v Monopoli, Favorite: ,Casertana, 5727546   size:3.7,Price: ,1.62,Monopoli, 10284167   size:47.52,Price: ,6.8,The Draw, 58805   size:4.14,Price: ,3.7,ok
1.122164969, Sport: ,Basketball, Time: ,Sun Dec 06 10:15:00 CET 2015, Time: ,Sun Dec 06 10:15:00 CET 2015, Event: ,Talk n Text v Rain or Shine, Favorite: ,Talk N Text, 4425512   size:11.37,Price: ,1.84,Rain Or Shine, 3880438   size:5.0,Price: ,2.1,ok
1.122045018, Sport: ,Soccer, Time: ,Sun Dec 06 13:00:00 CET 2015, Time: ,Sun Dec 06 13:00:00 CET 2015, Event: ,FC Brno v Mlada Boleslav, Favorite: ,Mlada Boleslav, 886284   size:14.49,Price: ,1.94,FC Brno, 367582   size:102.63,Price: ,4.2,The Draw, 58805   size:2.94,Price: ,3.75,x
1.122173210, Sport: ,Soccer, Time: ,Sun Dec 06 16:00:00 CET 2015, Time: ,Sun Dec 06 16:00:00 CET 2015, Event: ,Naxxar Lions FC v Hibernians, Favorite: ,Hibernians, 440559   size:3.67,Price: ,1.11,Naxxar Lions FC, 7438217   size:16.1,Price: ,10.5,The Draw, 58805   size:29.37,Price: ,5.9,ok
1.122054086, Sport: ,Soccer, Time: ,Sun Dec 06 20:00:00 CET 2015, Time: ,Sun Dec 06 20:00:00 CET 2015, Event: ,Goias v Sao Paulo, Favorite: ,Sao Paulo, 198126   size:451.8,Price: ,2.34,Goias, 198131   size:26.49,Price: ,3.1,The Draw, 58805   size:11.27,Price: ,3.85,ok
1.122049735, Sport: ,Soccer, Time: ,Sun Dec 06 15:00:00 CET 2015, Time: ,Sun Dec 06 15:00:00 CET 2015, Event: ,Lupa Roma v Savona, Favorite: ,Lupa Roma, 8802594   size:5.55,Price: ,2.4,Savona, 5924211   size:2.7,Price: ,3.35,The Draw, 58805   size:3.83,Price: ,3.2,ok
1.122049737, Sport: ,Soccer, Time: ,Sun Dec 06 15:00:00 CET 2015, Time: ,Sun Dec 06 15:00:00 CET 2015, Event: ,Lucchese v Teramo, Favorite: ,Lucchese, 201275   size:2.69,Price: ,2.6,Teramo, 501201   size:2.69,Price: ,3.05,The Draw, 58805   size:3.84,Price: ,3.15,ok
1.122048409, Sport: ,Soccer, Time: ,Sun Dec 06 17:00:00 CET 2015, Time: ,Sun Dec 06 17:00:00 CET 2015, Event: ,Mallorca v Albacete, Favorite: ,Mallorca, 10542   size:5.0,Price: ,2.24,Albacete, 309089   size:15.63,Price: ,3.75,The Draw, 58805   size:214.79,Price: ,3.3,ok
