1.122170297, Sport: ,Soccer, Time: ,Sun Dec 06 23:00:00 CET 2015, Time: ,Sun Dec 06 23:00:00 CET 2015, Event: ,Santa Tecla v FAS, Favorite: ,Santa Tecla, 10152861   size:5.0,Price: ,1.78,Fas, 4867481   size:6.05,Price: ,3.65,The Draw, 58805   size:3.76,Price: ,3.25,x
1.122183928, Sport: ,Tennis, Time: ,Mon Dec 07 11:30:00 CET 2015, Time: ,Mon Dec 07 11:30:00 CET 2015, Event: ,Alexandra Riley v Nina Kolar, Favorite: ,Alexandra Riley, 8961735   size:38.87,Price: ,1.88,Nina Kolar, 10350136   size:39.53,Price: ,1.88,ok
1.122183926, Sport: ,Tennis, Time: ,Mon Dec 07 11:00:00 CET 2015, Time: ,Mon Dec 07 11:00:00 CET 2015, Event: ,Ronke Akingbade v Christie Nwankwo, Favorite: ,Ronke Akingbade, 10601293   size:2.54,Price: ,1.14,Christie Nwankwo, 10601294   size:2.0,Price: ,6.6,ok
1.122124830, Sport: ,Ice Hockey, Time: ,Sun Dec 06 23:05:00 CET 2015, Time: ,Sun Dec 06 23:05:00 CET 2015, Event: ,Winnipeg @ Chicago, Favorite: ,Chicago, 2109831   size:309.0,Price: ,1.82,Winnipeg, 5866888   size:322.0,Price: ,4.0,Tie, 60104   size:347.0,Price: ,4.5,ok
1.122183923, Sport: ,Tennis, Time: ,Mon Dec 07 11:00:00 CET 2015, Time: ,Mon Dec 07 11:00:00 CET 2015, Event: ,Blessing Samuel v Osariemen Airhunmwunde, Favorite: ,Blessing Samuel, 10601291   size:2.54,Price: ,1.62,Osariemen Airhunmwunde, 10601292   size:8.52,Price: ,2.28,x
1.122105115, Sport: ,Soccer, Time: ,Mon Dec 07 13:30:00 CET 2015, Time: ,Mon Dec 07 13:30:00 CET 2015, Event: ,Misr El Makasa v El Entag El Harby, Favorite: ,Misr El Makasa, 5905941   size:3.37,Price: ,1.42,El Entag El Harby, 5170840   size:25.92,Price: ,6.4,The Draw, 58805   size:2.54,Price: ,3.85,ok
1.122183930, Sport: ,Soccer, Time: ,Mon Dec 07 21:00:00 CET 2015, Time: ,Mon Dec 07 21:00:00 CET 2015, Event: ,Panama U20 (W) v USA U20 (W), Favorite: ,Panama U20 (W), 7103368   size:6.74,Price: ,1.06,USA U20 (W), 4835208   size:6.74,Price: ,1.06,The Draw, 58805   size:2.78,Price: ,1.25,x
1.122178460, Sport: ,Soccer, Time: ,Mon Dec 07 18:30:00 CET 2015, Time: ,Mon Dec 07 18:30:00 CET 2015, Event: ,NEC Nijmegen (Res) v Go Ahead Eagles (Res), Favorite: ,NEC Nijmegen (Res), 10138915   size:3.67,Price: ,1.13,Go Ahead Eagles (Res), 10140519   size:3.67,Price: ,1.13,The Draw, 58805   size:12.51,Price: ,3.15,x
1.122152193, Sport: ,Basketball, Time: ,Mon Dec 07 01:00:00 CET 2015, Time: ,Mon Dec 07 01:00:00 CET 2015, Event: ,Sacramento @ Oklahoma City, Favorite: ,Oklahoma City, 3363394   size:3779.43,Price: ,1.16,Sacramento, 13127   size:95.35,Price: ,7.0,ok
1.122042140, Sport: ,Soccer, Time: ,Mon Dec 07 18:30:00 CET 2015, Time: ,Mon Dec 07 18:30:00 CET 2015, Event: ,Jong AZ Alkmaar v Jong Sparta, Favorite: ,Jong AZ Alkmaar, 5320893   size:18.0,Price: ,1.13,Jong Sparta, 6249623   size:18.0,Price: ,1.13,The Draw, 58805   size:17.0,Price: ,3.15,ok
1.122183256, Sport: ,Soccer, Time: ,Mon Dec 07 20:45:00 CET 2015, Time: ,Mon Dec 07 20:45:00 CET 2015, Event: ,Barkingside FC v Thamesmead Town FC, Favorite: ,Barkingside FC, 8205298   size:3.67,Price: ,1.11,Thamesmead Town FC, 7794920   size:3.67,Price: ,1.11,The Draw, 58805   size:2.78,Price: ,1.25,x
1.122111803, Sport: ,Ice Hockey, Time: ,Mon Dec 07 17:30:00 CET 2015, Time: ,Mon Dec 07 17:30:00 CET 2015, Event: ,Vityaz v CSKA, Favorite: ,CSKA, 2240050   size:106.0,Price: ,1.65,Vityaz, 2551763   size:44.71,Price: ,4.5,Tie, 60104   size:66.0,Price: ,4.9,ok
1.122177777, Sport: ,Soccer, Time: ,Mon Dec 07 20:45:00 CET 2015, Time: ,Mon Dec 07 20:45:00 CET 2015, Event: ,Redditch Utd v Frome, Favorite: ,Redditch Utd, 1034115   size:3.89,Price: ,1.41,Frome, 3396717   size:6.12,Price: ,4.8,The Draw, 58805   size:14.15,Price: ,3.35,x
1.122178348, Sport: ,Soccer, Time: ,Mon Dec 07 18:30:00 CET 2015, Time: ,Mon Dec 07 18:30:00 CET 2015, Event: ,Jong Volendam v Jong Utrecht, Favorite: ,Jong Volendam, 5273976   size:18.0,Price: ,1.14,Jong Utrecht, 5295292   size:18.0,Price: ,1.14,The Draw, 58805   size:18.0,Price: ,3.15,x
1.122078332, Sport: ,Soccer, Time: ,Mon Dec 07 20:45:00 CET 2015, Time: ,Mon Dec 07 20:45:00 CET 2015, Event: ,Arbroath v Cowdenbeath, Favorite: ,The Draw, 58805   size:27.79,Price: ,1.02,Arbroath, 306045   size:29.19,Price: ,1.27,Cowdenbeath, 674745   size:14.85,Price: ,1.05,x
1.122041699, Sport: ,Soccer, Time: ,Mon Dec 07 19:30:00 CET 2015, Time: ,Mon Dec 07 19:30:00 CET 2015, Event: ,KV Kortrijk (Y) v Sint Truidense (Youth), Favorite: ,KV Kortrijk (Y), 7159098   size:3.67,Price: ,1.13,Sint Truidense (Youth), 10158287   size:3.67,Price: ,1.13,The Draw, 58805   size:20.85,Price: ,3.1,x
1.122177416, Sport: ,Soccer, Time: ,Mon Dec 07 18:30:00 CET 2015, Time: ,Mon Dec 07 18:30:00 CET 2015, Event: ,Cruzeiro U20 v Goias EC U20, Favorite: ,Cruzeiro U20, 5188319   size:8.52,Price: ,1.37,Goias EC U20, 5185908   size:2.54,Price: ,4.6,The Draw, 58805   size:2.54,Price: ,3.6,x
1.122040886, Sport: ,Soccer, Time: ,Mon Dec 07 19:00:00 CET 2015, Time: ,Mon Dec 07 19:00:00 CET 2015, Event: ,Trabzonspor v Eskisehirspor, Favorite: ,Trabzonspor, 113125   size:8.89,Price: ,1.84,Eskisehirspor, 2080746   size:3.7,Price: ,4.7,The Draw, 58805   size:134.6,Price: ,3.95,ok
1.122042306, Sport: ,Soccer, Time: ,Mon Dec 07 18:30:00 CET 2015, Time: ,Mon Dec 07 18:30:00 CET 2015, Event: ,ADO Den Haag (Res) v SC Heerenveen (Res), Favorite: ,ADO Den Haag (Res), 10138947   size:3.67,Price: ,1.13,SC Heerenveen (Res), 10143913   size:3.67,Price: ,1.13,The Draw, 58805   size:16.68,Price: ,3.15,ok
1.122124825, Sport: ,Ice Hockey, Time: ,Sun Dec 06 23:05:00 CET 2015, Time: ,Sun Dec 06 23:05:00 CET 2015, Event: ,Arizona @ Carolina, Favorite: ,Carolina, 2108027   size:28.12,Price: ,2.32,Arizona, 8867880   size:88.76,Price: ,3.05,Tie, 60104   size:88.9,Price: ,3.95,ok
1.122105801, Sport: ,Soccer, Time: ,Sun Dec 06 22:15:00 CET 2015, Time: ,Sun Dec 06 22:15:00 CET 2015, Event: ,Racing Club v Independiente, Favorite: ,The Draw, 58805   size:3.32,Price: ,2.64,Racing Club, 198558   size:19.91,Price: ,3.0,Independiente, 194512   size:422.78,Price: ,3.35,x
1.122165532, Sport: ,Basketball, Time: ,Mon Dec 07 19:00:00 CET 2015, Time: ,Mon Dec 07 19:00:00 CET 2015, Event: ,Darussafaka v Buyukcekmece, Favorite: ,Darussafaka, 631285   size:2.78,Price: ,1.03,Buyukcekmece, 9128901   size:29.35,Price: ,1.93,ok
1.122183778, Sport: ,Tennis, Time: ,Mon Dec 07 09:30:00 CET 2015, Time: ,Mon Dec 07 09:30:00 CET 2015, Event: ,Aminat Quadri v Tessah Andrianjafitrimo, Favorite: ,Tessah Andrianjafitrimo, 9345643   size:18.23,Price: ,1.02,Aminat Quadri, 10601243   size:2.83,Price: ,2.26,ok
1.122182852, Sport: ,Soccer, Time: ,Mon Dec 07 20:30:00 CET 2015, Time: ,Mon Dec 07 20:30:00 CET 2015, Event: ,Joinville EC U20 v Ponte Preta U20, Favorite: ,Joinville EC U20, 7660873   size:724.8,Price: ,1.67,Ponte Preta U20, 6713388   size:714.68,Price: ,1.75,The Draw, 58805   size:408.39,Price: ,2.4,x
1.122164957, Sport: ,Basketball, Time: ,Mon Dec 07 11:00:00 CET 2015, Time: ,Mon Dec 07 11:00:00 CET 2015, Event: ,KDB Life Winnus v Shinhan Bank S Birds, Favorite: ,KDB Life Winnus, 5166575   size:152.89,Price: ,1.07,Shinhan Bank S Birds, 5154533   size:1528.37,Price: ,1.07,x
1.122183783, Sport: ,Tennis, Time: ,Mon Dec 07 09:30:00 CET 2015, Time: ,Mon Dec 07 09:30:00 CET 2015, Event: ,Andiyo Inwang v Mara Schmidt, Favorite: ,Mara Schmidt, 9626894   size:467.81,Price: ,1.09,Andiyo Inwang, 9634230   size:8.34,Price: ,6.0,ok
1.122041042, Sport: ,Soccer, Time: ,Mon Dec 07 13:00:00 CET 2015, Time: ,Mon Dec 07 13:00:00 CET 2015, Event: ,Slavia Sofia v Lokomotiv Plovdiv, Favorite: ,Slavia Sofia, 1255221   size:6.11,Price: ,2.08,Lokomotiv Plovdiv, 878125   size:2.54,Price: ,3.8,The Draw, 58805   size:12.15,Price: ,3.3,ok
1.122070103, Sport: ,Soccer, Time: ,Mon Dec 07 14:00:00 CET 2015, Time: ,Mon Dec 07 14:00:00 CET 2015, Event: ,QPR U21 v Charlton U21, Favorite: ,QPR U21, 6808103   size:3.67,Price: ,1.11,Charlton U21, 6808104   size:3.67,Price: ,1.11,The Draw, 58805   size:15.29,Price: ,3.15,x
1.122042251, Sport: ,Soccer, Time: ,Mon Dec 07 18:30:00 CET 2015, Time: ,Mon Dec 07 18:30:00 CET 2015, Event: ,Feyenoord (Res) v Willem II Tilburg (Res), Favorite: ,Feyenoord (Res), 10143914   size:3.67,Price: ,1.12,Willem II Tilburg (Res), 10138992   size:3.67,Price: ,1.12,The Draw, 58805   size:12.51,Price: ,3.15,ok
1.122124020, Sport: ,Basketball, Time: ,Mon Dec 07 02:00:00 CET 2015, Time: ,Mon Dec 07 02:00:00 CET 2015, Event: ,Vanderbilt @ Baylor, Favorite: ,Baylor, 705559   size:29.95,Price: ,1.67,Vanderbilt, 701625   size:2.54,Price: ,2.34,ok
1.122041561, Sport: ,Soccer, Time: ,Mon Dec 07 19:30:00 CET 2015, Time: ,Mon Dec 07 19:30:00 CET 2015, Event: ,Petrolul Ploiesti v Dinamo Bucharest, Favorite: ,Petrolul Ploiesti, 3417863   size:101.32,Price: ,2.84,Dinamo Bucharest, 46937   size:8.96,Price: ,2.9,The Draw, 58805   size:226.67,Price: ,3.2,x
1.122070101, Sport: ,Soccer, Time: ,Mon Dec 07 14:00:00 CET 2015, Time: ,Mon Dec 07 14:00:00 CET 2015, Event: ,Crewe U21 v Sheff Utd U21, Favorite: ,Crewe U21, 6628863   size:3.67,Price: ,1.11,Sheff Utd U21, 6812038   size:3.67,Price: ,1.11,The Draw, 58805   size:16.68,Price: ,3.1,x
1.122152104, Sport: ,Basketball, Time: ,Mon Dec 07 00:00:00 CET 2015, Time: ,Mon Dec 07 00:00:00 CET 2015, Event: ,Golden State @ Brooklyn, Favorite: ,Golden State, 13126   size:12844.65,Price: ,1.18,Brooklyn, 6758557   size:8.0,Price: ,6.4,ok
1.122183780, Sport: ,Tennis, Time: ,Mon Dec 07 09:30:00 CET 2015, Time: ,Mon Dec 07 09:30:00 CET 2015, Event: ,Ushna Suhail v Valeria Bhunu, Favorite: ,Valeria Bhunu, 9628326   size:6.74,Price: ,1.06,Ushna Suhail, 9627498   size:22.42,Price: ,7.2,ok
1.122040234, Sport: ,Soccer, Time: ,Mon Dec 07 20:45:00 CET 2015, Time: ,Mon Dec 07 20:45:00 CET 2015, Event: ,Grimsby v Shrewsbury, Favorite: ,Grimsby, 48001   size:5.0,Price: ,2.52,Shrewsbury, 148735   size:47.54,Price: ,2.94,The Draw, 58805   size:31.69,Price: ,3.6,x
1.122178238, Sport: ,Soccer, Time: ,Mon Dec 07 13:30:00 CET 2015, Time: ,Mon Dec 07 13:30:00 CET 2015, Event: ,Al Sarhan v Al Sheik Hussein, Favorite: ,Al Sarhan, 7663429   size:60.67,Price: ,1.15,Al Sheik Hussein, 7583378   size:60.67,Price: ,1.15,The Draw, 58805   size:5.0,Price: ,3.15,x
1.121966467, Sport: ,Soccer, Time: ,Mon Dec 07 21:00:00 CET 2015, Time: ,Mon Dec 07 21:00:00 CET 2015, Event: ,Everton v C Palace, Favorite: ,Everton, 56343   size:1665.3,Price: ,2.1,C Palace, 52689   size:571.46,Price: ,3.9,The Draw, 58805   size:6799.11,Price: ,3.7,x
1.122078340, Sport: ,Soccer, Time: ,Mon Dec 07 20:45:00 CET 2015, Time: ,Mon Dec 07 20:45:00 CET 2015, Event: ,Wick Academy v Linlithgow Rose, Favorite: ,Wick Academy, 62669   size:55.12,Price: ,2.18,Linlithgow Rose, 2612437   size:60.85,Price: ,2.62,The Draw, 58805   size:4.54,Price: ,3.8,x
1.122151897, Sport: ,Basketball, Time: ,Mon Dec 07 20:30:00 CET 2015, Time: ,Mon Dec 07 20:30:00 CET 2015, Event: ,Strasbourg v Gravelines, Favorite: ,Strasbourg, 1193143   size:1528.37,Price: ,1.04,Gravelines, 1293964   size:382.25,Price: ,1.04,ok
1.122170352, Sport: ,Soccer, Time: ,Sun Dec 06 22:15:00 CET 2015, Time: ,Sun Dec 06 22:15:00 CET 2015, Event: ,Alianza FC (SLV) v Chalatenango, Favorite: ,Chalatenango, 4064024   size:7.6,Price: ,1.05,Alianza FC (SLV), 10585678   size:88.28,Price: ,4.5,The Draw, 58805   size:61.32,Price: ,3.4,x
