1.122180659, Sport: ,Handball, Time: ,Tue Dec 08 20:30:00 CET 2015, Time: ,Tue Dec 08 20:30:00 CET 2015, Event: ,Brazil v Germany, Favorite: ,Brazil, 620387   size:5.99,Price: ,1.16,Germany, 620386   size:18.0,Price: ,2.06,Draw, 330157   size:18.0,Price: ,1.85,ok
1.122187577, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Chippenham v Cambridge City, Favorite: ,Chippenham, 1282852   size:7.76,Price: ,1.63,Cambridge City, 990643   size:4.2,Price: ,4.3,The Draw, 58805   size:10.08,Price: ,3.75,x
1.122164611, Sport: ,Basketball, Time: ,Tue Dec 08 12:35:00 CET 2015, Time: ,Tue Dec 08 12:35:00 CET 2015, Event: ,Foshan v Qingdao, Favorite: ,Foshan, 8926911   size:81.71,Price: ,1.67,Qingdao, 8926915   size:51.91,Price: ,2.26,x
1.122180655, Sport: ,Handball, Time: ,Tue Dec 08 18:15:00 CET 2015, Time: ,Tue Dec 08 18:15:00 CET 2015, Event: ,France v Argentina, Favorite: ,France, 620374   size:0.0,Price: ,0.0,Argentina, 620394   size:16.65,Price: ,150.0,Draw, 330157   size:22.0,Price: ,150.0,ok
1.122097256, Sport: ,Ice Hockey, Time: ,Tue Dec 08 19:00:00 CET 2015, Time: ,Tue Dec 08 19:00:00 CET 2015, Event: ,Esbjerg v Rodovre, Favorite: ,Esbjerg, 70633   size:16.41,Price: ,1.69,Rodovre, 70628   size:5.99,Price: ,3.35,Tie, 60104   size:53.0,Price: ,4.2,ok
1.122184624, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Barwell v Sutton Coldfield, Favorite: ,Barwell, 4597907   size:29.71,Price: ,1.4,Sutton Coldfield, 1034125   size:14.47,Price: ,5.7,The Draw, 58805   size:9.03,Price: ,4.3,ok
1.122094660, Sport: ,Soccer, Time: ,Tue Dec 08 15:00:00 CET 2015, Time: ,Tue Dec 08 15:00:00 CET 2015, Event: ,Entella v Latina, Favorite: ,Entella, 4893589   size:18.89,Price: ,2.46,Latina, 5287538   size:9.09,Price: ,3.45,The Draw, 58805   size:593.21,Price: ,3.1,ok
1.122183532, Sport: ,Basketball, Time: ,Tue Dec 08 19:04:00 CET 2015, Time: ,Tue Dec 08 19:04:00 CET 2015, Event: ,Uppsala v Jamtland, Favorite: ,Uppsala, 7037206   size:2.77,Price: ,1.03,Jamtland, 7037208   size:2.77,Price: ,1.03,ok
1.122095079, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Southend v Millwall, Favorite: ,Millwall, 56036   size:10.63,Price: ,2.62,Southend, 69719   size:2.76,Price: ,2.8,The Draw, 58805   size:160.55,Price: ,3.5,ok
1.122185677, Sport: ,Soccer, Time: ,Tue Dec 08 15:00:00 CET 2015, Time: ,Tue Dec 08 15:00:00 CET 2015, Event: ,Hibernian U20 v Inverness CT U20, Favorite: ,Hibernian U20, 6645664   size:3.68,Price: ,1.11,Inverness CT U20, 9221280   size:3.68,Price: ,1.11,The Draw, 58805   size:16.65,Price: ,3.1,ok
1.122183531, Sport: ,Basketball, Time: ,Tue Dec 08 19:04:00 CET 2015, Time: ,Tue Dec 08 19:04:00 CET 2015, Event: ,Orebro v Umea, Favorite: ,Orebro, 7723717   size:2.77,Price: ,1.03,Umea, 8781147   size:227.5,Price: ,1.04,ok
