1.122186241, Sport: ,Soccer, Time: ,Tue Dec 08 16:15:00 CET 2015, Time: ,Tue Dec 08 16:15:00 CET 2015, Event: ,Raiders Luxol FC (W) v Pembroke Athleta (W), Favorite: ,Raiders Luxol FC (W), 10459316   size:2.55,Price: ,1.35,Pembroke Athleta (W), 10487222   size:35.95,Price: ,4.6,The Draw, 58805   size:33.19,Price: ,5.0,ok
1.122124957, Sport: ,Ice Hockey, Time: ,Wed Dec 09 03:05:00 CET 2015, Time: ,Wed Dec 09 03:05:00 CET 2015, Event: ,San Jose @ Calgary, Favorite: ,San Jose, 2110001   size:2.08,Price: ,2.4,Calgary, 975675   size:2.08,Price: ,2.4,Tie, 60104   size:4.06,Price: ,3.6,x
1.122180659, Sport: ,Handball, Time: ,Tue Dec 08 20:30:00 CET 2015, Time: ,Tue Dec 08 20:30:00 CET 2015, Event: ,Brazil v Germany, Favorite: ,Brazil, 620387   size:22.66,Price: ,1.41,Germany, 620386   size:5.99,Price: ,3.55,Draw, 330157   size:17.78,Price: ,8.8,ok
1.122187577, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Chippenham v Cambridge City, Favorite: ,Chippenham, 1282852   size:3.05,Price: ,1.64,Cambridge City, 990643   size:5.34,Price: ,4.3,The Draw, 58805   size:11.4,Price: ,3.75,x
1.122164611, Sport: ,Basketball, Time: ,Tue Dec 08 12:35:00 CET 2015, Time: ,Tue Dec 08 12:35:00 CET 2015, Event: ,Foshan v Qingdao, Favorite: ,Foshan, 8926911   size:4.25,Price: ,1.61,Qingdao, 8926915   size:28.45,Price: ,2.5,x
1.122180655, Sport: ,Handball, Time: ,Tue Dec 08 18:15:00 CET 2015, Time: ,Tue Dec 08 18:15:00 CET 2015, Event: ,France v Argentina, Favorite: ,France, 620374   size:0.0,Price: ,0.0,Argentina, 620394   size:16.79,Price: ,150.0,Draw, 330157   size:22.15,Price: ,150.0,ok
1.122124952, Sport: ,Ice Hockey, Time: ,Wed Dec 09 02:35:00 CET 2015, Time: ,Wed Dec 09 02:35:00 CET 2015, Event: ,Carolina @ Dallas, Favorite: ,Dallas, 2108116   size:3.64,Price: ,1.77,Carolina, 2108027   size:7.83,Price: ,3.45,Tie, 60104   size:4.28,Price: ,4.0,ok
1.122184735, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Bootle FC v Skelmersdale Utd, Favorite: ,Skelmersdale Utd, 3491517   size:5.99,Price: ,1.61,Bootle FC, 8690749   size:45.17,Price: ,3.7,The Draw, 58805   size:47.02,Price: ,3.5,x
1.122097256, Sport: ,Ice Hockey, Time: ,Tue Dec 08 19:00:00 CET 2015, Time: ,Tue Dec 08 19:00:00 CET 2015, Event: ,Esbjerg v Rodovre, Favorite: ,Esbjerg, 70633   size:13.45,Price: ,1.71,Rodovre, 70628   size:26.4,Price: ,3.7,Tie, 60104   size:154.98,Price: ,4.4,ok
1.122184624, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Barwell v Sutton Coldfield, Favorite: ,Barwell, 4597907   size:27.74,Price: ,1.4,Sutton Coldfield, 1034125   size:14.47,Price: ,5.7,The Draw, 58805   size:8.4,Price: ,4.3,ok
1.122095079, Sport: ,Soccer, Time: ,Tue Dec 08 20:45:00 CET 2015, Time: ,Tue Dec 08 20:45:00 CET 2015, Event: ,Southend v Millwall, Favorite: ,Millwall, 56036   size:184.9,Price: ,2.68,Southend, 69719   size:23.44,Price: ,2.82,The Draw, 58805   size:209.66,Price: ,3.45,ok
