1.122196569, Sport: ,Soccer, Time: ,Wed Dec 09 20:45:00 CET 2015, Time: ,Wed Dec 09 20:45:00 CET 2015, Event: ,Ballymena (Res) v Cliftonville FC (Res), Favorite: ,Ballymena (Res), 8399922   size:3.66,Price: ,1.13,Cliftonville FC (Res), 8331596   size:3.66,Price: ,1.13,The Draw, 58805   size:16.51,Price: ,3.1,ok
1.122195356, Sport: ,Soccer, Time: ,Wed Dec 09 13:00:00 CET 2015, Time: ,Wed Dec 09 13:00:00 CET 2015, Event: ,SK Slavia Praha U19 v Plzen U19, Favorite: ,SK Slavia Praha U19, 6571031   size:2.99,Price: ,1.67,Plzen U19, 7653264   size:5.0,Price: ,3.3,The Draw, 58805   size:5.0,Price: ,3.95,x
1.122194025, Sport: ,Soccer, Time: ,Wed Dec 09 22:00:00 CET 2015, Time: ,Wed Dec 09 22:00:00 CET 2015, Event: ,Cerro Porteno v Olimpia, Favorite: ,Olimpia, 328699   size:2.08,Price: ,2.4,Cerro Porteno, 335852   size:4.65,Price: ,2.56,The Draw, 58805   size:4.29,Price: ,3.15,ok
1.122198069, Sport: ,Tennis, Time: ,Wed Dec 09 09:30:00 CET 2015, Time: ,Wed Dec 09 09:30:00 CET 2015, Event: ,Julia Terziyska v Kyra Shroff, Favorite: ,Julia Terziyska, 9150746   size:3.88,Price: ,1.22,Kyra Shroff, 2548829   size:2.2,Price: ,4.4,ok
1.122198068, Sport: ,Tennis, Time: ,Wed Dec 09 09:30:00 CET 2015, Time: ,Wed Dec 09 09:30:00 CET 2015, Event: ,Sherazad Reix v Valeria Bhunu, Favorite: ,Sherazad Reix, 9610851   size:2.55,Price: ,1.22,Valeria Bhunu, 9628326   size:2.55,Price: ,4.4,ok
1.122164614, Sport: ,Basketball, Time: ,Wed Dec 09 12:35:00 CET 2015, Time: ,Wed Dec 09 12:35:00 CET 2015, Event: ,Jiangsu Dragons v Shandong, Favorite: ,Shandong, 8926903   size:12.07,Price: ,1.8,Jiangsu Dragons, 8926904   size:10.68,Price: ,2.06,x
1.122164612, Sport: ,Basketball, Time: ,Wed Dec 09 12:35:00 CET 2015, Time: ,Wed Dec 09 12:35:00 CET 2015, Event: ,Beijing BG / Beikong Fl v Shanxi, Favorite: ,Beijing BG / Beikong Fl, 10513291   size:2.55,Price: ,1.68,Shanxi, 8926913   size:110.99,Price: ,2.24,ok
1.122164613, Sport: ,Basketball, Time: ,Wed Dec 09 12:35:00 CET 2015, Time: ,Wed Dec 09 12:35:00 CET 2015, Event: ,Beijing v Guangdong, Favorite: ,Guangdong, 6260619   size:320.04,Price: ,1.43,Beijing, 6254117   size:2.55,Price: ,2.86,x
1.122144325, Sport: ,Handball, Time: ,Wed Dec 09 19:00:00 CET 2015, Time: ,Wed Dec 09 19:00:00 CET 2015, Event: ,Malmo v Drott, Favorite: ,Malmo, 3374028   size:2.75,Price: ,1.03,Drott, 330162   size:5.96,Price: ,1.12,Draw, 330157   size:5.96,Price: ,1.12,ok
1.122109567, Sport: ,Soccer, Time: ,Wed Dec 09 17:00:00 CET 2015, Time: ,Wed Dec 09 17:00:00 CET 2015, Event: ,Famalicao v Freamunde, Favorite: ,Famalicao, 5875376   size:9.12,Price: ,2.46,Freamunde, 616891   size:14.17,Price: ,3.55,The Draw, 58805   size:160.0,Price: ,3.15,x
1.122107377, Sport: ,Soccer, Time: ,Thu Dec 10 01:00:00 CET 2015, Time: ,Thu Dec 10 01:00:00 CET 2015, Event: ,Santa Fe v Huracan, Favorite: ,Santa Fe, 4908158   size:525.95,Price: ,1.68,Huracan, 194507   size:13.26,Price: ,7.8,The Draw, 58805   size:40.27,Price: ,3.55,x
1.122183497, Sport: ,Basketball, Time: ,Wed Dec 09 18:00:00 CET 2015, Time: ,Wed Dec 09 18:00:00 CET 2015, Event: ,PAOK v Avtodor, Favorite: ,Avtodor, 8801689   size:2.55,Price: ,1.63,PAOK, 281533   size:5.96,Price: ,2.28,x
1.122002407, Sport: ,Soccer, Time: ,Wed Dec 09 20:45:00 CET 2015, Time: ,Wed Dec 09 20:45:00 CET 2015, Event: ,Valencia v Lyon, Favorite: ,Valencia, 66183   size:5257.03,Price: ,1.46,Lyon, 55271   size:42.76,Price: ,8.6,The Draw, 58805   size:460.76,Price: ,4.9,x
1.122183493, Sport: ,Basketball, Time: ,Wed Dec 09 19:30:00 CET 2015, Time: ,Wed Dec 09 19:30:00 CET 2015, Event: ,Ratiopharm Ulm v Zaragoza, Favorite: ,Ratiopharm Ulm, 2114275   size:2.55,Price: ,1.55,Zaragoza, 3368428   size:2.55,Price: ,2.54,x
1.122195907, Sport: ,Soccer, Time: ,Thu Dec 10 00:30:00 CET 2015, Time: ,Thu Dec 10 00:30:00 CET 2015, Event: ,Harbour View FC v Tivoli Gardens FC, Favorite: ,Harbour View FC, 7688378   size:3.66,Price: ,1.16,Tivoli Gardens FC, 7716758   size:3.66,Price: ,1.16,The Draw, 58805   size:13.76,Price: ,3.15,ok
1.122203993, Sport: ,Basketball, Time: ,Wed Dec 09 20:00:00 CET 2015, Time: ,Wed Dec 09 20:00:00 CET 2015, Event: ,Landes (W) v PEAC Pecs (W), Favorite: ,Landes (W), 8978732   size:2.75,Price: ,1.03,PEAC Pecs (W), 8978753   size:2.75,Price: ,1.03,ok
1.122196459, Sport: ,Soccer, Time: ,Wed Dec 09 18:00:00 CET 2015, Time: ,Wed Dec 09 18:00:00 CET 2015, Event: ,Pembroke Athleta FC v San Gwann FC, Favorite: ,Pembroke Athleta FC, 10018941   size:2.55,Price: ,1.15,San Gwann FC, 10445440   size:2.55,Price: ,2.16,The Draw, 58805   size:16.51,Price: ,3.15,ok
1.122203997, Sport: ,Basketball, Time: ,Wed Dec 09 20:00:00 CET 2015, Time: ,Wed Dec 09 20:00:00 CET 2015, Event: ,Nantes (W) v TSV 1880 Wasserburg (W), Favorite: ,Nantes (W), 8978754   size:2.75,Price: ,1.03,TSV 1880 Wasserburg (W), 10462202   size:2.75,Price: ,1.03,ok
1.122195246, Sport: ,Soccer, Time: ,Wed Dec 09 15:00:00 CET 2015, Time: ,Wed Dec 09 15:00:00 CET 2015, Event: ,SPAL v Tuttocuoio, Favorite: ,Spal, 3307906   size:2.74,Price: ,1.82,Tuttocuoio, 8236407   size:2.04,Price: ,3.8,The Draw, 58805   size:3.66,Price: ,3.3,ok
1.122197422, Sport: ,Soccer, Time: ,Wed Dec 09 20:45:00 CET 2015, Time: ,Wed Dec 09 20:45:00 CET 2015, Event: ,Three Bridges FC v Eastbourne, Favorite: ,Eastbourne, 1034120   size:5.96,Price: ,1.57,Three Bridges FC, 8205407   size:46.76,Price: ,3.5,The Draw, 58805   size:41.26,Price: ,4.0,x
1.122197543, Sport: ,Soccer, Time: ,Wed Dec 09 11:30:00 CET 2015, Time: ,Wed Dec 09 11:30:00 CET 2015, Event: ,Calangute Association v Sporting Goa, Favorite: ,Sporting Goa, 5969463   size:5.0,Price: ,2.26,Calangute Association, 10590061   size:3.06,Price: ,2.74,The Draw, 58805   size:10.56,Price: ,3.7,x
1.122198077, Sport: ,Tennis, Time: ,Wed Dec 09 09:30:00 CET 2015, Time: ,Wed Dec 09 09:30:00 CET 2015, Event: ,Alexandra Riley v Valeriya Strakhova, Favorite: ,Valeriya Strakhova, 8490642   size:7.17,Price: ,1.06,Alexandra Riley, 8961735   size:8.25,Price: ,11.5,ok
1.122164723, Sport: ,Basketball, Time: ,Wed Dec 09 12:35:00 CET 2015, Time: ,Wed Dec 09 12:35:00 CET 2015, Event: ,Zhejiang Guangsha v JiangSu Tongxi, Favorite: ,Zhejiang Guangsha, 8926901   size:688.08,Price: ,1.06,JiangSu Tongxi, 8926916   size:8.42,Price: ,5.9,ok
