1.122167241, Sport: ,Ice Hockey, Time: ,Thu Dec 10 19:00:00 CET 2015, Time: ,Thu Dec 10 19:00:00 CET 2015, Event: ,Almtuna v Timra, Favorite: ,Almtuna, 539697   size:2.77,Price: ,1.03,Timra, 237393   size:2.77,Price: ,1.03,Tie, 60104   size:2.77,Price: ,1.03,x
1.122238529, Sport: ,Ice Hockey, Time: ,Fri Dec 11 17:30:00 CET 2015, Time: ,Fri Dec 11 17:30:00 CET 2015, Event: ,Pelicans v KooKoo, Favorite: ,Pelicans, 66425   size:13.7,Price: ,1.04,KooKoo, 272751   size:13.7,Price: ,1.04,Tie, 60104   size:13.7,Price: ,1.04,ok
1.122204857, Sport: ,Soccer, Time: ,Thu Dec 10 21:30:00 CET 2015, Time: ,Thu Dec 10 21:30:00 CET 2015, Event: ,Coritiba U20 v Fluminense U20, Favorite: ,Fluminense U20, 5181413   size:15.89,Price: ,1.7,Coritiba U20, 5181414   size:23.78,Price: ,4.9,The Draw, 58805   size:5.32,Price: ,3.9,ok
1.122219379, Sport: ,Basketball, Time: ,Fri Dec 11 01:30:00 CET 2015, Time: ,Fri Dec 11 01:30:00 CET 2015, Event: ,Iowa @ Iowa State, Favorite: ,Iowa State, 708779   size:499.99,Price: ,1.3,Iowa, 664419   size:127.62,Price: ,3.8,ok
1.122207608, Sport: ,Basketball, Time: ,Fri Dec 11 11:00:00 CET 2015, Time: ,Fri Dec 11 11:00:00 CET 2015, Event: ,Karlovka Bratislava v Inter Bratislava , Favorite: ,Inter Bratislava, 6719594   size:2.77,Price: ,1.03,Karlovka Bratislava, 8865002   size:5.93,Price: ,1.17,x
1.122216563, Sport: ,Soccer, Time: ,Fri Dec 11 13:40:00 CET 2015, Time: ,Fri Dec 11 13:40:00 CET 2015, Event: ,Emirates Club v Al Shabab (UAE), Favorite: ,Al Shabab (UAE), 3727832   size:3.96,Price: ,1.93,Emirates Club, 5305983   size:4.23,Price: ,3.2,The Draw, 58805   size:3.3,Price: ,3.6,ok
1.122180753, Sport: ,Handball, Time: ,Fri Dec 11 16:00:00 CET 2015, Time: ,Fri Dec 11 16:00:00 CET 2015, Event: ,Argentina v South Korea, Favorite: ,Argentina, 620394   size:2.77,Price: ,1.03,South Korea, 620382   size:2.77,Price: ,1.03,Draw, 330157   size:2.77,Price: ,1.03,x
1.122239215, Sport: ,Ice Hockey, Time: ,Fri Dec 11 17:30:00 CET 2015, Time: ,Fri Dec 11 17:30:00 CET 2015, Event: ,Tuto v Roki, Favorite: ,TuTo, 4196542   size:54.81,Price: ,1.01,Roki, 4196540   size:54.81,Price: ,1.01,Tie, 60104   size:27.4,Price: ,1.02,x
1.122216764, Sport: ,Soccer, Time: ,Fri Dec 11 11:00:00 CET 2015, Time: ,Fri Dec 11 11:00:00 CET 2015, Event: ,CRB Ain Fakroun U21 v USMM Hadjout U21, Favorite: ,CRB Ain Fakroun U21, 9031375   size:2.55,Price: ,1.26,USMM Hadjout U21, 8119398   size:5.68,Price: ,2.64,The Draw, 58805   size:2.55,Price: ,3.25,ok
1.122218545, Sport: ,Soccer, Time: ,Fri Dec 11 14:00:00 CET 2015, Time: ,Fri Dec 11 14:00:00 CET 2015, Event: ,Khaitan v Al Salmiyah, Favorite: ,Al Salmiyah, 7188818   size:4.97,Price: ,1.11,Khaitan, 9359990   size:18.0,Price: ,1.26,The Draw, 58805   size:18.0,Price: ,3.2,ok
1.122218600, Sport: ,Soccer, Time: ,Fri Dec 11 16:40:00 CET 2015, Time: ,Fri Dec 11 16:40:00 CET 2015, Event: ,Al Arabi v Al Nasar (KUW), Favorite: ,Al Arabi, 3922362   size:4.97,Price: ,1.11,Al Nasar (KUW), 6279459   size:18.0,Price: ,2.14,The Draw, 58805   size:18.0,Price: ,3.2,ok
1.122239155, Sport: ,Ice Hockey, Time: ,Fri Dec 11 17:30:00 CET 2015, Time: ,Fri Dec 11 17:30:00 CET 2015, Event: ,Sapko v Hokki, Favorite: ,Sapko, 4196539   size:54.81,Price: ,1.01,Hokki, 275251   size:54.81,Price: ,1.01,Tie, 60104   size:27.4,Price: ,1.02,x
