1.122238529, Sport: ,Ice Hockey, Time: ,Fri Dec 11 17:30:00 CET 2015, Time: ,Fri Dec 11 17:30:00 CET 2015, Event: ,Pelicans v KooKoo, Favorite: ,Pelicans, 66425   size:94.99,Price: ,1.74,KooKoo, 272751   size:94.99,Price: ,3.9,Tie, 60104   size:97.0,Price: ,ok
1.122207745, Sport: ,Basketball, Time: ,Fri Dec 11 23:00:00 CET 2015, Time: ,Fri Dec 11 23:00:00 CET 2015, Event: ,Rio Claro v Universo/Salvador, Favorite: ,Rio Claro, 8948847   size:2.76,Price: ,1.03,Universo/Salvador, 10484581   size:2.76,Price: ,1.03,ok
1.122245939, Sport: ,Tennis, Time: ,Fri Dec 11 11:30:00 CET 2015, Time: ,Fri Dec 11 11:30:00 CET 2015, Event: ,Conny Perrin v Tadeja Majeric, Favorite: ,Conny Perrin, 5596573   size:37.13,Price: ,1.62,Tadeja Majeric, 2548761   size:37.26,Price: ,2.26,x
1.122239215, Sport: ,Ice Hockey, Time: ,Fri Dec 11 17:30:00 CET 2015, Time: ,Fri Dec 11 17:30:00 CET 2015, Event: ,Tuto v Roki, Favorite: ,Roki, 4196540   size:54.86,Price: ,1.01,TuTo, 4196542   size:8.44,Price: ,1.25,Tie, 60104   size:27.43,Price: ,1.02,x
1.122245903, Sport: ,Tennis, Time: ,Fri Dec 11 09:00:00 CET 2015, Time: ,Fri Dec 11 09:00:00 CET 2015, Event: ,Valentyna Ivakhenko v Reka Luca Jani, Favorite: ,Reka Luca Jani, 4030750   size:5.0,Price: ,1.11,Valentyna Ivakhenko, 10512817   size:2.71,Price: ,2.54,x
1.122218600, Sport: ,Soccer, Time: ,Fri Dec 11 16:40:00 CET 2015, Time: ,Fri Dec 11 16:40:00 CET 2015, Event: ,Al Arabi v Al Nasar (KUW), Favorite: ,Al Arabi, 3922362   size:92.87,Price: ,1.12,Al Nasar (KUW), 6279459   size:12.0,Price: ,11.0,The Draw, 58805   size:15.0,Price: ,5.5,ok
1.122218765, Sport: ,Soccer, Time: ,Fri Dec 11 18:00:00 CET 2015, Time: ,Fri Dec 11 18:00:00 CET 2015, Event: ,Al-Wahda (KSA) v Al-Shabab (KSA), Favorite: ,Al-Shabab (KSA), 5344868   size:10.55,Price: ,1.82,Al-Wahda (KSA), 6617059   size:10.55,Price: ,3.65,The Draw, 58805   size:18.55,Price: ,3.55,x
1.122245905, Sport: ,Tennis, Time: ,Fri Dec 11 09:00:00 CET 2015, Time: ,Fri Dec 11 09:00:00 CET 2015, Event: ,Melanie Klaffner v Polina Leykina, Favorite: ,Melanie Klaffner, 2814671   size:43.15,Price: ,1.85,Polina Leykina, 9062872   size:2.53,Price: ,1.98,ok
1.122245943, Sport: ,Snooker, Time: ,Fri Dec 11 14:00:00 CET 2015, Time: ,Fri Dec 11 14:00:00 CET 2015, Event: ,Mark Williams v Richard Beckham, Favorite: ,Mark Williams, 2278795   size:4.76,Price: ,1.01,Richard Beckham, 8761398   size:4.76,Price: ,1.01,x
1.122183253, Sport: ,Rugby Union, Time: ,Fri Dec 11 20:45:00 CET 2015, Time: ,Fri Dec 11 20:45:00 CET 2015, Event: ,Connacht v Newcastle, Favorite: ,Connacht, 50110   size:5.03,Price: ,1.27,Newcastle, 1247243   size:7.57,Price: ,3.85,Draw, 246289   size:9.67,Price: ,24.0,ok
1.122216709, Sport: ,Soccer, Time: ,Fri Dec 11 11:00:00 CET 2015, Time: ,Fri Dec 11 11:00:00 CET 2015, Event: ,USM Bel Abbes U21 v AS Khroub U21, Favorite: ,USM Bel Abbes U21, 9053404   size:3.7,Price: ,1.35,AS Khroub U21, 7708394   size:2.76,Price: ,6.6,The Draw, 58805   size:3.8,Price: ,3.95,x
1.122203595, Sport: ,Basketball, Time: ,Fri Dec 11 20:45:00 CET 2015, Time: ,Fri Dec 11 20:45:00 CET 2015, Event: ,Fenerbahce v Crvena Zvezda, Favorite: ,Fenerbahce, 631290   size:45.71,Price: ,1.2,Crvena Zvezda, 1275898   size:5.94,Price: ,1.28,ok
1.121967916, Sport: ,Mixed Martial Arts, Time: ,Sat Dec 12 04:00:00 CET 2015, Time: ,Sat Dec 12 04:00:00 CET 2015, Event: ,Pierce v LaFlare, Favorite: ,Ryan Laflare, 9326627   size:3.63,Price: ,1.43,Mike Pierce, 4099603   size:18.18,Price: ,2.86,ok
1.121967912, Sport: ,Mixed Martial Arts, Time: ,Sat Dec 12 04:00:00 CET 2015, Time: ,Sat Dec 12 04:00:00 CET 2015, Event: ,Lauzon v Dunham, Favorite: ,Evan Dunham, 3991816   size:2.55,Price: ,1.56,Joe Lauzon, 4369446   size:2.69,Price: ,2.64,ok
1.122238438, Sport: ,Ice Hockey, Time: ,Fri Dec 11 17:30:00 CET 2015, Time: ,Fri Dec 11 17:30:00 CET 2015, Event: ,KalPa v SaiPa, Favorite: ,KalPa, 275250   size:109.0,Price: ,2.18,SaiPa, 66264   size:98.0,Price: ,3.05,Tie, 60104   size:91.0,Price: ,3.9,x
1.122180749, Sport: ,Handball, Time: ,Fri Dec 11 20:45:00 CET 2015, Time: ,Fri Dec 11 20:45:00 CET 2015, Event: ,Cuba v Sweden, Favorite: ,Sweden, 624135   size:0.0,Price: ,0.0,Cuba, 3228920   size:3.6,Price: ,1000.0,Draw, 330157   size:3.6,Price: ,1000.0,ok
1.122245906, Sport: ,Tennis, Time: ,Fri Dec 11 09:00:00 CET 2015, Time: ,Fri Dec 11 09:00:00 CET 2015, Event: ,Irina Maria Bara v Martina Caregaro, Favorite: ,Martina Caregaro, 4845690   size:2.33,Price: ,1.73,Irina Maria Bara, 9628716   size:2.45,Price: ,2.04,ok
1.122180745, Sport: ,Handball, Time: ,Fri Dec 11 18:30:00 CET 2015, Time: ,Fri Dec 11 18:30:00 CET 2015, Event: ,Netherlands v Poland, Favorite: ,Netherlands, 626085   size:5.94,Price: ,1.23,Poland, 624114   size:14.0,Price: ,3.75,Draw, 330157   size:18.0,Price: ,3.6,ok
1.122183348, Sport: ,Rugby Union, Time: ,Fri Dec 11 20:45:00 CET 2015, Time: ,Fri Dec 11 20:45:00 CET 2015, Event: ,Ulster v Toulouse, Favorite: ,Ulster, 50107   size:24.97,Price: ,1.99,Toulouse, 52259   size:4.57,Price: ,2.14,Draw, 246289   size:8.52,Price: ,24.0,ok
1.122218710, Sport: ,Soccer, Time: ,Fri Dec 11 15:30:00 CET 2015, Time: ,Fri Dec 11 15:30:00 CET 2015, Event: ,Al-Quadisiya (KSA) v Al-Fateh (KSA), Favorite: ,Al-Fateh (KSA), 7196232   size:3.65,Price: ,2.24,Al-Quadisiya (KSA), 10201607   size:2.0,Price: ,3.2,The Draw, 58805   size:4.54,Price: ,3.45,x
1.122218435, Sport: ,Soccer, Time: ,Fri Dec 11 14:00:00 CET 2015, Time: ,Fri Dec 11 14:00:00 CET 2015, Event: ,Al Hussein v Al Sareeh, Favorite: ,Al Sareeh, 6528785   size:3.65,Price: ,2.7,Al Hussein, 5360907   size:3.65,Price: ,2.76,The Draw, 58805   size:2.69,Price: ,3.25,ok
