1.122139893, Sport: ,Soccer, Time: ,Sat Dec 12 18:15:00 CET 2015, Time: ,Sat Dec 12 18:15:00 CET 2015, Event: ,Levante v Granada, Favorite: ,Levante, 214865   size:52.76,Price: ,2.14,Granada, 2255452   size:2.78,Price: ,4.1,The Draw, 58805   size:309.41,Price: ,3.35,x
1.122160250, Sport: ,Ice Hockey, Time: ,Sat Dec 12 01:05:00 CET 2015, Time: ,Sat Dec 12 01:05:00 CET 2015, Event: ,Detroit @ New Jersey, Favorite: ,Detroit, 975676   size:516.0,Price: ,2.48,New Jersey, 2112200   size:328.0,Price: ,2.6,Tie, 60104   size:340.0,Price: ,3.85,x
1.122125124, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Curzon Ashton v Nuneaton, Favorite: ,Nuneaton, 228536   size:13.26,Price: ,2.2,Curzon Ashton, 3396712   size:2.7,Price: ,3.45,The Draw, 58805   size:39.08,Price: ,3.55,x
1.122125244, Sport: ,Soccer, Time: ,Sat Dec 12 13:00:00 CET 2015, Time: ,Sat Dec 12 13:00:00 CET 2015, Event: ,Holstein Kiel U19 v SV Werder Bremen U19, Favorite: ,SV Werder Bremen U19, 6336913   size:2.55,Price: ,1.26,Holstein Kiel U19, 6685911   size:2.55,Price: ,5.9,The Draw, 58805   size:13.0,Price: ,5.1,ok
1.122125128, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,FC Halifax Town v Tamworth, Favorite: ,FC Halifax Town, 4231683   size:10.5,Price: ,2.2,Tamworth, 62650   size:9.08,Price: ,3.4,The Draw, 58805   size:2.72,Price: ,3.65,x
1.122125126, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,East Thurrock v Maidenhead, Favorite: ,Maidenhead, 728405   size:3.05,Price: ,1.92,East Thurrock, 1338701   size:3.58,Price: ,3.25,The Draw, 58805   size:10.05,Price: ,3.75,ok
1.122160259, Sport: ,Ice Hockey, Time: ,Sat Dec 12 01:05:00 CET 2015, Time: ,Sat Dec 12 01:05:00 CET 2015, Event: ,Los Angeles @ Pittsburgh, Favorite: ,Los Angeles, 2112286   size:513.0,Price: ,2.42,Pittsburgh, 2115995   size:104.82,Price: ,2.72,Tie, 60104   size:286.12,Price: ,3.95,x
1.122216022, Sport: ,Soccer, Time: ,Sat Dec 12 18:00:00 CET 2015, Time: ,Sat Dec 12 18:00:00 CET 2015, Event: ,Barcelona B v Huracan CF, Favorite: ,Barcelona B, 3303609   size:2.55,Price: ,2.04,Huracan CF, 5759749   size:2.55,Price: ,4.2,The Draw, 58805   size:17.42,Price: ,3.25,x
1.122125120, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Cheltenham v Chelmsford, Favorite: ,Cheltenham, 18559   size:352.0,Price: ,1.36,Chelmsford, 2145810   size:9.67,Price: ,11.0,The Draw, 58805   size:3.31,Price: ,5.4,ok
1.122242439, Sport: ,Soccer, Time: ,Sat Dec 12 12:00:00 CET 2015, Time: ,Sat Dec 12 12:00:00 CET 2015, Event: ,ASM Oran U21 v RC Relizane U21, Favorite: ,ASM Oran U21, 9034704   size:2.55,Price: ,1.24,RC Relizane U21, 9091553   size:2.55,Price: ,2.24,The Draw, 58805   size:3.63,Price: ,3.2,ok
1.122183376, Sport: ,Rugby Union, Time: ,Sat Dec 12 18:15:00 CET 2015, Time: ,Sat Dec 12 18:15:00 CET 2015, Event: ,Exeter v Clermont, Favorite: ,Clermont, 1275770   size:3.69,Price: ,1.79,Exeter, 67603   size:2.68,Price: ,2.36,Draw, 246289   size:13.86,Price: ,20.0,x
1.122183253, Sport: ,Rugby Union, Time: ,Fri Dec 11 20:45:00 CET 2015, Time: ,Fri Dec 11 20:45:00 CET 2015, Event: ,Connacht v Newcastle, Favorite: ,Connacht, 50110   size:7.0,Price: ,1.32,Newcastle, 1247243   size:150.0,Price: ,3.5,Draw, 246289   size:2.75,Price: ,18.0,ok
1.122245944, Sport: ,Cricket, Time: ,Sat Dec 12 05:30:00 CET 2015, Time: ,Sat Dec 12 05:30:00 CET 2015, Event: ,Sri Lanka U19 v India U19, Favorite: ,Sri Lanka U19, 1210408   size:196.42,Price: ,1.03,India U19, 737325   size:196.42,Price: ,1.03,x
1.122207661, Sport: ,Basketball, Time: ,Fri Dec 11 20:00:00 CET 2015, Time: ,Fri Dec 11 20:00:00 CET 2015, Event: ,Roanne v Saint Quentin, Favorite: ,Roanne, 1293961   size:2.76,Price: ,1.03,Saint Quentin, 6719006   size:2.76,Price: ,1.03,x
1.122138563, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Derby v Brighton, Favorite: ,Derby, 48325   size:136.02,Price: ,2.06,Brighton, 18567   size:386.86,Price: ,4.1,The Draw, 58805   size:144.41,Price: ,3.5,x
1.122244730, Sport: ,Soccer, Time: ,Sat Dec 12 11:30:00 CET 2015, Time: ,Sat Dec 12 11:30:00 CET 2015, Event: ,Panathinaikos U20 v Asteras Tripolis U20, Favorite: ,Panathinaikos U20, 5247888   size:10.9,Price: ,1.12,Asteras Tripolis U20, 5299234   size:10.9,Price: ,1.12,The Draw, 58805   size:4.49,Price: ,3.15,x
1.122207660, Sport: ,Basketball, Time: ,Fri Dec 11 20:00:00 CET 2015, Time: ,Fri Dec 11 20:00:00 CET 2015, Event: ,Nantes v Poitiers, Favorite: ,Nantes, 6719007   size:2.76,Price: ,1.03,Poitiers, 2989482   size:2.76,Price: ,1.03,ok
1.122125118, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Bury Town v Dulwich Hamlet, Favorite: ,Dulwich Hamlet, 7744599   size:4.36,Price: ,1.69,Bury Town, 1433860   size:2.75,Price: ,4.4,The Draw, 58805   size:2.75,Price: ,3.95,ok
1.122209976, Sport: ,Soccer, Time: ,Sat Dec 12 16:00:00 CET 2015, Time: ,Sat Dec 12 16:00:00 CET 2015, Event: ,Bradford PA v Lincoln, Favorite: ,Lincoln, 148737   size:2.75,Price: ,2.04,Bradford PA, 598919   size:2.76,Price: ,3.25,The Draw, 58805   size:3.54,Price: ,3.45,x
