1.122139893, Sport: ,Soccer, Time: ,Sat Dec 12 18:15:00 CET 2015, Time: ,Sat Dec 12 18:15:00 CET 2015, Event: ,Levante v Granada, Favorite: ,The Draw, 58805   size:9.74,Price: ,2.48,Levante, 214865   size:7.76,Price: ,2.78,Granada, 2255452   size:633.87,Price: ,4.1,x
1.122193057, Sport: ,Soccer, Time: ,Sat Dec 12 21:30:00 CET 2015, Time: ,Sat Dec 12 21:30:00 CET 2015, Event: ,Aucas v El Nacional, Favorite: ,Aucas, 897347   size:31.39,Price: ,1.74,El Nacional, 330234   size:4.57,Price: ,5.2,The Draw, 58805   size:17.33,Price: ,3.95,ok
1.122157085, Sport: ,Soccer, Time: ,Sun Dec 13 15:00:00 CET 2015, Time: ,Sun Dec 13 15:00:00 CET 2015, Event: ,Benevento v Martina Franca, Favorite: ,Benevento, 522054   size:2.68,Price: ,1.53,Martina Franca, 8188317   size:5.18,Price: ,6.2,The Draw, 58805   size:2.55,Price: ,3.85,ok
1.122126211, Sport: ,Soccer, Time: ,Sat Dec 12 20:00:00 CET 2015, Time: ,Sat Dec 12 20:00:00 CET 2015, Event: ,Lommel Utd v Verbroedering Geel, Favorite: ,Lommel Utd, 5741869   size:19.85,Price: ,1.65,Verbroedering Geel, 505724   size:38.88,Price: ,6.0,The Draw, 58805   size:48.19,Price: ,4.0,ok
1.122159262, Sport: ,Soccer, Time: ,Sun Dec 13 13:30:00 CET 2015, Time: ,Sun Dec 13 13:30:00 CET 2015, Event: ,St Johnstone v Celtic, Favorite: ,Celtic, 55223   size:184.59,Price: ,1.43,St Johnstone, 57425   size:15.23,Price: ,9.6,The Draw, 58805   size:180.99,Price: ,5.0,ok
1.122157083, Sport: ,Soccer, Time: ,Sun Dec 13 17:30:00 CET 2015, Time: ,Sun Dec 13 17:30:00 CET 2015, Event: ,Bassano Virtus v Renate, Favorite: ,Bassano Virtus, 3260780   size:3.28,Price: ,1.49,Renate, 4077808   size:6.61,Price: ,7.0,The Draw, 58805   size:2.75,Price: ,3.9,ok
1.122160499, Sport: ,Soccer, Time: ,Sun Dec 13 15:00:00 CET 2015, Time: ,Sun Dec 13 15:00:00 CET 2015, Event: ,Empoli v Carpi, Favorite: ,Empoli, 60294   size:31.16,Price: ,1.77,Carpi, 4893598   size:29.89,Price: ,5.9,The Draw, 58805   size:128.78,Price: ,3.75,ok
1.122157081, Sport: ,Soccer, Time: ,Sun Dec 13 15:00:00 CET 2015, Time: ,Sun Dec 13 15:00:00 CET 2015, Event: ,Arezzo v Spal, Favorite: ,Spal, 3307906   size:58.48,Price: ,2.14,Arezzo, 522048   size:3.58,Price: ,3.3,The Draw, 58805   size:2.75,Price: ,3.15,x
1.122255500, Sport: ,Soccer, Time: ,Sun Dec 13 15:45:00 CET 2015, Time: ,Sun Dec 13 15:45:00 CET 2015, Event: ,CA Cirbonero v CD Oberena, Favorite: ,CA Cirbonero, 9472817   size:9.1,Price: ,1.06,CD Oberena, 8397763   size:9.1,Price: ,1.06,The Draw, 58805   size:2.76,Price: ,1.25,x
1.122216022, Sport: ,Soccer, Time: ,Sat Dec 12 18:00:00 CET 2015, Time: ,Sat Dec 12 18:00:00 CET 2015, Event: ,Barcelona B v Huracan CF, Favorite: ,Barcelona B, 3303609   size:2.75,Price: ,1.95,Huracan CF, 5759749   size:6.64,Price: ,4.6,The Draw, 58805   size:4.19,Price: ,3.3,x
1.122216027, Sport: ,Soccer, Time: ,Sun Dec 13 17:00:00 CET 2015, Time: ,Sun Dec 13 17:00:00 CET 2015, Event: ,Hercules v LHospitalet, Favorite: ,Hercules, 248015   size:7.47,Price: ,1.54,LHospitalet, 4923755   size:16.26,Price: ,7.8,The Draw, 58805   size:33.24,Price: ,3.7,ok
