1.122165384, Sport: ,Soccer, Time: ,Mon Dec 14 17:00:00 CET 2015, Time: ,Mon Dec 14 17:00:00 CET 2015, Event: ,Maccabi Ahi Nazareth v Hapoel Bnei Lod, Favorite: ,Hapoel Bnei Lod, 5337940   size:2.55,Price: ,2.72,Maccabi Ahi Nazareth, 5188358   size:2.55,Price: ,2.8,The Draw, 58805   size:3.29,Price: ,2.98,ok
1.122275475, Sport: ,Basketball, Time: ,Mon Dec 14 18:00:00 CET 2015, Time: ,Mon Dec 14 18:00:00 CET 2015, Event: ,Pardubice v Kolin, Favorite: ,Pardubice, 5942835   size:519.37,Price: ,1.08,Kolin, 7758592   size:10.12,Price: ,5.1,x
1.122273570, Sport: ,Soccer, Time: ,Mon Dec 14 21:00:00 CET 2015, Time: ,Mon Dec 14 21:00:00 CET 2015, Event: ,E Stirling U20 v Forfar U20, Favorite: ,Forfar U20, 9244793   size:2.55,Price: ,1.48,E Stirling U20, 9180811   size:46.4,Price: ,3.7,The Draw, 58805   size:2.55,Price: ,4.8,ok
1.122203503, Sport: ,Basketball, Time: ,Tue Dec 15 00:00:00 CET 2015, Time: ,Tue Dec 15 00:00:00 CET 2015, Event: ,Boca Jrs v Penarol, Favorite: ,Boca Jrs, 6719112   size:2.77,Price: ,1.03,Penarol, 6719113   size:2.77,Price: ,1.03,ok
1.122125124, Sport: ,Soccer, Time: ,Mon Dec 14 20:45:00 CET 2015, Time: ,Mon Dec 14 20:45:00 CET 2015, Event: ,Curzon Ashton v Nuneaton, Favorite: ,Nuneaton, 228536   size:95.85,Price: ,2.26,Curzon Ashton, 3396712   size:8.72,Price: ,3.4,The Draw, 58805   size:187.65,Price: ,3.45,x
1.122273459, Sport: ,Soccer, Time: ,Mon Dec 14 14:00:00 CET 2015, Time: ,Mon Dec 14 14:00:00 CET 2015, Event: ,Al Rayyan v Al Ahli (QAT), Favorite: ,Al Rayyan, 4692599   size:105.0,Price: ,1.25,Al Ahli (QAT), 5671996   size:5.22,Price: ,12.5,The Draw, 58805   size:3.62,Price: ,6.4,ok
1.122165944, Sport: ,Soccer, Time: ,Mon Dec 14 19:00:00 CET 2015, Time: ,Mon Dec 14 19:00:00 CET 2015, Event: ,Besiktas v Galatasaray, Favorite: ,Besiktas, 232068   size:65.46,Price: ,2.22,Galatasaray, 2436   size:7.46,Price: ,3.55,The Draw, 58805   size:314.22,Price: ,3.7,ok
1.122165306, Sport: ,Soccer, Time: ,Mon Dec 14 17:00:00 CET 2015, Time: ,Mon Dec 14 17:00:00 CET 2015, Event: ,Hapoel Nazareth Illit v Ironi Kiryat Gat, Favorite: ,Hapoel Nazareth Illit, 5178712   size:3.64,Price: ,2.1,Ironi Kiryat Gat, 6955790   size:2.51,Price: ,3.5,The Draw, 58805   size:4.07,Price: ,3.25,x
1.122271795, Sport: ,Soccer, Time: ,Mon Dec 14 20:30:00 CET 2015, Time: ,Mon Dec 14 20:30:00 CET 2015, Event: ,Manchester 62 FC v Lynx FC, Favorite: ,Lynx FC, 8916861   size:2.55,Price: ,1.14,Manchester 62 FC, 8875653   size:16.88,Price: ,4.6,The Draw, 58805   size:3.87,Price: ,3.2,ok
1.122260304, Sport: ,Basketball, Time: ,Tue Dec 15 02:05:00 CET 2015, Time: ,Tue Dec 15 02:05:00 CET 2015, Event: ,Philadelphia @ Chicago, Favorite: ,Chicago, 13117   size:2.54,Price: ,1.07,Philadelphia, 13103   size:2.67,Price: ,5.9,ok
1.122209688, Sport: ,Soccer, Time: ,Mon Dec 14 13:30:00 CET 2015, Time: ,Mon Dec 14 13:30:00 CET 2015, Event: ,Arab Contractors v Misr El Makasa, Favorite: ,Misr El Makasa, 5905941   size:2.88,Price: ,1.91,Arab Contractors, 5170862   size:2.77,Price: ,4.8,The Draw, 58805   size:4.55,Price: ,3.4,ok
