1.122282845, Sport: ,Soccer, Time: ,Tue Dec 15 13:45:00 CET 2015, Time: ,Tue Dec 15 13:45:00 CET 2015, Event: ,Al Shaab v Bani Yas, Favorite: ,Bani Yas, 6057930   size:5.0,Price: ,1.33,Al Shaab, 3618588   size:5.46,Price: ,2.48,The Draw, 58805   size:12.5,Price: ,2.9,x
1.122282900, Sport: ,Soccer, Time: ,Tue Dec 15 16:30:00 CET 2015, Time: ,Tue Dec 15 16:30:00 CET 2015, Event: ,Al Sharjah v Al Wahda (Abu Dhabi), Favorite: ,Al Wahda (Abu Dhabi), 6132829   size:14.96,Price: ,1.54,Al Sharjah, 3607226   size:6.97,Price: ,2.16,The Draw, 58805   size:12.5,Price: ,2.9,ok
1.122194465, Sport: ,Soccer, Time: ,Mon Dec 14 19:30:00 CET 2015, Time: ,Mon Dec 14 19:30:00 CET 2015, Event: ,Zulte-Waregem (Y) v Club Brugge (Y), Favorite: ,Club Brugge (Y), 7159209   size:99.21,Price: ,2.02,Zulte-Waregem (Y), 7159226   size:127.08,Price: ,3.0,The Draw, 58805   size:76.33,Price: ,5.2,x
1.122194245, Sport: ,Soccer, Time: ,Mon Dec 14 19:30:00 CET 2015, Time: ,Mon Dec 14 19:30:00 CET 2015, Event: ,KSC Lokeren (Y) v Waasland-Beveren (Y), Favorite: ,Waasland-Beveren (Y), 7159135   size:20.7,Price: ,2.32,KSC Lokeren (Y), 7159116   size:6.86,Price: ,2.36,The Draw, 58805   size:131.43,Price: ,4.0,x
1.122194300, Sport: ,Soccer, Time: ,Mon Dec 14 19:30:00 CET 2015, Time: ,Mon Dec 14 19:30:00 CET 2015, Event: ,KV Mechelen (Y) v Genk (Y), Favorite: ,KV Mechelen (Y), 7167645   size:2.55,Price: ,2.3,Genk (Y), 7159134   size:4.0,Price: ,2.5,The Draw, 58805   size:4.21,Price: ,4.2,x
1.122203609, Sport: ,Soccer, Time: ,Tue Dec 15 14:00:00 CET 2015, Time: ,Tue Dec 15 14:00:00 CET 2015, Event: ,Anagennisi Karditsa v PAS Giannina, Favorite: ,PAS Giannina, 1534030   size:2.55,Price: ,1.28,Anagennisi Karditsa, 3143236   size:2.55,Price: ,4.6,The Draw, 58805   size:2.55,Price: ,3.05,x
1.122285560, Sport: ,Tennis, Time: ,Tue Dec 15 05:30:00 CET 2015, Time: ,Tue Dec 15 05:30:00 CET 2015, Event: ,Plobrung Plipuech v Irina Khromacheva, Favorite: ,Irina Khromacheva, 6092292   size:2.38,Price: ,1.06,Plobrung Plipuech, 9629698   size:19.87,Price: ,8.6,ok
1.122285761, Sport: ,Basketball, Time: ,Tue Dec 15 01:30:00 CET 2015, Time: ,Tue Dec 15 01:30:00 CET 2015, Event: ,Atenas v Estudiantes (C), Favorite: ,Atenas, 6719082   size:2.55,Price: ,1.42,Estudiantes (C), 7753473   size:2.22,Price: ,2.86,ok
1.122286835, Sport: ,Tennis, Time: ,Tue Dec 15 11:30:00 CET 2015, Time: ,Tue Dec 15 11:30:00 CET 2015, Event: ,Emily Webley-Smith v Anastasiya Vasylyeva, Favorite: ,Anastasiya Vasylyeva, 7446090   size:8.44,Price: ,1.3,Emily Webley-Smith, 8595920   size:54.89,Price: ,3.5,ok
1.122286836, Sport: ,Tennis, Time: ,Tue Dec 15 13:00:00 CET 2015, Time: ,Tue Dec 15 13:00:00 CET 2015, Event: ,Doroteja Eric v Snehadevi S Reddy, Favorite: ,Doroteja Eric, 8839051   size:5.0,Price: ,1.21,Snehadevi S Reddy, 9028620   size:38.1,Price: ,5.3,ok
1.122285762, Sport: ,Basketball, Time: ,Tue Dec 15 02:00:00 CET 2015, Time: ,Tue Dec 15 02:00:00 CET 2015, Event: ,Olimpico v Argentino, Favorite: ,Olimpico, 6719115   size:2.55,Price: ,1.23,Argentino, 6719106   size:45.78,Price: ,4.1,ok
1.122285763, Sport: ,Basketball, Time: ,Tue Dec 15 02:00:00 CET 2015, Time: ,Tue Dec 15 02:00:00 CET 2015, Event: ,Quimsa v Ferro Carril Oeste, Favorite: ,Quimsa, 6243645   size:2.55,Price: ,1.25,Ferro Carril Oeste, 10312212   size:43.05,Price: ,4.3,ok
1.122286733, Sport: ,Tennis, Time: ,Tue Dec 15 11:30:00 CET 2015, Time: ,Tue Dec 15 11:30:00 CET 2015, Event: ,Yana Sizikova v Ankita Raina, Favorite: ,Ankita Raina, 7921012   size:2.55,Price: ,1.43,Yana Sizikova, 9627872   size:2.55,Price: ,2.88,ok
1.122282955, Sport: ,Soccer, Time: ,Tue Dec 15 13:40:00 CET 2015, Time: ,Tue Dec 15 13:40:00 CET 2015, Event: ,Dibba Al Fujairah v Al Jazira (UAE), Favorite: ,Dibba Al Fujairah, 6685874   size:4.43,Price: ,1.71,Al Jazira (UAE), 9300989   size:18.0,Price: ,2.7,The Draw, 58805   size:15.0,Price: ,3.2,ok
1.122166580, Sport: ,Soccer, Time: ,Mon Dec 14 20:45:00 CET 2015, Time: ,Mon Dec 14 20:45:00 CET 2015, Event: ,Lazio v Sampdoria, Favorite: ,Lazio, 56966   size:5766.57,Price: ,1.54,Sampdoria, 60311   size:216.89,Price: ,7.6,The Draw, 58805   size:2887.16,Price: ,4.4,x
1.122285528, Sport: ,Tennis, Time: ,Tue Dec 15 08:30:00 CET 2015, Time: ,Tue Dec 15 08:30:00 CET 2015, Event: ,Myrtille Georges v Katarina Zavatska, Favorite: ,Myrtille Georges, 7283251   size:5.0,Price: ,1.17,Katarina Zavatska, 9635149   size:8.11,Price: ,5.7,ok
1.122286837, Sport: ,Tennis, Time: ,Tue Dec 15 11:30:00 CET 2015, Time: ,Tue Dec 15 11:30:00 CET 2015, Event: ,Chieh-Yu Hsu v Katy Dunne, Favorite: ,Katy Dunne, 7368513   size:8.44,Price: ,1.58,Chieh-Yu Hsu, 8427398   size:8.44,Price: ,2.4,x
1.122285507, Sport: ,Tennis, Time: ,Tue Dec 15 08:30:00 CET 2015, Time: ,Tue Dec 15 08:30:00 CET 2015, Event: ,Fang Ying Xun v Yuuki Tanaka, Favorite: ,Yuuki Tanaka, 8839145   size:8.44,Price: ,1.72,Fang Ying Xun, 9456616   size:8.44,Price: ,2.1,x
