1.122299321, Sport: ,Soccer, Time: ,Thu Dec 17 17:40:00 CET 2015, Time: ,Thu Dec 17 17:40:00 CET 2015, Event: ,Al Qadsia v Khaitan, Favorite: ,Al Qadsia, 2909647   size:11.06,Price: ,1.13,Khaitan, 9359990   size:11.06,Price: ,1.13,The Draw, 58805   size:3.66,Price: ,2.9,x
1.122286804, Sport: ,Basketball, Time: ,Thu Dec 17 11:00:00 CET 2015, Time: ,Thu Dec 17 11:00:00 CET 2015, Event: ,Changwon Sakers v Incheon Elephants, Favorite: ,Changwon Sakers, 10276571   size:506.63,Price: ,1.07,Incheon Elephants, 8248315   size:506.63,Price: ,1.07,ok
1.122214082, Sport: ,Soccer, Time: ,Thu Dec 17 14:00:00 CET 2015, Time: ,Thu Dec 17 14:00:00 CET 2015, Event: ,Olympiakos Volou v PAOK, Favorite: ,PAOK, 232095   size:91.89,Price: ,2.28,Olympiakos Volou, 2126375   size:18.49,Price: ,2.84,The Draw, 58805   size:26.32,Price: ,3.9,x
1.122294676, Sport: ,Basketball, Time: ,Thu Dec 17 18:00:00 CET 2015, Time: ,Thu Dec 17 18:00:00 CET 2015, Event: ,Orduspor (W) v Udominate (W), Favorite: ,Orduspor (W), 8978711   size:4.46,Price: ,1.07,Udominate (W), 8978731   size:3.58,Price: ,1.26,ok
1.122286132, Sport: ,Basketball, Time: ,Thu Dec 17 20:45:00 CET 2015, Time: ,Thu Dec 17 20:45:00 CET 2015, Event: ,Real Madrid v Strasbourg, Favorite: ,Real Madrid, 266274   size:420.86,Price: ,1.04,Strasbourg, 1193143   size:4.18,Price: ,1.5,ok
1.122286374, Sport: ,Basketball, Time: ,Thu Dec 17 02:05:00 CET 2015, Time: ,Thu Dec 17 02:05:00 CET 2015, Event: ,Portland @ Oklahoma City, Favorite: ,Oklahoma City, 3363394   size:2907.87,Price: ,1.19,Portland, 13129   size:78.27,Price: ,5.8,ok
1.122286497, Sport: ,Basketball, Time: ,Thu Dec 17 01:05:00 CET 2015, Time: ,Thu Dec 17 01:05:00 CET 2015, Event: ,Charlotte @ Orlando, Favorite: ,Charlotte, 13110   size:6.62,Price: ,1.96,Orlando, 13104   size:176.94,Price: ,2.02,x
1.122294702, Sport: ,Basketball, Time: ,Thu Dec 17 20:30:00 CET 2015, Time: ,Thu Dec 17 20:30:00 CET 2015, Event: ,BCF Elfic Fribourg Wome v PEAC Pecs (W), Favorite: ,BCF Elfic Fribourg Wome, 10459538   size:2.82,Price: ,1.46,PEAC Pecs (W), 8978753   size:2.67,Price: ,1.54,x
1.122297815, Sport: ,Soccer, Time: ,Thu Dec 17 00:30:00 CET 2015, Time: ,Thu Dec 17 00:30:00 CET 2015, Event: ,Fluminense U20 v Atletico Mineiro U20, Favorite: ,Fluminense U20, 5181413   size:10.02,Price: ,1.89,Atletico Mineiro U20, 5181675   size:4.86,Price: ,4.1,The Draw, 58805   size:6.81,Price: ,3.9,x
1.122284754, Sport: ,Volleyball, Time: ,Thu Dec 17 16:00:00 CET 2015, Time: ,Thu Dec 17 16:00:00 CET 2015, Event: ,Stiinta Bacau v Spartak Subotica, Favorite: ,Stiinta Bacau, 6781536   size:2.74,Price: ,1.03,Spartak Subotica, 10410560   size:2.74,Price: ,1.03,ok
1.122286415, Sport: ,Basketball, Time: ,Thu Dec 17 03:05:00 CET 2015, Time: ,Thu Dec 17 03:05:00 CET 2015, Event: ,New Orleans @ Utah, Favorite: ,Utah, 13119   size:69.94,Price: ,1.67,New Orleans, 6860646   size:98.0,Price: ,2.4,x
1.122213317, Sport: ,Soccer, Time: ,Thu Dec 17 21:00:00 CET 2015, Time: ,Thu Dec 17 21:00:00 CET 2015, Event: ,Sampdoria v AC Milan, Favorite: ,AC Milan, 127991   size:236.7,Price: ,2.34,Sampdoria, 60311   size:76.79,Price: ,3.4,The Draw, 58805   size:1389.49,Price: ,3.5,ok
