1.122231537, Sport: ,Snooker, Time: ,Sat Dec 19 11:00:00 CET 2015, Time: ,Sat Dec 19 11:00:00 CET 2015, Event: ,Rory Mcleod v Vinnie Calabrese, Favorite: ,Rory McLeod, 5976938   size:41.67,Price: ,1.38,Vinnie Calabrese, 7304570   size:62.37,Price: ,3.2,ok
1.122232626, Sport: ,Snooker, Time: ,Sat Dec 19 11:00:00 CET 2015, Time: ,Sat Dec 19 11:00:00 CET 2015, Event: ,Michael Holt v Sean OSullivan, Favorite: ,Michael Holt, 2278812   size:2.55,Price: ,1.41,Sean OSullivan, 6592432   size:2.55,Price: ,2.76,ok
1.122234801, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Stevenage v Accrington S, Favorite: ,Accrington S, 498119   size:212.04,Price: ,2.2,Stevenage, 49204   size:95.53,Price: ,3.5,The Draw, 58805   size:71.96,Price: ,3.75,x
1.122233951, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Nottm Forest v MK Dons, Favorite: ,Nottm Forest, 69718   size:251.15,Price: ,1.89,MK Dons, 893582   size:121.42,Price: ,4.9,The Draw, 58805   size:1144.36,Price: ,3.65,ok
1.122322794, Sport: ,Handball, Time: ,Sat Dec 19 19:00:00 CET 2015, Time: ,Sat Dec 19 19:00:00 CET 2015, Event: ,Hannover Burgdorf v Wetzlar, Favorite: ,Draw, 330157   size:18.0,Price: ,1.04,Hannover Burgdorf, 4551482   size:4.76,Price: ,2.02,Wetzlar, 2507302   size:4.49,Price: ,2.08,x
1.122287465, Sport: ,Basketball, Time: ,Sat Dec 19 15:00:00 CET 2015, Time: ,Sat Dec 19 15:00:00 CET 2015, Event: ,Galatasaray v Buyukcekmece, Favorite: ,Galatasaray, 631281   size:5.97,Price: ,1.12,Buyukcekmece, 9128901   size:3.94,Price: ,6.6,ok
1.122300642, Sport: ,Basketball, Time: ,Sat Dec 19 01:05:00 CET 2015, Time: ,Sat Dec 19 01:05:00 CET 2015, Event: ,Brooklyn @ Indiana, Favorite: ,Indiana, 13116   size:6552.91,Price: ,1.17,Brooklyn, 6758557   size:50.74,Price: ,6.4,ok
1.122320378, Sport: ,Soccer, Time: ,Sat Dec 19 18:00:00 CET 2015, Time: ,Sat Dec 19 18:00:00 CET 2015, Event: ,AE Prat v EC Granollers, Favorite: ,AE Prat, 5878427   size:5.97,Price: ,1.55,EC Granollers, 10243276   size:34.3,Price: ,4.5,The Draw, 58805   size:34.3,Price: ,3.45,ok
1.122222941, Sport: ,Soccer, Time: ,Sat Dec 19 18:45:00 CET 2015, Time: ,Sat Dec 19 18:45:00 CET 2015, Event: ,ENPPI v Arab Contractors, Favorite: ,ENPPI, 5259327   size:10.55,Price: ,1.54,Arab Contractors, 5170862   size:2.55,Price: ,5.6,The Draw, 58805   size:2.55,Price: ,3.55,ok
1.122322799, Sport: ,Soccer, Time: ,Sat Dec 19 17:00:00 CET 2015, Time: ,Sat Dec 19 17:00:00 CET 2015, Event: ,SD Negreira v Ribadumia, Favorite: ,SD Negreira, 7906282   size:78.86,Price: ,1.87,Ribadumia, 10601352   size:34.3,Price: ,3.45,The Draw, 58805   size:34.3,Price: ,3.1,x
1.122300768, Sport: ,Basketball, Time: ,Sat Dec 19 01:00:00 CET 2015, Time: ,Sat Dec 19 01:00:00 CET 2015, Event: ,Lanus v Ferro Carril Oeste, Favorite: ,Lanus, 6719117   size:203.0,Price: ,1.37,Ferro Carril Oeste, 10312212   size:2.55,Price: ,3.25,ok
1.122300769, Sport: ,Basketball, Time: ,Sat Dec 19 02:00:00 CET 2015, Time: ,Sat Dec 19 02:00:00 CET 2015, Event: ,Instituto Atletico Cent v Atenas, Favorite: ,Instituto Atletico Cent, 10346458   size:2.55,Price: ,1.54,Atenas, 6719082   size:44.55,Price: ,2.64,ok
1.122228486, Sport: ,Soccer, Time: ,Sat Dec 19 15:00:00 CET 2015, Time: ,Sat Dec 19 15:00:00 CET 2015, Event: ,Entella v Vicenza, Favorite: ,Entella, 4893589   size:23.6,Price: ,2.48,Vicenza, 7338   size:55.83,Price: ,3.35,The Draw, 58805   size:337.06,Price: ,3.1,ok
