1.122231537, Sport: ,Snooker, Time: ,Sat Dec 19 11:00:00 CET 2015, Time: ,Sat Dec 19 11:00:00 CET 2015, Event: ,Rory Mcleod v Vinnie Calabrese, Favorite: ,Rory McLeod, 5976938   size:65.97,Price: ,1.41,Vinnie Calabrese, 7304570   size:65.24,Price: ,3.1,ok
1.122234801, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Stevenage v Accrington S, Favorite: ,Accrington S, 498119   size:246.5,Price: ,2.2,Stevenage, 49204   size:2.72,Price: ,3.55,The Draw, 58805   size:242.37,Price: ,3.75,x
1.122233951, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Nottm Forest v MK Dons, Favorite: ,Nottm Forest, 69718   size:204.59,Price: ,1.91,MK Dons, 893582   size:326.82,Price: ,4.7,The Draw, 58805   size:327.71,Price: ,3.65,ok
1.122322794, Sport: ,Handball, Time: ,Sat Dec 19 19:00:00 CET 2015, Time: ,Sat Dec 19 19:00:00 CET 2015, Event: ,Hannover Burgdorf v Wetzlar, Favorite: ,Hannover Burgdorf, 4551482   size:17.84,Price: ,1.04,Wetzlar, 2507302   size:17.83,Price: ,1.04,Draw, 330157   size:16.0,Price: ,1.04,ok
1.122301854, Sport: ,Ice Hockey, Time: ,Sun Dec 20 01:05:00 CET 2015, Time: ,Sun Dec 20 01:05:00 CET 2015, Event: ,Montreal @ Dallas, Favorite: ,Dallas, 2108116   size:4.67,Price: ,1.9,Montreal, 2112345   size:3.89,Price: ,3.0,Tie, 60104   size:3.67,Price: ,3.75,ok
1.122287465, Sport: ,Basketball, Time: ,Sat Dec 19 15:00:00 CET 2015, Time: ,Sat Dec 19 15:00:00 CET 2015, Event: ,Galatasaray v Buyukcekmece, Favorite: ,Galatasaray, 631281   size:8.53,Price: ,1.12,Buyukcekmece, 9128901   size:5.94,Price: ,6.6,ok
1.122320378, Sport: ,Soccer, Time: ,Sat Dec 19 18:00:00 CET 2015, Time: ,Sat Dec 19 18:00:00 CET 2015, Event: ,AE Prat v EC Granollers, Favorite: ,AE Prat, 5878427   size:3.19,Price: ,1.56,EC Granollers, 10243276   size:35.34,Price: ,4.5,The Draw, 58805   size:35.68,Price: ,3.45,ok
1.122222941, Sport: ,Soccer, Time: ,Sat Dec 19 18:45:00 CET 2015, Time: ,Sat Dec 19 18:45:00 CET 2015, Event: ,ENPPI v Arab Contractors, Favorite: ,ENPPI, 5259327   size:4.78,Price: ,1.57,Arab Contractors, 5170862   size:2.0,Price: ,6.2,The Draw, 58805   size:4.01,Price: ,3.55,ok
1.122325949, Sport: ,Soccer, Time: ,Sat Dec 19 14:30:00 CET 2015, Time: ,Sat Dec 19 14:30:00 CET 2015, Event: ,UC Sampdoria U19 v Modena FC U19, Favorite: ,UC Sampdoria U19, 6670858   size:2.01,Price: ,1.37,Modena FC U19, 6813199   size:5.97,Price: ,6.6,The Draw, 58805   size:6.46,Price: ,4.3,x
1.120209429, Sport: ,Mixed Martial Arts, Time: ,Sun Dec 20 02:00:00 CET 2015, Time: ,Sun Dec 20 02:00:00 CET 2015, Event: ,Dos Anjos v Cerrone, Favorite: ,Rafael dos Anjos, 4169888   size:788.16,Price: ,1.47,Donald Cerrone, 4654354   size:127.44,Price: ,2.7,ok
1.122228486, Sport: ,Soccer, Time: ,Sat Dec 19 15:00:00 CET 2015, Time: ,Sat Dec 19 15:00:00 CET 2015, Event: ,Entella v Vicenza, Favorite: ,Entella, 4893589   size:24.77,Price: ,2.58,Vicenza, 7338   size:13.42,Price: ,3.35,The Draw, 58805   size:276.31,Price: ,3.1,ok
1.122229204, Sport: ,Soccer, Time: ,Sat Dec 19 19:30:00 CET 2015, Time: ,Sat Dec 19 19:30:00 CET 2015, Event: ,Arouca v Maritimo, Favorite: ,Maritimo, 46964   size:2.38,Price: ,2.84,Arouca, 3413603   size:2.37,Price: ,2.86,The Draw, 58805   size:247.0,Price: ,3.25,x
1.122227389, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Dunfermline v Stenhousemuir, Favorite: ,Dunfermline, 48812   size:16.3,Price: ,1.25,Stenhousemuir, 729806   size:27.22,Price: ,13.5,The Draw, 58805   size:2.0,Price: ,7.6,ok
1.122319142, Sport: ,Soccer, Time: ,Sat Dec 19 09:30:00 CET 2015, Time: ,Sat Dec 19 09:30:00 CET 2015, Event: ,Shimshon TA Raya U19 v Hapoel Kiryat Uno U19, Favorite: ,Shimshon TA Raya U19, 10640235   size:2.55,Price: ,1.66,Hapoel Kiryat Uno U19, 10640237   size:6.52,Price: ,3.3,The Draw, 58805   size:10.0,Price: ,3.75,ok
1.122319266, Sport: ,Soccer, Time: ,Sat Dec 19 14:30:00 CET 2015, Time: ,Sat Dec 19 14:30:00 CET 2015, Event: ,Paganese U19 v US Avellino 1912 U19 II, Favorite: ,Paganese U19, 10404019   size:19.45,Price: ,1.03,US Avellino 1912 U19 II, 10597181   size:5.45,Price: ,11.0,The Draw, 58805   size:5.45,Price: ,10.5,x
1.122300771, Sport: ,Basketball, Time: ,Sat Dec 19 21:00:00 CET 2015, Time: ,Sat Dec 19 21:00:00 CET 2015, Event: ,Zadar v Krka, Favorite: ,Zadar, 680759   size:2.55,Price: ,1.46,Krka, 3315294   size:2.55,Price: ,2.9,x
1.122300779, Sport: ,Basketball, Time: ,Sat Dec 19 19:00:00 CET 2015, Time: ,Sat Dec 19 19:00:00 CET 2015, Event: ,Partizan v Mega Vizura, Favorite: ,Partizan, 266286   size:2.55,Price: ,1.47,Mega Vizura, 7735104   size:2.55,Price: ,2.86,x
1.122230588, Sport: ,Soccer, Time: ,Sat Dec 19 20:30:00 CET 2015, Time: ,Sat Dec 19 20:30:00 CET 2015, Event: ,Betis v Sevilla, Favorite: ,Sevilla, 44508   size:3.29,Price: ,2.02,Betis, 44507   size:11.52,Price: ,4.0,The Draw, 58805   size:687.76,Price: ,3.85,x
1.122232883, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Exeter v Luton, Favorite: ,Luton, 223467   size:82.0,Price: ,2.54,Exeter, 66243   size:170.1,Price: ,2.94,The Draw, 58805   size:43.67,Price: ,3.65,ok
1.122222719, Sport: ,Soccer, Time: ,Sat Dec 19 14:00:00 CET 2015, Time: ,Sat Dec 19 14:00:00 CET 2015, Event: ,Cottbus v Werder Bremen II, Favorite: ,Cottbus, 204683   size:28.64,Price: ,2.0,Werder Bremen II, 9987568   size:94.7,Price: ,4.1,The Draw, 58805   size:20.0,Price: ,3.65,x
1.122253541, Sport: ,Soccer, Time: ,Sat Dec 19 14:00:00 CET 2015, Time: ,Sat Dec 19 14:00:00 CET 2015, Event: ,OCK Khouribga v MAT Tetouan, Favorite: ,MAT Tetouan, 6552584   size:5.44,Price: ,2.6,OCK Khouribga, 6359083   size:2.55,Price: ,2.76,The Draw, 58805   size:6.07,Price: ,3.1,ok
1.122287244, Sport: ,Basketball, Time: ,Sat Dec 19 20:30:00 CET 2015, Time: ,Sat Dec 19 20:30:00 CET 2015, Event: ,Tenerife v Gipuzkoa, Favorite: ,Tenerife, 676445   size:2.55,Price: ,1.15,Gipuzkoa, 7736138   size:2.55,Price: ,1.28,x
1.122287488, Sport: ,Basketball, Time: ,Sat Dec 19 11:00:00 CET 2015, Time: ,Sat Dec 19 11:00:00 CET 2015, Event: ,Astana v Vita Tbilisi, Favorite: ,Astana, 5877769   size:4055.6,Price: ,1.02,Vita Tbilisi, 10369608   size:2.55,Price: ,2.04,ok
1.122224900, Sport: ,Soccer, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,FC Koln v Dortmund, Favorite: ,Dortmund, 44785   size:337.39,Price: ,1.54,FC Koln, 44783   size:25.7,Price: ,6.8,The Draw, 58805   size:298.65,Price: ,4.7,x
1.122300748, Sport: ,Basketball, Time: ,Sat Dec 19 18:00:00 CET 2015, Time: ,Sat Dec 19 18:00:00 CET 2015, Event: ,Le Mans v Lyon, Favorite: ,Lyon, 1297016   size:2.74,Price: ,1.03,Le Mans, 678096   size:5.98,Price: ,1.92,x
1.122229594, Sport: ,Soccer, Time: ,Sat Dec 19 20:15:00 CET 2015, Time: ,Sat Dec 19 20:15:00 CET 2015, Event: ,Numancia v Osasuna, Favorite: ,Numancia, 28189   size:2.72,Price: ,2.26,Osasuna, 10543   size:74.4,Price: ,3.7,The Draw, 58805   size:2.0,Price: ,3.4,x
1.122300744, Sport: ,Basketball, Time: ,Sat Dec 19 19:00:00 CET 2015, Time: ,Sat Dec 19 19:00:00 CET 2015, Event: ,Monaco v Chalon Saone, Favorite: ,Monaco, 8074967   size:606.0,Price: ,1.04,Chalon Saone, 1471819   size:606.0,Price: ,1.04,ok
1.122228378, Sport: ,Snooker, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,Peter Ebdon v Michell Mann, Favorite: ,Peter Ebdon, 2278791   size:2.55,Price: ,1.29,Michell Mann, 10616864   size:28.31,Price: ,3.8,ok
1.122255854, Sport: ,Soccer, Time: ,Sun Dec 20 02:00:00 CET 2015, Time: ,Sun Dec 20 02:00:00 CET 2015, Event: ,UNAN Managua v Diriangen FC, Favorite: ,UNAN Managua, 9198508   size:10.0,Price: ,1.13,Diriangen FC, 9038383   size:10.0,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.05,ok
1.122233845, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Northampton v Portsmouth, Favorite: ,Portsmouth, 58344   size:201.36,Price: ,2.28,Northampton, 5034   size:133.98,Price: ,3.55,The Draw, 58805   size:106.82,Price: ,3.5,ok
1.122232994, Sport: ,Soccer, Time: ,Sat Dec 19 20:00:00 CET 2015, Time: ,Sat Dec 19 20:00:00 CET 2015, Event: ,Guingamp v Rennes, Favorite: ,Guingamp, 44801   size:364.73,Price: ,2.5,Rennes, 44799   size:6.0,Price: ,3.4,The Draw, 58805   size:1418.0,Price: ,3.1,x
1.122230451, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Bristol City v QPR, Favorite: ,QPR, 62684   size:197.02,Price: ,2.7,Bristol City, 69745   size:79.51,Price: ,2.86,The Draw, 58805   size:989.04,Price: ,3.45,x
1.122300752, Sport: ,Basketball, Time: ,Sat Dec 19 20:00:00 CET 2015, Time: ,Sat Dec 19 20:00:00 CET 2015, Event: ,Cholet v Antibes, Favorite: ,Cholet, 678099   size:753.72,Price: ,1.04,Antibes, 5467755   size:1713.0,Price: ,1.04,ok
1.122322402, Sport: ,Soccer, Time: ,Sat Dec 19 17:30:00 CET 2015, Time: ,Sat Dec 19 17:30:00 CET 2015, Event: ,Club Atletico Saguntino v UD Alzira, Favorite: ,Club Atletico Saguntino, 7906133   size:3.54,Price: ,1.49,UD Alzira, 5688358   size:35.19,Price: ,5.5,The Draw, 58805   size:35.76,Price: ,3.45,ok
1.122324709, Sport: ,Soccer, Time: ,Sat Dec 19 14:15:00 CET 2015, Time: ,Sat Dec 19 14:15:00 CET 2015, Event: ,ASM Oran v NR Dely Brahim, Favorite: ,ASM Oran, 8954905   size:5.47,Price: ,1.13,NR Dely Brahim, 10640453   size:7.0,Price: ,12.5,The Draw, 58805   size:3.04,Price: ,11.0,ok
1.122229466, Sport: ,Soccer, Time: ,Sat Dec 19 16:00:00 CET 2015, Time: ,Sat Dec 19 16:00:00 CET 2015, Event: ,Barnet v Crawley Town, Favorite: ,Barnet, 1165   size:439.5,Price: ,2.26,Crawley Town, 266068   size:321.0,Price: ,3.4,The Draw, 58805   size:68.13,Price: ,3.65,ok
1.122328292, Sport: ,Soccer, Time: ,Sat Dec 19 15:30:00 CET 2015, Time: ,Sat Dec 19 15:30:00 CET 2015, Event: ,Subiza v CD River Ega, Favorite: ,Subiza, 9366737   size:10.06,Price: ,1.13,CD River Ega, 10238409   size:10.06,Price: ,1.13,The Draw, 58805   size:4.11,Price: ,3.1,ok
1.122275036, Sport: ,Rugby Union, Time: ,Sat Dec 19 18:15:00 CET 2015, Time: ,Sat Dec 19 18:15:00 CET 2015, Event: ,Leinster v Toulon, Favorite: ,Toulon, 1242213   size:42.34,Price: ,1.57,Leinster, 8875   size:300.0,Price: ,2.98,Draw, 246289   size:30.0,Price: ,29.0,ok
1.122253127, Sport: ,Soccer, Time: ,Sun Dec 20 02:00:00 CET 2015, Time: ,Sun Dec 20 02:00:00 CET 2015, Event: ,Honduras Progreso v CD Motagua, Favorite: ,Honduras Progreso, 9216461   size:5.0,Price: ,1.9,CD Motagua, 2888928   size:3.9,Price: ,3.65,The Draw, 58805   size:4.08,Price: ,3.2,x
