1.122284869, Sport: ,Volleyball, Time: ,Sun Dec 20 17:00:00 CET 2015, Time: ,Sun Dec 20 17:00:00 CET 2015, Event: ,Banimex Bedzin v Asseco Resovia Rzeszow, Favorite: ,Asseco Resovia Rzeszow, 3657095   size:3.77,Price: ,1.04,Banimex Bedzin, 8890540   size:2.89,Price: ,7.2,ok
1.122254099, Sport: ,Soccer, Time: ,Sun Dec 20 17:30:00 CET 2015, Time: ,Sun Dec 20 17:30:00 CET 2015, Event: ,Sanliurfaspor v Elazigspor, Favorite: ,Sanliurfaspor, 2610482   size:5.0,Price: ,2.66,Elazigspor, 196063   size:155.35,Price: ,2.92,The Draw, 58805   size:115.61,Price: ,3.2,x
1.122252506, Sport: ,Soccer, Time: ,Sun Dec 20 15:30:00 CET 2015, Time: ,Sun Dec 20 15:30:00 CET 2015, Event: ,Korona Kielce v Legia Warsaw, Favorite: ,Legia Warsaw, 46943   size:309.92,Price: ,1.69,Korona Kielce, 1209555   size:51.25,Price: ,6.0,The Draw, 58805   size:72.11,Price: ,3.95,ok
1.122354422, Sport: ,Snooker, Time: ,Sun Dec 20 15:30:00 CET 2015, Time: ,Sun Dec 20 15:30:00 CET 2015, Event: ,Fergal O Brien v Peter Ebdon, Favorite: ,Peter Ebdon, 2278791   size:2.55,Price: ,1.71,Fergal O Brien, 2278816   size:13.5,Price: ,2.2,x
1.122287748, Sport: ,Soccer, Time: ,Mon Dec 21 00:00:00 CET 2015, Time: ,Mon Dec 21 00:00:00 CET 2015, Event: ,Atletico Nacional v Junior, Favorite: ,Atletico Nacional, 478920   size:45.81,Price: ,1.55,Junior, 363629   size:2.74,Price: ,6.6,The Draw, 58805   size:7.67,Price: ,4.2,ok
1.122342708, Sport: ,Soccer, Time: ,Sun Dec 20 20:30:00 CET 2015, Time: ,Sun Dec 20 20:30:00 CET 2015, Event: ,Sport Boys (Bol) v Ciclon, Favorite: ,Sport Boys (Bol), 7587365   size:68.52,Price: ,1.5,Ciclon, 10197623   size:7.55,Price: ,6.4,The Draw, 58805   size:6.41,Price: ,4.1,ok
1.122316383, Sport: ,Snooker, Time: ,Sun Dec 20 11:00:00 CET 2015, Time: ,Sun Dec 20 11:00:00 CET 2015, Event: ,Stephen Maguire v Andrew Higginson, Favorite: ,Stephen Maguire, 2278793   size:4.26,Price: ,1.34,Andrew Higginson, 2278819   size:2.74,Price: ,3.7,ok
1.122115168, Sport: ,Darts, Time: ,Sun Dec 20 20:10:00 CET 2015, Time: ,Sun Dec 20 20:10:00 CET 2015, Event: ,Aleksandr Oreshkin v Paul Lim, Favorite: ,Paul Lim, 6889339   size:11.16,Price: ,1.41,Aleksandr Oreshkin, 10587655   size:39.42,Price: ,3.1,x
1.122316382, Sport: ,Snooker, Time: ,Sun Dec 20 11:00:00 CET 2015, Time: ,Sun Dec 20 11:00:00 CET 2015, Event: ,Zak Surety v Graeme Dott, Favorite: ,Graeme Dott, 2278797   size:9.79,Price: ,1.26,Zak Surety, 6641527   size:2.74,Price: ,4.4,ok
1.122252124, Sport: ,Soccer, Time: ,Sun Dec 20 16:15:00 CET 2015, Time: ,Sun Dec 20 16:15:00 CET 2015, Event: ,Panaitolikos v Iraklis, Favorite: ,Panaitolikos, 2126382   size:5.0,Price: ,2.44,Iraklis, 14076   size:116.55,Price: ,3.35,The Draw, 58805   size:297.21,Price: ,3.25,ok
1.122252401, Sport: ,Soccer, Time: ,Sun Dec 20 14:00:00 CET 2015, Time: ,Sun Dec 20 14:00:00 CET 2015, Event: ,PAOK v Platanias, Favorite: ,PAOK, 232095   size:319.06,Price: ,1.51,Platanias, 4157191   size:2.74,Price: ,8.0,The Draw, 58805   size:110.83,Price: ,4.4,ok
1.122307445, Sport: ,Basketball, Time: ,Sun Dec 20 12:35:00 CET 2015, Time: ,Sun Dec 20 12:35:00 CET 2015, Event: ,Beijing BG / Beikong Fl v Liaoning, Favorite: ,Liaoning, 8926912   size:2.55,Price: ,1.25,Beijing BG / Beikong Fl, 10513291   size:12.05,Price: ,4.4,ok
1.122345682, Sport: ,Basketball, Time: ,Sun Dec 20 18:00:00 CET 2015, Time: ,Sun Dec 20 18:00:00 CET 2015, Event: ,Jezioro Tarnobrzeg v Rosa Radom, Favorite: ,Rosa Radom, 6703618   size:2.55,Price: ,1.25,Jezioro Tarnobrzeg, 6703616   size:2.55,Price: ,4.3,ok
1.122347623, Sport: ,Soccer, Time: ,Sun Dec 20 14:30:00 CET 2015, Time: ,Sun Dec 20 14:30:00 CET 2015, Event: ,EVV v Koninklijke HFC, Favorite: ,Koninklijke HFC, 10277270   size:49.86,Price: ,2.32,EVV, 2553163   size:49.15,Price: ,2.44,The Draw, 58805   size:46.12,Price: ,3.7,x
1.122253292, Sport: ,Soccer, Time: ,Sun Dec 20 10:30:00 CET 2015, Time: ,Sun Dec 20 10:30:00 CET 2015, Event: ,TSW Pegasus v Dreams Metro Gallery, Favorite: ,TSW Pegasus, 5366237   size:132.51,Price: ,1.64,Dreams Metro Gallery, 10263390   size:70.85,Price: ,3.5,The Draw, 58805   size:100.0,Price: ,3.3,x
