1.122254018, Sport: ,Soccer, Time: ,Mon Dec 21 14:00:00 CET 2015, Time: ,Mon Dec 21 14:00:00 CET 2015, Event: ,Leeds U21 v Sheff Wed U21, Favorite: ,Leeds U21, 6867657   size:3.7,Price: ,1.17,Sheff Wed U21, 6813026   size:3.7,Price: ,1.17,The Draw, 58805   size:5.0,Price: ,3.1,ok
1.122314766, Sport: ,Basketball, Time: ,Mon Dec 21 21:00:00 CET 2015, Time: ,Mon Dec 21 21:00:00 CET 2015, Event: ,Buducnost v Crvena Zvezda, Favorite: ,Buducnost, 266288   size:2.55,Price: ,1.89,Crvena Zvezda, 1275898   size:2.55,Price: ,1.96,ok
1.122254494, Sport: ,Soccer, Time: ,Mon Dec 21 18:30:00 CET 2015, Time: ,Mon Dec 21 18:30:00 CET 2015, Event: ,AEK v Levadiakos, Favorite: ,AEK, 214309   size:372.63,Price: ,1.34,Levadiakos, 531200   size:6.83,Price: ,12.0,The Draw, 58805   size:60.44,Price: ,5.8,x
1.122254890, Sport: ,Soccer, Time: ,Mon Dec 21 20:00:00 CET 2015, Time: ,Mon Dec 21 20:00:00 CET 2015, Event: ,Paderborn v Fortuna Dusseldorf, Favorite: ,Paderborn, 208035   size:4.77,Price: ,2.44,Fortuna Dusseldorf, 879210   size:16.08,Price: ,3.15,The Draw, 58805   size:489.95,Price: ,3.5,x
1.122254010, Sport: ,Soccer, Time: ,Mon Dec 21 14:00:00 CET 2015, Time: ,Mon Dec 21 14:00:00 CET 2015, Event: ,Coventry U21 v Bolton U21, Favorite: ,Coventry U21, 6812039   size:3.7,Price: ,1.17,Bolton U21, 6594013   size:3.7,Price: ,1.17,The Draw, 58805   size:4.11,Price: ,3.0,ok
1.122254012, Sport: ,Soccer, Time: ,Mon Dec 21 14:00:00 CET 2015, Time: ,Mon Dec 21 14:00:00 CET 2015, Event: ,Crewe U21 v Hull U21, Favorite: ,Crewe U21, 6628863   size:3.7,Price: ,1.17,Hull U21, 10123519   size:3.7,Price: ,1.17,The Draw, 58805   size:4.11,Price: ,3.05,ok
1.122351710, Sport: ,Soccer, Time: ,Mon Dec 21 17:00:00 CET 2015, Time: ,Mon Dec 21 17:00:00 CET 2015, Event: ,AOK Kerkyra v Ergotelis, Favorite: ,AOK Kerkyra, 8785880   size:4.5,Price: ,1.43,Ergotelis, 531199   size:9.17,Price: ,7.4,The Draw, 58805   size:4.01,Price: ,4.4,x
1.122352883, Sport: ,Basketball, Time: ,Tue Dec 22 02:05:00 CET 2015, Time: ,Tue Dec 22 02:05:00 CET 2015, Event: ,Portland @ Atlanta, Favorite: ,Portland, 13129   size:2.74,Price: ,1.03,Atlanta, 13114   size:2.99,Price: ,1.04,x
1.122356961, Sport: ,Soccer, Time: ,Mon Dec 21 13:30:00 CET 2015, Time: ,Mon Dec 21 13:30:00 CET 2015, Event: ,Ironi Beth Dagan v H Kfar Kasem Shuaa, Favorite: ,Ironi Beth Dagan, 10648693   size:3.68,Price: ,1.26,H Kfar Kasem Shuaa, 10648695   size:3.68,Price: ,1.26,The Draw, 58805   size:5.0,Price: ,3.55,ok
1.122316385, Sport: ,Basketball, Time: ,Mon Dec 21 18:00:00 CET 2015, Time: ,Mon Dec 21 18:00:00 CET 2015, Event: ,Gaziantep v Anadolu Efes, Favorite: ,Anadolu Efes, 5832279   size:2.55,Price: ,1.38,Gaziantep, 6721681   size:31.51,Price: ,3.25,x
1.122359602, Sport: ,Soccer, Time: ,Mon Dec 21 20:45:00 CET 2015, Time: ,Mon Dec 21 20:45:00 CET 2015, Event: ,Thamesmead Town FC v Hornchurch, Favorite: ,Hornchurch, 598920   size:63.5,Price: ,2.08,Thamesmead Town FC, 7794920   size:2.42,Price: ,2.66,The Draw, 58805   size:29.82,Price: ,3.45,x
