1.122363019, Sport: ,Soccer, Time: ,Wed Dec 23 16:00:00 CET 2015, Time: ,Wed Dec 23 16:00:00 CET 2015, Event: ,FC Vizela U19 v Gil Vicente FC U19, Favorite: ,FC Vizela U19, 7632588   size:2.55,Price: ,1.99,Gil Vicente FC U19, 6317999   size:36.74,Price: ,2.84,The Draw, 58805   size:27.58,Price: ,3.45,x
1.122358223, Sport: ,Soccer, Time: ,Tue Dec 22 20:45:00 CET 2015, Time: ,Tue Dec 22 20:45:00 CET 2015, Event: ,Lewes v Enfield Town, Favorite: ,Enfield Town, 7133935   size:2.7,Price: ,2.68,Lewes, 63283   size:3.65,Price: ,3.25,The Draw, 58805   size:20.0,Price: ,3.1,ok
1.122362964, Sport: ,Soccer, Time: ,Wed Dec 23 19:00:00 CET 2015, Time: ,Wed Dec 23 19:00:00 CET 2015, Event: ,CD Teruel v AD Almudevar, Favorite: ,CD Teruel, 9359756   size:2.57,Price: ,1.22,AD Almudevar, 8135176   size:2.0,Price: ,10.0,The Draw, 58805   size:2.55,Price: ,4.9,x
1.122371438, Sport: ,Soccer, Time: ,Wed Dec 23 20:00:00 CET 2015, Time: ,Wed Dec 23 20:00:00 CET 2015, Event: ,Arcos CF v Ecija Balompie, Favorite: ,Arcos CF, 6540001   size:77.72,Price: ,1.87,Ecija Balompie, 9301056   size:27.58,Price: ,3.45,The Draw, 58805   size:33.81,Price: ,3.05,x
1.122360384, Sport: ,Basketball, Time: ,Wed Dec 23 16:00:00 CET 2015, Time: ,Wed Dec 23 16:00:00 CET 2015, Event: ,Mladost Admiral v FMP Beograd, Favorite: ,Mladost Admiral, 10370890   size:10.24,Price: ,1.04,FMP Beograd, 10370970   size:10.24,Price: ,1.04,x
1.122360385, Sport: ,Basketball, Time: ,Wed Dec 23 18:00:00 CET 2015, Time: ,Wed Dec 23 18:00:00 CET 2015, Event: ,Jagodina v Subotica, Favorite: ,Jagodina, 8834845   size:10.24,Price: ,1.04,Subotica, 9203833   size:10.24,Price: ,1.04,x
1.122294712, Sport: ,Ice Hockey, Time: ,Wed Dec 23 17:30:00 CET 2015, Time: ,Wed Dec 23 17:30:00 CET 2015, Event: ,Mlada Boleslav v HC Olomouc, Favorite: ,Mlada Boleslav, 3327988   size:182.76,Price: ,1.37,HC Olomouc, 7213810   size:74.38,Price: ,1.37,Tie, 60104   size:19.32,Price: ,4.5,ok
1.122360383, Sport: ,Basketball, Time: ,Wed Dec 23 17:00:00 CET 2015, Time: ,Wed Dec 23 17:00:00 CET 2015, Event: ,Smederevo v Vojvodina, Favorite: ,Smederevo, 7735927   size:10.24,Price: ,1.04,Vojvodina, 1275949   size:10.24,Price: ,1.04,ok
1.122371442, Sport: ,Tennis, Time: ,Wed Dec 23 08:30:00 CET 2015, Time: ,Wed Dec 23 08:30:00 CET 2015, Event: ,Ivan Nedelko v Durukan Durmus, Favorite: ,Ivan Nedelko, 5907135   size:10.14,Price: ,1.05,Durukan Durmus, 9624185   size:6.91,Price: ,1.08,ok
1.122371325, Sport: ,Soccer, Time: ,Wed Dec 23 20:00:00 CET 2015, Time: ,Wed Dec 23 20:00:00 CET 2015, Event: ,SCD Durango v SD Zamudio, Favorite: ,SD Zamudio, 6883553   size:87.81,Price: ,1.77,SCD Durango, 7717203   size:33.81,Price: ,3.85,The Draw, 58805   size:5.4,Price: ,3.1,x
1.122294709, Sport: ,Ice Hockey, Time: ,Wed Dec 23 17:30:00 CET 2015, Time: ,Wed Dec 23 17:30:00 CET 2015, Event: ,Chomutov v Pardubice, Favorite: ,Pardubice, 563269   size:74.38,Price: ,1.29,Chomutov, 4645019   size:182.76,Price: ,1.37,Tie, 60104   size:19.32,Price: ,4.5,x
1.122343534, Sport: ,Soccer, Time: ,Wed Dec 23 13:30:00 CET 2015, Time: ,Wed Dec 23 13:30:00 CET 2015, Event: ,Ismaily v Misr El Makasa, Favorite: ,Ismaily, 5170870   size:2.55,Price: ,2.38,Misr El Makasa, 5905941   size:3.43,Price: ,3.1,The Draw, 58805   size:3.58,Price: ,3.1,x
1.122357776, Sport: ,Basketball, Time: ,Wed Dec 23 18:30:00 CET 2015, Time: ,Wed Dec 23 18:30:00 CET 2015, Event: ,Braunschweig v Bayern Munchen, Favorite: ,Bayern Munchen, 5859175   size:2.63,Price: ,1.16,Braunschweig, 1280524   size:72.7,Price: ,1.93,ok
1.122357532, Sport: ,Basketball, Time: ,Wed Dec 23 18:30:00 CET 2015, Time: ,Wed Dec 23 18:30:00 CET 2015, Event: ,Tubingen v Bonn, Favorite: ,Bonn, 2293349   size:5.93,Price: ,1.64,Tubingen, 1371897   size:16.61,Price: ,2.36,ok
1.122323192, Sport: ,Handball, Time: ,Wed Dec 23 20:15:00 CET 2015, Time: ,Wed Dec 23 20:15:00 CET 2015, Event: ,Balingen Weilstetten v Lemgo, Favorite: ,Draw, 330157   size:18.0,Price: ,1.53,Balingen Weilstetten, 4551481   size:2.6,Price: ,1.7,Lemgo, 2201967   size:13.0,Price: ,2.3,x
