1.122363019, Sport: ,Soccer, Time: ,Wed Dec 23 16:00:00 CET 2015, Time: ,Wed Dec 23 16:00:00 CET 2015, Event: ,FC Vizela U19 v Gil Vicente FC U19, Favorite: ,FC Vizela U19, 7632588   size:7.24,Price: ,1.99,Gil Vicente FC U19, 6317999   size:2.55,Price: ,2.9,The Draw, 58805   size:6.91,Price: ,3.55,x
1.122092998, Sport: ,Darts, Time: ,Wed Dec 23 22:00:00 CET 2015, Time: ,Wed Dec 23 22:00:00 CET 2015, Event: ,Adrian Lewis v Jan Dekker, Favorite: ,Adrian Lewis, 2271003   size:961.04,Price: ,1.11,Jan Dekker, 5154028   size:5.42,Price: ,9.6,ok
1.122360426, Sport: ,Basketball, Time: ,Thu Dec 24 03:05:00 CET 2015, Time: ,Thu Dec 24 03:05:00 CET 2015, Event: ,Phoenix @ Denver, Favorite: ,Phoenix, 13128   size:3.0,Price: ,1.05,Denver, 13124   size:3.0,Price: ,1.05,x
1.122362964, Sport: ,Soccer, Time: ,Wed Dec 23 19:00:00 CET 2015, Time: ,Wed Dec 23 19:00:00 CET 2015, Event: ,CD Teruel v AD Almudevar, Favorite: ,CD Teruel, 9359756   size:5.32,Price: ,1.2,AD Almudevar, 8135176   size:2.6,Price: ,10.5,The Draw, 58805   size:3.9,Price: ,5.0,x
1.122371438, Sport: ,Soccer, Time: ,Wed Dec 23 20:00:00 CET 2015, Time: ,Wed Dec 23 20:00:00 CET 2015, Event: ,Arcos CF v Ecija Balompie, Favorite: ,Arcos CF, 6540001   size:2.63,Price: ,1.9,Ecija Balompie, 9301056   size:29.09,Price: ,3.45,The Draw, 58805   size:35.24,Price: ,3.05,x
1.122360384, Sport: ,Basketball, Time: ,Wed Dec 23 16:00:00 CET 2015, Time: ,Wed Dec 23 16:00:00 CET 2015, Event: ,Mladost Admiral v FMP Beograd, Favorite: ,Mladost Admiral, 10370890   size:3.08,Price: ,1.05,FMP Beograd, 10370970   size:3.08,Price: ,1.05,x
1.122294712, Sport: ,Ice Hockey, Time: ,Wed Dec 23 17:30:00 CET 2015, Time: ,Wed Dec 23 17:30:00 CET 2015, Event: ,Mlada Boleslav v HC Olomouc, Favorite: ,Tie, 60104   size:18.0,Price: ,1.15,Mlada Boleslav, 3327988   size:15.0,Price: ,1.51,HC Olomouc, 7213810   size:18.0,Price: ,1.81,x
1.122360383, Sport: ,Basketball, Time: ,Wed Dec 23 17:00:00 CET 2015, Time: ,Wed Dec 23 17:00:00 CET 2015, Event: ,Smederevo v Vojvodina, Favorite: ,Smederevo, 7735927   size:3.08,Price: ,1.05,Vojvodina, 1275949   size:3.08,Price: ,1.05,ok
1.122371443, Sport: ,Tennis, Time: ,Wed Dec 23 10:00:00 CET 2015, Time: ,Wed Dec 23 10:00:00 CET 2015, Event: ,Duje Kekez v Gorazd Srbljak, Favorite: ,Duje Kekez, 7284112   size:3.03,Price: ,1.19,Gorazd Srbljak, 10192070   size:2.55,Price: ,3.05,ok
1.122356606, Sport: ,Basketball, Time: ,Wed Dec 23 17:00:00 CET 2015, Time: ,Wed Dec 23 17:00:00 CET 2015, Event: ,Skopje v Partizan, Favorite: ,Skopje, 6702723   size:2.56,Price: ,1.45,Partizan, 266286   size:2.55,Price: ,2.94,ok
1.122371325, Sport: ,Soccer, Time: ,Wed Dec 23 20:00:00 CET 2015, Time: ,Wed Dec 23 20:00:00 CET 2015, Event: ,SCD Durango v SD Zamudio, Favorite: ,SD Zamudio, 6883553   size:2.76,Price: ,1.81,SCD Durango, 7717203   size:2.55,Price: ,3.95,The Draw, 58805   size:7.01,Price: ,3.1,x
1.122294709, Sport: ,Ice Hockey, Time: ,Wed Dec 23 17:30:00 CET 2015, Time: ,Wed Dec 23 17:30:00 CET 2015, Event: ,Chomutov v Pardubice, Favorite: ,Tie, 60104   size:13.71,Price: ,1.04,Chomutov, 4645019   size:3.0,Price: ,1.5,Pardubice, 563269   size:5.24,Price: ,4.0,x
