1.122386731, Sport: ,Tennis, Time: ,Thu Dec 24 08:30:00 CET 2015, Time: ,Thu Dec 24 08:30:00 CET 2015, Event: ,Barkin Yalcinkale v Cem Ilkel, Favorite: ,Cem Ilkel, 8444055   size:9.61,Price: ,1.02,Barkin Yalcinkale, 8827908   size:11.3,Price: ,1.05,ok
1.122386733, Sport: ,Tennis, Time: ,Thu Dec 24 10:10:00 CET 2015, Time: ,Thu Dec 24 10:10:00 CET 2015, Event: ,Ivan Nedelko v Piotr Grynkowski, Favorite: ,Ivan Nedelko, 5907135   size:111.3,Price: ,1.05,Piotr Grynkowski, 8826835   size:15.0,Price: ,4.7,ok
1.122386738, Sport: ,Tennis, Time: ,Thu Dec 24 10:15:00 CET 2015, Time: ,Thu Dec 24 10:15:00 CET 2015, Event: ,Anil Yuksel v Dmytro Badanov, Favorite: ,Anil Yuksel, 8444053   size:30.0,Price: ,1.74,Dmytro Badanov, 9623165   size:30.0,Price: ,1.74,ok
1.122301570, Sport: ,Soccer, Time: ,Thu Dec 24 13:00:00 CET 2015, Time: ,Thu Dec 24 13:00:00 CET 2015, Event: ,Salernitana v Cagliari, Favorite: ,Cagliari, 60297   size:683.58,Price: ,2.06,Salernitana, 60303   size:32.07,Price: ,4.5,The Draw, 58805   size:2716.85,Price: ,3.35,ok
1.122301250, Sport: ,Ice Hockey, Time: ,Thu Dec 24 13:00:00 CET 2015, Time: ,Thu Dec 24 13:00:00 CET 2015, Event: ,Metallurg Nk v Avangard, Favorite: ,Avangard, 2558172   size:5.0,Price: ,1.68,Metallurg Nk, 3599244   size:5.0,Price: ,5.0,Tie, 60104   size:115.28,Price: ,4.5,x
1.122364063, Sport: ,Basketball, Time: ,Thu Dec 24 11:00:00 CET 2015, Time: ,Thu Dec 24 11:00:00 CET 2015, Event: ,Woori Bank Hansae v Samsung Life Blue Minx, Favorite: ,Woori Bank Hansae, 5154535   size:299.99,Price: ,1.25,Samsung Life Blue Minx, 7894748   size:39.18,Price: ,4.6,ok
1.122386730, Sport: ,Tennis, Time: ,Thu Dec 24 08:30:00 CET 2015, Time: ,Thu Dec 24 08:30:00 CET 2015, Event: ,Vadim Alekseenko v Franjo Raspudic, Favorite: ,Vadim Alekseenko, 8619043   size:29.95,Price: ,1.7,Franjo Raspudic, 9625198   size:173.2,Price: ,2.0,x
1.122369196, Sport: ,Basketball, Time: ,Fri Dec 25 06:00:00 CET 2015, Time: ,Fri Dec 25 06:00:00 CET 2015, Event: ,Shinhan Bank S Birds v kdb life Winnus, Favorite: ,Shinhan Bank S Birds, 5154533   size:3.0,Price: ,1.05,KDB Life Winnus, 5166575   size:3.0,Price: ,1.05,x
1.122372378, Sport: ,Soccer, Time: ,Thu Dec 24 14:00:00 CET 2015, Time: ,Thu Dec 24 14:00:00 CET 2015, Event: ,Etoile du Sahel v Esperance Tunis, Favorite: ,Etoile du Sahel, 6488670   size:8.36,Price: ,2.34,Esperance Tunis, 9329230   size:49.84,Price: ,3.6,The Draw, 58805   size:26.74,Price: ,3.15,ok
1.122301255, Sport: ,Ice Hockey, Time: ,Thu Dec 24 15:00:00 CET 2015, Time: ,Thu Dec 24 15:00:00 CET 2015, Event: ,Metallurg Mg v SKA, Favorite: ,Metallurg Mg, 3343614   size:5.3,Price: ,2.28,SKA, 2296808   size:5.0,Price: ,2.78,Tie, 60104   size:27.0,Price: ,4.6,x
1.122371885, Sport: ,Soccer, Time: ,Thu Dec 24 15:00:00 CET 2015, Time: ,Thu Dec 24 15:00:00 CET 2015, Event: ,CA Batna v USM Bel Abbes, Favorite: ,CA Batna, 7739952   size:2.55,Price: ,2.2,USM Bel Abbes, 8481742   size:2.29,Price: ,3.35,The Draw, 58805   size:21.53,Price: ,3.05,x
1.122386729, Sport: ,Tennis, Time: ,Thu Dec 24 08:30:00 CET 2015, Time: ,Thu Dec 24 08:30:00 CET 2015, Event: ,Colin Van Beem v Marat Deviatiarov, Favorite: ,Colin Van Beem, 8813426   size:11.3,Price: ,1.05,Marat Deviatiarov, 8505854   size:218.28,Price: ,1.09,x
1.122386728, Sport: ,Tennis, Time: ,Thu Dec 24 08:30:00 CET 2015, Time: ,Thu Dec 24 08:30:00 CET 2015, Event: ,Duje Kekez v Geoffrey Blancaneaux, Favorite: ,Geoffrey Blancaneaux, 9196749   size:106.99,Price: ,1.52,Duje Kekez, 7284112   size:55.0,Price: ,2.1,ok
1.122351199, Sport: ,Soccer, Time: ,Thu Dec 24 17:00:00 CET 2015, Time: ,Thu Dec 24 17:00:00 CET 2015, Event: ,Adanaspor v Nazilli Belediyespor, Favorite: ,Adanaspor, 114383   size:473.51,Price: ,1.52,Nazilli Belediyespor, 965424   size:3.74,Price: ,7.2,The Draw, 58805   size:17.11,Price: ,4.5,ok
1.122284955, Sport: ,American Football, Time: ,Fri Dec 25 02:25:00 CET 2015, Time: ,Fri Dec 25 02:25:00 CET 2015, Event: ,San Diego @ Oakland, Favorite: ,Oakland Raiders, 50212   size:323.0,Price: ,1.42,San Diego Chargers, 50215   size:2.22,Price: ,3.35,ok
1.122372010, Sport: ,Soccer, Time: ,Thu Dec 24 11:00:00 CET 2015, Time: ,Thu Dec 24 11:00:00 CET 2015, Event: ,Maldives v Bhutan, Favorite: ,Maldives, 763173   size:302.64,Price: ,1.1,Bhutan, 4344175   size:2.33,Price: ,60.0,The Draw, 58805   size:17.41,Price: ,12.0,ok
1.122360356, Sport: ,Basketball, Time: ,Thu Dec 24 17:00:00 CET 2015, Time: ,Thu Dec 24 17:00:00 CET 2015, Event: ,Yesilgiresun v Gaziantep, Favorite: ,Yesilgiresun, 10398375   size:2.55,Price: ,1.82,Gaziantep, 6721681   size:2.55,Price: ,1.88,ok
1.122386764, Sport: ,Tennis, Time: ,Thu Dec 24 10:00:00 CET 2015, Time: ,Thu Dec 24 10:00:00 CET 2015, Event: ,Gleb Alekseenko v Christopher Heyman, Favorite: ,Christopher Heyman, 9629967   size:100.0,Price: ,1.18,Gleb Alekseenko, 8713712   size:6.74,Price: ,3.25,ok
1.122301260, Sport: ,Ice Hockey, Time: ,Thu Dec 24 15:30:00 CET 2015, Time: ,Thu Dec 24 15:30:00 CET 2015, Event: ,Salavat v Spartak, Favorite: ,Salavat, 2304930   size:61.0,Price: ,1.63,Spartak, 2773599   size:23.8,Price: ,4.8,Tie, 60104   size:56.0,Price: ,5.2,x
