1.122389404, Sport: ,Darts, Time: ,Mon Dec 28 20:40:00 CET 2015, Time: ,Mon Dec 28 20:40:00 CET 2015, Event: ,Adrian Lewis v Andrew Gilding, Favorite: ,Adrian Lewis, 2271003   size:198.97,Price: ,1.16,Andrew Gilding, 5590228   size:10.0,Price: ,7.0,ok
1.122335744, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Cheltenham v Torquay, Favorite: ,Cheltenham, 18559   size:12.63,Price: ,1.4,Torquay, 50808   size:3.71,Price: ,9.4,The Draw, 58805   size:9.95,Price: ,5.4,ok
1.122309458, Sport: ,Handball, Time: ,Mon Dec 28 20:00:00 CET 2015, Time: ,Mon Dec 28 20:00:00 CET 2015, Event: ,Arhus v Bjerringbro, Favorite: ,Draw, 330157   size:222.0,Price: ,1.04,Arhus, 3919678   size:6.32,Price: ,2.4,Bjerringbro, 2640558   size:14.38,Price: ,1.9,x
1.122364227, Sport: ,Basketball, Time: ,Mon Dec 28 01:00:00 CET 2015, Time: ,Mon Dec 28 01:00:00 CET 2015, Event: ,Denver @ Oklahoma City, Favorite: ,Oklahoma City, 3363394   size:7387.03,Price: ,1.04,Denver, 13124   size:19.43,Price: ,20.0,ok
1.122335627, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,AFC Fylde v Curzon Ashton, Favorite: ,AFC Fylde, 4317866   size:2.71,Price: ,1.97,Curzon Ashton, 3396712   size:3.48,Price: ,3.55,The Draw, 58805   size:7.27,Price: ,3.4,x
1.122335749, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Chester v Macclesfield, Favorite: ,Chester, 18572   size:16.22,Price: ,2.42,Macclesfield, 69817   size:123.9,Price: ,2.98,The Draw, 58805   size:13.63,Price: ,3.65,x
1.122369358, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:15:00 CET 2015, Time: ,Mon Dec 28 19:15:00 CET 2015, Event: ,Liwest Linz v KAC Klagenfurt, Favorite: ,KAC Klagenfurt, 1348429   size:38.61,Price: ,1.23,Liwest Linz, 1266781   size:5.94,Price: ,1.48,Tie, 60104   size:5.94,Price: ,1.29,x
1.122335901, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Wealdstone v Sutton Utd, Favorite: ,Sutton Utd, 1034133   size:13.11,Price: ,2.04,Wealdstone, 2608900   size:2.71,Price: ,3.25,The Draw, 58805   size:4.17,Price: ,3.35,x
1.122335629, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Alfreton Town v Solihull Moors, Favorite: ,Solihull Moors, 2437395   size:2.71,Price: ,2.02,Alfreton Town, 990646   size:6.75,Price: ,3.3,The Draw, 58805   size:8.22,Price: ,3.1,x
1.122278624, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Norwich v Aston Villa, Favorite: ,Norwich, 47998   size:1975.5,Price: ,2.1,Aston Villa, 63908   size:122.55,Price: ,4.0,The Draw, 58805   size:2423.47,Price: ,3.55,ok
1.122335905, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Whitehawk v Ebbsfleet Utd, Favorite: ,Whitehawk, 4597875   size:2.55,Price: ,2.28,Ebbsfleet Utd, 3018410   size:2.71,Price: ,2.8,The Draw, 58805   size:36.01,Price: ,3.25,x
1.122370079, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:30:00 CET 2015, Time: ,Mon Dec 28 19:30:00 CET 2015, Event: ,Straubing v Iserlohn, Favorite: ,Tie, 60104   size:18.0,Price: ,1.29,Straubing, 2056823   size:13.0,Price: ,2.16,Iserlohn, 265130   size:13.99,Price: ,1.96,ok
