1.122309453, Sport: ,Handball, Time: ,Mon Dec 28 20:00:00 CET 2015, Time: ,Mon Dec 28 20:00:00 CET 2015, Event: ,Skive fH v Nordsjaelland, Favorite: ,Skive fH, 5798546   size:11.43,Price: ,1.58,Nordsjaelland, 4155752   size:2.41,Price: ,2.64,Draw, 330157   size:2.66,Price: ,2.42,ok
1.122309575, Sport: ,Ice Hockey, Time: ,Tue Dec 29 02:05:00 CET 2015, Time: ,Tue Dec 29 02:05:00 CET 2015, Event: ,NY Rangers @ Nashville, Favorite: ,Nashville, 2109832   size:2.29,Price: ,2.18,NY Rangers, 60103   size:7.83,Price: ,2.6,Tie, 60104   size:28.61,Price: ,3.9,ok
1.122389404, Sport: ,Darts, Time: ,Mon Dec 28 20:40:00 CET 2015, Time: ,Mon Dec 28 20:40:00 CET 2015, Event: ,Adrian Lewis v Andrew Gilding, Favorite: ,Adrian Lewis, 2271003   size:29540.04,Price: ,1.14,Andrew Gilding, 5590228   size:461.63,Price: ,7.6,ok
1.122335744, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Cheltenham v Torquay, Favorite: ,Cheltenham, 18559   size:608.63,Price: ,1.38,Torquay, 50808   size:16.21,Price: ,9.6,The Draw, 58805   size:27.2,Price: ,5.4,ok
1.122340533, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Northampton v Accrington S, Favorite: ,Northampton, 5034   size:17.58,Price: ,2.5,Accrington S, 498119   size:143.04,Price: ,2.98,The Draw, 58805   size:91.3,Price: ,3.7,ok
1.122335627, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,AFC Fylde v Curzon Ashton, Favorite: ,AFC Fylde, 4317866   size:5.14,Price: ,1.95,Curzon Ashton, 3396712   size:3.41,Price: ,3.85,The Draw, 58805   size:2.7,Price: ,3.65,x
1.122340375, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Newport County v Plymouth, Favorite: ,Plymouth, 148733   size:489.35,Price: ,2.42,Newport County, 62623   size:13.72,Price: ,3.25,The Draw, 58805   size:321.13,Price: ,3.5,ok
1.122335749, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Chester v Macclesfield, Favorite: ,Chester, 18572   size:5.44,Price: ,2.46,Macclesfield, 69817   size:48.82,Price: ,3.0,The Draw, 58805   size:9.84,Price: ,3.6,x
1.122335903, Sport: ,Soccer, Time: ,Mon Dec 28 16:00:00 CET 2015, Time: ,Mon Dec 28 16:00:00 CET 2015, Event: ,Weston-super-Mare v Oxford City, Favorite: ,Oxford City, 3396707   size:3.51,Price: ,2.24,Weston-super-Mare, 597722   size:6.14,Price: ,3.3,The Draw, 58805   size:2.55,Price: ,3.45,x
1.122369358, Sport: ,Ice Hockey, Time: ,Mon Dec 28 19:15:00 CET 2015, Time: ,Mon Dec 28 19:15:00 CET 2015, Event: ,Liwest Linz v KAC Klagenfurt, Favorite: ,Liwest Linz, 1266781   size:3.07,Price: ,1.63,KAC Klagenfurt, 1348429   size:7.93,Price: ,2.12,Tie, 60104   size:54.14,Price: ,4.3,ok
1.122403515, Sport: ,Ice Hockey, Time: ,Mon Dec 28 20:15:00 CET 2015, Time: ,Mon Dec 28 20:15:00 CET 2015, Event: ,Team Canada v Davos, Favorite: ,Team Canada, 284690   size:13.67,Price: ,1.04,Davos, 243249   size:13.67,Price: ,1.04,Tie, 60104   size:37.0,Price: ,1.24,ok
