1.122309575, Sport: ,Ice Hockey, Time: ,Tue Dec 29 02:05:00 CET 2015, Time: ,Tue Dec 29 02:05:00 CET 2015, Event: ,NY Rangers @ Nashville, Favorite: ,Nashville, 2109832   size:37.0,Price: ,1.64,NY Rangers, 60103   size:14.51,Price: ,4.0,Tie, 60104   size:19.79,Price: ,3.2,ok
1.122400009, Sport: ,Basketball, Time: ,Tue Dec 29 18:00:00 CET 2015, Time: ,Tue Dec 29 18:00:00 CET 2015, Event: ,Opava v NH Ostrava, Favorite: ,Opava, 7758596   size:2.59,Price: ,1.14,NH Ostrava, 7758595   size:36.49,Price: ,1.73,ok
1.122376094, Sport: ,Basketball, Time: ,Tue Dec 29 03:05:00 CET 2015, Time: ,Tue Dec 29 03:05:00 CET 2015, Event: ,Cleveland @ Phoenix, Favorite: ,Cleveland, 13112   size:1789.34,Price: ,1.23,Phoenix, 13128   size:166.78,Price: ,5.2,ok
1.122309653, Sport: ,Ice Hockey, Time: ,Wed Dec 30 01:35:00 CET 2015, Time: ,Wed Dec 30 01:35:00 CET 2015, Event: ,Montreal @ Florida, Favorite: ,Florida, 2112317   size:8.55,Price: ,1.99,Montreal, 2112345   size:4.84,Price: ,2.88,Tie, 60104   size:4.39,Price: ,3.6,ok
1.122389245, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,KooKoo v Karpat, Favorite: ,Karpat, 66430   size:11.63,Price: ,1.8,KooKoo, 272751   size:93.0,Price: ,3.9,Tie, 60104   size:101.0,Price: ,4.5,x
1.122400001, Sport: ,Basketball, Time: ,Tue Dec 29 18:30:00 CET 2015, Time: ,Tue Dec 29 18:30:00 CET 2015, Event: ,Brno v Kolin, Favorite: ,Brno, 6736685   size:444.04,Price: ,1.06,Kolin, 7758592   size:444.04,Price: ,1.06,x
1.122389242, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,KalPa v JYP, Favorite: ,KalPa, 275250   size:66.0,Price: ,2.26,JYP, 66423   size:91.0,Price: ,2.92,Tie, 60104   size:91.0,Price: ,4.0,x
1.122401657, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Biggleswade Town v Cambridge City, Favorite: ,Biggleswade Town, 3689133   size:3.72,Price: ,2.2,Cambridge City, 990643   size:8.63,Price: ,2.96,The Draw, 58805   size:2.55,Price: ,3.8,ok
1.122389248, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,Lukko v SaiPa, Favorite: ,Lukko, 66603   size:10.38,Price: ,2.02,SaiPa, 66264   size:102.0,Price: ,3.3,Tie, 60104   size:98.0,Price: ,4.2,x
1.122403434, Sport: ,Darts, Time: ,Tue Dec 29 16:45:00 CET 2015, Time: ,Tue Dec 29 16:45:00 CET 2015, Event: ,James Wade v Jamie Caven, Favorite: ,James Wade, 2409762   size:831.2,Price: ,1.18,Jamie Caven, 2676604   size:231.0,Price: ,6.0,ok
1.122361031, Sport: ,Basketball, Time: ,Wed Dec 30 01:00:00 CET 2015, Time: ,Wed Dec 30 01:00:00 CET 2015, Event: ,Purdue @ Wisconsin, Favorite: ,Purdue, 697628   size:10.0,Price: ,1.04,Wisconsin, 352166   size:10.0,Price: ,1.04,ok
1.122400004, Sport: ,Basketball, Time: ,Tue Dec 29 18:00:00 CET 2015, Time: ,Tue Dec 29 18:00:00 CET 2015, Event: ,Hradec v Usti nad Labem, Favorite: ,Hradec, 7758594   size:2.55,Price: ,1.4,Usti Nad Labem, 7758609   size:2.55,Price: ,2.5,x
1.122369594, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Ross Co v Kilmarnock, Favorite: ,Ross Co, 674742   size:152.84,Price: ,1.64,Kilmarnock, 56086   size:58.59,Price: ,5.9,The Draw, 58805   size:368.43,Price: ,4.3,ok
1.122369397, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Rodovre v Rungsted, Favorite: ,Rodovre, 70628   size:19.92,Price: ,1.05,Rungsted, 70625   size:19.92,Price: ,1.05,Tie, 60104   size:16.25,Price: ,1.29,ok
1.122403672, Sport: ,Soccer, Time: ,Tue Dec 29 17:00:00 CET 2015, Time: ,Tue Dec 29 17:00:00 CET 2015, Event: ,Hapoel Kfar Shalem v Maccabi Yafo Kabilyo, Favorite: ,Hapoel Kfar Shalem, 5296665   size:51.36,Price: ,2.32,Maccabi Yafo Kabilyo, 5313262   size:40.36,Price: ,2.68,The Draw, 58805   size:2.09,Price: ,3.05,ok
1.122369394, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Herning v Aalborg, Favorite: ,Herning, 70631   size:18.24,Price: ,1.15,Aalborg, 70634   size:101.22,Price: ,2.34,Tie, 60104   size:28.86,Price: ,5.7,ok
1.122370674, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Cowdenbeath v Ayr, Favorite: ,Ayr, 48005   size:5.0,Price: ,2.1,Cowdenbeath, 674745   size:5.66,Price: ,3.5,The Draw, 58805   size:106.23,Price: ,3.75,x
1.122403310, Sport: ,Darts, Time: ,Tue Dec 29 21:30:00 CET 2015, Time: ,Tue Dec 29 21:30:00 CET 2015, Event: ,Gary Anderson v Vincent van der Voort, Favorite: ,Gary Anderson, 2409760   size:15440.91,Price: ,1.17,Vincent van der Voort, 8369597   size:7.55,Price: ,5.6,ok
1.122373862, Sport: ,Ice Hockey, Time: ,Tue Dec 29 16:00:00 CET 2015, Time: ,Tue Dec 29 16:00:00 CET 2015, Event: ,Lada v Vladivostok, Favorite: ,Lada, 2484346   size:91.0,Price: ,2.12,Vladivostok, 7597246   size:53.54,Price: ,2.98,Tie, 60104   size:58.99,Price: ,4.2,x
1.122373867, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:00:00 CET 2015, Time: ,Tue Dec 29 17:00:00 CET 2015, Event: ,Ak Bars v Amur, Favorite: ,AK Bars, 2582640   size:99.0,Price: ,1.62,Amur, 2240061   size:5.0,Price: ,5.1,Tie, 60104   size:58.99,Price: ,4.7,ok
1.122405096, Sport: ,Basketball, Time: ,Tue Dec 29 20:00:00 CET 2015, Time: ,Tue Dec 29 20:00:00 CET 2015, Event: ,Cocinas Clavijo v Huesca, Favorite: ,Cocinas Clavijo, 7736139   size:407.78,Price: ,1.01,Huesca, 5021019   size:204.32,Price: ,1.01,x
1.122400042, Sport: ,Basketball, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Unicaja Malaga v Darussafaka, Favorite: ,Unicaja Malaga, 266279   size:5.47,Price: ,1.23,Darussafaka, 631285   size:18.66,Price: ,4.3,ok
1.122369391, Sport: ,Ice Hockey, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Herlev v Gentofte, Favorite: ,Herlev, 227439   size:589.73,Price: ,1.23,Gentofte, 8834861   size:186.5,Price: ,1.23,Tie, 60104   size:33.91,Price: ,5.0,x
1.122360979, Sport: ,Basketball, Time: ,Tue Dec 29 21:00:00 CET 2015, Time: ,Tue Dec 29 21:00:00 CET 2015, Event: ,Temple @ Cincinnati, Favorite: ,Temple, 29839   size:10.32,Price: ,1.04,Cincinnati, 332214   size:10.32,Price: ,1.04,ok
1.122316185, Sport: ,Volleyball, Time: ,Tue Dec 29 09:00:00 CET 2015, Time: ,Tue Dec 29 09:00:00 CET 2015, Event: ,KGC Pro VC v Hyundai Hillstate, Favorite: ,Hyundai Hillstate, 10391682   size:1045.93,Price: ,1.13,KGC Pro VC, 10391695   size:31.06,Price: ,5.9,ok
1.122309585, Sport: ,Ice Hockey, Time: ,Tue Dec 29 04:05:00 CET 2015, Time: ,Tue Dec 29 04:05:00 CET 2015, Event: ,Los Angeles @ Vancouver, Favorite: ,Los Angeles, 2112286   size:113.49,Price: ,2.24,Vancouver, 2109691   size:7.22,Price: ,3.05,Tie, 60104   size:102.91,Price: ,4.1,ok
1.122401966, Sport: ,Soccer, Time: ,Tue Dec 29 11:30:00 CET 2015, Time: ,Tue Dec 29 11:30:00 CET 2015, Event: ,Laxmi Prasad SC v Salgaocar, Favorite: ,Laxmi Prasad SC, 7598596   size:2.55,Price: ,2.64,Salgaocar, 4427250   size:3.71,Price: ,2.7,The Draw, 58805   size:98.24,Price: ,3.15,x
1.122316677, Sport: ,Handball, Time: ,Tue Dec 29 19:00:00 CET 2015, Time: ,Tue Dec 29 19:00:00 CET 2015, Event: ,Skovde v Guif, Favorite: ,Skovde, 330154   size:222.0,Price: ,1.04,Guif, 370062   size:666.0,Price: ,1.04,Draw, 330157   size:2.64,Price: ,1.23,ok
1.122360954, Sport: ,Basketball, Time: ,Tue Dec 29 21:00:00 CET 2015, Time: ,Tue Dec 29 21:00:00 CET 2015, Event: ,Texas Southern @ Baylor, Favorite: ,Texas Southern, 1345585   size:10.32,Price: ,1.04,Baylor, 705559   size:10.32,Price: ,1.04,x
1.122304693, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Leicester v Man City, Favorite: ,Man City, 47999   size:4677.86,Price: ,1.89,Leicester, 48461   size:6361.57,Price: ,4.3,The Draw, 58805   size:6439.59,Price: ,4.1,x
1.122316114, Sport: ,Volleyball, Time: ,Tue Dec 29 11:00:00 CET 2015, Time: ,Tue Dec 29 11:00:00 CET 2015, Event: ,Deajeon Bluefangs v Suwon Kepco, Favorite: ,Deajeon Bluefangs, 10389009   size:4.86,Price: ,1.31,Suwon Kepco, 10389011   size:2.55,Price: ,3.55,ok
1.122369801, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Cardiff v Nottm Forest, Favorite: ,Cardiff, 79343   size:957.8,Price: ,2.46,Nottm Forest, 69718   size:7.2,Price: ,3.35,The Draw, 58805   size:153.73,Price: ,3.35,x
1.122389430, Sport: ,Darts, Time: ,Tue Dec 29 14:10:00 CET 2015, Time: ,Tue Dec 29 14:10:00 CET 2015, Event: ,Mervyn King v Jelle Klaasen, Favorite: ,Jelle Klaasen, 2414411   size:160.59,Price: ,1.54,Mervyn King, 2414379   size:62.74,Price: ,2.82,ok
