1.122400009, Sport: ,Basketball, Time: ,Tue Dec 29 18:00:00 CET 2015, Time: ,Tue Dec 29 18:00:00 CET 2015, Event: ,Opava v NH Ostrava, Favorite: ,Opava, 7758596   size:30.48,Price: ,1.16,NH Ostrava, 7758595   size:14.16,Price: ,4.2,ok
1.122400003, Sport: ,Basketball, Time: ,Tue Dec 29 17:00:00 CET 2015, Time: ,Tue Dec 29 17:00:00 CET 2015, Event: ,Decin v Pardubice, Favorite: ,Decin, 7758593   size:2.09,Price: ,1.34,Pardubice, 5942835   size:71.51,Price: ,3.45,ok
1.122389245, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,KooKoo v Karpat, Favorite: ,Karpat, 66430   size:6.43,Price: ,1.78,KooKoo, 272751   size:3.19,Price: ,4.1,Tie, 60104   size:74.0,Price: ,4.6,x
1.122400001, Sport: ,Basketball, Time: ,Tue Dec 29 18:30:00 CET 2015, Time: ,Tue Dec 29 18:30:00 CET 2015, Event: ,Brno v Kolin, Favorite: ,Kolin, 7758592   size:6.77,Price: ,1.51,Brno, 6736685   size:2.55,Price: ,2.34,ok
1.122389242, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,KalPa v JYP, Favorite: ,KalPa, 275250   size:108.0,Price: ,2.24,JYP, 66423   size:100.0,Price: ,2.88,Tie, 60104   size:56.55,Price: ,4.0,x
1.122389248, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:30:00 CET 2015, Time: ,Tue Dec 29 17:30:00 CET 2015, Event: ,Lukko v SaiPa, Favorite: ,Lukko, 66603   size:108.0,Price: ,2.02,SaiPa, 66264   size:103.49,Price: ,3.3,Tie, 60104   size:99.16,Price: ,4.2,x
1.122400004, Sport: ,Basketball, Time: ,Tue Dec 29 18:00:00 CET 2015, Time: ,Tue Dec 29 18:00:00 CET 2015, Event: ,Hradec v Usti nad Labem, Favorite: ,Hradec, 7758594   size:2.55,Price: ,1.46,Usti Nad Labem, 7758609   size:2.37,Price: ,2.68,x
1.122369594, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Ross Co v Kilmarnock, Favorite: ,Ross Co, 674742   size:84.41,Price: ,1.59,Kilmarnock, 56086   size:38.31,Price: ,6.4,The Draw, 58805   size:206.51,Price: ,4.4,ok
1.122370597, Sport: ,Soccer, Time: ,Tue Dec 29 20:45:00 CET 2015, Time: ,Tue Dec 29 20:45:00 CET 2015, Event: ,Airdrieonians v Stenhousemuir, Favorite: ,Airdrieonians, 7394884   size:22.88,Price: ,2.18,Stenhousemuir, 729806   size:30.1,Price: ,3.3,The Draw, 58805   size:81.54,Price: ,3.8,x
1.122373862, Sport: ,Ice Hockey, Time: ,Tue Dec 29 16:00:00 CET 2015, Time: ,Tue Dec 29 16:00:00 CET 2015, Event: ,Lada v Vladivostok, Favorite: ,Lada, 2484346   size:104.0,Price: ,2.14,Vladivostok, 7597246   size:54.0,Price: ,2.94,Tie, 60104   size:59.0,Price: ,4.2,x
1.122373867, Sport: ,Ice Hockey, Time: ,Tue Dec 29 17:00:00 CET 2015, Time: ,Tue Dec 29 17:00:00 CET 2015, Event: ,Ak Bars v Amur, Favorite: ,AK Bars, 2582640   size:94.0,Price: ,1.61,Amur, 2240061   size:4.97,Price: ,5.3,Tie, 60104   size:27.0,Price: ,4.8,ok
1.122405096, Sport: ,Basketball, Time: ,Tue Dec 29 20:00:00 CET 2015, Time: ,Tue Dec 29 20:00:00 CET 2015, Event: ,Cocinas Clavijo v Huesca, Favorite: ,Cocinas Clavijo, 7736139   size:3.25,Price: ,1.03,Huesca, 5021019   size:3.25,Price: ,1.03,x
1.122204271, Sport: ,American Football, Time: ,Wed Dec 30 03:00:00 CET 2015, Time: ,Wed Dec 30 03:00:00 CET 2015, Event: ,LSU v Texas Tech, Favorite: ,LSU, 484738   size:79.93,Price: ,1.37,Texas Tech, 662040   size:10.44,Price: ,3.4,ok
1.122361005, Sport: ,Basketball, Time: ,Tue Dec 29 23:00:00 CET 2015, Time: ,Tue Dec 29 23:00:00 CET 2015, Event: ,SMU @ Tulsa, Favorite: ,SMU, 723285   size:10.32,Price: ,1.04,Tulsa, 711056   size:10.32,Price: ,1.04,ok
