1.122421587, Sport: ,Basketball, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Kavala v Arkadikos, Favorite: ,Kavala, 3350797   size:9.67,Price: ,1.61,Arkadikos, 10398322   size:24.02,Price: ,2.36,ok
1.122425706, Sport: ,Soccer, Time: ,Sat Jan 02 19:00:00 CET 2016, Time: ,Sat Jan 02 19:00:00 CET 2016, Event: ,Avai U20 v Parana U20, Favorite: ,Parana U20, 6732314   size:47.23,Price: ,2.44,Avai U20, 5181429   size:2.03,Price: ,2.46,The Draw, 58805   size:30.4,Price: ,3.35,x
1.122445397, Sport: ,Tennis, Time: ,Sat Jan 02 10:00:00 CET 2016, Time: ,Sat Jan 02 10:00:00 CET 2016, Event: ,Balaji v Podlipnik-Castillo, Favorite: ,N.Sriram Balaji, 8261685   size:2.61,Price: ,1.14,Hans Podlipnik-Castillo, 8461633   size:2.61,Price: ,1.14,ok
1.122421583, Sport: ,Basketball, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Aris v Ago Rethymno, Favorite: ,Aris, 281552   size:174.33,Price: ,1.15,Ago Rethymno, 6024814   size:13.6,Price: ,6.0,ok
1.122400128, Sport: ,Rugby Union, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Gloucester v London Irish, Favorite: ,Gloucester, 168   size:5.0,Price: ,1.27,London Irish, 2734858   size:2.65,Price: ,4.9,Draw, 246289   size:3.85,Price: ,32.0,ok
1.122424215, Sport: ,Soccer, Time: ,Sat Jan 02 12:00:00 CET 2016, Time: ,Sat Jan 02 12:00:00 CET 2016, Event: ,Ferroviaria U20 v America FC Recife U20, Favorite: ,Ferroviaria U20, 7388032   size:2.55,Price: ,2.0,America FC Recife U20, 9018617   size:4.35,Price: ,2.74,The Draw, 58805   size:5.0,Price: ,4.2,x
1.122407712, Sport: ,Soccer, Time: ,Sat Jan 02 18:00:00 CET 2016, Time: ,Sat Jan 02 18:00:00 CET 2016, Event: ,Leioa v Real Union, Favorite: ,Real Union, 247970   size:2.55,Price: ,2.36,Leioa, 8792389   size:2.55,Price: ,2.86,The Draw, 58805   size:2.7,Price: ,3.1,ok
1.122407674, Sport: ,Soccer, Time: ,Sat Jan 02 16:00:00 CET 2016, Time: ,Sat Jan 02 16:00:00 CET 2016, Event: ,Barakaldo v Arenas Club de Getxo, Favorite: ,Barakaldo, 565023   size:4.1,Price: ,1.51,Arenas Club de Getxo, 6977566   size:2.55,Price: ,5.9,The Draw, 58805   size:2.55,Price: ,3.6,x
1.122409732, Sport: ,Darts, Time: ,Sat Jan 02 19:30:00 CET 2016, Time: ,Sat Jan 02 19:30:00 CET 2016, Event: ,Larry Butler v James Hurrell, Favorite: ,Larry Butler, 3149750   size:47.72,Price: ,1.55,James Hurrell, 10145487   size:39.1,Price: ,2.74,ok
1.122426076, Sport: ,Soccer, Time: ,Sat Jan 02 22:00:00 CET 2016, Time: ,Sat Jan 02 22:00:00 CET 2016, Event: ,Fluminense U20 v Real Noroeste U20, Favorite: ,Fluminense U20, 5181413   size:4.61,Price: ,1.12,Real Noroeste U20, 10677128   size:3.6,Price: ,19.0,The Draw, 58805   size:10.51,Price: ,7.8,ok
1.122425264, Sport: ,Soccer, Time: ,Sat Jan 02 20:00:00 CET 2016, Time: ,Sat Jan 02 20:00:00 CET 2016, Event: ,Sao Carlos FC U20 v Serrano SC U19, Favorite: ,Sao Carlos FC U20, 7279656   size:2.55,Price: ,1.3,Serrano SC U19, 9111135   size:12.65,Price: ,6.8,The Draw, 58805   size:20.83,Price: ,4.5,ok
1.122425780, Sport: ,Soccer, Time: ,Sat Jan 02 21:00:00 CET 2016, Time: ,Sat Jan 02 21:00:00 CET 2016, Event: ,Coritiba U20 v UA Barbarense FC U20, Favorite: ,Coritiba U20, 5181414   size:18.45,Price: ,1.25,UA Barbarense FC U20, 8538551   size:5.07,Price: ,9.4,The Draw, 58805   size:15.57,Price: ,5.7,ok
1.122431430, Sport: ,Soccer, Time: ,Sat Jan 02 18:00:00 CET 2016, Time: ,Sat Jan 02 18:00:00 CET 2016, Event: ,UD San Pedro v CD Ronda, Favorite: ,UD San Pedro, 6929256   size:27.68,Price: ,1.02,CD Ronda, 6962220   size:27.68,Price: ,1.02,The Draw, 58805   size:2.72,Price: ,1.25,ok
