1.122444628, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Nacional PR U20 v Sao Raimundo RR U20, Favorite: ,Nacional PR U20, 9488058   size:2.55,Price: ,1.28,Sao Raimundo RR U20, 10681164   size:91.35,Price: ,4.2,The Draw, 58805   size:5.99,Price: ,3.55,x
1.122407678, Sport: ,Soccer, Time: ,Sun Jan 03 12:15:00 CET 2016, Time: ,Sun Jan 03 12:15:00 CET 2016, Event: ,CD Guadalajara v Toledo, Favorite: ,CD Guadalajara, 2522816   size:12.66,Price: ,2.46,Toledo, 218880   size:2.55,Price: ,3.25,The Draw, 58805   size:8.14,Price: ,3.1,x
1.122407676, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,CD Ebro v CF Rayo Majadahonda, Favorite: ,CD Ebro, 8041211   size:2.55,Price: ,2.12,CF Rayo Majadahonda, 6929273   size:3.42,Price: ,3.95,The Draw, 58805   size:3.39,Price: ,3.25,ok
1.122407710, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,La Roda v Real Madrid B, Favorite: ,Real Madrid B, 6539994   size:29.72,Price: ,2.4,La Roda, 4923750   size:2.55,Price: ,3.2,The Draw, 58805   size:11.55,Price: ,3.15,x
1.122409732, Sport: ,Darts, Time: ,Sat Jan 02 19:30:00 CET 2016, Time: ,Sat Jan 02 19:30:00 CET 2016, Event: ,Larry Butler v James Hurrell, Favorite: ,Larry Butler, 3149750   size:114.95,Price: ,1.07,James Hurrell, 10145487   size:13.6,Price: ,7.0,ok
1.122407672, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Valladolid B v Celta Vigo B, Favorite: ,Valladolid B, 2250344   size:49.84,Price: ,2.06,Celta Vigo B, 7583222   size:2.55,Price: ,3.85,The Draw, 58805   size:2.55,Price: ,3.4,x
1.122407670, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Tudelano v Pena Sport FC, Favorite: ,Tudelano, 4923754   size:8.29,Price: ,1.58,Pena Sport FC, 9310977   size:2.0,Price: ,6.8,The Draw, 58805   size:2.55,Price: ,3.85,x
1.122433331, Sport: ,Basketball, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Neptunas v Pieno zvaigzdes, Favorite: ,Neptunas, 5261523   size:2.72,Price: ,1.03,Pieno zvaigzdes, 6025292   size:9.22,Price: ,1.1,ok
1.122409692, Sport: ,Darts, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,David Cameron v Ted Hankey, Favorite: ,Ted Hankey, 2650133   size:643.1,Price: ,1.4,David Cameron, 8039205   size:179.0,Price: ,2.9,ok
1.122444851, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Sao Paulo FC U20 v Paulista FC Jundiai U20, Favorite: ,Sao Paulo FC U20, 6714726   size:5.99,Price: ,1.17,Paulista FC Jundiai U20, 8540113   size:73.81,Price: ,5.9,The Draw, 58805   size:91.35,Price: ,4.2,ok
1.122444215, Sport: ,Soccer, Time: ,Sun Jan 03 19:00:00 CET 2016, Time: ,Sun Jan 03 19:00:00 CET 2016, Event: ,Fortaleza EC U20 v Luverdense EC U20, Favorite: ,Fortaleza EC U20, 10681097   size:27.68,Price: ,1.02,Luverdense EC U20, 10356337   size:27.68,Price: ,1.02,The Draw, 58805   size:27.68,Price: ,1.02,ok
1.122446755, Sport: ,Soccer, Time: ,Sun Jan 03 11:30:00 CET 2016, Time: ,Sun Jan 03 11:30:00 CET 2016, Event: ,Espinardo Atletico v Real Murcia Imperial CF, Favorite: ,Espinardo Atletico, 10215484   size:59.65,Price: ,2.14,Real Murcia Imperial CF, 10243153   size:37.37,Price: ,2.82,The Draw, 58805   size:33.18,Price: ,3.05,ok
1.122407708, Sport: ,Soccer, Time: ,Sun Jan 03 11:30:00 CET 2016, Time: ,Sun Jan 03 11:30:00 CET 2016, Event: ,Getafe B v CD Mensajero, Favorite: ,Getafe B, 4943234   size:3.95,Price: ,1.96,CD Mensajero, 8532028   size:2.55,Price: ,4.3,The Draw, 58805   size:2.59,Price: ,3.2,ok
1.122446872, Sport: ,Soccer, Time: ,Sun Jan 03 16:45:00 CET 2016, Time: ,Sun Jan 03 16:45:00 CET 2016, Event: ,Al Ahli (QAT) v Al Wakrah, Favorite: ,Al Ahli (QAT), 5671996   size:6.31,Price: ,2.06,Al Wakrah, 5170863   size:6.18,Price: ,2.26,The Draw, 58805   size:15.87,Price: ,3.1,ok
1.122445427, Sport: ,Soccer, Time: ,Sun Jan 03 16:00:00 CET 2016, Time: ,Sun Jan 03 16:00:00 CET 2016, Event: ,AR S. Martinho v Fafe, Favorite: ,AR S. Martinho, 10096361   size:27.68,Price: ,1.02,Fafe, 616851   size:27.68,Price: ,1.02,The Draw, 58805   size:27.68,Price: ,1.02,x
1.122407668, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Leonesa v Somozas, Favorite: ,Leonesa, 565022   size:61.82,Price: ,1.59,Somozas, 5924373   size:9.1,Price: ,6.6,The Draw, 58805   size:12.47,Price: ,3.7,x
1.122408357, Sport: ,Soccer, Time: ,Sun Jan 03 12:15:00 CET 2016, Time: ,Sun Jan 03 12:15:00 CET 2016, Event: ,Feirense v Chaves, Favorite: ,Feirense, 505957   siz,x
1.122450646, Sport: ,Tennis, Time: ,Sun Jan 03 07:00:00 CET 2016, Time: ,Sun Jan 03 07:00:00 CET 2016, Event: ,Jovanovski v Friedsam, Favorite: ,Anna-Lena Friedsam, 7593369   size:4.55,Price: ,1.85,Bojana Jovanovski, 4148045   size:2.68,Price: ,1.94,ok
1.122439947, Sport: ,Tennis, Time: ,Sun Jan 03 06:15:00 CET 2016, Time: ,Sun Jan 03 06:15:00 CET 2016, Event: ,Majchrzak v Milton, Favorite: ,Joshua Milton, 3985858   size:56.11,Price: ,1.8,Kamil Majchrzak, 8698678   size:55.38,Price: ,2.06,ok
1.122444928, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,SC Atibaia U20 v Brasilia FC U20, Favorite: ,SC Atibaia U20, 10251776   size:27.68,Price: ,1.02,Brasilia FC U20, 10681207   size:27.68,Price: ,1.02,The Draw, 58805   size:27.68,Price: ,1.02,x
1.122423667, Sport: ,Soccer, Time: ,Sat Jan 02 20:00:00 CET 2016, Time: ,Sat Jan 02 20:00:00 CET 2016, Event: ,Cruzeiro U20 v Comercial FC U20, Favorite: ,Comercial FC U20, 9521104   size:4.73,Price: ,1.03,Cruzeiro U20, 5188319   size:40.0,Price: ,1.2,The Draw, 58805   size:6.8,Price: ,1.04,x
1.122431454, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Castilleja CF v Arcos CF, Favorite: ,Castilleja CF, 10185293   size:68.02,Price: ,1.87,Arcos CF, 6540001   size:27.75,Price: ,3.45,The Draw, 58805   size:33.18,Price: ,3.05,x
1.122431456, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Castro FC v CD Bezana, Favorite: ,Castro FC, 6343346   size:3.69,Price: ,1.16,CD Bezana, 8383175   size:3.69,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,x
1.122431450, Sport: ,Soccer, Time: ,Sun Jan 03 18:00:00 CET 2016, Time: ,Sun Jan 03 18:00:00 CET 2016, Event: ,Atletico Mancha Real v Martos CD, Favorite: ,Atletico Mancha Real, 7331891   size:3.69,Price: ,1.16,Martos CD, 7534642   size:3.69,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,ok
1.122431452, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Bergantinos CF v Verin CF, Favorite: ,Bergantinos CF, 6884141   size:3.69,Price: ,1.16,Verin CF, 10402982   size:3.69,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,x
1.122431458, Sport: ,Soccer, Time: ,Sun Jan 03 16:15:00 CET 2016, Time: ,Sun Jan 03 16:15:00 CET 2016, Event: ,CCD Cerceda v CD Boiro, Favorite: ,CCD Cerceda, 5595026   size:3.69,Price: ,1.16,CD Boiro, 8115139   size:3.69,Price: ,1.16,The Draw, 58805   size:3.69,Price: ,1.29,ok
