1.122445159, Sport: ,Soccer, Time: ,Sun Jan 03 20:30:00 CET 2016, Time: ,Sun Jan 03 20:30:00 CET 2016, Event: ,Uniao Mogi U20 v Palmeira FC da Una U19, Favorite: ,Uniao Mogi U20, 10681267   size:2.55,Price: ,1.75,Palmeira FC da Una U19, 9111125   size:29.59,Price: ,3.45,The Draw, 58805   size:28.45,Price: ,3.55,x
1.122445311, Sport: ,Soccer, Time: ,Sun Jan 03 22:00:00 CET 2016, Time: ,Sun Jan 03 22:00:00 CET 2016, Event: ,Vitoria U20 v Rondonopolis U19, Favorite: ,Vitoria U20, 5181430   size:2.03,Price: ,1.23,Rondonopolis U19, 10681290   size:2.74,Price: ,8.6,The Draw, 58805   size:3.76,Price: ,5.3,x
1.122444628, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Nacional PR U20 v Sao Raimundo RR U20, Favorite: ,Nacional PR U20, 9488058   size:3.27,Price: ,1.53,Sao Raimundo RR U20, 10681164   size:3.59,Price: ,4.7,The Draw, 58805   size:3.8,Price: ,3.95,x
1.122407718, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Alcoyano v LHospitalet, Favorite: ,Alcoyano, 1321438   size:4.33,Price: ,1.69,LHospitalet, 4923755   size:32.28,Price: ,6.8,The Draw, 58805   size:13.14,Price: ,3.55,ok
1.122446927, Sport: ,Soccer, Time: ,Sun Jan 03 16:45:00 CET 2016, Time: ,Sun Jan 03 16:45:00 CET 2016, Event: ,Al Sailiya v El Jaish, Favorite: ,El Jaish, 6290919   size:2.73,Price: ,1.83,Al Sailiya, 5183548   size:2.01,Price: ,3.85,The Draw, 58805   size:2.3,Price: ,3.3,ok
1.122407716, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,Talavera CF v Sociedad B, Favorite: ,Talavera CF, 7309192   size:6.38,Price: ,2.46,Sociedad B, 2250345   size:2.55,Price: ,3.2,The Draw, 58805   size:2.55,Price: ,3.3,ok
1.122407678, Sport: ,Soccer, Time: ,Sun Jan 03 12:15:00 CET 2016, Time: ,Sun Jan 03 12:15:00 CET 2016, Event: ,CD Guadalajara v Toledo, Favorite: ,CD Guadalajara, 2522816   size:64.78,Price: ,2.48,Toledo, 218880   size:7.07,Price: ,3.2,The Draw, 58805   size:2.62,Price: ,3.2,x
1.122430860, Sport: ,Volleyball, Time: ,Sun Jan 03 08:00:00 CET 2016, Time: ,Sun Jan 03 08:00:00 CET 2016, Event: ,Heungkuk Pink Spiders v KGC Pro VC, Favorite: ,Heungkuk Pink Spiders, 10391681   size:101.72,Price: ,1.03,KGC Pro VC, 10391695   size:66.0,Price: ,1.19,ok
1.122407710, Sport: ,Soccer, Time: ,Sun Jan 03 17:00:00 CET 2016, Time: ,Sun Jan 03 17:00:00 CET 2016, Event: ,La Roda v Real Madrid B, Favorite: ,Real Madrid B, 6539994   size:18.5,Price: ,2.4,La Roda, 4923750   size:7.17,Price: ,3.25,The Draw, 58805   size:2.45,Price: ,3.1,x
1.122407672, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Valladolid B v Celta Vigo B, Favorite: ,Valladolid B, 2250344   size:11.02,Price: ,2.06,Celta Vigo B, 7583222   size:34.54,Price: ,3.9,The Draw, 58805   size:6.53,Price: ,3.5,x
1.122407670, Sport: ,Soccer, Time: ,Sun Jan 03 12:00:00 CET 2016, Time: ,Sun Jan 03 12:00:00 CET 2016, Event: ,Tudelano v Pena Sport FC, Favorite: ,Tudelano, 4923754   size:28.7,Price: ,1.81,Pena Sport FC, 9310977   size:5.71,Price: ,5.1,The Draw, 58805   size:2.0,Price: ,3.8,x
