1.122464594, Sport: ,Tennis, Time: ,Mon Jan 04 16:00:00 CET 2016, Time: ,Mon Jan 04 16:00:00 CET 2016, Event: ,H Casanova v Lipovsek Puches, Favorite: ,Hernan Casanova, 9042437   size:6.92,Price: ,1.08,Tomas Lipovsek Puches, 8174492   size:6.92,Price: ,1.08,ok
1.122443099, Sport: ,Soccer, Time: ,Sun Jan 03 19:00:00 CET 2016, Time: ,Sun Jan 03 19:00:00 CET 2016, Event: ,America MG U20 v Sao Caetano U20, Favorite: ,America MG U20, 6006847   size:148.31,Price: ,1.32,Sao Caetano U20, 9465221   size:5.77,Price: ,4.2,The Draw, 58805   size:62.58,Price: ,3.2,ok
1.122443771, Sport: ,Soccer, Time: ,Sun Jan 03 19:00:00 CET 2016, Time: ,Sun Jan 03 19:00:00 CET 2016, Event: ,CA Taboao da Serra U20 v 15 de Novembre U20, Favorite: ,CA Taboao da Serra U20, 10681045   size:22.15,Price: ,1.71,15 de Novembre U20, 7376146   size:74.82,Price: ,3.5,The Draw, 58805   size:107.47,Price: ,2.4,ok
1.122415067, Sport: ,Basketball, Time: ,Sun Jan 03 21:30:00 CET 2016, Time: ,Sun Jan 03 21:30:00 CET 2016, Event: ,Chicago @ Toronto, Favorite: ,Toronto, 13113   size:205.91,Price: ,1.62,Chicago, 13117   size:67.0,Price: ,2.56,x
1.122445311, Sport: ,Soccer, Time: ,Sun Jan 03 22:00:00 CET 2016, Time: ,Sun Jan 03 22:00:00 CET 2016, Event: ,Vitoria U20 v Rondonopolis U19, Favorite: ,Vitoria U20, 5181430   size:6.03,Price: ,1.16,Rondonopolis U19, 10681290   size:10.38,Price: ,16.0,The Draw, 58805   size:3.13,Price: ,6.6,x
1.122415341, Sport: ,Ice Hockey, Time: ,Mon Jan 04 08:00:00 CET 2016, Time: ,Mon Jan 04 08:00:00 CET 2016, Event: ,Vladivostok v Salavat, Favorite: ,Salavat, 2304930   size:60.99,Price: ,2.22,Vladivostok, 7597246   size:52.99,Price: ,2.66,Tie, 60104   size:32.43,Price: ,4.7,ok
1.122361470, Sport: ,American Football, Time: ,Sun Jan 03 22:25:00 CET 2016, Time: ,Sun Jan 03 22:25:00 CET 2016, Event: ,St Louis @ San Francisco, Favorite: ,St Louis Rams, 50195   size:615.79,Price: ,1.65,San Francisco 49ers, 50197   size:17.81,Price: ,2.48,x
1.122455241, Sport: ,Soccer, Time: ,Mon Jan 04 17:00:00 CET 2016, Time: ,Mon Jan 04 17:00:00 CET 2016, Event: ,CA Lemense U20 v Criciuma EC U20, Favorite: ,Criciuma EC U20, 7625750   size:2.55,Price: ,1.18,CA Lemense U20, 10677175   size:60.79,Price: ,6.2,The Draw, 58805   size:91.35,Price: ,4.5,ok
1.122450592, Sport: ,Tennis, Time: ,Mon Jan 04 16:00:00 CET 2016, Time: ,Mon Jan 04 16:00:00 CET 2016, Event: ,Klaasen/Ram v Bhupathi/Muller, Favorite: ,Klaasen/Ram, 9546313   size:42.9,Price: ,1.42,Bhupathi/Muller, 10682278   size:91.35,Price: ,2.62,ok
1.122409455, Sport: ,Darts, Time: ,Mon Jan 04 16:30:00 CET 2016, Time: ,Mon Jan 04 16:30:00 CET 2016, Event: ,Pip Blackwell v Martin Atkins, Favorite: ,Pip Blackwell, 8905185   size:748.27,Price: ,1.48,Martin Atkins, 2650136   size:2.55,Price: ,2.18,x
1.122457662, Sport: ,Darts, Time: ,Sun Jan 03 19:59:59 CET 2016, Time: ,Sun Jan 03 19:59:59 CET 2016, Event: ,Adrian Lewis v Gary Anderson, Favorite: ,Gary Anderson, 2409760   size:16897.6,Price: ,1.5,Adrian Lewis, 2271003   size:1808.68,Price: ,2.98,ok
1.122403591, Sport: ,Snooker, Time: ,Mon Jan 04 13:00:00 CET 2016, Time: ,Mon Jan 04 13:00:00 CET 2016, Event: ,OSullivan v M Williams, Favorite: ,Ronnie OSullivan, 2678270   size:4.22,Price: ,1.49,Mark Williams, 2278795   size:2.55,Price: ,2.52,ok
