1.122466211, Sport: ,Tennis, Time: ,Mon Jan 04 15:00:00 CET 2016, Time: ,Mon Jan 04 15:00:00 CET 2016, Event: ,Estevez v Agamenone, Favorite: ,Maximiliano Estevez, 7593393   size:13.78,Price: ,1.04,Franco Agamenone, 8979622   size:13.78,Price: ,1.04,ok
1.122464253, Sport: ,Tennis, Time: ,Mon Jan 04 15:15:00 CET 2016, Time: ,Mon Jan 04 15:15:00 CET 2016, Event: ,Edmund v Klizan, Favorite: ,Kyle Edmund, 5626817   size:7.03,Price: ,1.75,Martin Klizan, 2496035   size:4.98,Price: ,2.14,ok
1.122450807, Sport: ,Tennis, Time: ,Tue Jan 05 05:00:00 CET 2016, Time: ,Tue Jan 05 05:00:00 CET 2016, Event: ,A Radwanska v Krunic, Favorite: ,Agnieszka Radwanska, 2263577   size:2265.36,Price: ,1.07,Aleksandra Krunic, 5300820   size:8.91,Price: ,13.0,ok
1.122389828, Sport: ,Soccer, Time: ,Mon Jan 04 17:00:00 CET 2016, Time: ,Mon Jan 04 17:00:00 CET 2016, Event: ,Beitar Tel Aviv Ramla v Hapoel Ramat Gan, Favorite: ,Beitar Tel Aviv Ramla, 6021023   size:2.55,Price: ,2.1,Hapoel Ramat Gan, 542944   size:2.55,Price: ,3.3,The Draw, 58805   size:3.9,Price: ,3.65,x
1.122389663, Sport: ,Soccer, Time: ,Mon Jan 04 20:30:00 CET 2016, Time: ,Mon Jan 04 20:30:00 CET 2016, Event: ,Girona v Valladolid, Favorite: ,Girona, 968185   size:323.03,Price: ,2.32,Valladolid, 13362   size:109.77,Price: ,3.9,The Draw, 58805   size:1819.49,Price: ,3.15,ok
1.122403613, Sport: ,Snooker, Time: ,Mon Jan 04 20:00:00 CET 2016, Time: ,Mon Jan 04 20:00:00 CET 2016, Event: ,M Williams v Hawkins, Favorite: ,Barry Hawkins, 2278801   size:36.8,Price: ,1.92,Mark Williams, 2278795   size:3.31,Price: ,1.94,x
1.122389567, Sport: ,Soccer, Time: ,Mon Jan 04 20:30:00 CET 2016, Time: ,Mon Jan 04 20:30:00 CET 2016, Event: ,Tenerife v Alcorcon, Favorite: ,Tenerife, 44509   size:73.8,Price: ,2.7,Alcorcon, 2250328   size:140.43,Price: ,3.05,The Draw, 58805   size:2210.39,Price: ,3.2,x
1.122407414, Sport: ,Soccer, Time: ,Mon Jan 04 14:00:00 CET 2016, Time: ,Mon Jan 04 14:00:00 CET 2016, Event: ,Huddersfield U21 v Hull U21, Favorite: ,Huddersfield U21, 6678229   size:2.57,Price: ,1.2,Hull U21, 10123519   size:2.61,Price: ,2.18,The Draw, 58805   size:2.61,Price: ,3.2,ok
1.122407410, Sport: ,Soccer, Time: ,Mon Jan 04 14:00:00 CET 2016, Time: ,Mon Jan 04 14:00:00 CET 2016, Event: ,Birmingham U21 v Bolton U21, Favorite: ,Birmingham U21, 6813025   size:2.64,Price: ,1.18,Bolton U21, 6594013   size:2.62,Price: ,1.64,The Draw, 58805   size:2.62,Price: ,3.2,x
1.122409610, Sport: ,Darts, Time: ,Mon Jan 04 14:00:00 CET 2016, Time: ,Mon Jan 04 14:00:00 CET 2016, Event: ,Rob Modra v John Walton, Favorite: ,Rob Modra, 5180337   size:4.34,Price: ,1.86,John Walton, 2650138   size:7.55,Price: ,1.99,x
1.122450791, Sport: ,Tennis, Time: ,Tue Jan 05 05:00:00 CET 2016, Time: ,Tue Jan 05 05:00:00 CET 2016, Event: ,S Zheng v Kvitova, Favorite: ,Petra Kvitova, 2497008   size:21.32,Price: ,1.11,Saisai Zheng, 5829453   size:19.73,Price: ,8.8,x
1.122405373, Sport: ,Basketball, Time: ,Tue Jan 05 06:00:00 CET 2016, Time: ,Tue Jan 05 06:00:00 CET 2016, Event: ,North Carolina @ Florida State, Favorite: ,North Carolina, 332652   size:113.7,Price: ,1.03,Florida State, 697689   size:113.7,Price: ,1.03,ok
1.122459028, Sport: ,Ice Hockey, Time: ,Mon Jan 04 15:00:00 CET 2016, Time: ,Mon Jan 04 15:00:00 CET 2016, Event: ,Sweden v Finland, Favorite: ,Sweden, 140139   size:362.81,Price: ,2.02,Finland, 140141   size:55.18,Price: ,2.92,Tie, 60104   size:32.01,Price: ,5.1,x
1.122450774, Sport: ,Tennis, Time: ,Tue Jan 05 05:00:00 CET 2016, Time: ,Tue Jan 05 05:00:00 CET 2016, Event: ,V King v Linette, Favorite: ,Magda Linette, 7083215   size:2.55,Price: ,1.53,Vania King, 2249846   size:65.0,Price: ,2.7,x
1.122464191, Sport: ,Tennis, Time: ,Mon Jan 04 17:00:00 CET 2016, Time: ,Mon Jan 04 17:00:00 CET 2016, Event: ,R Haase v Karatsev, Favorite: ,Robin Haase, 2309796   size:2.55,Price: ,1.58,Aslan Karatsev, 7659748   size:9.18,Price: ,2.5,ok
1.122450336, Sport: ,Tennis, Time: ,Tue Jan 05 02:45:00 CET 2016, Time: ,Tue Jan 05 02:45:00 CET 2016, Event: ,Samper-Montana v Co Smith, Favorite: ,Connor Smith, 8732289   size:275.75,Price: ,1.81,Jordi Samper-Montana, 8258998   size:2.55,Price: ,2.18,ok
