1.122471887, Sport: ,Soccer, Time: ,Thu Jan 07 00:00:00 CET 2016, Time: ,Thu Jan 07 00:00:00 CET 2016, Event: ,AA Inter Limeira U20 v Corinthians U20, Favorite: ,Corinthians U20, 5187056   size:14.53,Price: ,1.3,AA Inter Limeira U20, 10676649   size:50.42,Price: ,8.8,The Draw, 58805   size:8.54,Price: ,7.0,ok
1.122491133, Sport: ,Tennis, Time: ,Thu Jan 07 16:00:00 CET 2016, Time: ,Thu Jan 07 16:00:00 CET 2016, Event: ,Heras v Andreozzi, Favorite: ,Patricio Heras, 8461064   size:13.9,Price: ,1.04,Guido Andreozzi, 6603914   size:13.9,Price: ,1.04,x
1.122471961, Sport: ,Soccer, Time: ,Thu Jan 07 00:00:00 CET 2016, Time: ,Thu Jan 07 00:00:00 CET 2016, Event: ,Ituano FC U20 v Gremio U20, Favorite: ,Ituano FC U20, 7370365   size:8.83,Price: ,2.7,Gremio U20, 6014425   size:19.53,Price: ,2.74,The Draw, 58805   size:9.31,Price: ,3.65,x
1.122473501, Sport: ,Tennis, Time: ,Thu Jan 07 06:45:00 CET 2016, Time: ,Thu Jan 07 06:45:00 CET 2016, Event: ,Youzhny v Weintraub, Favorite: ,Mikhail Youzhny, 2263536   size:7.55,Price: ,1.23,Amir Weintraub, 5822663   size:2.55,Price: ,4.5,ok
1.122481607, Sport: ,Basketball, Time: ,Thu Jan 07 19:04:00 CET 2016, Time: ,Thu Jan 07 19:04:00 CET 2016, Event: ,Sundsvall v Lulea, Favorite: ,Sundsvall, 1309741   size:3.28,Price: ,1.03,Lulea, 10362456   size:3.28,Price: ,1.03,ok
1.122481845, Sport: ,Snooker, Time: ,Thu Jan 07 12:00:00 CET 2016, Time: ,Thu Jan 07 12:00:00 CET 2016, Event: ,Judd Trump v Mark Williams, Favorite: ,Judd Trump, 2279955   size:3.09,Price: ,1.62,Mark Williams, 2278795   size:2.55,Price: ,2.24,ok
1.122481846, Sport: ,Snooker, Time: ,Thu Jan 07 13:00:00 CET 2016, Time: ,Thu Jan 07 13:00:00 CET 2016, Event: ,Joe Perry v Robert Milkins, Favorite: ,Joe Perry, 2281428   size:2.55,Price: ,1.71,Robert Milkins, 2278803   size:6.02,Price: ,2.08,ok
1.122481848, Sport: ,Snooker, Time: ,Thu Jan 07 13:00:00 CET 2016, Time: ,Thu Jan 07 13:00:00 CET 2016, Event: ,Barry Hawkins v Ricky Walden, Favorite: ,Barry Hawkins, 2278801   size:2.55,Price: ,1.81,Ricky Walden, 2278806   size:2.55,Price: ,1.97,ok
1.122481852, Sport: ,Snooker, Time: ,Thu Jan 07 16:00:00 CET 2016, Time: ,Thu Jan 07 16:00:00 CET 2016, Event: ,Judd Trump v Robert Milkins, Favorite: ,Judd Trump, 2279955   size:2.55,Price: ,1.41,Robert Milkins, 2278803   size:6.02,Price: ,2.68,ok
1.122484924, Sport: ,Tennis, Time: ,Thu Jan 07 07:30:00 CET 2016, Time: ,Thu Jan 07 07:30:00 CET 2016, Event: ,Barrere/Lamasine v McGee/Rola, Favorite: ,McGee/Rola, 10684466   size:67.81,Price: ,1.92,Barrere/Lamasine, 10684467   size:64.79,Price: ,1.95,x
1.122481854, Sport: ,Snooker, Time: ,Thu Jan 07 17:00:00 CET 2016, Time: ,Thu Jan 07 17:00:00 CET 2016, Event: ,Mark Selby v Barry Hawkins, Favorite: ,Mark Selby, 2280127   size:2.55,Price: ,1.63,Barry Hawkins, 2278801   size:8.57,Price: ,2.22,ok
1.122407197, Sport: ,Basketball, Time: ,Thu Jan 07 01:00:00 CET 2016, Time: ,Thu Jan 07 01:00:00 CET 2016, Event: ,Seton Hall @ Villanova, Favorite: ,Villanova, 675919   size:1783.36,Price: ,1.08,Seton Hall, 696997   size:3.77,Price: ,10.0,ok
1.122481850, Sport: ,Snooker, Time: ,Thu Jan 07 15:00:00 CET 2016, Time: ,Thu Jan 07 15:00:00 CET 2016, Event: ,Judd Trump v Ricky Walden, Favorite: ,Judd Trump, 2279955   size:2.55,Price: ,1.62,Ricky Walden, 2278806   size:6.02,Price: ,2.22,x
1.122480203, Sport: ,Soccer, Time: ,Thu Jan 07 19:00:00 CET 2016, Time: ,Thu Jan 07 19:00:00 CET 2016, Event: ,Sao Bernardo FC U20 v Goias EC U20, Favorite: ,Sao Bernardo FC U20, 7279636   size:3.58,Price: ,1.81,Goias EC U20, 5185908   size:29.52,Price: ,3.45,The Draw, 58805   size:31.49,Price: ,3.25,ok
1.122482786, Sport: ,Tennis, Time: ,Thu Jan 07 09:30:00 CET 2016, Time: ,Thu Jan 07 09:30:00 CET 2016, Event: ,Friedsam v Siniakova, Favorite: ,Katerina Siniakova, 7137442   size:2.0,Price: ,1.86,Anna-Lena Friedsam, 7593369   size:7.67,Price: ,2.12,x
1.122481851, Sport: ,Snooker, Time: ,Thu Jan 07 16:00:00 CET 2016, Time: ,Thu Jan 07 16:00:00 CET 2016, Event: ,Joe Perry v Mark Williams, Favorite: ,Mark Williams, 2278795   size:2.55,Price: ,1.82,Joe Perry, 2281428   size:2.55,Price: ,1.97,ok
1.122407193, Sport: ,Basketball, Time: ,Thu Jan 07 01:00:00 CET 2016, Time: ,Thu Jan 07 01:00:00 CET 2016, Event: ,Rutgers @ Maryland, Favorite: ,Maryland, 29832   size:718.45,Price: ,1.01,Rutgers, 715475   size:12.33,Price: ,4.7,ok
1.122478649, Sport: ,Soccer, Time: ,Thu Jan 07 17:00:00 CET 2016, Time: ,Thu Jan 07 17:00:00 CET 2016, Event: ,ABC Futebol Clube U20 v Galvez EC U20, Favorite: ,ABC Futebol Clube U20, 10681123   size:656.95,Price: ,1.62,Galvez EC U20, 10681182   size:331.83,Price: ,2.04,The Draw, 58805   size:159.93,Price: ,3.5,x
1.122473559, Sport: ,Volleyball, Time: ,Thu Jan 07 11:00:00 CET 2016, Time: ,Thu Jan 07 11:00:00 CET 2016, Event: ,Seoul Woori Card Hansae v Suwon Kepco, Favorite: ,Suwon Kepco, 10389011   size:2.55,Price: ,1.14,Seoul Woori Card Hansae, 10391680   size:18.0,Price: ,2.18,x
1.122491127, Sport: ,Tennis, Time: ,Thu Jan 07 16:00:00 CET 2016, Time: ,Thu Jan 07 16:00:00 CET 2016, Event: ,Eysseric/Reyes-Varela v Clezar/Neis, Favorite: ,Eysseric/Reyes-Varela, 10689060   size:13.9,Price: ,1.04,Clezar/Neis, 8861023   size:13.9,Price: ,1.04,x
1.122462023, Sport: ,Soccer, Time: ,Thu Jan 07 14:30:00 CET 2016, Time: ,Thu Jan 07 14:30:00 CET 2016, Event: ,Hibernian U20 v Dundee U20, Favorite: ,Hibernian U20, 6645664   size:3.7,Price: ,1.62,Dundee U20, 7049332   size:2.55,Price: ,3.9,The Draw, 58805   size:9.65,Price: ,4.0,x
1.122473235, Sport: ,Basketball, Time: ,Thu Jan 07 19:00:00 CET 2016, Time: ,Thu Jan 07 19:00:00 CET 2016, Event: ,Polpharma Starogard v Szczecin, Favorite: ,Polpharma Starogard, 2125690   size:34.96,Price: ,1.75,Szczecin, 8832807   size:24.27,Price: ,2.08,ok
1.122473199, Sport: ,Tennis, Time: ,Thu Jan 07 07:00:00 CET 2016, Time: ,Thu Jan 07 07:00:00 CET 2016, Event: ,Xu/Zheng v Gibbs/Riske, Favorite: ,Xu/Zheng, 8871269   size:3.09,Price: ,1.4,Gibbs/Riske, 8767499   size:2.55,Price: ,2.86,ok
1.122481844, Sport: ,Snooker, Time: ,Thu Jan 07 12:00:00 CET 2016, Time: ,Thu Jan 07 12:00:00 CET 2016, Event: ,Mark Selby v Robert Milkins, Favorite: ,Mark Selby, 2280127   size:2.55,Price: ,1.51,Robert Milkins, 2278803   size:2.55,Price: ,2.52,ok
1.122407189, Sport: ,Basketball, Time: ,Thu Jan 07 01:00:00 CET 2016, Time: ,Thu Jan 07 01:00:00 CET 2016, Event: ,Duke @ Wake Forest, Favorite: ,Duke, 29829   size:500.0,Price: ,1.3,Wake Forest, 352102   size:64.74,Price: ,3.8,ok
1.122478797, Sport: ,Soccer, Time: ,Thu Jan 07 14:05:00 CET 2016, Time: ,Thu Jan 07 14:05:00 CET 2016, Event: ,Al Wahda (Abu Dhabi) v Dibba Al Fujairah, Favorite: ,Al Wahda (Abu Dhabi), 6132829   size:2.69,Price: ,1.9,Dibba Al Fujairah, 6685874   size:3.07,Price: ,3.25,The Draw, 58805   size:5.56,Price: ,3.55,ok
1.122481365, Sport: ,Handball, Time: ,Thu Jan 07 16:00:00 CET 2016, Time: ,Thu Jan 07 16:00:00 CET 2016, Event: ,Ukraine v Greece, Favorite: ,Ukraine, 620385   size:2.71,Price: ,1.03,Greece, 624110   size:18.0,Price: ,1.77,Draw, 330157   size:18.0,Price: ,1.29,x
1.122407263, Sport: ,Basketball, Time: ,Thu Jan 07 03:00:00 CET 2016, Time: ,Thu Jan 07 03:00:00 CET 2016, Event: ,Xavier @ St John's, Favorite: ,Xavier, 351829   size:1848.82,Price: ,1.08,St John's, 4548275   size:3.56,Price: ,10.5,ok
1.122481363, Sport: ,Handball, Time: ,Thu Jan 07 15:00:00 CET 2016, Time: ,Thu Jan 07 15:00:00 CET 2016, Event: ,Cyprus v Latvia, Favorite: ,Latvia, 2409743   size:13.56,Price: ,1.01,Cyprus, 3510837   size:2.65,Price: ,55.0,Draw, 330157   size:2.65,Price: ,55.0,ok
1.122472879, Sport: ,Darts, Time: ,Thu Jan 07 19:00:00 CET 2016, Time: ,Thu Jan 07 19:00:00 CET 2016, Event: ,Ailen de Graaf v Anca Zijlstra, Favorite: ,Ailen de Graaf, 10689149   size:2.55,Price: ,1.2,Anca Zijlstra, 10672315   size:2.55,Price: ,3.8,ok
1.122490342, Sport: ,Tennis, Time: ,Thu Jan 07 15:15:00 CET 2016, Time: ,Thu Jan 07 15:15:00 CET 2016, Event: ,An Kuznetsov v Nadal, Favorite: ,Rafael Nadal, 2251410   size:142196.33,Price: ,1.04,Andrey Kuznetsov, 4257454   size:104.43,Price: ,23.0,ok
1.122480736, Sport: ,Tennis, Time: ,Thu Jan 07 05:00:00 CET 2016, Time: ,Thu Jan 07 05:00:00 CET 2016, Event: ,Chiudinelli v R Marcora, Favorite: ,Marco Chiudinelli, 2263632   size:5.0,Price: ,1.37,Roberto Marcora, 7412952   size:2.55,Price: ,3.35,ok
1.122489912, Sport: ,Soccer, Time: ,Thu Jan 07 19:00:00 CET 2016, Time: ,Thu Jan 07 19:00:00 CET 2016, Event: ,Audax Sao Paulo EC U20 v Sao Paulo FC U20, Favorite: ,Sao Paulo FC U20, 6714726   size:2066.11,Price: ,1.21,Audax Sao Paulo EC U20, 7279634   size:123.3,Price: ,4.5,The Draw, 58805   size:133.5,Price: ,4.0,ok
1.122472035, Sport: ,Soccer, Time: ,Thu Jan 07 00:00:00 CET 2016, Time: ,Thu Jan 07 00:00:00 CET 2016, Event: ,Sao Carlos FC U20 v Internacional U20, Favorite: ,Internacional U20, 6006866   size:4.02,Price: ,1.49,Sao Carlos FC U20, 7279656   size:4.73,Price: ,6.6,The Draw, 58805   size:36.29,Price: ,5.2,x
1.122473243, Sport: ,Basketball, Time: ,Thu Jan 07 20:30:00 CET 2016, Time: ,Thu Jan 07 20:30:00 CET 2016, Event: ,Angers Women v Clube Uniao Sportiva Wo, Favorite: ,Angers Women, 9034872   size:3.28,Price: ,1.03,Clube Uniao Sportiva Wo, 10462541   size:3.28,Price: ,1.03,ok
1.122481307, Sport: ,Basketball, Time: ,Thu Jan 07 15:00:00 CET 2016, Time: ,Thu Jan 07 15:00:00 CET 2016, Event: ,Ekaterinburg (W) v Nadezhda (W), Favorite: ,Ekaterinburg (W), 6068594   size:2.57,Price: ,1.19,Nadezhda (W), 5290907   size:33.37,Price: ,2.1,x
1.122482517, Sport: ,Darts, Time: ,Thu Jan 07 15:00:00 CET 2016, Time: ,Thu Jan 07 15:00:00 CET 2016, Event: ,Ann Louise Peters v Zoe Jones, Favorite: ,Zoe Jones, 9122214   size:6.02,Price: ,1.56,Ann Louise Peters, 8193156   size:2.55,Price: ,2.46,x
1.122484668, Sport: ,Tennis, Time: ,Thu Jan 07 05:00:00 CET 2016, Time: ,Thu Jan 07 05:00:00 CET 2016, Event: ,Jor Thompson v Trungelliti, Favorite: ,Jordan Thompson, 8145584   size:6.02,Price: ,1.49,Marco Trungelliti, 6498878   size:33.07,Price: ,2.94,ok
