1.122473501, Sport: ,Tennis, Time: ,Thu Jan 07 08:38:00 CET 2016, Time: ,Thu Jan 07 08:38:00 CET 2016, Event: ,Youzhny v Weintraub, Favorite: ,Mikhail Youzhny, 2263536   size:597.42,Price: ,1.39,Amir Weintraub, 5822663   size:2.0,Price: ,3.35,ok
1.122481607, Sport: ,Basketball, Time: ,Thu Jan 07 19:04:00 CET 2016, Time: ,Thu Jan 07 19:04:00 CET 2016, Event: ,Sundsvall v Lulea, Favorite: ,Sundsvall, 1309741   size:3.27,Price: ,1.03,Lulea, 10362456   size:3.27,Price: ,1.03,ok
1.122481845, Sport: ,Snooker, Time: ,Thu Jan 07 12:00:00 CET 2016, Time: ,Thu Jan 07 12:00:00 CET 2016, Event: ,Judd Trump v Mark Williams, Favorite: ,Judd Trump, 2279955   size:11.02,Price: ,1.64,Mark Williams, 2278795   size:7.54,Price: ,2.32,ok
1.122481846, Sport: ,Snooker, Time: ,Thu Jan 07 13:00:00 CET 2016, Time: ,Thu Jan 07 13:00:00 CET 2016, Event: ,Joe Perry v Robert Milkins, Favorite: ,Joe Perry, 2281428   size:2.55,Price: ,1.72,Robert Milkins, 2278803   size:13.74,Price: ,2.26,ok
1.122481848, Sport: ,Snooker, Time: ,Thu Jan 07 13:00:00 CET 2016, Time: ,Thu Jan 07 13:00:00 CET 2016, Event: ,Barry Hawkins v Ricky Walden, Favorite: ,Barry Hawkins, 2278801   size:2.55,Price: ,1.84,Ricky Walden, 2278806   size:2.55,Price: ,2.04,ok
1.122481852, Sport: ,Snooker, Time: ,Thu Jan 07 16:00:00 CET 2016, Time: ,Thu Jan 07 16:00:00 CET 2016, Event: ,Judd Trump v Robert Milkins, Favorite: ,Judd Trump, 2279955   size:2.55,Price: ,1.47,Robert Milkins, 2278803   size:2.55,Price: ,2.78,ok
1.122475692, Sport: ,Volleyball, Time: ,Thu Jan 07 15:00:00 CET 2016, Time: ,Thu Jan 07 15:00:00 CET 2016, Event: ,Poland v Belgium, Favorite: ,Poland, 678742   size:8.57,Price: ,1.11,Belgium, 1216423   size:5.64,Price: ,7.0,ok
1.122481854, Sport: ,Snooker, Time: ,Thu Jan 07 17:00:00 CET 2016, Time: ,Thu Jan 07 17:00:00 CET 2016, Event: ,Mark Selby v Barry Hawkins, Favorite: ,Mark Selby, 2280127   size:2.55,Price: ,1.67,Barry Hawkins, 2278801   size:2.55,Price: ,2.28,ok
1.122481850, Sport: ,Snooker, Time: ,Thu Jan 07 15:00:00 CET 2016, Time: ,Thu Jan 07 15:00:00 CET 2016, Event: ,Judd Trump v Ricky Walden, Favorite: ,Judd Trump, 2279955   size:6.02,Price: ,1.65,Ricky Walden, 2278806   size:12.2,Price: ,2.42,x
1.122478723, Sport: ,Soccer, Time: ,Thu Jan 07 16:45:00 CET 2016, Time: ,Thu Jan 07 16:45:00 CET 2016, Event: ,Al Sharjah v Al Shabab (UAE), Favorite: ,Al Shabab (UAE), 3727832   size:31.08,Price: ,1.92,Al Sharjah, 3607226   size:100.9,Price: ,4.2,The Draw, 58805   size:2.69,Price: ,3.85,x
1.122482786, Sport: ,Tennis, Time: ,Thu Jan 07 09:30:00 CET 2016, Time: ,Thu Jan 07 09:30:00 CET 2016, Event: ,Friedsam v Siniakova, Favorite: ,Katerina Siniakova, 7137442   size:2124.86,Price: ,1.88,Anna-Lena Friedsam, 7593369   size:78.52,Price: ,2.08,x
