1.122529758, Sport: ,Soccer, Time: ,Sat Jan 09 13:00:00 CET 2016, Time: ,Sat Jan 09 13:00:00 CET 2016, Event: ,Sport Recife U20 v Tanabi EC U20, Favorite: ,Sport Recife U20, 6732326   size:42.45,Price: ,1.49,Tanabi EC U20, 10677142   size:214.04,Price: ,3.15,The Draw, 58805   size:183.72,Price: ,3.5,ok
1.122530989, Sport: ,Tennis, Time: ,Sat Jan 09 08:45:00 CET 2016, Time: ,Sat Jan 09 08:45:00 CET 2016, Event: ,Balleret v Santiago, Favorite: ,Benjamin Balleret, 2377738   size:66.67,Price: ,1.53,Mico Santiago, 8476690   size:66.67,Price: ,2.16,ok
1.122427605, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Airdrieonians v Dundee Utd, Favorite: ,Dundee Utd, 48818   size:2658.66,Price: ,1.39,Airdrieonians, 7394884   size:7.07,Price: ,9.4,The Draw, 58805   size:4.64,Price: ,5.5,ok
1.122530981, Sport: ,Tennis, Time: ,Sat Jan 09 07:00:00 CET 2016, Time: ,Sat Jan 09 07:00:00 CET 2016, Event: ,J Hung v Prashanth, Favorite: ,Jui-Chen Hung, 8283560   size:9.18,Price: ,1.06,N Vijay Sundar Prashant, 9127829   size:9.18,Price: ,1.06,x
1.122487915, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Merthyr Town v Histon, Favorite: ,Merthyr Town, 8749416   size:72.92,Price: ,2.24,Histon, 597738   size:44.45,Price: ,2.54,The Draw, 58805   size:11.1,Price: ,3.6,ok
1.122516449, Sport: ,Soccer, Time: ,Sat Jan 09 18:00:00 CET 2016, Time: ,Sat Jan 09 18:00:00 CET 2016, Event: ,Arucas CF v CD Santa Ursula, Favorite: ,The Draw, 58805   size:55.11,Price: ,1.01,Arucas CF, 9053708   size:27.55,Price: ,1.02,CD Santa Ursula, 8822719   size:27.55,Price: ,1.02,x
1.122481494, Sport: ,Basketball, Time: ,Sat Jan 09 02:35:00 CET 2016, Time: ,Sat Jan 09 02:35:00 CET 2016, Event: ,New York @ San Antonio, Favorite: ,San Antonio, 13121   size:2.33,Price: ,1.08,New York, 13106   size:16.26,Price: ,12.5,ok
1.122330171, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Newport County v Blackburn, Favorite: ,Blackburn, 48350   size:108.34,Price: ,1.82,Newport County, 62623   size:75.31,Price: ,5.4,The Draw, 58805   size:21.98,Price: ,3.7,x
1.122530999, Sport: ,Soccer, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Rachad Bernoussi v US Temara, Favorite: ,Rachad Bernoussi, 7753751   size:27.55,Price: ,1.02,US Temara, 7788461   size:27.55,Price: ,1.02,The Draw, 58805   size:2.66,Price: ,1.25,x
1.122530757, Sport: ,Soccer, Time: ,Sat Jan 09 16:45:00 CET 2016, Time: ,Sat Jan 09 16:45:00 CET 2016, Event: ,Al Nasar (KUW) v Kazma SC, Favorite: ,Kazma SC, 4400662   size:66.77,Price: ,1.25,Al Nasar (KUW), 6279459   size:11.49,Price: ,6.8,The Draw, 58805   size:12.09,Price: ,4.6,ok
1.122530878, Sport: ,Soccer, Time: ,Sat Jan 09 17:00:00 CET 2016, Time: ,Sat Jan 09 17:00:00 CET 2016, Event: ,Monarcas Morelia U20 v CDSC Cruz Azul U20, Favorite: ,Monarcas Morelia U20, 6241888   size:27.55,Price: ,1.02,CDSC Cruz Azul U20, 6702694   size:27.55,Price: ,1.02,The Draw, 58805   size:2.66,Price: ,1.25,ok
1.122490199, Sport: ,Ice Hockey, Time: ,Sat Jan 09 16:00:00 CET 2016, Time: ,Sat Jan 09 16:00:00 CET 2016, Event: ,Djurgaardens IF v HC Orebro, Favorite: ,Djurgaardens IF, 10653596   size:13.77,Price: ,1.04,HC Orebro, 3808601   size:13.77,Price: ,1.04,Tie, 60104   size:13.77,Price: ,1.04,x
1.122426522, Sport: ,Soccer, Time: ,Sat Jan 09 02:30:00 CET 2016, Time: ,Sat Jan 09 02:30:00 CET 2016, Event: ,Mineros de Zacatecas v Venados FC, Favorite: ,Mineros de Zacatecas, 8692849   size:5.0,Price: ,1.67,Venados FC, 9988658   size:2.66,Price: ,5.7,The Draw, 58805   size:5.61,Price: ,3.9,x
1.122516455, Sport: ,Soccer, Time: ,Sat Jan 09 17:00:00 CET 2016, Time: ,Sat Jan 09 17:00:00 CET 2016, Event: ,CD Aurrera de Vitoria v CD Betono Elgorriaga, Favorite: ,CD Aurrera de Vitoria, 6520554   size:56.59,Price: ,2.18,CD Betono Elgorriaga, 10238362   size:33.76,Price: ,2.98,The Draw, 58805   size:36.72,Price: ,2.82,ok
1.122530993, Sport: ,Tennis, Time: ,Sat Jan 09 10:30:00 CET 2016, Time: ,Sat Jan 09 10:30:00 CET 2016, Event: ,Nielsen v N Kunsuwan, Favorite: ,Frederik Nielsen, 2444574   size:161.68,Price: ,1.01,Natthasith Kunsuwan, 10601758   size:9.18,Price: ,1.06,ok
