1.122466374, Sport: ,American Football, Time: ,Sun Jan 10 19:05:00 CET 2016, Time: ,Sun Jan 10 19:05:00 CET 2016, Event: ,Seattle Seahawks @ Minnesota Vikings, Favorite: ,Seattle Seahawks, 50213   size:45.71,Price: ,1.49,Minnesota Vikings, 50191   size:5.0,Price: ,2.92,ok
1.122510615, Sport: ,Basketball, Time: ,Sun Jan 10 12:00:00 CET 2016, Time: ,Sun Jan 10 12:00:00 CET 2016, Event: ,Ourense v Cocinas Clavijo, Favorite: ,Ourense, 4661102   size:2.54,Price: ,1.51,Cocinas Clavijo, 7736139   size:70.53,Price: ,2.66,ok
1.122447699, Sport: ,Soccer, Time: ,Sun Jan 10 16:00:00 CET 2016, Time: ,Sun Jan 10 16:00:00 CET 2016, Event: ,Mafra v Gil Vicente, Favorite: ,Gil Vicente, 48784   size:10.96,Price: ,2.56,Mafra, 2268747   size:12.97,Price: ,3.2,The Draw, 58805   size:68.69,Price: ,3.15,ok
1.122437496, Sport: ,Soccer, Time: ,Sun Jan 10 14:30:00 CET 2016, Time: ,Sun Jan 10 14:30:00 CET 2016, Event: ,Sporting Goa v East Bengal, Favorite: ,East Bengal, 4234039   size:3.98,Price: ,2.24,Sporting Goa, 5969463   size:18.56,Price: ,3.4,The Draw, 58805   size:6.43,Price: ,3.45,ok
1.122437498, Sport: ,Soccer, Time: ,Sun Jan 10 12:00:00 CET 2016, Time: ,Sun Jan 10 12:00:00 CET 2016, Event: ,Shillong Lajong v Mumbai, Favorite: ,Mumbai, 5969072   size:12.09,Price: ,2.44,Shillong Lajong, 4278728   size:39.94,Price: ,3.05,The Draw, 58805   size:41.0,Price: ,3.4,x
1.122511542, Sport: ,Ice Hockey, Time: ,Sun Jan 10 15:00:00 CET 2016, Time: ,Sun Jan 10 15:00:00 CET 2016, Event: ,HC Dynamo Moscow v HC Dinamo Riga, Favorite: ,Hc Dynamo Moscow, 10698100   size:2.87,Price: ,1.59,HC Dinamo Riga, 10698099   size:9.48,Price: ,4.5,Tie, 60104   size:10.22,Price: ,4.6,ok
1.122481647, Sport: ,Basketball, Time: ,Sun Jan 10 13:10:00 CET 2016, Time: ,Sun Jan 10 13:10:00 CET 2016, Event: ,Enisey v Krasny Oktyabr, Favorite: ,Enisey, 5850555   size:5.0,Price: ,1.22,Krasny Oktyabr, 7774804   size:17.07,Price: ,4.9,x
1.122519836, Sport: ,Basketball, Time: ,Sun Jan 10 13:00:00 CET 2016, Time: ,Sun Jan 10 13:00:00 CET 2016, Event: ,Jekabpils v BC Barsy Atyrau, Favorite: ,Jekabpils, 7735550   size:63.24,Price: ,1.8,BC Barsy Atyrau, 10435550   size:46.54,Price: ,2.08,ok
1.122481259, Sport: ,Basketball, Time: ,Sun Jan 10 12:35:00 CET 2016, Time: ,Sun Jan 10 12:35:00 CET 2016, Event: ,Jilin v Shanxi, Favorite: ,Shanxi, 8926913   size:6.35,Price: ,1.27,Jilin, 8926909   size:8.15,Price: ,4.5,ok
1.122519835, Sport: ,Basketball, Time: ,Sun Jan 10 18:00:00 CET 2016, Time: ,Sun Jan 10 18:00:00 CET 2016, Event: ,Furstenfeld v Traiskirchen, Favorite: ,Furstenfeld, 7036686   size:2.54,Price: ,1.58,Traiskirchen, 1387301   size:3.73,Price: ,2.58,ok
1.122516604, Sport: ,Soccer, Time: ,Sun Jan 10 17:00:00 CET 2016, Time: ,Sun Jan 10 17:00:00 CET 2016, Event: ,Atletico Madrid II v CF Pozuelo de Alarcon, Favorite: ,Atletico Madrid II, 10243043   size:2.1,Price: ,1.79,CF Pozuelo de Alarcon, 9301050   size:34.47,Price: ,3.75,The Draw, 58805   size:34.72,Price: ,3.1,x
1.122481254, Sport: ,Basketball, Time: ,Sun Jan 10 12:35:00 CET 2016, Time: ,Sun Jan 10 12:35:00 CET 2016, Event: ,Tianjin v Qingdao, Favorite: ,Qingdao, 8926915   size:2.54,Price: ,1.56,Tianjin, 8926906   size:2.54,Price: ,2.58,ok
1.122477435, Sport: ,Soccer, Time: ,Sun Jan 10 17:00:00 CET 2016, Time: ,Sun Jan 10 17:00:00 CET 2016, Event: ,Burgos v Somozas, Favorite: ,Burgos, 968180   size:3.75,Price: ,2.18,Somozas, 5924373   size:2.54,Price: ,3.7,The Draw, 58805   size:22.46,Price: ,3.25,x
