1.122535917, Sport: ,Basketball, Time: ,Wed Jan 13 12:35:00 CET 2016, Time: ,Wed Jan 13 12:35:00 CET 2016, Event: ,Beijing BG / Beikong Fl v Foshan, Favorite: ,Beijing BG / Beikong Fl, 10513291   size:831.51,Price: ,1.04,Foshan, 8926911   size:183.23,Price: ,1.04,ok
1.122535918, Sport: ,Basketball, Time: ,Wed Jan 13 12:35:00 CET 2016, Time: ,Wed Jan 13 12:35:00 CET 2016, Event: ,Beijing v Bayi Rockets, Favorite: ,Beijing, 6254117   size:13.25,Price: ,1.03,Bayi Rockets, 8926902   size:6.79,Price: ,1.17,ok
1.122535919, Sport: ,Basketball, Time: ,Wed Jan 13 12:35:00 CET 2016, Time: ,Wed Jan 13 12:35:00 CET 2016, Event: ,Jiangsu Dragons v JiangSu Tongxi, Favorite: ,Jiangsu Dragons, 8926904   size:37.15,Price: ,1.17,JiangSu Tongxi, 8926916   size:8.75,Price: ,4.8,ok
1.122572102, Sport: ,Soccer, Time: ,Wed Jan 13 14:00:00 CET 2016, Time: ,Wed Jan 13 14:00:00 CET 2016, Event: ,Osnabruck v FC Wil, Favorite: ,Osnabruck, 67187   size:27.63,Price: ,1.02,FC Wil, 179085   size:27.63,Price: ,1.02,The Draw, 58805   size:40.0,Price: ,1.26,ok
1.122514619, Sport: ,Volleyball, Time: ,Wed Jan 13 18:00:00 CET 2016, Time: ,Wed Jan 13 18:00:00 CET 2016, Event: ,Jastrzebski Wegiel v Czarni Radom, Favorite: ,Czarni Radom, 8436182   size:9.86,Price: ,1.41,Jastrzebski Wegiel, 4263016   size:18.05,Price: ,2.88,x
1.122514618, Sport: ,Volleyball, Time: ,Wed Jan 13 19:00:00 CET 2016, Time: ,Wed Jan 13 19:00:00 CET 2016, Event: ,Banimex Bedzin v Lotos Trefl Gdansk, Favorite: ,Lotos Trefl Gdansk, 6008912   size:2.55,Price: ,1.07,Banimex Bedzin, 8890540   size:2.0,Price: ,6.8,ok
1.122537812, Sport: ,Basketball, Time: ,Wed Jan 13 02:05:00 CET 2016, Time: ,Wed Jan 13 02:05:00 CET 2016, Event: ,Houston @ Memphis, Favorite: ,Memphis, 119812   size:301.64,Price: ,1.89,Houston, 13123   size:109.99,Price: ,2.04,x
1.122558951, Sport: ,Basketball, Time: ,Wed Jan 13 16:30:00 CET 2016, Time: ,Wed Jan 13 16:30:00 CET 2016, Event: ,Barons Kvartals v Valmiera, Favorite: ,Barons kvartals, 6718647   size:3.25,Price: ,1.03,Valmiera, 6718627   size:3.25,Price: ,1.03,ok
1.122558759, Sport: ,Basketball, Time: ,Wed Jan 13 20:00:00 CET 2016, Time: ,Wed Jan 13 20:00:00 CET 2016, Event: ,Oldenburg v Valencia, Favorite: ,Valencia, 599260   size:79.15,Price: ,1.33,Oldenburg, 1285952   size:13.29,Price: ,3.5,ok
1.122537852, Sport: ,Basketball, Time: ,Wed Jan 13 01:35:00 CET 2016, Time: ,Wed Jan 13 01:35:00 CET 2016, Event: ,San Antonio @ Detroit, Favorite: ,San Antonio, 13121   size:99.0,Price: ,1.36,Detroit, 13111   size:13.13,Price: ,3.65,ok
1.122487913, Sport: ,Soccer, Time: ,Tue Jan 12 20:45:00 CET 2016, Time: ,Tue Jan 12 20:45:00 CET 2016, Event: ,Stalybridge v Harrogate Town, Favorite: ,Harrogate Town, 256198   size:19.14,Price: ,2.14,Stalybridge, 597720   size:5.2,Price: ,3.35,The Draw, 58805   size:24.94,Price: ,3.8,x
1.122573907, Sport: ,Tennis, Time: ,Wed Jan 13 16:00:00 CET 2016, Time: ,Wed Jan 13 16:00:00 CET 2016, Event: ,Andreozzi v F Arguello, Favorite: ,Guido Andreozzi, 6603914   size:9.21,Price: ,1.06,Facundo Arguello, 6129383   size:9.21,Price: ,1.06,ok
