1.122573197, Sport: ,Soccer, Time: ,Thu Jan 14 18:15:00 CET 2016, Time: ,Thu Jan 14 18:15:00 CET 2016, Event: ,Gibraltar Utd (Res) v Mons Calpe (Res), Favorite: ,Gibraltar Utd (Res), 10466243   size:56.5,Price: ,1.23,Mons Calpe (Res), 10482342   size:55.24,Price: ,6.8,The Draw, 58805   size:2.65,Price: ,6.0,ok
1.122571052, Sport: ,Ice Hockey, Time: ,Fri Jan 15 15:00:00 CET 2016, Time: ,Fri Jan 15 15:00:00 CET 2016, Event: ,Salavat Yulaev UFA v HC Dinamo Minsk, Favorite: ,Salavat Yulaev Ufa, 10698097   size:5.6,Price: ,1.45,HC Dinamo Minsk, 10698098   size:87.29,Price: ,4.8,Tie, 60104   size:7.53,Price: ,5.4,ok
1.122549247, Sport: ,Basketball, Time: ,Thu Jan 14 18:00:00 CET 2016, Time: ,Thu Jan 14 18:00:00 CET 2016, Event: ,CSKA Moscow v Barcelona, Favorite: ,CSKA Moscow, 266272   size:546.75,Price: ,1.24,Barcelona, 266269   size:142.0,Price: ,4.5,ok
1.122571057, Sport: ,Ice Hockey, Time: ,Fri Jan 15 16:00:00 CET 2016, Time: ,Fri Jan 15 16:00:00 CET 2016, Event: ,HC Lada Togliatti v Avtomobilist Yekaterinb, Favorite: ,HC Lada Togliatti, 10698146   size:6.05,Price: ,2.28,Avtomobilist Yekaterinb, 10653586   size:6.13,Price: ,2.48,Tie, 60104   size:11.85,Price: ,3.8,x
1.122578366, Sport: ,Soccer, Time: ,Fri Jan 15 13:00:00 CET 2016, Time: ,Fri Jan 15 13:00:00 CET 2016, Event: ,Esbjerg v AGF, Favorite: ,Esbjerg, 113193   size:47.47,Price: ,2.4,AGF, 28214   size:47.47,Price: ,2.4,The Draw, 58805   size:30.94,Price: ,3.15,ok
1.122566781, Sport: ,Basketball, Time: ,Fri Jan 15 02:05:00 CET 2016, Time: ,Fri Jan 15 02:05:00 CET 2016, Event: ,Detroit @ Memphis, Favorite: ,Memphis, 119812   size:2.57,Price: ,1.84,Detroit, 13111   size:2.25,Price: ,2.04,ok
1.122496189, Sport: ,Soccer, Time: ,Fri Jan 15 09:30:00 CET 2016, Time: ,Fri Jan 15 09:30:00 CET 2016, Event: ,GM Sports v PIFA FC, Favorite: ,GM Sports, 8978864   size:4.6,Price: ,1.12,PIFA FC, 8427019   size:4.6,Price: ,1.12,The Draw, 58805   size:2.57,Price: ,2.9,x
1.122596878, Sport: ,Golf, Time: ,Fri Jan 15 02:05:00 CET 2016, Time: ,Fri Jan 15 02:05:00 CET 2016, Event: ,Dubuisson/Kjeldsen v Chia/Fung, Favorite: ,Dubuisson/Kjeldsen, 10718184   size:2.99,Price: ,1.67,Chia/Fung, 10718185   size:30.96,Price: ,2.8,Tie, 39905   size:97.4,Price: ,5.5,x
1.122570914, Sport: ,Ice Hockey, Time: ,Thu Jan 14 19:00:00 CET 2016, Time: ,Thu Jan 14 19:00:00 CET 2016, Event: ,Brynas IF v Modo Hockey, Favorite: ,Brynas IF, 61438   size:7.21,Price: ,1.61,MODO Hockey, 8847849   size:13.96,Price: ,4.6,Tie, 60104   size:2.65,Price: ,5.2,ok
1.122571849, Sport: ,Soccer, Time: ,Thu Jan 14 22:00:00 CET 2016, Time: ,Thu Jan 14 22:00:00 CET 2016, Event: ,Sao Paulo FC U20 v Figueirense U20, Favorite: ,Sao Paulo FC U20, 6714726   size:265.1,Price: ,1.8,Figueirense U20, 6018798   size:56.1,Price: ,4.3,The Draw, 58805   size:41.38,Price: ,4.2,ok
1.122580172, Sport: ,Soccer, Time: ,Fri Jan 15 11:00:00 CET 2016, Time: ,Fri Jan 15 11:00:00 CET 2016, Event: ,Olympique de Medea U21 v USMM Hadjout U21, Favorite: ,Olympique de Medea U21, 9274396   size:66.44,Price: ,1.47,USMM Hadjout U21, 8119398   size:14.74,Price: ,5.5,The Draw, 58805   size:26.1,Price: ,3.55,x
1.122570919, Sport: ,Ice Hockey, Time: ,Thu Jan 14 19:00:00 CET 2016, Time: ,Thu Jan 14 19:00:00 CET 2016, Event: ,Djurgaardens IF v Karlskrona HK, Favorite: ,Djurgaardens IF, 10653596   size:2.65,Price: ,1.33,Karlskrona HK, 7670167   size:34.21,Price: ,7.4,Tie, 60104   size:12.75,Price: ,6.6,ok
1.122583443, Sport: ,Tennis, Time: ,Fri Jan 15 00:15:00 CET 2016, Time: ,Fri Jan 15 00:15:00 CET 2016, Event: ,Hernandez-Ferna/Molteni v Arevalo/Martinez, Favorite: ,Hernandez-Ferna/Molteni, 10707073   size:2.55,Price: ,1.59,Arevalo/Martinez, 10707074   size:66.35,Price: ,2.06,ok
1.122569257, Sport: ,Basketball, Time: ,Thu Jan 14 20:00:00 CET 2016, Time: ,Thu Jan 14 20:00:00 CET 2016, Event: ,Clube Uniao Sportiva Wo v Angers Women, Favorite: ,Clube Uniao Sportiva Wo, 10462541   size:3.25,Price: ,1.03,Angers Women, 9034872   size:3.25,Price: ,1.03,ok
1.122583447, Sport: ,Tennis, Time: ,Thu Jan 14 21:00:00 CET 2016, Time: ,Thu Jan 14 21:00:00 CET 2016, Event: ,Clezar/Neis v Bagnis/Gonzalez, Favorite: ,Bagnis/Gonzalez, 10707078   size:8.0,Price: ,1.64,Clezar/Neis, 8861023   size:6.1,Price: ,2.16,ok
1.122483310, Sport: ,Soccer, Time: ,Thu Jan 14 20:00:00 CET 2016, Time: ,Thu Jan 14 20:00:00 CET 2016, Event: ,CD Mostoles v CD Colonia Moscardo, Favorite: ,CD Mostoles, 9453568   size:127.0,Price: ,1.97,CD Colonia Moscardo, 10402940   size:6.76,Price: ,3.95,The Draw, 58805   size:5.48,Price: ,3.45,x
1.122573362, Sport: ,Soccer, Time: ,Thu Jan 14 22:00:00 CET 2016, Time: ,Thu Jan 14 22:00:00 CET 2016, Event: ,IR Reykjavik v Fylkir, Favorite: ,Fylkir, 46954   size:8.18,Price: ,1.48,IR Reykjavik, 4742652   size:4.32,Price: ,5.8,The Draw, 58805   size:5.49,Price: ,4.9,ok
1.122607685, Sport: ,Soccer, Time: ,Fri Jan 15 15:35:00 CET 2016, Time: ,Fri Jan 15 15:35:00 CET 2016, Event: ,Hamburg v Young Boys, Favorite: ,Hamburg, 204703   size:67.84,Price: ,1.97,Young Boys, 65778   size:34.51,Price: ,2.98,The Draw, 58805   size:30.41,Price: ,3.25,x
1.122571062, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:00:00 CET 2016, Time: ,Fri Jan 15 17:00:00 CET 2016, Event: ,AK Bars Kazan v HC Yugra Khanty-Mansiys, Favorite: ,Ak Bars Kazan, 2362558   size:103.52,Price: ,1.4,HC Yugra Khanty-Mansiys, 10698158   size:77.13,Price: ,5.3,Tie, 60104   size:87.29,Price: ,4.8,ok
1.122571067, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:00:00 CET 2016, Time: ,Fri Jan 15 17:00:00 CET 2016, Event: ,Neftekhimik Nizhnekamsk v CSKA Moscow, Favorite: ,CSKA Moscow, 1252385   size:5.38,Price: ,1.52,Neftekhimik Nizhnekamsk, 2866365   size:97.56,Price: ,4.4,Tie, 60104   size:9.2,Price: ,4.6,ok
1.122566791, Sport: ,Basketball, Time: ,Fri Jan 15 04:35:00 CET 2016, Time: ,Fri Jan 15 04:35:00 CET 2016, Event: ,LA Lakers @ Golden State, Favorite: ,Golden State, 13126   size:18405.02,Price: ,1.04,LA Lakers, 2120881   size:156.63,Price: ,23.0,ok
1.122577846, Sport: ,Soccer, Time: ,Fri Jan 15 15:00:00 CET 2016, Time: ,Fri Jan 15 15:00:00 CET 2016, Event: ,Wolfsberger AC v KSV Superfund, Favorite: ,Wolfsberger AC, 7418999   size:6.0,Price: ,1.37,KSV Superfund, 4840627   size:6.0,Price: ,2.06,The Draw, 58805   size:15.0,Price: ,2.9,ok
1.122559715, Sport: ,Soccer, Time: ,Thu Jan 14 18:45:00 CET 2016, Time: ,Thu Jan 14 18:45:00 CET 2016, Event: ,El Daklyeh v Al Ahly, Favorite: ,Al Ahly, 1328423   size:13.08,Price: ,1.68,El Daklyeh, 5907009   size:44.72,Price: ,6.8,The Draw, 58805   size:48.91,Price: ,3.8,x
1.122535369, Sport: ,Basketball, Time: ,Fri Jan 15 00:00:00 CET 2016, Time: ,Fri Jan 15 00:00:00 CET 2016, Event: ,Boca Jrs v Weber Bahia Estudiantes, Favorite: ,Boca Jrs, 6719112   size:11.13,Price: ,1.45,Weber Bahia Estudiantes, 6719105   size:24.65,Price: ,2.96,ok
1.122480674, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:20:00 CET 2016, Time: ,Fri Jan 15 17:20:00 CET 2016, Event: ,HC Litvinov v HC Pardubice, Favorite: ,Litvinov, 563270   size:13.81,Price: ,1.04,Pardubice, 563269   size:13.81,Price: ,1.04,Tie, 60104   size:53.33,Price: ,1.15,x
1.122570924, Sport: ,Ice Hockey, Time: ,Thu Jan 14 19:00:00 CET 2016, Time: ,Thu Jan 14 19:00:00 CET 2016, Event: ,HC Orebro v HV 71, Favorite: ,HC Orebro, 3808601   size:2.1,Price: ,2.18,HV 71, 61439   size:62.58,Price: ,2.84,Tie, 60104   size:40.61,Price: ,4.0,ok
1.122570929, Sport: ,Ice Hockey, Time: ,Thu Jan 14 19:00:00 CET 2016, Time: ,Thu Jan 14 19:00:00 CET 2016, Event: ,Linkopings HC v Farjestads BK, Favorite: ,Linkopings HC, 61443   size:29.92,Price: ,1.98,Farjestads BK, 61442   size:7.12,Price: ,3.2,Tie, 60104   size:4.49,Price: ,4.3,x
1.122558740, Sport: ,Ice Hockey, Time: ,Thu Jan 14 19:00:00 CET 2016, Time: ,Thu Jan 14 19:00:00 CET 2016, Event: ,Almtuna IS v IF Bjorkloven, Favorite: ,Almtuna IS, 3287892   size:5.69,Price: ,2.22,IF Bjorkloven, 3287897   size:6.75,Price: ,2.76,Tie, 60104   size:41.04,Price: ,4.0,ok
1.122480677, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:30:00 CET 2016, Time: ,Fri Jan 15 17:30:00 CET 2016, Event: ,HC Plzen v BK Mlada Boleslav, Favorite: ,Plzen, 563267   size:6.45,Price: ,1.17,Mlada Boleslav, 3327988   size:36.49,Price: ,1.17,Tie, 60104   size:11.23,Price: ,3.95,x
1.122569269, Sport: ,Basketball, Time: ,Thu Jan 14 20:00:00 CET 2016, Time: ,Thu Jan 14 20:00:00 CET 2016, Event: ,Landes (W) v Edirnespor Women, Favorite: ,Landes (W), 8978732   size:3.25,Price: ,1.03,Edirnespor Women, 9022117   size:3.25,Price: ,1.03,ok
1.122581379, Sport: ,Soccer, Time: ,Fri Jan 15 13:00:00 CET 2016, Time: ,Fri Jan 15 13:00:00 CET 2016, Event: ,Pardes Hanna Karkur LB v Hapoel MS Sandla Gilboa, Favorite: ,Pardes Hanna Karkur LB, 10636781   size:3.68,Price: ,1.15,Hapoel MS Sandla Gilboa, 10694656   size:3.68,Price: ,1.15,The Draw, 58805   size:15.92,Price: ,2.88,x
1.122580444, Sport: ,Soccer, Time: ,Fri Jan 15 16:30:00 CET 2016, Time: ,Fri Jan 15 16:30:00 CET 2016, Event: ,Levadia Tallinn v FC Infonet, Favorite: ,Levadia Tallinn, 206564   size:7.32,Price: ,1.42,FC Infonet, 7077882   size:18.01,Price: ,4.7,The Draw, 58805   size:22.57,Price: ,3.95,x
1.122569273, Sport: ,Basketball, Time: ,Thu Jan 14 18:30:00 CET 2016, Time: ,Thu Jan 14 18:30:00 CET 2016, Event: ,Miskolc (W) v Lulea BBK Women, Favorite: ,Miskolc (W), 8997162   size:3.25,Price: ,1.03,Lulea BBK Women, 10262451   size:3.25,Price: ,1.03,ok
1.122494549, Sport: ,Soccer, Time: ,Fri Jan 15 14:00:00 CET 2016, Time: ,Fri Jan 15 14:00:00 CET 2016, Event: ,Hapoel Jerusalem v Hapoel Ramat Gan, Favorite: ,Hapoel Ramat Gan, 542944   size:12.56,Price: ,2.22,Hapoel Jerusalem, 5810348   size:18.28,Price: ,2.96,The Draw, 58805   size:21.95,Price: ,2.96,ok
1.122571077, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:30:00 CET 2016, Time: ,Fri Jan 15 17:30:00 CET 2016, Event: ,SKA St. Petersburg v Amur Khabarovsk, Favorite: ,SKA St. Petersburg, 8986371   size:7.06,Price: ,1.31,Amur Khabarovsk, 2056879   size:5.71,Price: ,6.8,Tie, 60104   size:5.71,Price: ,6.8,x
1.122570148, Sport: ,Basketball, Time: ,Thu Jan 14 18:30:00 CET 2016, Time: ,Thu Jan 14 18:30:00 CET 2016, Event: ,Maccabi Haifa v Maccabi Kiryat Gat, Favorite: ,Maccabi Haifa, 4953243   size:100.1,Price: ,1.06,Maccabi Kiryat Gat, 10405174   size:4.0,Price: ,7.0,ok
1.122559789, Sport: ,Soccer, Time: ,Fri Jan 15 14:00:00 CET 2016, Time: ,Fri Jan 15 14:00:00 CET 2016, Event: ,El Entag El Harby v Aswan FC, Favorite: ,El Entag El Harby, 5170840   size:2.74,Price: ,2.02,Aswan FC, 10438158   size:9.69,Price: ,3.3,The Draw, 58805   size:27.6,Price: ,2.92,ok
1.122482957, Sport: ,Ice Hockey, Time: ,Fri Jan 15 03:05:00 CET 2016, Time: ,Fri Jan 15 03:05:00 CET 2016, Event: ,Detroit @ Arizona, Favorite: ,Detroit, 975676   size:306.0,Price: ,2.56,Arizona, 8867880   size:106.14,Price: ,2.64,Tie, 60104   size:99.0,Price: ,3.95,x
1.122510630, Sport: ,Handball, Time: ,Fri Jan 15 16:00:00 CET 2016, Time: ,Fri Jan 15 16:00:00 CET 2016, Event: ,Croatia v Belarus, Favorite: ,Croatia, 620377   size:7.35,Price: ,1.1,Belarus, 626084   size:4.04,Price: ,9.2,Draw, 330157   size:30.14,Price: ,12.0,ok
1.122570944, Sport: ,Ice Hockey, Time: ,Fri Jan 15 17:30:00 CET 2016, Time: ,Fri Jan 15 17:30:00 CET 2016, Event: ,Hifk Helsinki v Ilves Tampere, Favorite: ,HIFK Helsinki, 10653587   size:75.0,Price: ,1.63,Ilves Tampere, 261249   size:7.24,Price: ,4.9,Tie, 60104   size:54.0,Price: ,5.0,ok
1.122573417, Sport: ,Soccer, Time: ,Thu Jan 14 20:00:00 CET 2016, Time: ,Thu Jan 14 20:00:00 CET 2016, Event: ,KR Reykjavik v Vikingur Reykjavik, Favorite: ,KR Reykjavik, 399808   size:22.5,Price: ,1.66,Vikingur Reykjavik, 5241831   size:114.9,Price: ,5.2,The Draw, 58805   size:35.33,Price: ,4.8,x
1.122574504, Sport: ,Tennis, Time: ,Thu Jan 14 18:04:00 CET 2016, Time: ,Thu Jan 14 18:04:00 CET 2016, Event: ,Michon v Ma Gonzalez, Favorite: ,Maximo Gonzalez, 2489416   size:500.0,Price: ,1.06,Axel Michon, 4994683   size:67.39,Price: ,4.2,ok
1.122566602, Sport: ,Basketball, Time: ,Fri Jan 15 01:30:00 CET 2016, Time: ,Fri Jan 15 01:30:00 CET 2016, Event: ,Quilmes v Instituto Atletico Cent, Favorite: ,Quilmes, 7753472   size:55.28,Price: ,1.72,Instituto Atletico Cent, 10346458   size:47.95,Price: ,1.83,ok
1.122558570, Sport: ,Ice Hockey, Time: ,Thu Jan 14 18:30:00 CET 2016, Time: ,Thu Jan 14 18:30:00 CET 2016, Event: ,Sparta v Valerenga IF, Favorite: ,Sparta, 2357194   size:2.65,Price: ,1.03,Valerenga IF, 4138407   size:2.65,Price: ,1.03,Tie, 60104   size:2.65,Price: ,1.03,ok
1.122566601, Sport: ,Basketball, Time: ,Fri Jan 15 01:00:00 CET 2016, Time: ,Fri Jan 15 01:00:00 CET 2016, Event: ,Penarol v La Union, Favorite: ,Penarol, 6719113   size:128.41,Price: ,1.31,La Union, 6343998   size:34.91,Price: ,2.14,x
1.122570934, Sport: ,Ice Hockey, Time: ,Thu Jan 14 19:00:00 CET 2016, Time: ,Thu Jan 14 19:00:00 CET 2016, Event: ,Lulea Hockey v Skelleftea Aik, Favorite: ,Lulea Hockey, 10653588   size:2.3,Price: ,2.04,Skelleftea AIK, 8842646   size:27.54,Price: ,2.46,Tie, 60104   size:18.63,Price: ,3.85,ok
1.122566600, Sport: ,Basketball, Time: ,Fri Jan 15 02:15:00 CET 2016, Time: ,Fri Jan 15 02:15:00 CET 2016, Event: ,Obras v Olimpico, Favorite: ,Obras, 6269780   size:73.71,Price: ,1.54,Olimpico, 6719115   size:60.31,Price: ,1.66,ok
1.122571627, Sport: ,Soccer, Time: ,Thu Jan 14 19:00:00 CET 2016, Time: ,Thu Jan 14 19:00:00 CET 2016, Event: ,Sampaio Correa FC U20 v Palmeiras U20, Favorite: ,Palmeiras U20, 5181619   size:70.14,Price: ,1.64,Sampaio Correa FC U20, 10306456   size:6.82,Price: ,5.7,The Draw, 58805   size:9.62,Price: ,4.3,ok
