1.122490087, Sport: ,Ice Hockey, Time: ,Sat Jan 16 02:05:00 CET 2016, Time: ,Sat Jan 16 02:05:00 CET 2016, Event: ,Winnipeg @ Minnesota, Favorite: ,Minnesota, 2109894   size:2.91,Price: ,1.72,Winnipeg, 5866888   size:378.64,Price: ,3.0,Tie, 60104   size:3.83,Price: ,4.1,x
1.122571057, Sport: ,Ice Hockey, Time: ,Fri Jan 15 16:00:00 CET 2016, Time: ,Fri Jan 15 16:00:00 CET 2016, Event: ,HC Lada Togliatti v Avtomobilist Yekaterinb, Favorite: ,HC Lada Togliatti, 10698146   size:2.14,Price: ,2.34,Avtomobilist Yekaterinb, 10653586   size:11.75,Price: ,2.66,Tie, 60104   size:7.16,Price: ,3.8,x
1.122578366, Sport: ,Soccer, Time: ,Fri Jan 15 13:00:00 CET 2016, Time: ,Fri Jan 15 13:00:00 CET 2016, Event: ,Esbjerg v AGF, Favorite: ,Esbjerg, 113193   size:2.86,Price: ,2.38,AGF, 28214   size:3.69,Price: ,2.38,The Draw, 58805   size:2.89,Price: ,3.5,ok
1.122496189, Sport: ,Soccer, Time: ,Fri Jan 15 09:30:00 CET 2016, Time: ,Fri Jan 15 09:30:00 CET 2016, Event: ,GM Sports v PIFA FC, Favorite: ,GM Sports, 8978864   size:3.0,Price: ,1.53,PIFA FC, 8427019   size:3.56,Price: ,4.4,The Draw, 58805   size:2.54,Price: ,3.95,x
1.122556453, Sport: ,Cricket, Time: ,Sat Jan 16 04:00:00 CET 2016, Time: ,Sat Jan 16 04:00:00 CET 2016, Event: ,Bangladesh U19 v West Indies U19 (3rd ODI), Favorite: ,Bangladesh U19, 910426   size:661.9,Price: ,1.04,West Indies U19, 737330   size:661.9,Price: ,1.04,ok
1.122493590, Sport: ,Soccer, Time: ,Fri Jan 15 20:45:00 CET 2016, Time: ,Fri Jan 15 20:45:00 CET 2016, Event: ,Dundee Utd v Celtic, Favorite: ,Celtic, 55223   size:568.99,Price: ,1.38,Dundee Utd, 48818   size:228.25,Price: ,9.8,The Draw, 58805   size:49.55,Price: ,5.6,ok
1.122490082, Sport: ,Ice Hockey, Time: ,Sat Jan 16 01:35:00 CET 2016, Time: ,Sat Jan 16 01:35:00 CET 2016, Event: ,Pittsburgh @ Tampa Bay, Favorite: ,Tampa Bay, 2109715   size:2.08,Price: ,2.2,Pittsburgh, 2115995   size:8.63,Price: ,2.72,Tie, 60104   size:3.74,Price: ,4.1,x
1.122496063, Sport: ,Soccer, Time: ,Fri Jan 15 20:00:00 CET 2016, Time: ,Fri Jan 15 20:00:00 CET 2016, Event: ,Frejus St-Raphael v Marseille Consolat, Favorite: ,Marseille Consolat, 8750956   size:16.97,Price: ,2.14,Frejus St-Raphael, 6063342   size:52.87,Price: ,3.85,The Draw, 58805   size:2.54,Price: ,3.3,x
1.122493473, Sport: ,Soccer, Time: ,Fri Jan 15 20:30:00 CET 2016, Time: ,Fri Jan 15 20:30:00 CET 2016, Event: ,Nice v Angers, Favorite: ,Nice, 189829   size:258.61,Price: ,2.22,Angers, 473963   size:345.13,Price: ,4.0,The Draw, 58805   size:58.01,Price: ,3.25,ok
1.122571855, Sport: ,Ice Hockey, Time: ,Fri Jan 15 19:00:00 CET 2016, Time: ,Fri Jan 15 19:00:00 CET 2016, Event: ,AIK Stockholm v BIK Karlskoga, Favorite: ,AIK Stockholm, 702159   size:2.86,Price: ,1.75,BIK Karlskoga, 7670004   size:6.81,Price: ,3.25,Tie, 60104   size:54.19,Price: ,4.1,x
1.122580571, Sport: ,Soccer, Time: ,Fri Jan 15 20:30:00 CET 2016, Time: ,Fri Jan 15 20:30:00 CET 2016, Event: ,Europa FC v Angels FC, Favorite: ,Europa FC, 10466230   size:3.17,Price: ,1.04,Angels FC, 10363051   size:19.16,Price: ,50.0,The Draw, 58805   size:2.58,Price: ,2.92,ok
