1.122499339, Sport: ,Soccer, Time: ,Sat Jan 16 20:00:00 CET 2016, Time: ,Sat Jan 16 20:00:00 CET 2016, Event: ,ESTAC Troyes v Rennes, Favorite: ,ESTAC Troyes, 4864974   size:14.4,Price: ,1.94,Rennes, 44799   size:189.91,Price: ,4.6,The Draw, 58805   size:1051.98,Price: ,3.55,x
1.122625201, Sport: ,Soccer, Time: ,Sun Jan 17 12:15:00 CET 2016, Time: ,Sun Jan 17 12:15:00 CET 2016, Event: ,CD Rincon v Velez CF, Favorite: ,Velez CF, 8873745   size:67.41,Price: ,1.97,CD Rincon, 10185082   size:32.74,Price: ,3.05,The Draw, 58805   size:32.74,Price: ,3.15,ok
1.122624595, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Atletico Madrid II v CD Puerta Bonita, Favorite: ,Atletico Madrid II, 10243043   size:2.55,Price: ,1.27,CD Puerta Bonita, 9339205   size:32.65,Price: ,7.8,The Draw, 58805   size:32.74,Price: ,4.3,ok
1.122624357, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,CDE A Fenix Racing (W) v SD Tordoia, Favorite: ,CDE A Fenix Racing (W), 10550121   size:7.85,Price: ,1.07,SD Tordoia, 10723163   size:7.85,Price: ,1.07,The Draw, 58805   size:2.61,Price: ,1.25,ok
1.122640603, Sport: ,Tennis, Time: ,Sun Jan 17 15:00:00 CET 2016, Time: ,Sun Jan 17 15:00:00 CET 2016, Event: ,Geens v Girotto, Favorite: ,Clement Geens, 9543216   size:13.06,Price: ,1.03,Alexandre Girotto, 9657351   size:13.06,Price:,ok
1.122499442, Sport: ,Soccer, Time: ,Sat Jan 16 20:00:00 CET 2016, Time: ,Sat Jan 16 20:00:00 CET 2016, Event: ,Guingamp v Nantes, Favorite: ,Guingamp, 44801   size:452.77,Price: ,1.52,Nantes, 10774   size:30.29,Price: ,9.2,The Draw, 58805   size:2.61,Price: ,4.1,x
1.122626304, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Paterna CF v CD Bunol, Favorite: ,Paterna CF, 7906132   size:2.55,Price: ,2.04,CD Bunol, 10185143   size:32.74,Price: ,3.25,The Draw, 58805   size:33.75,Price: ,2.94,x
1.122523424, Sport: ,Soccer, Time: ,Sun Jan 17 15:00:00 CET 2016, Time: ,Sun Jan 17 15:00:00 CET 2016, Event: ,Carpi v Sampdoria, Favorite: ,Carpi, 4893598   size:459.86,Price: ,2.74,Sampdoria, 60311   size:144.44,Price: ,3.0,The Draw, 58805   size:1937.71,Price: ,3.25,ok
1.122522217, Sport: ,Soccer, Time: ,Sun Jan 17 17:30:00 CET 2016, Time: ,Sun Jan 17 17:30:00 CET 2016, Event: ,Brescia v Cesena, Favorite: ,Brescia, 7407   size:148.85,Price: ,2.38,Cesena, 501219   size:6.2,Price: ,3.55,The Draw, 58805   size:337.0,Price: ,3.25,ok
1.122624926, Sport: ,Soccer, Time: ,Sun Jan 17 11:30:00 CET 2016, Time: ,Sun Jan 17 11:30:00 CET 2016, Event: ,CD Basconia v Santutxu FC, Favorite: ,Santutxu FC, 7097875   size:2.64,Price: ,2.18,CD Basconia, 8300534   size:2.55,Price: ,2.88,The Draw, 58805   size:33.07,Price: ,2.98,x
1.122633195, Sport: ,Soccer, Time: ,Sun Jan 17 03:00:00 CET 2016, Time: ,Sun Jan 17 03:00:00 CET 2016, Event: ,Xelaju v Antigua GFC, Favorite: ,Xelaju, 4867482   size:4.34,Price: ,1.75,Antigua GFC, 8727831   size:23.39,Price: ,3.95,The Draw, 58805   size:2.45,Price: ,3.15,x
1.122524042, Sport: ,Soccer, Time: ,Sun Jan 17 19:15:00 CET 2016, Time: ,Sun Jan 17 19:15:00 CET 2016, Event: ,Nacional v Braga, Favorite: ,Braga, 48799   size:3.75,Price: ,2.04,Nacional, 203723   size:108.75,Price: ,4.2,The Draw, 58805   size:52.1,Price: ,3.5,ok
1.122625587, Sport: ,Soccer, Time: ,Sun Jan 17 16:30:00 CET 2016, Time: ,Sun Jan 17 16:30:00 CET 2016, Event: ,CF Soller v CD Binissalem, Favorite: ,CD Binissalem, 9320405   size:14.49,Price: ,1.48,CF Soller, 8870825   size:32.65,Price: ,5.2,The Draw, 58805   size:32.74,Price: ,3.65,x
1.122623963, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Real Sociedad (W) v Rayo Vallecano (W), Favorite: ,Real Sociedad (W), 6794562   size:2.55,Price: ,1.59,Rayo Vallecano (W), 5878665   size:2.55,Price: ,4.4,The Draw, 58805   size:2.64,Price: ,3.7,ok
1.122624018, Sport: ,Soccer, Time: ,Sun Jan 17 12:30:00 CET 2016, Time: ,Sun Jan 17 12:30:00 CET 2016, Event: ,UDG Tenerife Sur (W) v Levante (W), Favorite: ,Levante (W), 5878638   size:60.55,Price: ,2.08,UDG Tenerife Sur (W), 9488105   size:11.08,Price: ,2.76,The Draw, 58805   size:20.92,Price: ,3.3,x
1.122583623, Sport: ,Ice Hockey, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,Kongsvinger IL v Lillehammer IK, Favorite: ,Lillehammer IK, 4138388   size:7.32,Price: ,1.39,Kongsvinger IL, 8870539   size:13.0,Price: ,4.5,Tie, 60104   size:13.0,Price: ,4.9,ok
1.122507068, Sport: ,Soccer, Time: ,Sun Jan 17 14:30:00 CET 2016, Time: ,Sun Jan 17 14:30:00 CET 2016, Event: ,Prato v Pisa, Favorite: ,Pisa, 501200   size:56.65,Price: ,2.18,Prato, 522047   size:6.25,Price: ,3.1,The Draw, 58805   size:6.68,Price: ,2.98,ok
