1.122464870, Sport: ,Soccer, Time: ,Sun Jan 17 17:15:00 CET 2016, Time: ,Sun Jan 17 17:15:00 CET 2016, Event: ,Stoke v Arsenal, Favorite: ,Arsenal, 1096   size:5432.69,Price: ,2.02,Stoke, 69720   size:2318.96,Price: ,4.1,The Draw, 58805   size:2029.12,Price: ,3.7,x
1.122624073, Sport: ,Soccer, Time: ,Sun Jan 17 11:00:00 CET 2016, Time: ,Sun Jan 17 11:00:00 CET 2016, Event: ,Valencia (W) v Collerense (W), Favorite: ,Valencia (W), 5226526   size:13.51,Price: ,1.14,Collerense (W), 5878667   size:3.8,Price: ,13.5,The Draw, 58805   size:2.54,Price: ,7.2,ok
1.122604861, Sport: ,Basketball, Time: ,Sun Jan 17 09:00:00 CET 2016, Time: ,Sun Jan 17 09:00:00 CET 2016, Event: ,Singapore Slingers v Bangkok City, Favorite: ,Singapore Slingers, 2074842   size:3.22,Price: ,1.42,Bangkok City, 8685611   size:38.71,Price: ,1.62,ok
1.122625201, Sport: ,Soccer, Time: ,Sun Jan 17 12:15:00 CET 2016, Time: ,Sun Jan 17 12:15:00 CET 2016, Event: ,CD Rincon v Velez CF, Favorite: ,Velez CF, 8873745   size:4.87,Price: ,2.02,CD Rincon, 10185082   size:4.11,Price: ,3.0,The Draw, 58805   size:36.62,Price: ,3.35,ok
1.122623420, Sport: ,Ice Hockey, Time: ,Sun Jan 17 15:00:00 CET 2016, Time: ,Sun Jan 17 15:00:00 CET 2016, Event: ,HC Spartak Moscow v Metallurg Novokuznetsk, Favorite: ,Tie, 60104   size:18.0,Price: ,1.29,HC Spartak Moscow, 10698101   size:12.0,Price: ,1.47,Metallurg Novokuznetsk, 3312408   size:8.89,Price: ,1.9,x
1.122624595, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,Atletico Madrid II v CD Puerta Bonita, Favorite: ,Atletico Madrid II, 10243043   size:112.42,Price: ,1.25,CD Puerta Bonita, 9339205   size:5.13,Price: ,7.6,The Draw, 58805   size:2.55,Price: ,4.7,ok
1.122626414, Sport: ,Soccer, Time: ,Sun Jan 17 16:00:00 CET 2016, Time: ,Sun Jan 17 16:00:00 CET 2016, Event: ,SD Atletico Tordesillas v Club Atletico Bembibre, Favorite: ,SD Atletico Tordesillas, 7794974   size:54.48,Price: ,2.24,Club Atletico Bembibre, 7717183   size:40.4,Price: ,2.68,The Draw, 58805   size:34.36,Price: ,2.98,ok
1.122626139, Sport: ,Soccer, Time: ,Sun Jan 17 16:30:00 CET 2016, Time: ,Sun Jan 17 16:30:00 CET 2016, Event: ,La Baneza FC v CD Cebrerena, Favorite: ,La Baneza FC, 8077014   size:5.87,Price: ,1.3,CD Cebrerena, 8479497   size:8.81,Price: ,8.4,The Draw, 58805   size:20.92,Price: ,4.3,ok
1.122624357, Sport: ,Soccer, Time: ,Sun Jan 17 12:00:00 CET 2016, Time: ,Sun Jan 17 12:00:00 CET 2016, Event: ,CDE A Fenix Racing (W) v SD Tordoia, Favorite: ,CDE A Fenix Racing (W), 10550121   size:65.4,Price: ,1.69,SD Tordoia, 10723163   size:31.94,Price: ,3.05,The Draw, 58805   size:20.49,Price: ,4.2,ok
1.122520306, Sport: ,Soccer, Time: ,Sun Jan 17 14:35:00 CET 2016, Time: ,Sun Jan 17 14:35:00 CET 2016, Event: ,Mumbai v East Bengal, Favorite: ,East Bengal, 4234039   size:2.55,Price: ,2.18,Mumbai, 5969072   size:3.46,Price: ,3.35,The Draw, 58805   size:2.55,Price: ,3.4,x
1.122522601, Sport: ,Soccer, Time: ,Sun Jan 17 17:00:00 CET 2016, Time: ,Sun Jan 17 17:00:00 CET 2016, Event: ,Leganes v Mirandes, Favorite: ,Leganes, 309109   size:147.97,Price: ,1.85,Mirandes, 565024   size:72.2,Price: ,5.3,The Draw, 58805   size:212.88,Price: ,3.45,ok
