1.122569063, Sport: ,Soccer, Time: ,Tue Jan 19 16:45:00 CET 2016, Time: ,Tue Jan 19 16:45:00 CET 2016, Event: ,Al Shabab (UAE) v Al Ahli (UAE), Favorite: ,Al Ahli (UAE), 4525658   size:7.63,Price: ,1.74,Al Shabab (UAE), 3727832   size:3.94,Price: ,3.25,The Draw, 58805   size:3.88,Price: ,3.4,ok
1.122640956, Sport: ,Basketball, Time: ,Tue Jan 19 17:30:00 CET 2016, Time: ,Tue Jan 19 17:30:00 CET 2016, Event: ,Juventus v Belfius Mons-Hainaut, Favorite: ,Juventus, 5244996   size:168.24,Price: ,1.79,Belfius Mons-Hainaut, 9040825   size:277.57,Price: ,2.04,ok
1.122637237, Sport: ,Tennis, Time: ,Tue Jan 19 11:30:00 CET 2016, Time: ,Tue Jan 19 11:30:00 CET 2016, Event: ,Sijsling v Gonzales, Favorite: ,Igor Sijsling, 2370190   size:129.58,Price: ,1.08,Ruben Gonzales, 8265126   size:4.67,Price: ,9.4,ok
1.122637149, Sport: ,Volleyball, Time: ,Tue Jan 19 16:00:00 CET 2016, Time: ,Tue Jan 19 16:00:00 CET 2016, Event: ,Eczacibasi Vitra v Agel Prostejov, Favorite: ,Eczac?basi VitrA, 9039117   size:5.7,Price: ,1.01,Agel Prostejov, 6766227   size:2.61,Price: ,1.03,ok
1.122642932, Sport: ,Basketball, Time: ,Tue Jan 19 17:00:00 CET 2016, Time: ,Tue Jan 19 17:00:00 CET 2016, Event: ,Nevezis v Dzukija, Favorite: ,Dzukija, 7817720   size:53.78,Price: ,1.73,Nevezis, 5154509   size:2.44,Price: ,1.88,x
1.122640960, Sport: ,Basketball, Time: ,Tue Jan 19 17:30:00 CET 2016, Time: ,Tue Jan 19 17:30:00 CET 2016, Event: ,Lukoil Academic v Antwerp Giants, Favorite: ,Lukoil Academic, 677801   size:2.55,Price: ,1.75,Antwerp Giants, 2585925   size:107.29,Price: ,2.22,x
1.122640165, Sport: ,Basketball, Time: ,Tue Jan 19 10:00:00 CET 2016, Time: ,Tue Jan 19 10:00:00 CET 2016, Event: ,Hiroshima v Nara, Favorite: ,Nara, 7759193   size:149.95,Price: ,1.01,Hiroshima, 10368766   size:15.87,Price: ,3.7,ok
1.122640160, Sport: ,Basketball, Time: ,Tue Jan 19 11:00:00 CET 2016, Time: ,Tue Jan 19 11:00:00 CET 2016, Event: ,Incheon Elephants v Busan Sonicboom, Favorite: ,Busan Sonicboom, 8941900   size:243.9,Price: ,1.74,Incheon Elephants, 8248315   size:15.65,Price: ,2.26,x
1.122590893, Sport: ,Bowls, Time: ,Tue Jan 19 11:00:00 CET 2016, Time: ,Tue Jan 19 11:00:00 CET 2016, Event: ,Mark Royal v Robert Paxton, Favorite: ,Robert Paxton, 2628010   size:0.0,Price: ,0.0,Mark Royal, 2266429   size:100.79,Price: ,2.1,ok
1.122637241, Sport: ,Tennis, Time: ,Tue Jan 19 09:00:00 CET 2016, Time: ,Tue Jan 19 09:00:00 CET 2016, Event: ,Ja Jung v Youzhny, Favorite: ,Mikhail Youzhny, 2263536   size:223.71,Price: ,1.08,Jason Jung, 7048850   size:3.33,Price: ,12.0,ok
1.122569008, Sport: ,Soccer, Time: ,Tue Jan 19 13:00:00 CET 2016, Time: ,Tue Jan 19 13:00:00 CET 2016, Event: ,Vysehrad v Vysocina Jihlava, Favorite: ,Vysocina Jihlava, 770021   size:2.52,Price: ,1.99,Vysehrad, 7589995   size:19.74,Price: ,3.6,The Draw, 58805   size:2.52,Price: ,3.6,ok
1.122639315, Sport: ,Ice Hockey, Time: ,Tue Jan 19 17:30:00 CET 2016, Time: ,Tue Jan 19 17:30:00 CET 2016, Event: ,HK Skp Poprad v HK Nitra, Favorite: ,HK SKP Poprad, 2065120   size:55.1,Price: ,1.01,HK Nitra, 3284988   size:6.92,Price: ,2.48,Tie, 60104   siz,x
1.122640918, Sport: ,Basketball, Time: ,Tue Jan 19 17:30:00 CET 2016, Time: ,Tue Jan 19 17:30:00 CET 2016, Event: ,Valmiera v Lietkabelis, Favorite: ,Valmiera, 6718627   size:1963.87,Price: ,1.04,Lietkabelis, 6214834   size:540.34,Price: ,1.04,ok
1.122648809, Sport: ,Soccer, Time: ,Tue Jan 19 14:30:00 CET 2016, Time: ,Tue Jan 19 14:30:00 CET 2016, Event: ,North Korea (Olympic) v Thailand (Olympic), Favorite: ,North Korea (Olympic), 10709474   size:5.23,Price: ,1.82,Thailand (Olympic), 10709491   size:2.55,Price: ,4.6,The Draw, 58805   size:6.6,Price: ,3.8,x
