1.122651293, Sport: ,Basketball, Time: ,Fri Jan 22 12:00:00 CET 2016, Time: ,Fri Jan 22 12:00:00 CET 2016, Event: ,San Miguel Beermen v Alaska Aces, Favorite: ,Alaska Aces, 3803222   size:12.9,Price: ,1.85,San Miguel Beermen, 3803247   size:2.55,Price: ,1.95,ok
1.122676591, Sport: ,Soccer, Time: ,Fri Jan 22 12:00:00 CET 2016, Time: ,Fri Jan 22 12:00:00 CET 2016, Event: ,Netherlands (W) U19 v Switzerland (W) U19, Favorite: ,Netherlands (W) U19, 6283928   size:11.95,Price: ,1.06,Switzerland (W) U19, 6669745   size:11.95,Price: ,1.06,The Draw, 58805   size:15.72,Price: ,2.88,ok
1.122677680, Sport: ,Soccer, Time: ,Fri Jan 22 17:00:00 CET 2016, Time: ,Fri Jan 22 17:00:00 CET 2016, Event: ,Niger A v Guinea A, Favorite: ,Niger A, 10727152   size:2.72,Price: ,1.06,Guinea A, 10727164   size:2.72,Price: ,1.06,The Draw, 58805   size:15.72,Price: ,2.88,x
1.122645604, Sport: ,Tennis, Time: ,Thu Jan 21 21:45:00 CET 2016, Time: ,Thu Jan 21 21:45:00 CET 2016, Event: ,Kicker/Pereira v Dutra Silva/Lapentti, Favorite: ,Dutra Silva/Lapentti, 8735115   size:8.28,Price: ,1.9,Kicker/Pereira, 10728294   size:6.95,Price: ,2.06,x
1.122668324, Sport: ,Basketball, Time: ,Fri Jan 22 04:05:00 CET 2016, Time: ,Fri Jan 22 04:05:00 CET 2016, Event: ,Atlanta Hawks @ Sacramento Kings, Favorite: ,Sacramento, 13127   size:5.0,Price: ,1.89,Atlanta, 13114   size:33.14,Price: ,2.02,ok
1.122668205, Sport: ,Ice Hockey, Time: ,Fri Jan 22 17:30:00 CET 2016, Time: ,Fri Jan 22 17:30:00 CET 2016, Event: ,Tappara Tampere v Ilves Tampere, Favorite: ,Tappara Tampere, 4214404   size:92.0,Price: ,1.87,Ilves Tampere, 261249   size:59.0,Price: ,3.65,Tie, 60104   size:59.0,Price: ,4.5,ok
1.122668842, Sport: ,Ice Hockey, Time: ,Fri Jan 22 01:05:00 CET 2016, Time: ,Fri Jan 22 01:05:00 CET 2016, Event: ,Ottawa @ New Jersey, Favorite: ,New Jersey, 2112200   size:108.95,Price: ,2.34,Ottawa, 2108072   size:529.0,Price: ,2.82,Tie, 60104   size:292.41,Price: ,3.95,ok
1.122590655, Sport: ,Soccer, Time: ,Fri Jan 22 09:30:00 CET 2016, Time: ,Fri Jan 22 09:30:00 CET 2016, Event: ,PIFA FC v Karnataka, Favorite: ,PIFA FC, 8427019   size:11.07,Price: ,1.22,Karnataka, 3943270   size:11.07,Price: ,1.22,The Draw, 58805   size:11.07,Price: ,2.9,x
1.122668044, Sport: ,Ice Hockey, Time: ,Fri Jan 22 17:00:00 CET 2016, Time: ,Fri Jan 22 17:00:00 CET 2016, Event: ,HC Ocelari Trinec v BK Mlada Boleslav, Favorite: ,HC Ocelari Trinec, 3284914   size:7.45,Price: ,1.8,BK Mlada Boleslav, 3284915   size:136.43,Price: ,3.05,Tie, 60104   size:5.72,Price: ,4.0,ok
1.122676757, Sport: ,Soccer, Time: ,Fri Jan 22 10:45:00 CET 2016, Time: ,Fri Jan 22 10:45:00 CET 2016, Event: ,Beitar Nahariya v Maccabi Ironi Akko, Favorite: ,Beitar Nahariya, 7013092   size:11.07,Price: ,1.15,Maccabi Ironi Akko, 10263730   size:11.07,Price: ,1.15,The Draw, 58805   size:13.59,Price: ,2.9,x
1.122667353, Sport: ,Soccer, Time: ,Thu Jan 21 20:45:00 CET 2016, Time: ,Thu Jan 21 20:45:00 CET 2016, Event: ,Lorca Deportivo CF v Atletico Baleares, Favorite: ,Atletico Baleares, 3303611   size:6.28,Price: ,2.56,Lorca Deportivo CF, 10243205   size:21.05,Price: ,2.58,The Draw, 58805   size:115.61,Price: ,3.8,ok
1.122668047, Sport: ,Ice Hockey, Time: ,Fri Jan 22 17:30:00 CET 2016, Time: ,Fri Jan 22 17:30:00 CET 2016, Event: ,HC Plzen v PSG Zlin, Favorite: ,HC Plzen, 536204   size:7.54,Price: ,1.72,PSG Zlin, 4138150   size:7.32,Price: ,3.3,Tie, 60104   size:5.82,Price: ,4.0,x
1.122706364, Sport: ,Handball, Time: ,Fri Jan 22 18:15:00 CET 2016, Time: ,Fri Jan 22 18:15:00 CET 2016, Event: ,Germany v Hungary, Favorite: ,Germany, 620386   size:5.07,Price: ,1.45,Hungary, 602691   size:10.49,Price: ,3.6,Draw, 330157   size:45.49,Price: ,8.2,ok
1.122668041, Sport: ,Ice Hockey, Time: ,Fri Jan 22 17:30:00 CET 2016, Time: ,Fri Jan 22 17:30:00 CET 2016, Event: ,HC Litvinov v HC Olomouc, Favorite: ,HC Litvinov, 536203   size:7.54,Price: ,1.9,HC Olomouc, 7213810   size:7.51,Price: ,2.9,Tie, 60104   size:121.32,Price: ,3.7,x
1.122560689, Sport: ,Basketball, Time: ,Fri Jan 22 05:00:00 CET 2016, Time: ,Fri Jan 22 05:00:00 CET 2016, Event: ,Arizona @ Stanford, Favorite: ,Arizona, 29835   size:9.24,Price: ,1.41,Stanford, 29831   size:2.55,Price: ,3.1,ok
1.122589707, Sport: ,Soccer, Time: ,Fri Jan 22 16:00:00 CET 2016, Time: ,Fri Jan 22 16:00:00 CET 2016, Event: ,Roskilde v Brondby, Favorite: ,Brondby, 28223   size:65.52,Price: ,1.54,Roskilde, 518517   size:18.71,Price: ,4.5,The Draw, 58805   size:23.82,Price: ,3.75,ok
1.122590490, Sport: ,Soccer, Time: ,Fri Jan 22 11:00:00 CET 2016, Time: ,Fri Jan 22 11:00:00 CET 2016, Event: ,DRB Tadjenant U21 v JS Saoura U21, Favorite: ,JS Saoura U21, 7671273   size:65.52,Price: ,1.59,DRB Tadjenant U21, 9031373   size:18.71,Price: ,4.5,The Draw, 58805   size:24.71,Price: ,3.65,x
1.122705151, Sport: ,Soccer, Time: ,Fri Jan 22 17:30:00 CET 2016, Time: ,Fri Jan 22 17:30:00 CET 2016, Event: ,Qatar (Olympic) v North Korea (Olympic), Favorite: ,Qatar (Olympic), 6138190   size:13.84,Price: ,1.04,North Korea (Olympic), 10709474   size:13.84,Price: ,1.04,The Draw, 58805   size:2.62,Price: ,1.25,x
1.122663427, Sport: ,Basketball, Time: ,Fri Jan 22 02:00:00 CET 2016, Time: ,Fri Jan 22 02:00:00 CET 2016, Event: ,Atenas v Instituto Atletico Cent, Favorite: ,Atenas, 6719082   size:2.55,Price: ,1.32,Instituto Atletico Cent, 10346458   size:2.55,Price: ,3.65,ok
1.122659840, Sport: ,Ice Hockey, Time: ,Thu Jan 21 19:00:00 CET 2016, Time: ,Thu Jan 21 19:00:00 CET 2016, Event: ,IK Pantern v AIK Stockholm, Favorite: ,AIK Stockholm, 702159   size:49.53,Price: ,1.87,IK Pantern, 9001037   size:21.02,Price: ,3.05,Tie, 60104   size:25.05,Price: ,2.72,ok
1.122668837, Sport: ,Ice Hockey, Time: ,Fri Jan 22 01:05:00 CET 2016, Time: ,Fri Jan 22 01:05:00 CET 2016, Event: ,Vancouver @ Boston, Favorite: ,Boston, 2112316   size:3.88,Price: ,1.9,Vancouver, 2109691   size:100.15,Price: ,3.8,Tie, 60104   size:277.42,Price: ,4.3,x
1.122663429, Sport: ,Basketball, Time: ,Fri Jan 22 01:30:00 CET 2016, Time: ,Fri Jan 22 01:30:00 CET 2016, Event: ,Sionista v Penarol, Favorite: ,Sionista, 6719083   size:97.55,Price: ,1.79,Penarol, 6719113   size:2.55,Price: ,2.08,x
