1.122668489, Sport: ,Ice Hockey, Time: ,Fri Jan 22 19:00:00 CET 2016, Time: ,Fri Jan 22 19:00:00 CET 2016, Event: ,Aalborg Pirates v Odense Bulldogs, Favorite: ,Aalborg Pirates, 6672025   size:2.64,Price: ,1.03,Odense Bulldogs, 2584384   size:2.64,Price: ,1.03,Tie, 60104   size:2.64,Price: ,1.03
1.122668499, Sport: ,Ice Hockey, Time: ,Fri Jan 22 19:00:00 CET 2016, Time: ,Fri Jan 22 19:00:00 CET 2016, Event: ,Frederikshavn White Haw v Esbjerg Energy, Favorite: ,Frederikshavn White Haw, 10651734   size:2.64,Price: ,1.03,Esbjerg Energy, 10179230   size:2.64,Price: ,1.03,Tie, 60104   size:2.64,Price: ,1.03
1.122680428, Sport: ,Basketball, Time: ,Fri Jan 22 19:04:00 CET 2016, Time: ,Fri Jan 22 19:04:00 CET 2016, Event: ,Eco Örebro v Malbas, Favorite: ,Eco Örebro, 10362242   size:7.04,Price: ,1.03,Malbas, 10363137   size:7.04,Price: ,1.03
1.122680432, Sport: ,Basketball, Time: ,Fri Jan 22 19:04:00 CET 2016, Time: ,Fri Jan 22 19:04:00 CET 2016, Event: ,Sundsvall Dragons v Uppsala Basket, Favorite: ,Sundsvall Dragons, 594844   size:7.04,Price: ,1.03,Uppsala Basket, 8892068   size:7.04,Price: ,1.03
1.122680430, Sport: ,Basketball, Time: ,Fri Jan 22 19:04:00 CET 2016, Time: ,Fri Jan 22 19:04:00 CET 2016, Event: ,LF Basket Norrbotten v Borås Basket, Favorite: ,LF Basket Norrbotten, 9017659   size:7.04,Price: ,1.03,Borås Basket, 10362243   size:7.04,Price: ,1.03
1.122680429, Sport: ,Basketball, Time: ,Fri Jan 22 19:04:00 CET 2016, Time: ,Fri Jan 22 19:04:00 CET 2016, Event: ,KFUM Nässjö v Umeå, Favorite: ,KFUM Nässjö, 10362235   size:7.04,Price: ,1.03,Umeå, 10363138   size:7.04,Price: ,1.03
1.122668380, Sport: ,Ice Hockey, Time: ,Fri Jan 22 19:15:00 CET 2016, Time: ,Fri Jan 22 19:15:00 CET 2016, Event: ,KAC Klagenfurt v HC Innsbruck, Favorite: ,KAC Klagenfurt, 1348429   size:2.64,Price: ,1.03,HC Innsbruck, 10651221   size:2.64,Price: ,1.03,Tie, 60104   size:2.64,Price: ,1.03
1.122668433, Sport: ,Ice Hockey, Time: ,Fri Jan 22 19:15:00 CET 2016, Time: ,Fri Jan 22 19:15:00 CET 2016, Event: ,Ljubljana v EC Vsv, Favorite: ,Ljubljana, 3344040   size:2.64,Price: ,1.03,EC VSV, 10651323   size:2.64,Price: ,1.03,Tie, 60104   size:2.64,Price: ,1.03
1.122668449, Sport: ,Ice Hockey, Time: ,Fri Jan 22 19:15:00 CET 2016, Time: ,Fri Jan 22 19:15:00 CET 2016, Event: ,Sapa Fehervar v EC Graz 99ers, Favorite: ,SAPA Fehervar, 10651324   size:2.64,Price: ,1.03,Ec Graz 99Ers, 10651222   size:2.64,Price: ,1.03,Tie, 60104   size:2.64,Price: ,1.03
1.122668502, Sport: ,Ice Hockey, Time: ,Fri Jan 22 19:30:00 CET 2016, Time: ,Fri Jan 22 19:30:00 CET 2016, Event: ,Gentofte Stars v IK Sonderjyske, Favorite: ,IK Sonderjyske, 1049234   size:9.16,Price: ,1.62,Gentofte Stars, 8870557   size:3.63,Price: ,4.3,Tie, 60104   size:3.25,Price: ,4.8
1.122668510, Sport: ,Ice Hockey, Time: ,Fri Jan 22 19:45:00 CET 2016, Time: ,Fri Jan 22 19:45:00 CET 2016, Event: ,Rungsted Ishockey v Herlev Eagles, Favorite: ,Rungsted Ishockey, 10651673   size:17.37,Price: ,1.48,Herlev Eagles, 5831154   size:26.46,Price: ,5.2,Tie, 60104   size:53.69,Price: ,6.0
1.122590373, Sport: ,Soccer, Time: ,Fri Jan 22 20:00:00 CET 2016, Time: ,Fri Jan 22 20:00:00 CET 2016, Event: ,Benfica B v Atletico CP, Favorite: ,Benfica B, 6563318   size:14.13,Price: ,2.2,Atletico CP, 5037331   size:27.87,Price: ,3.8,The Draw, 58805   size:159.45,Price: ,3.35
1.122590299, Sport: ,Soccer, Time: ,Fri Jan 22 20:00:00 CET 2016, Time: ,Fri Jan 22 20:00:00 CET 2016, Event: ,Emmen v Den Bosch, Favorite: ,Emmen, 419126   size:14.46,Price: ,1.97,Den Bosch, 48452   size:17.54,Price: ,3.95,The Draw, 58805   size:6.61,Price: ,4.0
1.122590225, Sport: ,Soccer, Time: ,Fri Jan 22 20:00:00 CET 2016, Time: ,Fri Jan 22 20:00:00 CET 2016, Event: ,VVV v Jong PSV, Favorite: ,VVV, 503419   size:89.88,Price: ,1.46,Jong PSV, 3348592   size:49.77,Price: ,7.8,The Draw, 58805   size:124.24,Price: ,5.2
1.122590151, Sport: ,Soccer, Time: ,Fri Jan 22 20:00:00 CET 2016, Time: ,Fri Jan 22 20:00:00 CET 2016, Event: ,Almere City v Telstar, Favorite: ,Almere City, 4835124   size:62.54,Price: ,2.52,Telstar, 67163   size:28.45,Price: ,2.86,The Draw, 58805   size:191.21,Price: ,3.9
1.122680071, Sport: ,Basketball, Time: ,Fri Jan 22 20:30:00 CET 2016, Time: ,Fri Jan 22 20:30:00 CET 2016, Event: ,Worcester Wolves v Newcastle Eagles, Favorite: ,Newcastle Eagles, 6374304   size:281.64,Price: ,1.27,Worcester Wolves, 2939196   size:2.55,Price: ,4.1
1.122709279, Sport: ,Tennis, Time: ,Fri Jan 22 21:45:00 CET 2016, Time: ,Fri Jan 22 21:45:00 CET 2016, Event: ,F Arguello v T Monteiro, Favorite: ,Facundo Arguello, 6129383   size:5.21,Price: ,1.89,Thiago Monteiro, 8326656   size:53.61,Price: ,2.04
1.122590766, Sport: ,Soccer, Time: ,Sat Jan 23 00:00:00 CET 2016, Time: ,Sat Jan 23 00:00:00 CET 2016, Event: ,Lobos BUAP v Alebrijes de Oaxaca, Favorite: ,Lobos BUAP, 6138085   size:3.62,Price: ,1.86,Alebrijes de Oaxaca, 9988722   size:8.83,Price: ,4.8,The Draw, 58805   size:3.7,Price: ,3.65
1.122701869, Sport: ,Soccer, Time: ,Sat Jan 23 01:00:00 CET 2016, Time: ,Sat Jan 23 01:00:00 CET 2016, Event: ,Deportes Iquique v Huachipato, Favorite: ,Deportes Iquique, 5271441   size:213.37,Price: ,2.24,Huachipato, 2019917   size:180.21,Price: ,3.25,The Draw, 58805   size:8.99,Price: ,3.75
1.122705953, Sport: ,Soccer, Time: ,Sat Jan 23 08:00:00 CET 2016, Time: ,Sat Jan 23 08:00:00 CET 2016, Event: ,Nghe An U19 v Cong An Nhan Dan U19, Favorite: ,Nghe An U19, 9147069   size:66.15,Price: ,1.64,Cong An Nhan Dan U19, 9137088   size:22.41,Price: ,3.95,The Draw, 58805   size:24.49,Price: ,3.7
1.122705733, Sport: ,Soccer, Time: ,Sat Jan 23 10:00:00 CET 2016, Time: ,Sat Jan 23 10:00:00 CET 2016, Event: ,Thanh Hoa v Quang Ninh, Favorite: ,Thanh Hoa, 7227126   size:7.92,Price: ,1.07,Quang Ninh, 9127869   size:7.92,Price: ,1.07,The Draw, 58805   size:7.92,Price: ,1.07
1.122706008, Sport: ,Soccer, Time: ,Sat Jan 23 10:30:00 CET 2016, Time: ,Sat Jan 23 10:30:00 CET 2016, Event: ,Quang Ngai U19 v Quang Nam U19, Favorite: ,Quang Nam U19, 8126914   size:66.15,Price: ,1.64,Quang Ngai U19, 10718663   size:21.32,Price: ,4.1,The Draw, 58805   size:24.95,Price: ,3.65
1.122705843, Sport: ,Soccer, Time: ,Sat Jan 23 10:30:00 CET 2016, Time: ,Sat Jan 23 10:30:00 CET 2016, Event: ,Dong Thap U19 v PVF U19, Favorite: ,Dong Thap U19, 8286361   size:7.92,Price: ,1.07,PVF U19, 9145443   size:7.92,Price: ,1.07,The Draw, 58805   size:7.92,Price: ,1.07
1.122706358, Sport: ,Soccer, Time: ,Sat Jan 23 11:00:00 CET 2016, Time: ,Sat Jan 23 11:00:00 CET 2016, Event: ,Pisek v Pribram, Favorite: ,Pribram, 1533863   size:62.45,Price: ,1.24,Pisek, 4940259   size:9.72,Price: ,7.8,The Draw, 58805   size:11.31,Price: ,5.4
1.122721672, Sport: ,Soccer, Time: ,Sat Jan 23 11:00:00 CET 2016, Time: ,Sat Jan 23 11:00:00 CET 2016, Event: ,Inter Zapresic v Teplice, Favorite: ,Inter Zapresic, 729701   size:27.73,Price: ,1.02,Teplice, 174264   size:27.73,Price: ,1.02,The Draw, 58805   size:2.64,Price: ,1.25
